Idiom (Karo),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Karo)",First Example Sentence,Second Example Sentence,Third Example Sentence
cawap wɨy,Intransitive verbal clause: NOUN subject + VERB predicate; fixed natural-image expression.,A hidden matter becomes clear; a tense situation opens into understanding.,nãn ahyə mẽr ã,B1,daily speech; family discussion; teaching; mediation; storytelling,"neutral, poetic, gently reassuring",Based on the daily visibility of the sun and village-morning routines; useful as a clarity metaphor in narrative explanation.,/t͡saˈwap wɨj/,"kanãy cawap wɨy, nãn ahyə mẽr ã","cawap wɨy, õn maʔwɨt at kaʔa toy","mɨy mãm cawap wɨy, tap aʔwero wɨy tomãmkəy"
naká wew,Nominal phrase: body-part noun + adjective; compact attributive construction.,"A person is proud, stubborn, or acting as if they know more than others.",owakán aʔkəy,B2,humor; correction; family speech; teasing; social commentary,"colloquial, humorous, mildly critical","Body-part imagery is productive in many Indigenous discourse traditions; the head stands for thought, status, and self-control.",/naˈka wew/,"maʔwɨt naká wew, at aʔwero wɨy tomãmkəy","owagon naká wew iʔke, at gahmõm nãn","naká wew ahyə, kanãy at toat kaʔa ʔaʔ pẽ mãm"
opía wét,Possessed body-part noun + intransitive verb; emotion-as-organ predicate.,"Someone feels deep sorrow, compassion, or emotional pain.",caropaptem gaʔto garokõna,B2,mourning; family care; storytelling; serious conversation,"tender, solemn, intimate",Emotion is represented through the body; the liver/inner organ evokes deep feeling rather than surface reaction.,/oˈpi.a wɛt/,"opía wét, apəy ŋa ʔet topaba mɨy mãm","ocorah wét, õn opía wét koãm","opía wét cúrem, tap toroyapít iʔke"
mãygãra roba,Object noun + purposive/vision verb element; ellipted clause used as warning.,"To approach danger knowingly, or to keep looking for a problem.",owakán aʔkəy iʔke,C1,warnings; politics; conflict talk; parenting; storytelling,"cautionary, ironic, proverbial","Snake imagery reflects practical forest knowledge, danger awareness, and the wisdom of avoiding needless risk.",/mãjˈɡãɾa ˈɾoba/,"mãygãra roba at towɨya, owakán aʔkəy iʔke",ẽn mãygãra roba eyaʔwara iʔke,mãygãra roba kanã yaʔti nãn iʔke
kãram meʔnẽy,Imperative permissive clause: noun subject + permissive verb; fixed release formula.,Let someone act freely; do not hold back a capable or restless person.,abeʔŋət,A2,encouragement; teaching; child-rearing; conversation; work coordination,"warm, informal, encouraging","The hummingbird image suggests agility, quickness, and freedom of movement in local ecological knowledge.",/kãˈɾam meʔˈnẽj/,"kãram meʔnẽy, owẽ beʔŋət","wat awe kãram meʔnẽy, at yaʔwan ŋapik","kãram meʔnẽy, tenaʔwara reʔkay"
towirup ʔot cúrem,Verb phrase with reflexive/possessive object and intensifier; action + excess construction.,"To use one’s own resources heavily, or to consume what should have been shared.",cúrem at tokõna,C1,workplace; family economy; humor; criticism; resource-sharing,"colloquial, ironic, socially corrective",Food-sharing and household provisions are socially important; eating too much of one's own food can imply isolation or selfish excess.,/to.wiˈɾup ʔot t͡suˈɾem/,"at towirup ʔot cúrem, maʔpəy rap toy","cúrem at towirup ʔop, owagon gahmõm nãn iʔke","towirup ʔot cúrem ahyə, wat tap yaʔti nãn iʔke"
kaʔa ʔaʔtoʔ,Plural nominal phrase: house noun + plural marker; place-as-network metaphor.,"A person has many ties, obligations, or places where they belong.",wat tap,B1,kinship; community life; travel; introductions; belonging,"neutral, warm, communal","Houses index family, kin networks, visiting routes, and obligations within community life.",/kaʔˈa ʔaʔˈtoʔ/,"wat kaʔa ʔaʔtoʔ, wat tap yaʔti nãn cúrem",maʔwɨt at kaʔa ʔaʔtoʔ toy,"kaʔa ʔaʔtoʔ ahyə, kanãy iʔtə rap paraʔkət"
agóaʔpət gahmõm,Agent noun + calming verb; clause fragment functioning as social-action idiom.,To calm a dispute wisely; to settle a heated matter without humiliation.,abegahmõm nã,C2,mediation; leadership; politics; elder speech; ceremonial discussion,"respectful, formal, culturally weighty","References the shaman/specialist as a figure of knowledge, restraint, and social balance.",/aˈɡo.aʔpət ɡahˈmõm/,"agóaʔpət amagahmõm nãn, tap toroyapít iʔke","agóaʔpət gahmõm, maʔwɨt owakán aʔkəy iʔke","kanãy agóaʔpət gahmõm, iʔtə rap wɨy"
yaracewag yaʔti nãn,Object noun + liking predicate + assertive auxiliary; desire/risk expression.,"To be attracted to something wild, difficult, or risky despite knowing it may be troublesome.",yaʔti nãn iʔke,B2,romance; humor; youth speech; advice; teasing,"playful, ironic, lightly teasing",The wild dog image gives a lively metaphor for desire mixed with danger and unpredictability.,/jaɾaˈt͡sewaɡ jaʔˈti nãn/,"õn yaracewag yaʔti nãn, owagon naká wew",ẽn yaracewag yaʔti nãn ahyə,"yaracewag yaʔti nãn iʔke, mãygãra roba koãm"
aʔwero wɨy tomãmkəy,Reflexive speech clause: object/speech noun + verb + reflexive marker; introspective predicate.,"To keep thoughts inside, rehearse words alone, or struggle silently with a decision.",at gahmõm nãn iʔke,C1,inner conflict; storytelling; counseling; literature; private reflection,"literary, introspective, serious","Self-directed speech evokes reflection before public speaking, a valued skill in careful social interaction.",/aʔˈweɾo wɨj toˈmãmkəy/,"at aʔwero wɨy tomãmkəy, opía wét","aʔwero wɨy tomãmkəy, kanãy at gahmõm nãn","maʔpəy aʔwero wɨy tomãmkəy, cawap wɨy iʔke"
