Idiom (Yucatec Maya),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Yucatec Maya)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Mix ts'aik ja'ab, mix túulil ts'onot",Fixed negative clause with parallel structure,"No effort, no reward","If you don't contribute, you don't benefit",B1,"Daily speech, advice",Colloquial,Derived from cenote-centered subsistence culture,miʃ tsaːik xaʔab miʃ tuːlil tsoːnot,"Mix ts'aik ja'ab, mix túulil ts'onot, ku yáantik le máak u jantaj.","Mix ts'aik ja'ab, mix túulil ts'onot, tu men ku na'at u beetiko'ob.","Mix ts'aik ja'ab, mix túulil ts'onot, túun le meyajo'ob mix ts'a'ik k'áat."
Le báaxal taan k'áat u tsikbal,Fixed clause with verb-object construction,Someone wants attention or drama,They are trying to stir up problems,B2,"Family, gossip, humor","Colloquial, humorous",Game-based expression from Maya family life,le ɓaːʃal taːn kaʔat u tsikɓal,Le báaxal taan k'áat u tsikbal tu yóok'ol in wóol.,Le báaxal taan k'áat u tsikbal ku na'atik u yóok'ol in wóol.,Túun le báaxal taan k'áat u tsikbal ku jant-aj le k'i'ik'el.
Ba'ax ku t'aan u xikin,Interrogative idiom as elliptical clause,You're not being listened to,Nobody is paying attention,A2,"Sarcasm, frustration",Sarcastic,Based on common frustration with being ignored,ɓaʔaʃ ku tʼaːn u ʃikin,Ba'ax ku t'aan u xikin le x-ch'úupal mix bin u na'at.,"Ba'ax ku t'aan u xikin, ma' ku yila' u jats'uts t'aan.","Ba'ax ku t'aan u xikin, le nojoch máak ku náach tu ka'aj."
U ch'íik u báalam,Reflexive possessive with animal metaphor,Someone is acting dangerously or arrogantly,They behave recklessly,C1,"Warning, storytelling","Cautionary, poetic",Jaguar symbolism in Maya mythology,u tʃʰiːk u ɓaːlam,"Le máak u ch'íik u báalam, ku beetik ba'ax ma' tu yóok'ol.",U ch'íik u báalam tu men mix na'at ba'ax ku k'áat u beetik.,"Le máak ku ch'íik u báalam, ku náach u ximbalo'ob tu yóok'ol."
U tsol u t'aan,Passive-like structure using tsol (sort),One’s words are misunderstood or twisted,Their words were distorted,C1,"Politics, argument","Formal, ironic",Classic speech-related metaphor,u tsʼol u tʼaːn,Le t'aan u tsol ti' le máak ku ts'a'ik ch'íich'.,"U tsol u t'aan, ba'ale' ma' tu ch'och' le puksi'ik'al.","Le t'aan u tsol, ku ya'al u yóok'ol ba'ax mix na'at."
Le che' ku túun le ché'en,Comparative metaphor using spatial prepositions,Looks similar but is very different inside,"Looks the same, but is not the same",B2,"Sarcasm, wisdom","Poetic, ironic",Visual metaphor using wood and tree imagery,le tʃeʔ ku tuːn le tʃéʔen,"Le che' ku túun le ché'en, ba'ale' mix ts'o'ok u ya'ab.","Le che' ku túun le ché'en, ka' le ku jats'uts u yila'.","Le che' ku túun le ché'en, ba'ale' ku yila' ma' le bey xan."
U k'áat u janal ichil k'áax,Verb phrase with subjunctive mood,Wants something difficult or forbidden,They want what they shouldn't,C1,"Proverb, rural life",Proverbial,From traditional forest hunting prohibitions,u kaʔat u hanal itʃʰil kaʔaʃ,U k'áat u janal ichil k'áax bey xan u na'at.,Le máak ku k'áat u janal ichil k'áax ku jant-aj ba'ax ma' to'on.,"U k'áat u janal ichil k'áax, ba'ale' ku náach tu xikin."
"Ma' tu ch'och', tu yóok'ol",Contrastive metaphor in clause,Appears clean but has bad intentions,Looks innocent but isn't,C2,"Judgment, morality tales","Ironic, cautionary",Moral tales referencing appearance vs. reality,maʔ tu tʃʰotʃʰ tu joːkʔol,"Ma' tu ch'och', tu yóok'ol le máak ku p'at le jach utsil.","Ma' tu ch'och', tu yóok'ol ba'ax ku beetik mix jats'uts.","Tu ch'och', ba'ale' tu yóok'ol le k'i'ik'el."
In ch'a'ik u t'aan yéetel le nojoch k'áak',Verb-object with intensifying noun phrase,To speak provocatively or instigate,They said something to cause trouble,C2,"Debate, media","Provocative, strong",Maya fire god (k'áak') and speech,in tʃʰaːʔik u tʼaːn jeːtel le noːtʃ kʼaːkʼ,"In ch'a'ik u t'aan yéetel le nojoch k'áak', mix báaxal t'aan.","In ch'a'ik u t'aan yéetel le nojoch k'áak', túun ku xok u yila'.",In ch'a'ik u t'aan yéetel le nojoch k'áak' tu chi le ch'íich'.
Kuxa'an le mejen k'iin,Nominal metaphor with time expression,Enjoying youth or living carefree,They are enjoying their youth,A2,"Youth, nostalgia","Nostalgic, lyrical",Used by elders to describe carefree youth,kuʃaːn le meʃen kiːn,Kuxa'an le mejen k'iin tu yáax k'áaj.,Kuxa'an le mejen k'iin tu men ku beetik le meyajo'ob.,Kuxa'an le mejen k'iin ku tsikbal ichil le k'áaj.
