Idiom (Hieroglyphic Luwian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Hieroglyphic Luwian)",First Example Sentence,Second Example Sentence,Third Example Sentence
TONITRUS-sa MANUS-ti tar-pa-na-ti,Fixed divine-agent clause: divine logogram subject + possessed/body-part locative + finite verb phrase; gnomic present sense.,A powerful protector or lucky circumstance shields someone at the decisive moment.,He or she is protected by strong support or good fortune.,B2,political praise; military narrative; family encouragement; ritual blessing,literary; reverent; encouraging,Synthetic pedagogical idiom grounded in Storm-God royal-protection imagery common in Anatolian monumental ideology; not an attested formula.,/tarˈhuntsassa ˈmannutti tarpaˈnati/,a-wa/i za-ti DIES-ni TONITRUS-sa MANUS-ti tar-pa-na-ti.,"REX-ti ARHA i-ia-ta, wa/i TONITRUS-sa MANUS-ti tar-pa-na-ti.",INFANS-ni ni ḫwa/i-ti; TONITRUS-sa MANUS-ti tar-pa-na-ti.
PES-sa VIA-ti ni wa/i-la-ti,Negative gnomic clause: body-part subject + road locative + negator + finite verb; proverbial aphorism.,Actions and traces reveal the truth even when speech conceals it.,Behavior shows what really happened.,B1,advice; investigation; leadership; moral teaching,proverbial; sober; mildly ironic,"Synthetic pedagogical idiom inspired by travel, border, and campaign motifs in Hieroglyphic Luwian inscriptions; not an attested idiom.",/ˈpessa ˈwijati ni waiˈlati/,"tu-wa/i wa/i-ta-ni la-ti, PES-sa VIA-ti ni wa/i-la-ti.","SCRIBA-li TABULA-ni ša-na-ti, wa/i PES-sa VIA-ti ni wa/i-la-ti.",ARHA i-ia-ta-sa ku-wa/i-ti? PES-sa VIA-ti ni wa/i-la-ti.
PANIS-sa DOMUS-ni tara/i-ti,Inanimate-agent proverb: food noun as subject + house locative + speech/declare verb; metonymic construction.,Hospitality proves goodwill more strongly than promises or formal speeches.,Generous actions show kindness better than words.,B1,family; diplomacy; guest-host relations; reconciliation,warm; proverbial; culturally polite,Synthetic pedagogical idiom based on ancient Near Eastern hospitality values and household imagery; not an attested Hieroglyphic Luwian expression.,/ˈpanissa ˈdomusni taraiti/,za-ti DOMUS-ni PANIS-sa DOMUS-ni tara/i-ti.,"FEMINA-ti PANIS-ni pi-ia-ti, wa/i PANIS-sa DOMUS-ni tara/i-ti.",ni MAGNUS wa/i-ta-ni; PANIS-sa DOMUS-ni tara/i-ti.
SCRIBA-li TABULA-ni ša-na-ti,Agentive nominal clause: professional subject + direct object + cognition verb; compact expert-proverb structure.,A trained person notices details that others miss.,The expert understands the matter.,B2,education; administration; archive work; technical review,formal; professional; admiring,Synthetic pedagogical idiom reflecting scribal administration and inscriptional record-keeping in Neo-Hittite states; not an attested phrase.,/ˈskribaːli taˈbulani ʃaˈnati/,ku-wa/i-sa ša-na-ti? SCRIBA-li TABULA-ni ša-na-ti.,"a-pa-sa ni wa/i-la-ti, wa/i SCRIBA-li TABULA-ni ša-na-ti.",TABULA-ni MALUS-ti i-zi-ia-ta; SCRIBA-li TABULA-ni ša-na-ti.
SOLIUM-sa REGIO-ni á-sa-ti,Stative locative clause: throne/authority logogram subject + land locative + stative verb; legitimacy metaphor.,"Authority is established, recognized, and difficult to dislodge.",The rule is secure and publicly accepted.,C1,politics; royal ideology; legal confirmation; historical commentary,formal; elevated; solemn,"Synthetic pedagogical idiom inspired by throne, land, and kingship formulas typical of monumental royal display; not an attested idiom.",/ˈsoliumsa ˈregjoni aːˈsati/,REX-ti ni ḫwa/i-ti; SOLIUM-sa REGIO-ni á-sa-ti.,"URBS-ni BONUS-ti paḫ-sa-ti, wa/i SOLIUM-sa REGIO-ni á-sa-ti.","REL-sa tar-pa-na-ti, a-pa-ti SOLIUM-sa REGIO-ni á-sa-ti."
PORTA-ti ARHA i-ia-ti,Idiomatic infinitival/finite action phrase: gate locative + outward particle + motion verb; risk-taking metaphor.,"To leave safety and act publicly, often under scrutiny.",To step into public responsibility or danger.,B2,leadership; public speech; rites of passage; conflict mediation,dramatic; narrative; cautionary,Synthetic pedagogical idiom modeled on city-gate and public-space symbolism in ancient Anatolian urban life; not an attested phrase.,/ˈportati ˈarha iːˈjati/,"tu-wa/i PORTA-ti ARHA i-ia-ti, wa/i URBS-ni ša-na-ti.",INFANS-sa MAGNUS-ti a-sa-ta; PORTA-ti ARHA i-ia-ti.,"ni ḫwa/i-ti, REX-ti PORTA-ti ARHA i-ia-ti."
STELE-ni wa/i-ta-ni paḫ-sa-ti,Object-locative verb phrase: stele locative + word/speech object + guarding verb; archival-memory metaphor.,"To preserve a statement, law, or reputation so it cannot be easily erased.",To record and protect the message.,C1,law; inscriptions; archives; public memory; treaty language,formal; legal; monumental,"Synthetic pedagogical idiom drawn from the public permanence of stone inscriptions; Hieroglyphic Luwian survives mainly in inscriptional contexts, but this is not an attested idiom.",/ˈsteːleni waiˈtani paχˈsati/,SCRIBA-li STELE-ni wa/i-ta-ni paḫ-sa-ti.,MALUS wa/i-ta-ni ni a-sa-ti; STELE-ni wa/i-ta-ni paḫ-sa-ti.,"REGIO-sa ḫwa/i-ti, wa/i REX-ti STELE-ni wa/i-ta-ni paḫ-sa-ti."
FLUMEN-sa URBS-ni wa/i-ia-ti,Personified inanimate clause: river subject + city locative/dative + speech verb; omen-warning construction.,Warning signs are already visible before a crisis becomes obvious.,The situation itself is warning the people.,B2,environment; politics; military preparation; family caution,poetic; admonitory; reflective,"Synthetic pedagogical idiom inspired by river valleys, frontier cities, and omen-like historical narration in Anatolian and Syrian contexts; not attested.",/ˈflumensa ˈurbsni waiˈjati/,AQUA-sa MAGNUS-ti u-wa/i-ti; FLUMEN-sa URBS-ni wa/i-ia-ti.,"SCRIBA-li ni ḫwa/i-ti, wa/i FLUMEN-sa URBS-ni wa/i-ia-ti.",ku-wa/i-ti wa/i-la-ši? FLUMEN-sa URBS-ni wa/i-ia-ti.
INFANS-ni MAGNUS wa/i-ta-ni pi-ia-ti,Dative-recipient construction: child/young person dative + adjective + speech object + giving verb; burden metaphor.,"To give someone too much responsibility, praise, or expectation before they are ready.",To overburden an inexperienced person.,C1,family; education; succession; mentorship; workplace training,cautionary; gently critical; reflective,"Synthetic pedagogical idiom tied to succession, apprenticeship, and dynastic training themes; not an attested expression.",/ˈinfansni ˈmagnus waiˈtani piːˈjati/,ni INFANS-ni MAGNUS wa/i-ta-ni pi-ia-ti.,"tu-wa/i ša-na-ši, INFANS-ni MAGNUS wa/i-ta-ni pi-ia-ti?","REX-ti INFANS-ni MAGNUS wa/i-ta-ni pi-ia-ti, wa/i REGIO-sa ta-ru/i-ti."
REX-ti SOLIUM-ni ni á-sa-ti,Negative locative-status clause: royal title/agent + throne locative + negator + stative verb; irony of empty authority.,Someone has the title or appearance of power but lacks real control.,The person is not truly in charge.,B2,politics; satire; workplace hierarchy; court narrative,ironic; critical; semi-formal,"Synthetic pedagogical idiom based on royal titulature and throne imagery; intentionally crafted for sentiment, sarcasm, and authority modeling, not attested.",/ˈreksti ˈsoliumni ni aːˈsati/,"a-pa-sa REX-ti wa/i-la-ti, wa/i REX-ti SOLIUM-ni ni á-sa-ti.",URBS-ni SCRIBA-li paḫ-sa-ti; REX-ti SOLIUM-ni ni á-sa-ti.,"MAGNUS wa/i-ta-ni a-sa-ti, wa/i REX-ti SOLIUM-ni ni á-sa-ti."
