Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Å kjøpe katta i sekken,Infinitive verb phrase with direct object,Å bli lurt til å kjøpe noe uten å vite hva man egentlig får,Å bli lurt i et kjøp,B1,"Dagligtale, handel, svindel","Colloquial, humorous",Historisk uttrykk fra markedshandel hvor katter ble solgt i sekker i stedet for griser,oː ˈçøːpə ˈkɑtːɑ iː ˈsɛkːən,"Han trodde han fikk en god avtale, men han kjøpte katta i sekken.","Vi vil ikke kjøpe katta i sekken, så vi sjekker bilen nøye først.",Hun kjøpte katta i sekken da hun bestilte møbler fra ukjent nettside.
Å ha en finger med i spillet,Infinitive verb phrase with prepositional phrase,"Å være delaktig eller involvert i noe, ofte bak kulissene",Å være involvert,B2,"Politikk, arbeidsliv, intriger","Neutral, slightly formal",Knyttet til eldre spill og strategier hvor flere parter kunne manipulere utfallet,oː hɑː ən ˈfɪŋər meː iː ˈspiːlət,Det ryktes at hun hadde en finger med i spillet under ansettelsen.,Sjefen hadde selvsagt en finger med i spillet da prosjektet ble omorganisert.,Det er tydelig at han har en finger med i spillet i denne saken.
Å gå på limpinnen,Infinitive verb phrase with prepositional phrase,Å bli lurt eller narret til å tro på noe usant,Å bli narret,B2,"Media, satire, nettdebatt","Colloquial, sarcastic","Stammer fra jakt, hvor fugler ble fanget med lim på pinner",oː ɡoː poː ˈliːmpɪnən,Han gikk rett på limpinnen da han leste den falske nyheten.,"Folk går fortsatt på limpinnen, selv etter så mange avsløringer.",Hun gikk på limpinnen og sendte penger til svindleren.
Å være på bærtur,Infinitive verb phrase with prepositional phrase,Å ta feil eller ikke forstå situasjonen,Å ta helt feil,A2,"Dagligtale, skole, diskusjon","Colloquial, humorous","Brukes om å plukke bær på feil sted eller tid, overført betydning senere",oː ˈʋæːrə poː ˈbæːʈʉːr,Du er helt på bærtur om du tror han klarer det alene.,Hun var på bærtur i diskusjonen om økonomi.,Eleven var på bærtur under prøven og svarte helt feil.
Å slå to fluer i en smekk,Infinitive verb phrase with object,Å oppnå to resultater med én handling,Å løse to problemer samtidig,B1,"Planlegging, problemløsning, økonomi",Colloquial,Bildet stammer fra jakten på fluer med en fluesmekker,oː ʃloː tuː ˈflʉːər iː en ˈsmekː,Med den nye ordningen slo vi to fluer i en smekk.,Å kombinere møtet med en middag slo to fluer i en smekk.,Ved å lære norsk og bo i Norge slo hun to fluer i en smekk.
Å ha rent mel i posen,Infinitive verb phrase with prepositional phrase,Å være ærlig og ha rene hensikter,Å være ærlig,B2,"Etikk, juss, debatt","Neutral, slightly formal","Kommer fra baking, der mel ble mistenkt for å være blandet ut",oː hɑː ɾɛnt meːl iː ˈpuːsn̩,Han har rent mel i posen og skjuler ingenting.,Du trenger ikke frykte kontrollen hvis du har rent mel i posen.,Politikeren sa han hadde rent mel i posen etter anklagene.
Å kaste perler for svin,Infinitive verb phrase with object and prepositional phrase,Å gi noe verdifullt til noen som ikke forstår dets verdi,Å sløse bort noe verdifullt på noen som ikke setter pris på det,C1,"Litteratur, filosofi, kritikk","Literary, ironic","Bibelsk opprinnelse, brukt i preken fra Matteus-evangeliet",oː ˈkɑstə ˈpæːɭər fuːɾ ˈʂviːn,Han følte han kastet perler for svin da han presenterte ideene sine.,Å vise kunst til noen som ikke bryr seg er som å kaste perler for svin.,Hun nektet å kaste perler for svin og trakk seg fra diskusjonen.
Å gå rundt grøten,Infinitive verb phrase with prepositional phrase,Å unngå å snakke direkte om noe,Å være indirekte,B2,"Samtaler, konflikthåndtering, møter",Colloquial,Kommer fra barn som går rundt grøten før jul,oː ɡoː ɾʉnt ˈɡɾøːtn̩,Du må slutte å gå rundt grøten og si hva du mener.,Han gikk rundt grøten i hele samtalen med sjefen.,Vi har ikke tid til å gå rundt grøten – vær konkret!
Å få blod på tann,Infinitive verb phrase with prepositional phrase,Å bli ivrig etter å fortsette med noe man har fått smak på,Å få mersmak,B2,"Idrett, motivasjon, arbeid","Colloquial, energetic",Stammer fra jakt og rovdyr som får smak på blod,oː foː ˈbluː poː ˈtɑnː,Etter første seier fikk de blod på tann og ville vinne mer.,Han fikk blod på tann etter å ha fått skryt på jobben.,Elevene fikk blod på tann etter suksess i første runde.
Å slå seg på brystet,Reflexive verb phrase with prepositional phrase,Å være stolt og vise seg frem på en selvgod måte,Å skryte av seg selv,C1,"Politikk, debatt, samfunnskritikk","Colloquial, sarcastic",Inspirasjon fra rituell eller teatralsk atferd,oː ʃloː sæi poː ˈbɾʏstə,Han slo seg på brystet etter det minste resultat.,De slo seg på brystet for å vise sin 'store' innsats.,Det nytter ikke å slå seg på brystet og kreve ære hver gang.
