Idiom (Hakka Chinese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Hakka Chinese)",First Example Sentence,Second Example Sentence,Third Example Sentence
落地生根,Verb phrase; metaphorical fixed clause,To settle down and establish a new life in a new place.,To make a home and live permanently.,B2,"Migration, community, family, identity","Formal, literary",Refers to Hakka migration and their adaptability in new lands.,[lok˥ ti˩ sɪŋ˥ kən˧],客家人落地生根，無論去邊都會開枝散葉。,阿明去馬來西亞落地生根，開咗餐館。,落地生根係客家精神个象徵。
食鹹魚抵渴,Compound clause; cause-effect structure,To accept the consequences of one’s own actions.,You must bear the results of your choices.,C1,"Morality, life advice, interpersonal conflict","Colloquial, ironic",Originates from southern Chinese fishing communities; adopted by Hakka speakers.,[sit˧ ham˧ ji˩ toi˥ hot˧],你愛去賭，就要食鹹魚抵渴。,做咗壞事，食鹹魚抵渴啦！,講白話無用，食鹹魚抵渴。
有錢使得鬼推磨,Complex clause; subject-predicate with idiomatic object,Money can make even the impossible possible.,Money has great power to influence outcomes.,C1,"Business, politics, humor","Colloquial, humorous",Common across Han dialects; Hakka use emphasizes practical wisdom.,[jau˧ tsʰien˧ si˩ tet˧ kui˥ tʰui˧ mo˧],有錢使得鬼推磨，講真嘅。,佢靠有錢使得鬼推磨，攞到批文。,世界無咩過唔去，有錢使得鬼推磨。
雞啄唔斷,Fixed verb-object idiom,Two people constantly arguing without resolution.,They argue endlessly without agreement.,B1,"Family, workplace, daily conversation","Colloquial, humorous",Derived from the image of chickens pecking each other endlessly.,[kai˥ tok˧ m˩ tun˧],兩公婆又雞啄唔斷啦。,同事之間雞啄唔斷，真煩。,兄弟兩人雞啄唔斷，阿媽喊頭大。
狗咬狗骨,Compound nominal phrase,Conflict between equally bad or selfish parties.,Bad people fighting among themselves.,B2,"Politics, gossip, humor","Ironic, colloquial",Traditional rural metaphor used in satire.,[kau˧ ngai˧ kau˧ kut˧],政客之間狗咬狗骨，百姓睇戲。,市場競爭激烈，好似狗咬狗骨。,兩幫人狗咬狗骨，無人有好處。
人心難測,Subject-predicate fixed expression,It’s hard to understand a person’s true intentions.,You can’t easily judge people’s hearts.,B2,"Philosophy, relationships, reflection","Formal, reflective",Shared Confucian saying emphasizing moral awareness.,[jin˧ sim˧ nan˧ tsʰak˧],人心難測，要多觀察。,做人要謹慎，人心難測。,社會複雜，人心難測啊。
無風不起浪,Negative clause; conditional form,Rumors always have some basis in truth.,There’s usually a reason behind rumors.,C1,"Gossip, politics, social media","Colloquial, analytical","Common proverb throughout Chinese dialects, rooted in agrarian metaphor.",[mo˧ fʊŋ˥ m˩ kʰi˩ lɔŋ˧],無風不起浪，肯定有啲事發生。,佢話冇事？無風不起浪啊。,村裡傳言多，無風不起浪。
水到渠成,Passive resultative verb phrase,Success comes naturally when conditions are right.,Things will succeed when the time is right.,B2,"Motivation, education, advice","Formal, poetic",Classical Chinese metaphor symbolizing patience and preparation.,[sui˧ tau˧ kʰi˩ sɪŋ˧],努力唔怕遲，水到渠成。,計劃得好，水到渠成。,學習要有耐心，水到渠成。
睏狗想食天鹅肉,Descriptive sentence with irony,Someone aims for something far beyond their reach.,A person with unrealistic ambitions.,C1,"Humor, daily life, criticism","Ironic, humorous",Derived from folk speech mocking over-ambition.,[khun˧ kau˧ sjɔŋ˩ sit˧ tʰin˥ ngo˩ njuk˧],阿強睏狗想食天鹅肉，笑死人。,講真，你係睏狗想食天鹅肉。,人人都知佢睏狗想食天鹅肉。
講一套做一套,Parallel compound clause,To say one thing but do another.,Being hypocritical or inconsistent.,B2,"Politics, workplace, criticism","Colloquial, ironic",Contemporary idiom used widely in modern discourse.,[kɔŋ˧ it˧ tʰo˩ tso˩ it˧ tʰo˩],佢講一套做一套，無人信佢。,政客最鍾意講一套做一套。,講一套做一套，失信用。
