Idiom (Northern Ndebele),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Northern Ndebele)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ukudla amabele wedwa,Fixed clause; infinitive verb construction,To act selfishly or take all benefits alone,To be selfish,B2,"Daily speech, humor, family, workplace","Colloquial, ironic","Derived from rural imagery of eating sorghum alone, symbolizing greed",[ùkʰùɮà àmàbèlè wédwà],"UThabo uyadla amabele wedwa, akafuni ukwabelana nabanye.",Abantu bayamazi ukuthi uyadla amabele wedwa njalo.,"Ukudla amabele wedwa akukuhle, kufanele sabelane sonke."
Ukutshaya amanzi,Infinitive verb phrase,To do something pointless or unproductive,To waste time or effort,B1,"Daily speech, workplace, youth slang","Colloquial, humorous",Refers to striking water—futile effort producing no result,[ùkʰútʃájà àmàndzì],Ukuzama ukuchaza kuye kuyafana lokutshaya amanzi.,"Ungatshayi amanzi, vele asikho isixazululo lapho.",Ukuphikisana labo kuyikutshaya amanzi kuphela.
Inja iyawaqeda amanzi,Declarative clause with subject and verb,Someone is taking too long or overdoing something,To take too long,B2,"Family, workplace, sarcasm, storytelling","Colloquial, ironic",From animal behavior — dogs taking long to drink water,[índʒà íjàwàkʰɛ̀tà àmàndzì],"Uyabona yena, inja iyawaqeda amanzi uma esebenza.","Ngathi sizohamba, kodwa inja iyawaqeda amanzi.","Abantwana laba, inja iyawaqeda amanzi ngokulungisa kuphela."
Ukukhala kwezinyoni,Gerund phrase used metaphorically,A sign of gossip spreading or rumors starting,Rumors are spreading,C1,"Literary, humor, gossip, social life","Poetic, figurative",Birds’ morning songs symbolize talk and communication,[ùkʰùkʰálà kwɛ̀zínʲónì],Sekuqalile ukukhala kwezinyoni emzini.,Ukukhala kwezinyoni kuyabonisa ukuthi abantu bayakhuluma.,"Ngizwa ukukhala kwezinyoni, sekukhona okutshiyeneyo lapha."
Inkomo ihlatshwa ngenxa yenyongo yayo,Complex clause; cause-and-effect structure,People suffer the consequences of their own actions,You reap what you sow,C1,"Proverbs, moral lessons, literature","Formal, moralistic, proverbial",Traditional saying symbolizing self-inflicted misfortune,[íŋkʰómò íɬátʃʷà ŋènzà jéɲóŋò jájó],"Inkomo ihlatshwa ngenxa yenyongo yayo, kufanele uqaphele izenzo zakho.",Abantu abanengi bayakhohlwa ukuthi inkomo ihlatshwa ngenxa yenyongo yayo.,"Ungamthuki umuntu, inkomo ihlatshwa ngenxa yenyongo yayo."
Ukuphonsa amehlo,Verb phrase with object complement,"To glance or admire someone, often romantically",To look at someone with interest,B1,"Romantic, humor, daily speech","Colloquial, playful",Common expression for flirtation or curiosity,[ùkʰùpʰónsà àmèɬó],Uphosela amehlo kubo bonke abafana esikolweni.,"Ungamphoseli amehlo, uyazibona yena.",Abesifazane laba bayakwazi ukuphonsa amehlo ngendlela enhle.
Isikhova sibona ebusuku,Declarative sentence; metaphorical predicate,A wise or observant person sees what others miss,A wise person notices hidden things,C2,"Proverbial, education, storytelling","Formal, proverbial",Symbolism of owls as wise beings in Nguni folklore,[ísíxʰóvà síbónà èbùsùkù],"Isikhova sibona ebusuku, yingakho kufanele ulalele abantu abadala.","Abadala bathi isikhova sibona ebusuku, umqondo wakho awuvuthwa.",Ngiyamhlonipha ngoba isikhova sibona ebusuku.
Ukudla inhlama ingekavuthwa,Infinitive verb phrase with negative complement,To rush into something prematurely,To act before the right time,B2,"Advice, family, workplace, humor","Colloquial, proverbial",Derived from baking—eating dough before it rises,[ùkʰùɮà ínɬámà íŋèkávùtʰwà],"Ungadli inhlama ingekavuthwa, linda isikhathi sakho.",Ukudla inhlama ingekavuthwa kubangela amaphutha amanengi.,Uhlulekile ngoba ukudla inhlama ingekavuthwa.
Umuthi ugotshwa usentsha,Passive structure; metaphorical statement,It’s easier to teach or shape someone while they’re young,Train children while they are still young,B2,"Education, parenting, moral lessons","Proverbial, instructive",Proverb about shaping wood or people early,[ùmútʰì ùɡótʃʷà ùsɛntsʰà],"Umuthi ugotshwa usentsha, ngakho sifundisa abantwana kusenesikhathi.","Bathi umuthi ugotshwa usentsha, ngakho qondisa kusakhanya.",Umuntu uqondiswa esakhula — umuthi ugotshwa usentsha.
Izinyembezi azinanzuzo,Declarative sentence with negative particle,Crying won’t solve the problem,Tears won’t help,A2,"Advice, family, workplace","Colloquial, instructive",Common Nguni saying on resilience and practicality,[ízíɲèmbèzì àzínánzúzò],"Izinyembezi azinanzuzo, phakama wenze okuthile.","Bathi izinyembezi azinanzuzo, qina mfowethu.",Izinyembezi azinanzuzo uma usudinga isixazululo.
