Idiom (Ibanag),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ibanag)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Mappia nga lima, napannu ta baggi",Metaphorical descriptive clause with adjectival predicate,A hardworking person eventually gains prosperity or success,Maggafu ti kinaturay ken panagtrabaho ti panagballigi,B1,"Family advice, workplace, farming communities","Colloquial, encouraging",Reflects agricultural labor traditions in the Cagayan Valley,/mapˈpja ŋa ˈlima napˈpanu ta bagˈgi/,"“Ni Kiko, mappia nga lima, napannu ta baggi, ta awan tu aggina nga inaldaw a nagina.”","“Kunnam tu ama ku, ‘Mappia nga lima, napannu ta baggi,’ nu makita na tu masipag a tao.”","“Maski mahirap, mappia nga lima, napannu ta baggi nu tuluy-tuloy tu pagtarabaho.”"
Ari ka nga maguray ta bulan,Negative imperative clause with metaphorical object,Do not wait for impossible or unrealistic things,Dika maguray iti saan a mapasamak,B2,"Humor, daily speech, personal advice","Ironic, conversational",Moon imagery is common in northern Philippine oral traditions,/ʔaˈri ka ŋa maguˈraj ta buˈlan/,“Ari ka nga maguray ta bulan; umuna ka na nga magubra.”,"“Kasta ngarud tu plano na, ngem kinagi mi nga ari ka nga maguray ta bulan.”","“Nu kayat mu nga maragpat dayta, ari ka nga maguray ta bulan.”"
"Nasingan tu mata, aru tu lihim",Parallel descriptive clause,People who appear observant often know many secrets,Ti atento a tao ket adu ti ammo na,C1,"Politics, gossip, social commentary","Poetic, ironic",Associated with barrio storytelling and political commentary,/nasiˈŋan tu maˈta ʔaˈru tu liˈhim/,"“Nasingan tu mata, aru tu lihim ni kapitan idi kampanya.”","“Nu mapansin mu amin, nasingan tu mata, aru tu lihim.”","“Kinagi da nga nasingan tu mata, aru tu lihim dagiti lallakay idi.”"
"Mappia tu ngina, madi tu puso",Antithetical descriptive structure,Someone speaks kindly but has bad intentions,Nasayaat ti panagsao ngem saan a nasayaat ti panggep,B2,"Family conflict, politics, gossip","Critical, sarcastic",Widely used in interpersonal disputes in rural communities,/mapˈpja tu ŋiˈna maˈdi tu puˈso/,"“Mappia tu ngina, madi tu puso dayta nga negosyante.”","“Naguyod isuna ngem mappia tu ngina, madi tu puso gayam.”","“Awan ku ti pammati ku ta mappia tu ngina, madi tu puso.”"
Maguray ka ta daram,Imperative verbal phrase,Be patient and wait calmly for the proper moment,Agurayka iti umno a tiempo,A2,"Parenting, school, farming","Gentle, advisory",Connected to river and tide rhythms in Cagayan life,/maguˈraj ka ta daˈɾam/,“Maguray ka ta daram antes ka nga mangalap.”,“Kinagi na kaniak nga maguray ka ta daram ta umay laeng tu gunguna.”,"“Nu adda problema, maguray ka ta daram ket magisip ka.”"
Nabannug nga kasla batu,Comparative simile structure,Extremely stubborn or emotionally unmoved,Nangato unay ti kinatangken wenno kinatuleng,B1,"Arguments, humor, family interactions","Humorous, critical",Stone metaphors appear across many northern Luzon languages,/nabanˈnug ŋa kasˈla baˈtu/,“Nabannug nga kasla batu ni Toling nu maikkan ti bilin.”,"“Maski ania ti ibaga mu, nabannug nga kasla batu latta.”",“Kinatawa da isuna ta nabannug nga kasla batu.”
"Tu aggao nga napia, awan tu linaonna",Descriptive metaphorical sentence,A beautiful appearance may hide emptiness or lack of substance,Saan amin a nasayaat ti itsura ket adda iti kalidad,C1,"Literature, politics, education","Literary, reflective",Used in oral cautionary tales and moral instruction,/tu agˈgaw ŋa napˈja ʔaˈwan tu linaˈʔonna/,"“Tu aggao nga napia, awan tu linaonna; kasta tu proyekto da.”","“Nairelato idi eskuela nga tu aggao nga napia, awan tu linaonna.”","“Dika mabaliw ta tu aggao nga napia, awan tu linaonna.”"
"Minanga ka ta uran, naguray ka ta dalan",Sequential metaphorical clause,Poor planning causes unnecessary hardship,Saan a naurnos ti panagplano ket nagresulta iti riribok,B2,"Travel, family life, agriculture","Humorous, cautionary",References rainy-season travel conditions in Cagayan,/miˈnaŋa ka ta ʔuˈɾan naguˈɾaj ka ta daˈlan/,"“Minanga ka ta uran, naguray ka ta dalan idi nagbiyahe ka.”","“Kinunana nga minanga ka ta uran, naguray ka ta dalan nu awan plano.”","“Ammu mi nga minanga ka ta uran, naguray ka ta dalan tu nangyari.”"
Awan tu anni nga awan tu gappu na,Negative existential clause,Every event or problem has a cause,Amin nga banag ket adda rason na,A2,"Teaching, counseling, social reflection","Neutral, proverbial",Common proverb among elders in Tuguegarao and nearby towns,/ʔaˈwan tu ʔanˈni ŋa ʔaˈwan tu gapˈpu na/,"“Awan tu anni nga awan tu gappu na, kaya inimbistigar da.”",“Kinagi ni ina nga awan tu anni nga awan tu gappu na.”,"“Nu adda gulo, awan tu anni nga awan tu gappu na.”"
Makiring nga kasla manuk nga napukan,Comparative humorous simile,Very noisy or overly talkative person,Nalaing unay nga agsao wenno maingel,B1,"Humor, marketplaces, family gatherings","Colloquial, comedic",Chicken imagery reflects everyday rural domestic life,/makiˈɾiŋ ŋa kasˈla maˈnuk ŋa napuˈkan/,“Makiring nga kasla manuk nga napukan ni Berta nu fiesta.”,“Nagbungol kami ta makiring nga kasla manuk nga napukan dagiti ubbing.”,“Kinagi na kaniak nga makiring nga kasla manuk nga napukan ak kunu.”
