Idiom (Warlpiri),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Warlpiri)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ngapa-kurlu wita-wita,Noun phrase with postpositional modifier (-kurlu) and reduplication for emphasis,"To be unreliable or inconsistent, like light rain that quickly disappears",Someone who changes their mind often or cannot be trusted fully,B2,"Daily speech, humor, family conversations","Colloquial, humorous",Central Warlpiri imagery of fleeting rain as a metaphor for inconsistency,/ŋa.pa kurlu wi.ta wi.ta/,"Nyampuju yapa ngapa-kurlu wita-wita, kapi nyina-mi warrarda-ngurlu.","Ngarrka-ngku nyina-mi ngapa-kurlu wita-wita, yirrarni-ngurlu jinta-kurlu.",Yapa-kurlu kapi wangka-mi ngapa-kurlu wita-wita-ngurlu.
Warlu-patu yirrarni,Verb phrase with plural noun object (fire) and transitive verb,To provoke trouble or stir conflict intentionally,To start an argument or create conflict,C1,"Politics, workplace, family disputes","Ironic, critical",Fire as a traditional symbol of both creation and destruction in desert culture,/war.lu pa.tu jir.raɳi/,Nyuntu wangka-mi warlu-patu yirrarni karnalu paji-mi.,"Ngaju kapi paji-mi nyampu-ngurlu, nyampu wangka warlu-patu yirrarni.","Ngarrka-ngku nyina-mi ngurrju-ngurlu, manu yapa-ngku warlu-patu yirrarni."
Kurdu-kurdu kapi yirra-mi warnu-kurlu,Verb clause with dual subject and instrumental phrase (-kurlu),Children are learning through hard experience,They are learning the hard way,B1,"Family, education, everyday life","Warm, reflective",Traditional child rearing through direct experience and observation,/kuɖu kuɖu ka.pi jir.ra.mi war.nu kurlu/,Kurdu-kurdu kapi yirra-mi warnu-kurlu wangkanja-jangka.,"Ngaju kapi nyina-mi ngurrju-ngurlu, kurdu-kurdu kapi yirra-mi warnu-kurlu.",Nyampu-kurlu nyina-mi parnta-ngurlu kurdu-kurdu kapi yirra-mi warnu-kurlu.
Ngarrka wati-wati wangkanja,Fixed clause with reduplication (wati-wati) indicating emphasis,A man who speaks too much without action,Someone who talks a lot but does little,B2,"Politics, workplace, humor","Colloquial, mocking",Reflects community value on action over words,/ŋaɾ.ka wa.ti wa.ti waŋ.gaɲa/,"Ngarrka wati-wati wangkanja, kapi nyina-mi warrarda-ngurlu.","Wati-ngku yirra-mi nyampu-ngurlu, ngarrka wati-wati wangkanja.","Ngaju nyina-mi kurdu-ngurlu, kapi wangka-mi ngarrka wati-wati wangkanja."
Ngurlu manu yimi jarrimi,Compound verb phrase with conjunction (manu),To share both sustenance and stories; deep friendship,To be very close friends,A2,"Family, friendship, daily life","Warm, affectionate",Traditional communal sharing of food and oral storytelling,/ŋuɭu ma.nu ji.mi jar.ri.mi/,Ngaju manu nyampu nyina-mi ngurlu manu yimi jarrimi.,"Yapa-ngku nyina-mi wita-kurlu, ngurlu manu yimi jarrimi.",Ngarrka-ngku wangka-mi ngurlu manu yimi jarrimi-jangka.
Yapa ngurrju-ngurrju parnta-mi,Verb phrase with reduplicated adjective modifier,A kind-hearted person who helps others,A good person,A1,"Everyday speech, praise, education","Positive, respectful",Reflects communal values of kindness and generosity,/ja.pa ŋuɻ.ɟu ŋuɻ.ɟu paɳ.ta.mi/,Nyampu yapa ngurrju-ngurrju parnta-mi warrarda-ngurlu.,Ngaju-kurlu wangka-mi yapa ngurrju-ngurrju parnta-mi.,Ngarrka-ngku yimi-mi yapa ngurrju-ngurrju parnta-mi-jangka.
Ngapa-ngurlu ngarrka nyina-mi,Clause with locative postpositional phrase (-ngurlu),To be patient and calm under pressure,To stay calm and collected,B1,"Advice, family, leadership","Reflective, wise",Water symbolizing calmness and control in desert survival contexts,/ŋa.pa ŋuɭu ŋaɾ.ka ɲi.na.mi/,"Ngarrka-ngku nyina-mi ngapa-ngurlu, kapi wangka-mi warrarda-ngurlu.",Nyampu yapa ngapa-ngurlu nyina-mi jinta-kurlu.,Ngaju-kurlu wangka-mi ngapa-ngurlu ngarrka nyina-mi.
Parnta-mi kankarlu,Verb phrase with locative adverb,To rise in status or reputation,To become respected or recognized,B2,"Workplace, leadership, education","Formal, encouraging",Derived from traditional metaphors of vertical movement toward the sky,/paɳ.ta.mi kaŋ.kaɭu/,Wati-ngku parnta-mi kankarlu nyampu-jangka.,"Ngaju nyina-mi warrarda-ngurlu, parnta-mi kankarlu.",Nyampu yapa-ngku parnta-mi kankarlu jinta-ngurlu.
Wati-ngku paji-mi mirni-kurlu,Transitive clause with instrumental phrase,To act wisely and strategically,To think before acting,B1,"Advice, education, family","Advisory, wise","‘Mirni’ (brain, wisdom) represents intelligence and balance",/wa.ti ŋku pa.dʒi.mi miɻ.ni kurlu/,Wati-ngku paji-mi mirni-kurlu warrarda-ngurlu.,Ngaju wangka-mi wati-ngku paji-mi mirni-kurlu.,Nyampu yapa-ngku nyina-mi mirni-kurlu paji-mi.
Ngurrju-kurlu wangkanja-jangka,Gerund phrase with comitative (-kurlu) and ablative (-jangka) suffixes,To speak with good intentions or positive influence,To speak kindly,A2,"Teaching, family, religion","Gentle, positive",Based on community emphasis on speech carrying spiritual weight,/ŋuɻ.dʒu kuɭu waŋ.gaɲa jaŋ.ka/,Ngaju nyina-mi ngurrju-kurlu wangkanja-jangka yapa-kurlu.,Yapa-ngku wangka-mi ngurrju-kurlu wangkanja-jangka.,Ngarrka-ngku nyina-mi ngurrju-kurlu wangkanja-jangka.
