Idiom (Khalaj),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Khalaj)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Su bulanmasa, balıq tutulmaz.",Conditional clause with negation; fixed proverb structure.,"Without effort or disturbance, nothing valuable can be achieved.",You must work or take risks to gain results.,B2,"Daily speech, advice, family conversations.","Colloquial, proverbial.","Traditional saying related to fishing, symbolizing effort and reward in Khalaj rural life.","[su buɫanmasa, baɫɯq tutulmaz]","Atam həmişä deyär: ‘Su bulanmasa, balıq tutulmaz.’, çalışmaq lazımdır.","Ol iş tapmaq istəyir, amma su bulanmasa, balıq tutulmaz.","Uşaqlara dedim, oxuyun, çünki su bulanmasa, balıq tutulmaz."
Daş yerində ağırdır.,Declarative clause; copular construction.,Everyone is most respected and effective in their own place or community.,A person belongs and holds value where they come from.,C1,"Politics, workplace, community relations.","Proverbial, formal.",Ancient proverb reflecting tribal and geographic attachment among Khalaj people.,[daʃ jerinde aʁɯrdɯr],"Kənd başçısı üçün dedilər ki, daş yerində ağırdır.","Sən burada sevilirsən, daş yerində ağırdır.","O, başqa şəhərə getdi, amma orda tanınmadı — daş yerində ağırdır."
"Qurd ac qalmaz, yol tapar.",Complex clause with coordination; fixed proverb.,A resourceful person will always find a way to survive or succeed.,A clever person finds a solution in any situation.,B2,"Encouragement, resilience, humor.","Colloquial, optimistic.",Rooted in pastoral Khalaj traditions emphasizing endurance and self-reliance.,"[qurd at͡ʃ qalmaz, jol tapar]","İş tapmasan da narahat olma, qurd ac qalmaz, yol tapar.","Ol dedä ki, qurd ac qalmaz, yol tapar, sabr et.","Bizdə belə deyərlər: qurd ac qalmaz, yol tapar."
Dost dar gündä tanınar.,Passive-like structure; temporal adjunct.,A true friend is known in difficult times.,You recognize real friends when you're in trouble.,B1,"Family, friendship, advice.","Proverbial, moralistic.",Khalaj proverb reflecting the value of loyalty and companionship.,[dost dar günde tanɯnar],"Mən çətinlikdə idim, o yardım etdi — dost dar gündä tanınar.","Yaxşı dost tapmaq asan deyil, dost dar gündä tanınar.","Ol gəldi, mənim yanımda oldu — dost dar gündä tanınar."
"Yel əsär, yapraq titrär.",Causative-like structure with natural imagery.,Every action has a consequence.,Everything happens for a reason.,C1,"Philosophical, moral teaching.","Poetic, reflective.",Khalaj oral poetry imagery comparing natural causality with human deeds.,"[jel æsær, japraq titrær]","Atam həmişä deyär: yel əsär, yapraq titrär.","Sən ona söz dedin, indi o incidi — yel əsär, yapraq titrär.","Bu dünyada hər şey səbəbsiz deyil, yel əsär, yapraq titrär."
Tənbäl adamın bəxti yuxuda gülär.,Complex clause with irony; active voice.,"Lazy people only dream of success, but never achieve it.",You cannot succeed without effort.,B2,"Humor, daily speech, sarcasm.","Ironic, humorous.",Folk wisdom used to mock idleness among Khalaj villagers.,[tænbæl adamɯn bæxti juχuda gylær],"Ol heç çalışmaz, amma deyär bəxtim yoxdur — tənbäl adamın bəxti yuxuda gülär.","Əgər işləmäsän, tənbäl adamın bəxti yuxuda gülär.",Bu məsəli hər kəs bilir: tənbäl adamın bəxti yuxuda gülär.
"İşin başı səbir, sonu xeyir.",Parallelism; copular structure.,Patience at the beginning leads to good results.,Be patient and things will end well.,B2,"Teaching, advice, moral speech.","Formal, proverbial.",Rooted in Islamic moral proverbs absorbed into Khalaj discourse.,"[iʃin baʃɯ sæbir, sonu xeir]","Sən tələsmä, işin başı səbir, sonu xeyir.","Bu məsəli nənəm tez-tez deyärdi: işin başı səbir, sonu xeyir.","Biz bilirik ki, işin başı səbir, sonu xeyir."
Yalan ayaq üstä durmaz.,Negative declarative with metaphorical subject.,Lies cannot stand for long; truth will prevail.,Lies are always eventually exposed.,B2,"Moral, social commentary.","Moralistic, proverbial.","Derived from ethical teachings, common in Khalaj parental advice.",[jɑlɑn ɑjɑq ystɑ durmɑz],"Ol çox danışır, amma yalan ayaq üstä durmaz.",Uşaqlara deyirəm: yalan ayaq üstä durmaz.,"Hər kəs bilir ki, yalan ayaq üstä durmaz."
"El bir olsa, dağ yerindən oynar.",Conditional-like structure with exaggeration.,Unity brings great power and success.,"When people are united, they can achieve anything.",C1,"Politics, motivation, community speeches.","Formal, inspirational.",Proverb from tribal solidarity traditions among Khalaj communities.,"[el bir olsa, daʁ jerinden ojnar]","Biz birlik olmalıyıq, el bir olsa, dağ yerindən oynar.","Kənddə dedilər ki, el bir olsa, dağ yerindən oynar.","Əgər hər kəs kömək etsä, el bir olsa, dağ yerindən oynar."
"Söz gümüşsə, sükut qızıldır.",Comparative structure with nominal predicates.,Silence is often more valuable than speech.,Sometimes it's better to stay quiet than to talk.,C1,"Philosophy, ethics, formal discourse.","Philosophical, literary.","Rooted in Persian moral thought, integrated into Khalaj wisdom traditions.","[søz gyˈmyʃsæ, sykyt qɯˈzɯldɯr]","Nənäm deyärdi, söz gümüşsə, sükut qızıldır.","Bəzän danışmaq deyil, susmaq yaxşıdır — söz gümüşsə, sükut qızıldır.","O sakit qaldı, çünki bilirdi ki, söz gümüşsə, sükut qızıldır."
