Idiom (Lingua Franca Nova),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Lingua Franca Nova)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ave la cabesa en las nubes,"Fixed clause, verb phrase",Sonhar despierta o ser distraido con ideas irreal.,Ser distraido o no atente.,B2,"Diaria, humor, escola, familia","Colloquial, humorous",De origen poetica e comun en linguas romances.,/ˈave la kaˈbesa en las ˈnubes/,El sempre ave la cabesa en las nubes cando la profesora parla.,Tu no pote vive con la cabesa en las nubes si tu vole sucesso.,"Nos ama sua creativita, ma el ave la cabesa en las nubes tro sovente."
Cade del luno,"Verb phrase, fixed expression",Es surprendida o no prepara por un evento.,Es surprendida o no espera algo.,B1,"Diaria, amistat, trabajo",Colloquial,Basada en la idea de descende de un lugar alt.,/ˈkade del ˈluno/,"Cando me ia oir la nova, me cade del luno.",El sempre cade del luno quandos cosas cambia rapido.,Nos cade del luno con la resulta de la vota.
Fasi de la mosca un elefante,Clause with object complement,Exagera una cosa pequena.,Exagera una situacion minima.,B2,"Humor, familia, conversasion informal","Colloquial, ironic",De uso comun en Europa e derivada de proverbios antiguos.,/ˈfasi de la ˈmoska un eleˈfante/,"Tu sempre fasi de la mosca un elefante, calma te.",Ela ia fasi de la mosca un elefante per un error minima.,Nos deve evita fasi de la mosca un elefante en la vida diaria.
Teni la boca serada,"Imperative structure, verb-object",Manteni un secreto o no parla sobre algo.,Guarda un secreto o no comenta.,A2,"Trabajo, familia, amistad, confidencia","Colloquial, polite",Compara con mantener la boca cerrada en espaniol.,/ˈteni la ˈboka seˈrada/,"Teni la boca serada, es un secreto!",Nos deve teni la boca serada sobre la sorpresa.,"El no sabe teni la boca serada, sempre conta todo."
A cada ora sua frui,"Fixed clause, proverbial",Cada cosa ave su momento propio.,Todo llega a su tiempo.,B1,"Literatura, familia, filosofia","Proverbial, poetic",Derivada de proverbios clasicos del Mediterraneo.,/a ˈkada ˈora ˈsua ˈfrui/,"No preocupa, a cada ora sua frui.",Nos deve recorda que a cada ora sua frui.,"Ela dice sempre: a cada ora sua frui, e la vida continua."
Lava las man de algo,Reflexive or object clause,Evita la responsabilidad o implicacion.,Negar participacion o culpa.,C1,"Politica, justicia, critica social","Formal, ironic",Basada en la accion simbolica de Pilato en la Biblia.,/ˈlava las ˈman de ˈalgo/,El ia lava las man de la decida politica.,Nos no pote lava las man de esta situacion.,Ela lava las man de la problema e parte.
Corta la papo,Imperative expression,Termina una conversacion o asunto rapidamente.,Para de parla o discuti.,B2,"Trabajo, amistat, humor","Colloquial, sometimes rude",De uso modern en dialectos urbanos del LFN.,/ˈkorta la ˈpapo/,"Corta la papo, nos ja comprende!",Tu deve corta la papo e face tua labor.,El dise 'corta la papo' quandos la gente discute tro.
No es pan de cada dia,Negative fixed clause,Algo raro o no comun.,No es comun o normal.,B1,"Familia, cultura, observacion social","Colloquial, reflective",Deriva del simbolismo del pan como cosa cotidiana.,/no es ˈpan de ˈkada ˈdia/,Esta tipo de arte no es pan de cada dia.,"Nos visita un teatro, cosa que no es pan de cada dia.","El recive un premio, no es pan de cada dia, verda?"
Mete la nas en asunto de otra,"Verb phrase, reflexive or not",Entremete se en cosas que no interesa a uno.,Intervenir sin ser invita.,B2,"Familia, amistad, trabajo","Colloquial, ironic",Comparavel con expresiones en frances e espaniol.,/ˈmete la ˈnas en aˈsunto de ˈotra/,Tu sempre mete la nas en asunto de otra.,Ela mete la nas en cada conversa.,Nos deve evita mete la nas en asunto de otras personas.
Es un gato en saco,"Nominal phrase, metaphorical",Cosa misteriosa o engañosa.,Algo desconocido o incierto.,C1,"Negocio, advertencia, humor","Colloquial, ironic",Basada en la imagen de comprar sin mirar el contenido.,/es un ˈgato en ˈsako/,"No compra lo, es un gato en saco!","Ela pensa que gana, ma es un gato en saco.",Nos aprende que la oferta era un gato en saco.
