Idiom (Chokwe),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Chokwe)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mutwe umwe kawalembi ngoma,Negative declarative clause; noun phrase subject + negative verb form,One person alone cannot accomplish a major task; collaboration is necessary.,Chuma chikuma chafwila vanhu vavulu kulinga.,B1,"Community meetings, teamwork, family discussions, leadership discourse","Proverbial, didactic, communal",Derived from traditional ngoma drum ceremonies requiring collective participation.,/mutʷe umwe kawaˈlembi ŋɡoma/,"Twalombanga kuvwilila vosena, mwomwo mutwe umwe kawalembi ngoma.","Ha kupanga chikungulwilo, vavulu vakafuma mwomwo mutwe umwe kawalembi ngoma.","Ove kanda ulifwike weka, mutwe umwe kawalembi ngoma."
Kukwata likumbi mu ntanda,Infinitive verb phrase; metaphorical object complement,Attempting the impossible or chasing unrealistic ambitions.,Kulinga chuma chahanduka kulinga.,B2,"Humor, politics, youth aspirations","Ironic, humorous",References the sun (likumbi) as unreachable in cosmological belief.,/kukʷata likumbi mu ntanda/,Yami ngwamwene nge ali kukwata likumbi mu ntanda.,Project yakwe yali nge kukwata likumbi mu ntanda.,Kanda utambuke nge uli kukwata likumbi mu ntanda.
Maji amwe kavavwisi ngoma,Negative plural noun subject + verb clause,Small efforts alone do not create meaningful impact.,Chindende kachafwila kuhana chinyingi.,B2,"Workplace, agriculture, leadership advice","Advisory, reflective",Water metaphor linked to river culture in eastern Angola.,/maji amwe kavavwisi ŋɡoma/,Twafwelela kulinga chikuma mwomwo maji amwe kavavwisi ngoma.,Ha munda twalombanga chikuma mwomwo maji amwe kavavwisi ngoma.,"Kanda utwale chindende kaha, maji amwe kavavwisi ngoma."
Mbwa kayizanga ku munda wambote,Negative habitual verb clause,Good opportunities do not come easily or repeatedly.,Thangana mbote kalifumanga chindende.,C1,"Business, advice, elder speech","Serious, proverbial",Hunting imagery reflecting scarcity of success.,/mbwa kajiˈzaŋɡa ku munda wambote/,Tata ahanjikile nge mbwa kayizanga ku munda wambote.,Ove tambula thangana lino mwomwo mbwa kayizanga ku munda wambote.,Vana vavwila nge mbwa kayizanga ku munda wambote.
Kulya na mwahwa,Infinitive verb phrase; prepositional complement,Sharing benefits fairly among companions.,Kuhana vyuma vyosena mwakwoloka.,A2,"Family, friendship, markets","Colloquial, positive",Hospitality tradition of communal meals.,/kulja na mwahwa/,Twalombanga kulya na mwahwa ha shikola.,"Ove kaweshi kulya weka, kulya na mwahwa.",Vana vavuluka kulya na mwahwa.
Kanda utambuke na muloho,Negative imperative clause,Do not act with hidden malicious intent.,Kanda ulinge chuma cha kusongo.,B2,"Conflict resolution, moral instruction","Admonishing, moral",Belief in sorcery (muloho) as social harm metaphor.,/kanda utambuke na muloho/,Tata ahanjikile kuli yami kanda utambuke na muloho.,"Mu chikungulwilo, vakavuluka kanda kutambuka na muloho.",Ove kanda utambuke na muloho ha mulonga uno.
Likumbi kalifuma kavulu,Negative habitual clause,Great moments are rare and must be valued.,Thangana chikuma kalifumanga chindende.,B1,"Ceremonies, achievements, speeches","Poetic, reflective",Sun symbolism in Chokwe cosmology.,/likumbi kalifuma kavulu/,Twasekele mwomwo likumbi kalifuma kavulu.,Tambula thangana mwomwo likumbi kalifuma kavulu.,Vakulu vahanjikile nge likumbi kalifuma kavulu.
Kuvwa nge chiyulo chakupwa,Comparative clause with metaphorical complement,Feeling emotionally drained or empty.,Kuvwa kuhepa chinyingi.,B2,"Personal reflection, literature, emotional speech","Expressive, literary",Water pot metaphor in rural households.,/kuvwa ŋɡe tʃijulo tʃakupwa/,Ngunji ndavwa nge chiyulo chakupwa.,Ove uli nge chiyulo chakupwa lelo.,Etcho ahanjikile nge ali kuvwa nge chiyulo chakupwa.
Kusoneka mu maji,Infinitive verb phrase; locative complement,An action that leaves no lasting result.,Chuma kachashalanga.,C1,"Politics, criticism, social commentary","Critical, ironic",Writing in water leaves no trace.,/kusoneka mu maji/,Mulonga wavo walingile nge kusoneka mu maji.,Kuhanjika chindende nge kusoneka mu maji.,Project yavo yalingile kusoneka mu maji.
Kulonda mphepo,Infinitive verb phrase; direct object metaphor,Chasing something intangible or futile.,Kulinga chuma chahanduka.,B2,"Youth advice, humor, social critique","Humorous, ironic",Wind metaphor in savanna landscapes.,/kulonda mphepo/,Ove uli kulonda mphepo ha mulonga uno.,Yami kangwafwila kulonda mphepo.,Vakulu vahanjikile nge kulonda mphepo kachafwila.
