Idiom (Chewa),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Chewa)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kudya phala ndi mphika,Fixed clause with instrumental phrase,To benefit from a situation one helped create,To share in the rewards of your own effort,B2,"Workplace, teamwork, motivation","Colloquial, pragmatic",Derived from traditional cooking culture; used when one partakes in food they prepared.,[kuɗja pʰala ndi m̩pʰika],Wamuna uja adakwanitsa kudya phala ndi mphika atayamba bizinesi yake ndi anzake.,Anthu ambiri akufuna kudya phala ndi mphika osapanga ntchito.,"Ngati unagwira ntchito bwino, uli ndi ufulu wokudya phala ndi mphika."
Kugwira nkhondo ya pakamwa,Verb phrase with possessive complement,To argue or quarrel verbally,To have a heated argument,B1,"Family, politics, workplace, humor","Colloquial, sarcastic",Reflects Chewa value of harmony; used when speech replaces physical conflict.,[kuɡwiɾa nxoⁿdo ja pakamwa],Anzake anayamba kugwira nkhondo ya pakamwa pa nkhani ya ndalama.,Asilikali a m’nyumba amagwira nkhondo ya pakamwa nthawi zambiri.,Alemu ndi mkazi wake amakhala akugwira nkhondo ya pakamwa chifukwa cha ana.
Kusamba m’manja,Verb phrase with locative prepositional phrase,To distance oneself from responsibility,To deny involvement,C1,"Politics, workplace, religion","Formal, historical",Likely biblical in origin; similar to ‘washing one’s hands’ of guilt.,[kusamba m̩manʲa],Bwana adasamba m’manja ponena kuti sanali nawo ntchito imeneyo.,Abusa anasamba m’manja pa nkhani ya chisankho cha mpingo.,Mtsogoleri uja adasamba m’manja atafunsa za ziphuphu.
Kudya mtima,Verb + noun phrase,To harbor resentment or jealousy,To be envious or bitter,A2,"Daily speech, relationships","Colloquial, emotional",Common across Bantu languages symbolizing emotion as inner consumption.,[kuɗja m̩tima],Usadyenso mtima ngati anzako achita bwino kuposa iwe.,Amai a Chimwemwe amakhala akudya mtima nthawi zambiri.,"Kudya mtima sikuthandiza, chifukwa zimangokulepheretsa kusangalala."
Kugwa chagada,Verb + adverbial expression,To fail miserably or unexpectedly,To experience sudden failure,B2,"Education, humor, sports","Colloquial, humorous",‘Chagada’ mimics sound of heavy fall; used humorously in storytelling.,[kuɡwa tʃaɡada],Anthu onse anaseka pamene mtsogoleri adagwa chagada pa pulatifomu.,Adaphunzira mwakhama pambuyo pogwa chagada pa mayeso oyamba.,Masewero adatha modabwitsa pamene timu ya kwawo idagwa chagada.
Kumanga moyo,Verb + object phrase,To persevere through hardship,To stay strong or endure,B1,"Motivation, family, adversity","Poetic, inspirational",Originates from imagery of binding or fortifying one’s life.,[kumáŋɡa mójo],"Ngakhale mavuto ali ambiri, tiyenera kumanga moyo.",Amai anamuuza mwana kuti amange moyo osagwa nchito.,Wokonda wanga wakhala akumanga moyo ngakhale atataya ntchito.
Kusuta nthenga,Verb + object phrase,To brag or show off,To boast or display arrogance,B2,"Youth, humor, social gatherings","Colloquial, playful",Derived from image of birds preening feathers; associated with pride.,[kusuta n̩θeŋɡa],Achinyamata amasuta nthenga tikakhala pa disco.,Sakonda anthu omwe amasuta nthenga nthawi zonse.,Udzakhala bwino ngati usasiya kusuta nthenga pa ntchito.
Kulowa m’madzi,Verb phrase with locative complement,To get into trouble or a difficult situation,To encounter serious problems,A2,"Daily life, warning, advice","Neutral, cautionary","Common across Bantu languages, water symbolizes difficulty or uncertainty.",[kulowa m̩madzi],Ulemu adalowa m’madzi chifukwa chosamvera malamulo.,Usalowe m’madzi chifukwa cha anzako osaganizira.,Anthu ambiri alowa m’madzi chifukwa cha ngongole.
Kupha nkhuku ya dzulo,Verb phrase with genitive complement,To revive an old issue or conflict,To bring up past problems,C1,"Politics, family, humor","Colloquial, ironic",Refers to the impracticality of killing yesterday’s chicken again—reviving the past.,[kupʰa nxoⁿku ja ɟuɭo],Usaphe nkhuku ya dzulo pamene zonse zatha kale.,Adalankhula ngati akupha nkhuku ya dzulo.,Amayi nthawi zina amaphedwa nkhuku ya dzulo chifukwa cha ukali.
Kukoma mtima,Verb + noun phrase,To be pleased or deeply touched emotionally,To feel delighted or content,A1,"Family, daily conversation, emotion","Neutral, affectionate",Emotion-centered phrase reflecting heart as center of feeling.,[kukoma m̩tima],Ndakoma mtima kuona ana akuseka lero.,Amayi adakoma mtima atalandira mphatso.,Zimandikoma mtima kumva nyimbo za kale.
