Idiom (French Guianese Creole),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, French Guianese Creole)",First Example Sentence,Second Example Sentence,Third Example Sentence
Tout chyen ni jou'y pou mòdé.,"Fixed clause, declarative sentence.",Everyone has their moment to succeed or take revenge.,Everyone gets their turn in life.,B2,"Daily speech, wisdom, reflection.","Colloquial, proverbial.",Common across Caribbean Creole cultures; reflects belief in karma and time.,/tut ʃjɛ̃ ni ʒu.i pu mɔ.de/,"Pa moqué moun jòdi-a, paskè tout chyen ni jou’y pou mòdé.","Ou pé ri mwen jòdi-a, mé on jou sé mwen ki ké ri.",Manman toujou di mwen: ‘Tout chyen ni jou’y pou mòdé.’
Kannari pa ka oubliyé dlo ki té fè’y bouyi.,Fixed clause with relative pronoun ‘ki’.,Never forget those who helped you in difficult times.,We should always remember our helpers.,C1,"Wisdom, gratitude, moral teaching.","Proverbial, reflective.",Ancestral African metaphor rooted in oral storytelling traditions of Guiana.,/kan.na.ʁi pa ka ub.li.je dlo ki te fè bu.ji/,"Li pa janmen oubliyé moun ki té édé’y, paskè kannari pa ka oubliyé dlo ki té fè’y bouyi.",Sa sé an bon pawòl: toujou sonjé sa moun fè pou’w.,Granmanman ka répété sa chak fwa mwen vin ingrat.
Bwa ki pli dou sé li lapli ka pliyé.,Complex sentence with relative clause.,The kindest people are often the most affected by hardship.,Good people often suffer the most.,C1,"Philosophy, literature, reflection.","Poetic, reflective.",Rural agricultural metaphor tied to tropical forest imagery.,/bwa ki pli du se li la.pli ka pli.je/,"Mwen ka di’w, bwa ki pli dou sé li lapli ka pliyé.","I toujou soufè, paskè i ni bon kè.",Sa sé pawòl ki ni anpil sajès adan’y.
Moun pa mò pou lèspri pèd.,Negated declarative with infinitive.,A person’s legacy lives on after death.,People live through their deeds and memory.,C2,"Funerals, philosophy, spirituality.","Poetic, spiritual.",Creole ancestral spirituality rooted in maroon heritage.,/mun pa mɔ pu lɛs.pʁi pɛʁd/,"Granpapa pati, mé moun pa mò pou lèspri pèd.","Chak fwa nou palé di li, nou fè’y viv ankò.",Sa sé pawòl ki fè moun sonjé rasin yo.
Ti gouté dlo ka plen kannari.,Simple clause with progressive metaphor.,Small efforts add up to great achievements.,Every little bit counts.,B1,"Motivation, education, workplace.","Encouraging, proverbial.",Household-based imagery from water-carrying traditions.,/ti gu.te dlo ka plen kan.na.ʁi/,"Pa pè travay ti kal, ti gouté dlo ka plen kannari.",Chak jès ka konté lè’w ni pasyans.,"Ti pasé ti, ou ké rivé gwo."
Sèpan pa janmen maché anlè sab san tras.,Negated declarative sentence with prepositional phrase.,Every action leaves a trace or consequence.,Nothing happens without consequence.,B2,"Moral reflection, justice, life lessons.","Philosophical, proverbial.",Symbolic use of serpent in Guianese folklore as observer of truth.,/sɛ.pã pa ʒã.mɛ mã.ʃe ã.lɛ sab sã tʁas/,"Pa kwè ou pé fè mal san pèsonn pa wè, sèpan pa janmen maché anlè sab san tras.",Tout aksyon ni konsekans li.,Bondyé ka wè sa ki kaché.
Kok pa ka chanté si lapli pa vini.,Conditional sentence with negation.,Every event has a cause; things happen for a reason.,Nothing happens without a reason.,B2,"Philosophy, life lessons, religion.","Proverbial, reflective.",Rural Guianese proverb tied to agricultural prediction.,/kɔk pa ka ʃã.te si la.pli pa vi.ni/,"Si bagay ka fèt konsa, sé paskè kok pa ka chanté si lapli pa vini.",Tout bagay ni rézon li.,Granmanman té toujou di sa lè i té ka gadé syèl.
Ou pa pé bésé solèy épi men'w.,Negated declarative with modal verb.,You can’t stop truth or destiny from being revealed.,You can’t hide the truth.,C1,"Conflict, debate, morality.","Metaphoric, assertive.",Creole proverb of African origin symbolizing inevitability of truth.,/u pa pe be.se sɔ.lɛj e.pi mɛ̃w/,"Pa kité moun manti, ou pa pé bésé solèy épi men'w.",Verité toujou parèt menm si ou kouvè’y.,Sa sé pawòl ki fò tèlman i vré.
Zòryé ki sal pa ka fè bon dòmi.,Negative declarative with causative sense.,One can’t rest with guilt or unresolved issues.,You can’t have peace of mind when your conscience isn’t clear.,C1,"Psychological reflection, advice, moral speech.","Reflective, proverbial.","Derived from domestic symbolism, widespread in Creole homes.",/zɔ.ʁje ki sal pa ka fè bɔ̃ dɔ.mi/,"Si ou fè mal, ou pa ké dòmi byen: zòryé ki sal pa ka fè bon dòmi.","Mwen santi tèt mwen pa kalm, sé pwoblem mwen ki ni.",Sajès granmoun toujou ni verité adan’y.
Tout sa ki kléré pa lò.,Declarative with negative implication.,Not everything that looks good is truly valuable.,Appearances can be deceiving.,B1,"Advice, youth education, social commentary.","Proverbial, moral.",Shared proverb across Caribbean Creoles adapted from French colonial sayings.,/tut sa ki kle.ʁe pa lɔ/,"Pa fè konfyans tout moun, tout sa ki kléré pa lò.","Yon bagay ka parèt bèl, mé i pa toujou bon.",Granmanman té toujou di sa lè i té ka konsèy mwen.
