Idiom (Classical Mandaic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Classical Mandaic)",First Example Sentence,Second Example Sentence,Third Example Sentence
ࡋࡉࡁࡀ ࡃࡊࡅࡔࡈࡀ,Construct-state nominal idiom: head noun + d- genitive complement; used as a predicate nominal or appositive.,"A sincere heart; honest intention shown by conduct, not only by speech.",ࡊࡅࡔࡈࡀ ࡅࡓࡄࡌࡀ ࡀࡉࡕ ࡁࡋࡉࡁࡄ࡞,B1,family counsel; ethics; mediation; personal praise; religious teaching,literary-colloquial; warm; approving,"Draws on the central Mandaean ethical value of kušṭa, truth and ritual trust, expressed through the inner organ of intention.",/ˈliːba dkuʃtɑː/,ࡁࡃࡉࡍࡀ ࡂࡁࡓࡀ ࡄࡅ ࡀࡌࡓ ࡌࡋࡕࡀ ࡅࡇࡆࡉࡍ ࡁࡄ ࡋࡉࡁࡀ ࡃࡊࡅࡔࡈࡀ࡞,ࡋࡀ ࡕࡃࡇࡋ ࡌࡍ ࡌࡋࡕࡄ ࡀࡉࡕ ࡁࡄ ࡋࡉࡁࡀ ࡃࡊࡅࡔࡈࡀ࡞,ࡌࡍ ࡋࡉࡁࡀ ࡃࡊࡅࡔࡈࡀ ࡍࡐࡒࡕ ࡔࡋࡀࡌࡀ ࡁࡁࡉࡕࡀ࡞
ࡐࡅࡌࡀ ࡐࡕࡉࡄࡀ ࡅࡋࡉࡁࡀ ࡎࡕࡉࡌࡀ,Coordinated nominal clause with antithetical participles: open mouth + sealed heart; fixed ironic frame.,Someone talks freely but conceals real intentions; loquacious yet guarded.,ࡄࡅ ࡌࡋࡉࡋ ࡎࡂࡉ ࡅࡋࡀ ࡂࡋࡀ ࡓࡏࡉࡍࡄ࡞,C1,politics; bargaining; family disputes; sarcasm; character judgment,colloquial-literary; ironic; mildly critical,Built from Semitic body-part imagery: the mouth as public speech and the heart as hidden counsel.,/ˈpuːma pəˈtiːha uˈliːba səˈtiːma/,ࡐࡅࡌࡀ ࡐࡕࡉࡄࡀ ࡅࡋࡉࡁࡀ ࡎࡕࡉࡌࡀ ࡀࡉࡕ ࡋࡄ ࡋࡎࡀࡄࡃࡀ ࡃࡊࡃࡁࡀ࡞,ࡁࡊࡍࡅࡔࡉࡀ ࡄࡅ ࡀࡌࡓ ࡎࡂࡉ ࡀࡁࡋ ࡐࡅࡌࡀ ࡐࡕࡉࡄࡀ ࡅࡋࡉࡁࡀ ࡎࡕࡉࡌࡀ࡞,ࡋࡀ ࡕࡎࡌࡅࡊ ࡏࡋ ࡓࡏࡉࡍࡄ ࡌࡈࡅࡋ ࡃࡐࡅࡌࡀ ࡐࡕࡉࡄࡀ ࡅࡋࡉࡁࡀ ࡎࡕࡉࡌࡀ࡞
ࡏࡉࡍࡀ ࡁࡍࡄࡅࡓࡀ,Prepositional idiom: body-part noun + b- locative abstract noun; functions adverbially with seeing or judging verbs.,Clear discernment; the ability to judge a matter without confusion.,ࡄࡅ ࡇࡆࡀ ࡌࡍࡃࡀ ࡁࡎࡁࡅࡕࡀ ࡅࡁࡊࡅࡔࡈࡀ࡞,B2,teaching; legal reasoning; spiritual interpretation; advice,literary; respectful; instructive,Uses the Mandaean contrast of light and darkness as a metaphor for knowledge and confusion.,/ˈʕeːna bənəˈhuːra/,ࡓࡁࡉ ࡇࡆࡀ ࡁࡏࡉࡍࡀ ࡁࡍࡄࡅࡓࡀ ࡅࡐࡓࡔ ࡋࡍ ࡀࡅࡓࡇࡀ࡞,ࡊࡃ ࡍࡐࡋ ࡏࡌࡋࡀ ࡋࡀ ࡍࡈࡏࡀ ࡄࡅ ࡁࡏࡉࡍࡀ ࡁࡍࡄࡅࡓࡀ࡞,ࡁࡕࡓ ࡌࡋࡕࡀ ࡃࡄࡅ ࡏࡉࡍࡀ ࡁࡍࡄࡅࡓࡀ ࡀࡕࡀ ࡔࡋࡀࡌࡀ࡞
ࡉࡃࡀ ࡀࡓࡉࡊࡕࡀ,Noun-adjective idiom: feminine noun with attributive adjective; often an agentive metaphor for reach or influence.,A person or institution whose influence reaches far beyond the immediate scene.,ࡄࡅ ࡔࡋࡉࡈ ࡁࡎࡂࡉ ࡀࡍࡔࡀ ࡅࡁࡁࡕࡉࡀ࡞,B2,workplace; politics; patronage; legal pressure; social hierarchy,colloquial-formal; cautious; sometimes critical,"Long-hand imagery is shared across Aramaic and wider Near Eastern metaphor, adapted here to social authority.",/ˈiːda ʔaˈriːxta/,ࡉࡃࡀ ࡀࡓࡉࡊࡕࡀ ࡃࡌࡀࡓࡀ ࡌࡈࡀࡕ ࡋࡔࡅࡒࡀ ࡓࡄࡉࡒࡀ࡞,ࡁࡐࡋࡂࡀ ࡃࡃࡉࡍࡀ ࡉࡃࡀ ࡀࡓࡉࡊࡕࡀ ࡋࡀ ࡌࡕࡊࡎࡉࡀ࡞,ࡀࡍࡔࡀ ࡃࡂࡓࡁࡉࡀ ࡀࡌࡓࡉࡍ ࡃࡉࡃࡄ ࡀࡓࡉࡊࡕࡀ ࡁࡊࡋ ࡀࡕࡓࡀ࡞
ࡋࡉࡔࡀࡍࡀ ࡃࡕࡓࡉࡍ,Construct noun phrase with numeral complement; fixed evaluative label for duplicity in speech.,Double-tongued behavior; saying one thing to one person and another elsewhere.,ࡄࡅ ࡀࡌࡓ ࡄࡃࡀ ࡋࡄࡀࡍࡀ ࡅࡀࡄࡓࡉࡕࡀ ࡋࡀࡄࡓࡍࡀ࡞,B2,gossip; politics; negotiations; moral instruction; communal discipline,colloquial; accusatory; negative,Speech ethics are prominent in Mandaean religious communities; the idiom casts deceit as a divided tongue.,/liˈʃaːna dətˈreːn/,ࡋࡉࡔࡀࡍࡀ ࡃࡕࡓࡉࡍ ࡋࡀ ࡏࡀࡁࡃ ࡔࡋࡀࡌࡀ ࡁࡊࡍࡅࡔࡉࡀ࡞,ࡄࡉ ࡔࡌࡀࡕ ࡋࡉࡔࡀࡍࡀ ࡃࡕࡓࡉࡍ ࡅࡀࡆࡋࡕ ࡌࡍ ࡕࡌࡍࡀ࡞,ࡂࡁࡓࡀ ࡃࡋࡉࡔࡀࡍࡀ ࡃࡕࡓࡉࡍ ࡌࡐࡋࡂ ࡓࡄࡌࡀ ࡁࡉࡍ ࡀࡄࡉࡀ࡞
ࡌࡉࡀ ࡃࡄࡉࡉࡀ ࡁࡐࡅࡌࡀ,Construct phrase plus locative prepositional phrase; metaphorical predicate for healing speech.,"Words that revive, console, or give courage; speech that feels life-giving.",ࡌࡋࡕࡄ ࡌࡁࡉࡀ ࡍࡉࡄࡕࡀ ࡅࡓࡄࡌࡀ࡞,C1,mourning; pastoral care; healing; ritual language; poetic praise,poetic; tender; elevated,"Living water is a central Mandaean ritual and cosmological image, here transferred to speech.",/ˈmiːa dəˈhijjɑː bəˈpuːma/,ࡌࡉࡀ ࡃࡄࡉࡉࡀ ࡁࡐࡅࡌࡄ ࡃࡓࡁࡉ ࡊࡃ ࡄࡅ ࡌࡍࡄࡓ ࡋࡉࡕࡌࡀ࡞,ࡁࡔࡅࡒࡀ ࡃࡏࡂࡌࡀ ࡀࡕࡀ ࡌࡉࡀ ࡃࡄࡉࡉࡀ ࡁࡐࡅࡌࡀ ࡅࡎࡁࡓ ࡋࡉࡁࡀ࡞,ࡀࡌࡀ ࡐࡉࡎࡕ ࡋࡁࡓࡄ ࡌࡉࡀ ࡃࡄࡉࡉࡀ ࡁࡐࡅࡌࡀ ࡁࡉࡅࡌࡀ ࡃࡃࡉࡍࡀ࡞
ࡓࡅࡄࡀ ࡕࡁࡀ ࡁࡁࡉࡕࡀ,Noun-adjective phrase with locative b- complement; household-atmosphere idiom.,"A peaceful, kind, and safe atmosphere in a home or gathering.",ࡁࡉࡕࡀ ࡔࡋࡉࡀ ࡅࡓࡄࡌࡀ ࡀࡉࡕ ࡁࡄ࡞,A2,home life; hospitality; family reconciliation; communal meals,colloquial; affectionate; positive,"Links ruha, breath/spirit, with domestic harmony; suited to everyday blessing-like speech.",/ˈruːha ˈtɑːba bəbˈiːta/,ࡓࡅࡄࡀ ࡕࡁࡀ ࡁࡁࡉࡕࡀ ࡊࡃ ࡀࡁࡀ ࡅࡀࡌࡀ ࡌࡌࡋࡋࡉࡍ ࡁࡔࡋࡀࡌࡀ࡞,ࡌࡍ ࡒࡋࡀ ࡃࡕࡉࡁࡀ ࡀࡕࡕ ࡓࡅࡄࡀ ࡕࡁࡀ ࡁࡁࡉࡕࡀ࡞,ࡄࡁ ࡋࡉ ࡀࡂࡓࡕࡀ ࡓࡊࡉࡊࡕࡀ ࡃࡓࡅࡄࡀ ࡕࡁࡀ ࡁࡁࡉࡕࡀ࡞
ࡓࡉࡔࡀ ࡁࡍࡄࡅࡓࡀ ࡅࡓࡂࡋࡀ ࡁࡀࡓࡏࡀ,"Balanced coordinate metaphor: body-part noun + locative abstract noun, joined to feet + locative earth phrase.",Visionary but practical; wise enough to understand ideals and grounded enough to act.,ࡄࡅ ࡇࡊࡉࡌ ࡅࡋࡀ ࡐࡓࡉࡔ ࡌࡍ ࡏࡁࡃࡀ࡞,C1,leadership; teaching; planning; scholarship; community administration,literary; admiring; reflective,"Combines light symbolism with earth-grounded pragmatism, a productive didactic pattern in Semitic moral style.",/ˈriːʃa bənəˈhuːra uragˈla bəʔarˈʕa/,ࡓࡉࡔࡀ ࡁࡍࡄࡅࡓࡀ ࡅࡓࡂࡋࡀ ࡁࡀࡓࡏࡀ ࡀࡉࡕ ࡋࡓࡁࡉ ࡃࡉࡃࡏ ࡔࡅࡀࡋࡀ࡞,ࡌࡀࡓࡀ ࡃࡏࡁࡃࡀ ࡒࡁࡋ ࡁࡇࡊࡌࡕࡀ ࡓࡉࡔࡀ ࡁࡍࡄࡅࡓࡀ ࡅࡓࡂࡋࡀ ࡁࡀࡓࡏࡀ࡞,ࡋࡀ ࡎࡀࡂࡉ ࡇࡋࡌࡀ ࡁࡋࡄࡅࡃ ࡄࡅ ࡁࡀ ࡓࡉࡔࡀ ࡁࡍࡄࡅࡓࡀ ࡅࡓࡂࡋࡀ ࡁࡀࡓࡏࡀ࡞
ࡒࡋࡀ ࡃࡄࡉࡉࡀ,Construct-state nominal phrase; often functions as metaphorical subject or object of hearing and proclamation.,A life-giving message; guidance that awakens hope or moral courage.,ࡌࡋࡕࡀ ࡃࡌࡄࡉࡀ ࡅࡌࡓࡉࡌࡀ ࡋࡍࡉࡔࡉࡌࡕࡀ࡞,B2,ritual instruction; public encouragement; teaching; ethical exhortation,elevated; reverent; encouraging,"Rooted in Mandaean reverence for life-language, where sound, call, and instruction can mark spiritual orientation.",/ˈqɑːla dəˈhijjɑː/,ࡁࡐࡅࡋࡄࡀ ࡃࡄࡔࡅࡊࡀ ࡔࡌࡏࡍ ࡒࡋࡀ ࡃࡄࡉࡉࡀ࡞,ࡓࡁࡉ ࡀࡌࡓ ࡒࡋࡀ ࡃࡄࡉࡉࡀ ࡅࡀࡍࡔࡀ ࡒࡉࡌࡅ ࡓࡉࡔࡉࡄࡅࡍ࡞,ࡋࡀ ࡄࡅࡀ ࡒࡋࡀ ࡃࡃࡉࡍࡀ ࡀࡋࡀ ࡒࡋࡀ ࡃࡄࡉࡉࡀ ࡋࡐࡉࡎࡀ࡞
ࡍࡅࡍࡀ ࡁࡉࡀࡓࡃࡍࡀ,Noun plus locative b- phrase; humorous comparison idiom with animal and sacred-river imagery.,A person fully at home in a task or place; naturally skilled and comfortable.,ࡄࡅ ࡁࡀࡕࡓࡄ ࡅࡁࡏࡁࡃࡄ ࡓࡕࡉࡄࡀ࡞,B1,craft skills; ritual competence; classroom praise; humor; family talk,colloquial; humorous; approving,"Uses fish and Jordan imagery, resonant with Mandaean water rites and riverine cultural memory.",/ˈnuːna bəjarˈdna/,ࡁࡉࡕ ࡎࡐࡓࡀ ࡂࡒࡓ ࡋࡄ ࡊࡍࡅࡍࡀ ࡁࡉࡀࡓࡃࡍࡀ࡞,ࡊࡃ ࡔࡀࡋ ࡏࡋ ࡌࡉࡀ ࡀࡌࡓࡅ ࡄࡅ ࡍࡅࡍࡀ ࡁࡉࡀࡓࡃࡍࡀ࡞,ࡁࡊࡍࡅࡔࡉࡀ ࡃࡍࡀࡑࡅࡓࡀࡉࡀ ࡄࡉ ࡄࡅࡕ ࡍࡅࡍࡀ ࡁࡉࡀࡓࡃࡍࡀ࡞
