Idiom (Dholuo),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dholuo)",First Example Sentence,Second Example Sentence,Third Example Sentence
Chiengʼ nyalo podho piny,Declarative fixed clause; modal verb 'nyalo' + infinitive verb; metaphorical subject construction,Time reveals hidden truths or eventually exposes wrongdoing,Wach ma opando ochopo e ler bangʼe,C1,"Politics, family disputes, leadership conflicts, moral discussions","Proverbial, reflective, cautionary",Rooted in agrarian worldview where daylight exposes what darkness hides; common among elders in Nyanza,[t͡ʃièŋ ɲàlɔ̀ pòðò pìɲ],"Chiengʼ nyalo podho piny, koro wabiro ngʼeyo ngʼa ma ne owacho adiera.",Ok icham gi dwaro mar piny; chiengʼ nyalo podho piny bangʼe.,"Ne gichako loko weche e piny, to chiengʼ nyalo podho piny e ndalo machiegni."
Ngʼato ok nyal pimo pi gi lwet achiel,Negative declarative clause; modal verb + infinitive; instrumental phrase,One person cannot accomplish everything alone,Ngʼato achiel ok nyal timo duto ka onge kony,B2,"Workplace, community mobilization, family planning","Didactic, communal, advisory",Reflects communal labor traditions like harambee and cooperative fishing practices,[ŋàtɔ̀ ɔ̀k ɲàl pìmò pì gí lwɛ̀t àt͡ʃíɛ̀l],Wach mar puothe omiyo waneno ni ngʼato ok nyal pimo pi gi lwet achiel.,"Ka idwaro teko maduongʼ, par ni ngʼato ok nyal pimo pi gi lwet achiel.",Jo ma otimo tich gi achiel ka achiel puonjore ni ngʼato ok nyal pimo pi gi lwet achiel.
Dwaro ok en gi wadu,Nominal clause; contrastive structure; copular omission typical in Dholuo,Desire does not guarantee entitlement or inheritance,Dwaro mari ok nyal miyo iwinjo ni en mari,C2,"Inheritance disputes, satire, political commentary","Ironic, sarcastic",Used in land and succession debates in Luo clans where entitlement is lineage-based,[dwárɔ̀ ɔ̀k ɛ́n gí wádù],"Ne odwaro lowo mar wuon gi, to jo dongo owacho ni dwaro ok en gi wadu.","Kata ka icham gima ngʼato moko timo, dwaro ok en gi wadu.","Ka jo ma wuoyo matek paroni, dwaro ok en gi wadu ema ibiro winjo."
Yath mar athi ok nyal kelo pi,Negative declarative metaphor; noun phrase subject + modal verb,A dry tree cannot produce water; an incapable person cannot deliver results,Ngʼato ma onge teko ok nyal miyo gima idwaro,B2,"Leadership critique, workplace evaluation","Metaphorical, critical",Derived from rural ecological knowledge of seasonal drought in Luo regions,[jàt̪ʰ mār àt̪ʰí ɔ̀k ɲàl kélò pì],Gik ma wan gi e ofis nyisore ni yath mar athi ok nyal kelo pi.,"Ne ochopo mondo otim tich maduongʼ, to yath mar athi ok nyal kelo pi.","Ka irito ngʼato ma onge rieko, yath mar athi ok nyal kelo pi."
Wuod gi wuod ok nyal bedo gi piny achiel,Negative declarative clause; possessive construction; kinship metaphor,Two strong leaders cannot share authority peacefully,Jo ariyo ma gin gi teko ok nyal bedo e kar achiel gi konyruok maber,C1,"Politics, family leadership rivalry","Proverbial, political",Common in clan leadership struggles and local chieftain narratives,[wùɔ̀d̪ gí wùɔ̀d̪ ɔ̀k ɲàl bɛ̀dɔ̀ gí pìɲ àt͡ʃíɛ̀l],E siasa waneno ni wuod gi wuod ok nyal bedo gi piny achiel.,"Ka jodongo ariyo paro ni gin duto gin gi teko, wuod gi wuod ok nyal bedo gi piny achiel.",Puonj ni wuod gi wuod ok nyal bedo gi piny achiel omiyo ginyalo yiero jachungʼ achiel.
Otero dhako e piny mar dho,Verb phrase idiom; transitive verb + locative phrase,To expose someone to public embarrassment,Osekel ngʼato e wichkuot mar oganda,C1,"Gossip, social disputes, satire","Colloquial, humorous, mildly sarcastic",Linked to communal assemblies where disputes were aired publicly,[òt̪érɔ̀ ðákɔ̀ ɛ̀ pìɲ mār ðó],Ne ok dwarore otero dhako e piny mar dho nikech wachno ne nyalo dhi e piny maber.,"Ka iluongo ngʼato e baraza mondo ilos wachne, otero dhako e piny mar dho ema itimo.",Omondo gin yud yiero ka onge otero dhako e piny mar dho.
Chuny gi wangʼ ok nyal wuok e yore ariyo,Compound clause; coordinated noun subjects; modal negation,One cannot emotionally commit to two conflicting sides,Ngʼato ok nyal yiero gik ariyo ma opogore e kare achiel,C2,"Romantic relationships, political loyalty, moral discourse","Poetic, reflective",Frequently used in courtship songs and modern political speeches,[t͡ʃúɲ gí wàŋ ɔ̀k ɲàl wùɔ̀k ɛ̀ jɔ̀rɛ̀ àríjɔ̀],"Ne gin gi chuny gi wangʼ e kar ariyo, to chuny gi wangʼ ok nyal wuok e yore ariyo.","Ka iparo yiero ariyo, par ni chuny gi wangʼ ok nyal wuok e yore ariyo.",Wach mar hera nyiso ni chuny gi wangʼ ok nyal wuok e yore ariyo.
Lwet ma ok otemo ok nyal ngʼeyo ber mar pi,Relative clause structure; negative participial modifier,Experience is necessary to understand value,Ngʼato ma ok osebedo gi tich ok nyal ngʼeyo berne,B1,"Education, mentorship, youth advice","Advisory, instructive",Emerges from fishing and farming practices requiring hands-on labor,[lwɛ̀t̪ mā ɔ̀k ɔ̀t̪émɔ̀ ɔ̀k ɲàl ŋéjɔ̀ bɛ̀r mār pì],Puonjore ni lwet ma ok otemo ok nyal ngʼeyo ber mar pi.,Nyithindo manyien puonjore ni lwet ma ok otemo ok nyal ngʼeyo ber mar pi.,"Ka itiyo ka itiyo, ibiro ngʼeyo ni lwet ma ok otemo ok nyal ngʼeyo ber mar pi."
Wangʼ ma ler ok luwo mudho,Relative clause idiom; adjectival modifier; negative verb,A clear conscience does not fear scrutiny,Ngʼato ma ok timo rach ok luoro penjo,B2,"Legal defense, moral teaching, sermons","Formal, moralizing",Often cited in church sermons across Luo-speaking regions,[wàŋ mā lɛ́r ɔ̀k lwɔ̀ mùðɔ̀],Ne owinjo penjo mangʼeny to wangʼ ma ler ok luwo mudho.,"Ka icham ni isetimo maber, wangʼ ma ler ok luwo mudho.","E ot mar ngima, wangʼ ma ler ok luwo mudho ema puonj."
Pi ma ochungʼ ok nyal doko nam,Relative clause metaphor; stative verb; negative modal,Stagnation prevents growth or progress,Ngʼato ma ok nyalo medruok ok nyal doko maduongʼ,B2,"Youth mentorship, entrepreneurship, motivation speeches","Motivational, metaphorical",Draws from Lake Victoria imagery where flowing water symbolizes vitality,[pì mā ɔ̀t͡ʃúŋ ɔ̀k ɲàl dɔ̀kɔ̀ nàm],Japuonj owacho ni pi ma ochungʼ ok nyal doko nam ka ne opuonjo jothurwa.,"Ka idwaro medruok e tich, par ni pi ma ochungʼ ok nyal doko nam.",Oganda ma ok loyo yore manyien ni pi ma ochungʼ ok nyal doko nam.
