Idiom (Waiká),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Waiká)",First Example Sentence,Second Example Sentence,Third Example Sentence
Wita toká náru no fogo,"Fixed clause, transitive construction",To face danger bravely or take a bold risk.,To confront a difficult situation directly.,C1,"Courage, leadership, politics, storytelling","Colloquial, heroic, poetic",Derived from fire-rite initiation among Waiká elders symbolizing bravery.,/ˈwi.ta toˈka ˈna.ɾu no ˈfo.ɡo/,Naíru toká náru no fogo quando defendeu o povo.,Toaná wita náru no fogo sem medo de cair.,Niara wakí náru no fogo por justiça e honra.
Niara waka no vento,Fixed prepositional phrase,To act carelessly or without purpose.,To behave without thinking.,B2,"Daily speech, humor, advice","Colloquial, ironic",Comes from forest folk sayings referring to leaves scattered by the wind.,/ˈni.a.ɾa ˈwa.ka no ˈvẽ.to/,Niara waka no vento sem pensar no amanhã.,Wita wakí waka no vento como folha perdida.,"Toaná disse: 'Não waka no vento, Niara!'"
Tokaná kea solto como rio,"Simile construction, adjective + comparative clause",To be free-spirited and independent.,To act without restrictions.,B1,"Youth culture, music, friendship","Poetic, informal","Refers to the natural flow of Amazonian rivers, symbolizing freedom.",/to.kaˈna ke.a ˈsol.to ˈko.mo ˈʁi.o/,Tokaná vive solto como rio nas aldeias.,Wita sente-se solto como rio sob o sol.,"Niara canta solto como rio, livre e forte."
Naíru come vento e deixa rastro,"Compound idiomatic clause, transitive + intransitive sequence",To act quickly and leave an impression.,To move fast and be remembered.,C1,"Storytelling, oral tradition, admiration","Literary, poetic, folkloric",Originates from tales of forest hunters who move with the wind.,/naˈi.ɾu ˈko.me ˈvẽ.to e ˈdej.ʃa ˈʁas.tɾo/,Naíru come vento e deixa rastro na aldeia.,Wita corre como vento e deixa história.,Niara fala de quem come vento e marca o chão.
Wita dorme com olhos do peixe,Metaphoric fixed clause,To sleep lightly or stay alert while resting.,To rest while staying watchful.,B2,"Family, humor, safety, daily life","Colloquial, humorous","Refers to river life, where fish never fully close their eyes.",/ˈwi.ta ˈdoɾ.me kõ ˈo.ʎus du ˈpej.ʃi/,Wita dorme com olhos do peixe desde criança.,Niara riu: 'Eu também durmo com olhos do peixe!',"Toaná vigia, dormindo com olhos do peixe."
Niara vende sombra ao sol,"Metaphoric clause, active transitive",To deceive or trick someone cleverly.,To lie or mislead for advantage.,C2,"Politics, sarcasm, negotiation","Ironic, critical, formal",Used by elders to describe cunning merchants.,/ˈni.a.ɾa ˈvẽ.de ˈsõ.bɾa aw ˈsɔw/,Niara vende sombra ao sol e todos acreditam.,Toaná disse: 'Ele vende sombra ao sol e sorri.',Wita aprendeu a não comprar sombra ao sol.
Toaná caça silêncio no mato,Transitive clause with figurative object,To seek inner peace or solitude.,To meditate or find calm.,B2,"Spirituality, reflection, literature","Poetic, introspective",Inspired by shamans who retreat into the forest for reflection.,/to.aˈna ˈka.sa siˈlẽ.sju nu ˈma.tu/,Toaná caça silêncio no mato ao entardecer.,Niara disse: 'Preciso caçar silêncio no mato hoje.',Wita encontrou paz quando caçou silêncio no mato.
Nairu planta sombra em chão seco,Complex metaphorical clause,To attempt something impossible or unrealistic.,To pursue an unattainable goal.,C1,"Cautionary tales, irony, wisdom","Philosophical, ironic",Refers to futile agricultural practices during drought seasons.,/naˈi.ɾu ˈplã.ta ˈsõ.bɾa ẽ ˈʃãw ˈse.ku/,Nairu planta sombra em chão seco e sonha alto.,"Niara disse: 'Não plante sombra em chão seco, irmão.'",Toaná riu: 'Planta sombra e colhe vento.'
Wita bebe lua no rio,Metaphoric reflexive imagery,To dream or imagine beyond reality.,To be a dreamer or idealist.,B1,"Romance, art, storytelling","Poetic, romantic",Rooted in poetic songs comparing reflection of the moon to hope.,/ˈwi.ta ˈbe.be ˈlu.a nu ˈʁi.o/,Wita bebe lua no rio toda noite.,Niara sussurrou: 'Bebo lua no rio também.',Toaná canta: 'Quem bebe lua no rio sonha leve.'
Niara troca sombra por espinho,Metaphoric trade clause,To make a bad deal or wrong choice.,To choose poorly or lose by mistake.,B2,"Economy, daily life, humor","Ironic, colloquial",Originates from trade idioms in Amazonian villages.,/ˈni.a.ɾa ˈtɾo.ka ˈsõ.bɾa poɾ esˈpi.ɲu/,Niara troca sombra por espinho e se arrepende.,"Toaná avisou: 'Não troque sombra por espinho, amigo.'",Wita aprendeu após trocar sombra por espinho.
