Idiom (Chamorro),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Chamorro)",First Example Sentence,Second Example Sentence,Third Example Sentence
Chåda' guihan gi tasi,Verb phrase (intransitive verb + object complement); metaphorical action clause,To waste time or effort on something pointless or unattainable,Ma'na'nao i tiempo gi manmalågu' na cho'cho' ni ti mafa'tinas,B2,"Daily speech, humor, mild criticism","Colloquial, ironic",Fishing culture metaphor; reflects island livelihood where effort at sea must be purposeful,[ˈtʃaðaʔ ˈɡihan ɡi ˈtasi],Mungnga chåda' guihan gi tasi; cho'gue i che'cho'-mu ni maolek.,Ha chåda' guihan gi tasi anai ha tutuhon i proyekto ni ti para u mafa'tinas.,"Kao un chåda' guihan gi tasi esta, pat un li'e i rason?"
Baila gi lina'la',Verb phrase with prepositional complement; dynamic metaphor,To adapt flexibly to life’s changing circumstances,Ma adapta i taotao gi situasion siha gi lina'la'.,B1,"Family advice, motivational speech","Poetic, encouraging",Rooted in communal dance traditions symbolizing harmony and resilience,[ˈbajla ɡi ˈlinaʔlaʔ],Debi di un baila gi lina'la' maski guaha na pakpak i tiempo.,I manåmko' ma nisisita un baila gi lina'la' para u fanmaolek.,Ha baila gi lina'la' i familian-ña gi tiempo ni guaha pinatgon.
Ha chule' i onra,Transitive verb clause (ha + verb + direct object),To take responsibility or uphold family honor,Ha asumí responsibilidad yan reputasion.,C1,"Politics, family discourse, community leadership","Formal, honorable",Chamorro value of inafa'maolek and family honor in clan-based society,[ha ˈtʃuleʔ i ˈonra],Ha chule' i onra gi finakpo' i asuntu ni ma diskuti.,I lider ha chule' i onra para i komunidad.,Debi di un chule' i onra anai ma tungo' i che'cho'-mu.
Månnok gi halom kurason,Nominal metaphor phrase (noun + prepositional phrase),A deeply felt fear or anxiety,Guaha na dangkolo na mahålang gi kurason.,B2,"Literature, emotional discourse","Poetic, expressive",Imagery of trapped animal symbolizing emotional turmoil,[ˈmɐnːok ɡi ˈhalom kuɾaˈson],Guaha månnok gi halom kurason anai hu hungok i noticia.,Ha na'guaha månnok gi halom kurason i situasion.,Ti hu malågu' na guaha månnok gi halom kurason gi patgon.
Ti ha li'e i tiningo',Negative verb clause (ti + ha + verb + object),To ignore obvious wisdom or advice,Ha ignora i konsehu ni klaru.,B1,"Parenting, teaching, mild reprimand","Colloquial, admonishing",Emphasizes respect for elders’ knowledge,[ti ha ˈliʔe i tiniˈŋoʔ],Ti ha li'e i tiningo' maski ma na'fanmanman gue'.,Kao un ti ha li'e i tiningo' ni ma na'guaha?,Ha ti ha li'e i tiningo' i patgon ni ma adahi.
Mungnga na'gasgas i fino'-mu,Negative imperative clause,Do not speak carelessly or disrespectfully,Komprende i fino'-mu antes un håfa na sinangan.,A2,"Family correction, discipline","Colloquial, corrective",Reflects Chamorro emphasis on respectful speech,[muŋˈŋa naʔˈɡasɡas i fiˈnoʔmu],Mungnga na'gasgas i fino'-mu gi me'nan i manåmko'.,Ma sangåni gue' na mungnga na'gasgas i fino'-ña.,Un hungok na mungnga na'gasgas i fino'-mu anai guaha bisita.
Ha tåya' i hinengge,Transitive verb clause (ha + verb + object),To lack clear thinking or good judgment,Ti klaru i desision ni ha cho'gue.,B2,"Political commentary, debate","Critical, evaluative",Hinengge (mind/thought) central to Chamorro worldview,[ha ˈtajaʔ i hineŋˈɡe],Ha tåya' i hinengge anai ha cho'gue este na desision.,Ma tungo' na ha tåya' i hinengge gi miting.,Kao ha tåya' i hinengge pat guaha otro na rason?
Guaha lina'la' gi palengke,Existential clause (guaha + noun + prepositional phrase),Life is lively and dynamic in public spaces,Mañåguaha i aktibidåt siha gi lugåt ni manma'åse'.,B1,"Cultural description, tourism, narrative writing","Descriptive, lively",Reference to traditional marketplaces as social hubs,[ˈɡwaha linaʔˈlaʔ ɡi paleŋˈke],Guaha lina'la' gi palengke gi Sabadu gi aga'.,Maolek na guaha lina'la' gi palengke ni manhånao i familian-ta.,Un li'e na guaha lina'la' gi palengke anai manma'åse'.
Ha nå'e tåno' i manåmko',Transitive verb clause with indirect object,To respect and honor the elders’ authority,Ha rispetu i manåmko' yan i autoridåt-da.,C1,"Ceremonial speech, cultural teaching","Formal, reverent",Land (tåno') symbolizing dignity and ancestral authority,[ha ˈnɔʔe ˈtanoʔ i mɐˈnɑmkoʔ],Ha nå'e tåno' i manåmko' gi finakpo' i gima'.,Debi di u nå'e tåno' i manåmko' i todu patgon.,Ma sangåni ham na ha nå'e tåno' i manåmko' gi okkasion.
Mata na'langet,Descriptive noun phrase (noun + adjective metaphor),"An intense, piercing glare expressing anger or judgment",Ha li'e ni dangkolo na binisita gi mata.,B2,"Storytelling, humor, family discourse","Expressive, humorous or serious depending on tone",Langet (sky/heaven) metaphorically heightens emotional intensity,[ˈmata naʔˈlaŋet],Ha na'guaha mata na'langet anai ma disgrasya i asuntu.,Hu hungok i mata na'langet gi che'lu-hu anai hu håfa.,Kao un li'e i mata na'langet ni ha nå'e gue'?
