Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Akamwa k’omuntu kamurya.,Fixed declarative clause; noun class 12 subject 'akamwa' + genitive construction + object marker -mu- + verb root -rya (present habitual).,A person’s own words can cause them harm.,Ebigambo by’omuntu bishobora kumuteera obuzibu.,B2,"Daily speech, moral advice, politics, family disputes.","Proverbial, cautionary, neutral.",Rooted in Kiga oral advisory traditions where elders warned youth about reckless speech in clan meetings.,/akamwa kɔmʊntu kamurja/,"Yamugambire nabi omu lukiiko, baitu akamwa k’omuntu kamurya.","Okwesiga ebigambo eby’enshonga zitari zo nikyo, akamwa k’omuntu kamurya.",Abantu abavuga munonga batamanya ngu akamwa k’omuntu kamurya.
Akaboko kamwe tekatera nkuba.,Negative declarative clause; noun class 12 subject + negative marker te- + verb -tera + object 'nkuba'.,One person alone cannot accomplish big tasks.,Omuntu omwe tasobora kukora ekintu kinene wenka.,B1,"Community work, leadership, teamwork encouragement.","Collective, motivational.",Linked to communal farming practices in Kigezi where cooperation ensured harvest success.,/akabɔkɔ kamwe tekatera ŋkuba/,"Tukwatanise omu murimo, akaboko kamwe tekatera nkuba.",Omu kyaro kyaitu tumanya ngu akaboko kamwe tekatera nkuba.,Abashomesa barabwira abana bati akaboko kamwe tekatera nkuba.
Obworo tibwica nfu.,Negative clause; abstract noun class 14 subject + negative marker ti- + verb -ica + object 'nfu'.,Poverty does not kill; resilience matters more.,Obworo tiburugaamu kufa butazira amaani g’omutima.,B2,"Encouragement during hardship, sermons, motivational talks.","Encouraging, proverbial.",Common in post-colonial Kigezi narratives emphasizing endurance during economic struggle.,/ɔbwɔrɔ tibwica nfu/,"N’obu tutari n’ebingi, obworo tibwica nfu.",Nyoko ahora abwira abana ngu obworo tibwica nfu.,Yasingwire ebizibu byona n’akumanya ngu obworo tibwica nfu.
Omutima omubi tigurora kisa.,Negative declarative clause; noun class 3 subject + negative marker ti- + verb -rora + object 'kisa'.,A wicked heart cannot recognize kindness.,Omuntu omubi tasobora kubona obulungi omu bantu.,C1,"Conflict resolution, religious discourse, moral commentary.","Moralizing, serious.",Embedded in church teachings and clan-based moral instruction.,/ɔmutima omubi tiɡurora kisa/,Yamukoreire ebirungi byingi baitu omutima omubi tigurora kisa.,"Abantu bamwe tibashimira, omutima omubi tigurora kisa.","N’obu wamufasha, omutima omubi tigurora kisa."
Akati k’omuto tikarenga orugo.,Negative clause; noun class 12 subject + negative marker ti- + verb -renga + locative object.,A child’s authority does not surpass elders.,Omuto tasobora kurenga abakuru omu by’okucwamu.,B2,"Family hierarchy, discipline, cultural education.","Advisory, traditional.",Rooted in clan governance structures valuing elder authority.,/akati kɔmɔto tikarenga oruɡo/,Abazaire bamurabura bati akati k’omuto tikarenga orugo.,"Omutabani yateera empaka, bamwibutsa ngu akati k’omuto tikarenga orugo.","Mu maka gaitu, akati k’omuto tikarenga orugo."
Ente niyo etwara obugyenyi.,Relative emphasis structure; noun class 9 subject + emphatic particle 'niyo' + verb -twara + abstract object.,Wealth facilitates social relationships and hospitality.,Eby’obugaiga nibyo bisobozesa abantu kugyenyerwa.,C1,"Marriage negotiations, social commentary, humor.","Ironic, reflective.",Historically tied to bride price traditions involving cattle in Kigezi.,/ente nijo etwara obuɡjeɲi/,"Omukwe yaletere ente nyingi, twamanya ngu ente niyo etwara obugyenyi.","Abantu bamwesiga ahabw’obugaiga bwe, ente niyo etwara obugyenyi.","Mu birori eby’obufumbo, ente niyo etwara obugyenyi."
Akanyoni katambuka n’ekishwi.,Declarative clause; noun class 12 subject + verb -tambuka + instrumental phrase.,People act according to their nature or upbringing.,Omuntu akora ebintu nk’oku arereirwe.,B2,"Parenting, character description, literature.","Poetic, descriptive.",Derived from agrarian bird imagery common in Kiga folklore.,/akaɲoni katambuka nekisʰwi/,"Omutabani arikukora nk’ishe, akanyoni katambuka n’ekishwi.","Tibyetangaza, akanyoni katambuka n’ekishwi.","Yarereirwe omu maka ag’omutima mwiza, akanyoni katambuka n’ekishwi."
Ebyo ebitaramire nibyo biramwa.,Relative clause with demonstrative pronoun + copulative structure.,Unresolved matters eventually demand attention.,Ebintu ebitaheirweho biragaruka kandi bisaba kushembererwa.,C2,"Politics, governance, long-term planning.","Serious, reflective.",Used in post-conflict reconciliation discourse in southwestern Uganda.,/ebjo ebitaramire nibjo biramwa/,"Obuteekateeka butari bulungi, ebyo ebitaramire nibyo biramwa.","Yareka ensonga etarashobororwa, ebyo ebitaramire nibyo biramwa.","Mu byobufuzi, ebyo ebitaramire nibyo biramwa."
Omwana takurira omu nju emwe.,Negative clause; noun class 1 subject + negative marker ta- + verb -kurira + locative phrase.,Child upbringing requires community involvement.,Okurera omwana nikisaba abantu bangi.,B1,"Parenting, social work, education.","Traditional, advisory.",Reflects communal child-rearing norms in Kigezi villages.,/ɔmwana takurira omu nju emwe/,Abazaire bagume nibamanya ngu omwana takurira omu nju emwe.,"Mu kyaro kyaitu, omwana takurira omu nju emwe.",Abashomesa bafasha abazaire ahabw’okumanya ngu omwana takurira omu nju emwe.
Owa leero taba owa nyencakye.,Contrastive temporal clause; noun class 1 subject + negative marker ta- + copulative omission.,Today’s situation may not remain the same tomorrow.,Ebiriho hati bishobora kuhinduka nyencakye.,B2,"Encouragement, warning, political discourse.","Reflective, cautionary.",Popular in contemporary socio-political commentary in Kigezi.,/owa leːro taba owa ɲentʃakje/,"N’obu arikushobora munonga hati, owa leero taba owa nyencakye.","Tumutinya, owa leero taba owa nyencakye.",Abakuru bavuga bati owa leero taba owa nyencakye.
