Idiom (Russian),Syntactic Structure & Grammatical Form,Figurative Meaning (Russian),Non-Idiomatic Equivalent in Russian,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Russian)",First Example Sentence,Second Example Sentence,Third Example Sentence
как с гуся вода,Simile with prepositional phrase; fixed phrase structure,"На человека не действует критика, упрёки или неприятности.","Не обращает внимания, никак не реагирует.",B1,"daily speech, workplace, sarcasm","colloquial, ironic",Compares to how water slides off a goose's oily feathers; rural folk imagery.,[kak s ˈɡusʲə ˈvodə],Он только улыбался на обвинения — всё как с гуся вода.,"Руководство ругалось, а ему хоть бы что — как с гуся вода.",Критика на неё не действует: как с гуся вода.
вилами по воде писано,Instrumental phrase with passive verb form; poetic expression,"Что-то очень неопределённое, маловероятное.","Маловероятно, нет уверенности.",B2,"literature, politics, daily speech","neutral to poetic, skeptical",Rooted in poetic imagery; evokes the futility of writing on water.,[ˈvʲiləmʲɪ pə vɐˈdʲe ˈpʲisənə],Все эти обещания — вилами по воде писано.,Будущее с этим проектом — вилами по воде писано.,Что будет через год — вилами по воде писано.
хоть шаром покати,Imperative subjunctive with objectless construction; fixed expression,"Совершенно пусто, ничего нет.","Полностью пусто, ни одной вещи.",A2,"daily speech, humor, economy","colloquial, humorous",Folkloric origin; refers to the emptiness of a place where you can roll a ball.,[xotʲ ʂɐˈrom pɐkɐˈtʲi],В холодильнике хоть шаром покати.,После переезда в комнате хоть шаром покати.,В кошельке у него — хоть шаром покати.
держать камень за пазухой,Infinitive phrase with reflexive object; metaphorical expression,"Скрывать злобу или обиду, таить недоброжелательность.",Оставаться недовольным втайне.,C1,"literature, interpersonal conflict, politics","formal, poetic, accusatory",Biblical and medieval imagery; linked to concealed violence or treachery.,[dʲɪrˈʐatʲ ˈkamʲɪnʲ zə ˈpazuxəj],"Он улыбается, но, видно, камень за пазухой держит.",Не держи камень за пазухой — скажи прямо.,Они десятилетиями держали камень за пазухой.
не в своей тарелке,Negative particle + prepositional phrase; fixed idiom,"Чувствовать себя некомфортно, неловко.","Неуютно, не по себе.",B1,"daily speech, workplace, family","colloquial, empathetic",Possibly 19th-century metaphor; unclear etymology but widespread use.,[nʲe fsɐˈvʲej tɐˈrʲelkʲe],На новом месте он был не в своей тарелке.,После ссоры она выглядела не в своей тарелке.,Я чувствовал себя не в своей тарелке среди незнакомцев.
дело в шляпе,Nominal phrase with prepositional construction; fixed idiom,"Всё устроено, вопрос решён успешно.","Всё готово, завершено успешно.",B1,"daily speech, workplace, informal success","colloquial, celebratory","Originates from 19th-century bureaucratic slang: after a deal was approved, the document was placed in a hat.",[ˈdʲelə f ˈʂlʲapʲɪ],Получили визу — дело в шляпе!,"Сдал экзамен, теперь дело в шляпе.","Контракт подписан, можно сказать, дело в шляпе."
семь пятниц на неделе,Numerical phrase with genitive noun and prepositional phrase,Человек постоянно меняет своё мнение или планы.,"Непостоянен, всё время передумывает.",B2,"daily speech, humor, interpersonal critique","colloquial, sarcastic",Rooted in older calendar folklore; Friday was associated with transition and change.,[sʲemʲ ˈpʲatʲnʲɪts nɐ nʲɪˈdʲelʲɪ],У него семь пятниц на неделе — договориться невозможно.,"Сначала согласился, теперь передумал — семь пятниц на неделе.",С ней всё сложно: семь пятниц на неделе.
игра не стоит свеч,Negative declarative sentence with genitive object; metaphorical structure,Дело не оправдывает затраченные усилия.,"Не стоит усилий, невыгодно.",C1,"business, politics, formal evaluation","formal, analytical",French origin; refers to card games where cost of candles exceeded potential gain.,[ʲɪˈɡra nʲɪ ˈstojɪt svʲet͡ɕ],Мы всё подсчитали: игра не стоит свеч.,Так рисковать ради мелкой прибыли? Игра не стоит свеч.,Для такой нагрузки — игра не стоит свеч.
работать засучив рукава,Infinitive verb phrase with participial modifier,"Работать активно, с полной отдачей.",Работать усердно и энергично.,B2,"workplace, motivation, everyday life",neutral to motivational,Literal gesture of physical readiness for labor; Soviet industrial metaphors reinforced its idiomatic use.,[rɐˈbotətʲ zɐˈsut͡ɕɪf rʊkɐˈva],После отпуска команда работала засучив рукава.,"Пришлось работать засучив рукава, чтобы всё успеть.","Когда горит дедлайн, мы все работаем засучив рукава."
зарубить на носу,Perfective verb + prepositional object; imperative potential,"Хорошо запомнить, усвоить назидательно.","Запомнить навсегда, принять к сведению.",C2,"folk wisdom, authority, warning",archaic to commanding,From pre-modern Slavic custom of marking notches as mnemonic aid — not literal nose!,[zɐrʊˈbʲitʲ nɐ nɐˈsu],Заруби себе на носу: с долгами не шутят.,Учитель сказал: «зарубите на носу — списывать нельзя!»,Зарубите себе на носу: Петербург не прощает спешки.
