Idiom (Ukrainian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ukrainian)",First Example Sentence,Second Example Sentence,Third Example Sentence
дати гарбуза,фразеологізм з дієслівною формою у минулому часі,відмовити комусь у стосунках або пропозиції,відмовити,B1,"щоденне мовлення, стосунки, гумор","розмовний, іронічний",традиція відмовляти жениху гарбузом на сватанні,[ˈdatɛ ɦɐrˈbuzɑ],"Він запропонував їй одружитися, а вона дала йому гарбуза.",Не будь таким самовпевненим — ще гарбуза отримаєш.,Я їй вже вдруге гарбуза дала — не мій варіант.
як кіт наплакав,порівняльна конструкція,дуже мала кількість чогось,мало,A2,"побут, фінанси, їжа",розмовний,асоціація з дрібними сльозами кота,[jɑk kʲit nɐˈplɑkɑu̯],У холодильнику — як кіт наплакав.,На зарплату дали — як кіт наплакав.,"Їжі принесли — як кіт наплакав, а гостей повно."
вити вовком,дієслівна конструкція з тваринним образом,відчувати і виражати сильний біль або тугу,голосно плакати або страждати,C1,"література, емоційне висловлення","літературний, емоційний",образ вовка як символу самотності в народних піснях,[ˈwɪtɪ ˈvɔu̯kɔm],Вона вила вовком після тієї новини.,На похороні всі вили вовком.,"Коли він її втратив, то почав вити вовком."
ні риба ні м’ясо,заперечна іменникова конструкція,"щось невиразне, без характеру","невизначений, посередній",B2,"критика, мистецтво, особистість","саркастичний, розмовний",харчова метафора — щось несмачне і невиразне,[nʲi ˈrɪbɑ nʲi ˈmʲɑsɔ],Цей фільм — ні риба ні м’ясо.,Його доповідь — ні риба ні м’ясо.,"Твоя поведінка — ні риба ні м’ясо, визначись вже!"
кров з молоком,іменникова конструкція з порівнянням,"здоровий, рум’яний, привабливий",дуже здоровий/красива,A2,"побут, комплімент","поетичний, розмовний",опис рум’яного кольору обличчя,[krɔu̯z mɔˈlɔkɔm],Дівчина — кров з молоком!,Твоя донька — справжня кров з молоком.,"Наречена була — кров з молоком, усі заздрили."
всі шляхи ведуть до Риму,повнозначне твердження з означеним підметом,усі дії чи засоби ведуть до однієї мети,усі варіанти ведуть до однієї цілі,B2,"наука, політика, філософія","формальний, афористичний",з античного вислову про важливість Риму як центру світу,[wsʲi ʃlʲɑˈxɪ ˈwɛdutʲ dɔ ˈrɪmu],Як би ми не намагались — всі шляхи ведуть до Риму.,"Її пояснення лише підтвердили, що всі шляхи ведуть до Риму.","У бізнесі, як і в житті, всі шляхи ведуть до Риму."
ловити гав,інфінітивна конструкція,"бути неуважним, втрачати момент",відволікатися,A2,"школа, робота, повсякдення","розмовний, жартівливий",гавкання як метафора зайвої уваги до несуттєвого,[lɔˈwɪtɪ ɦɑu̯],"Не лови гав, краще слухай уважно.",На екзамені лови гав — провалиш усе.,"Він завжди ловить гав замість того, щоб діяти."
ні пуху ні пера,"побажання, складене з заперечних іменників","побажання удачі, особливо перед важливою справою",успіху тобі,A2,"іспити, сцена, спорт","розмовний, фольклорний",мисливське побажання успіху — відповідають «до біса»,[nʲi ˈpuxu nʲi pɛˈrɑ],Перед іспитом усі казали: ні пуху ні пера!,"Йому побажали — ні пуху ні пера, і він переміг.",Ні пуху ні пера! — сказав викладач із усмішкою.
з глузду з’їхати,перехідна дієслівна конструкція у досконалому виді,"втратити розум, діяти нелогічно або божевільно",психічно нестабільний/дивно поводитися,B2,"емоції, шок, роздратування","розмовний, емоційний",втрата «глузду» — давнє слов’янське уявлення про раціональність,[z ɦluzdu ˈzʲjiχɑtɪ],"Ти що, з глузду з’їхав?",Він з глузду з’їхав після тієї історії.,Та всі з глузду з’їхали з тим серіалом!
пекти раків,дієслівна конструкція з образним виразом,червоніти від сорому,збентежитися,B1,"соціальні ситуації, кохання, гумор","поетичний, гумористичний",раки червоніють при варінні — метафора червоніння людини,[pɛkˈtɪ ˈrɑkʲiʋ],"Він так зніяковів, що аж почав пекти раків.",Ти на нього так глянула — аж раків спік.,"Коли вона мене похвалила, я почав пекти раків."
