Idiom (Hungarian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Hungarian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Nem esett messze az alma a fájától,"Állító kijelentés, múlt idő, szóláshasonlat",Az illető hasonlít a szüleire viselkedésben vagy külsőben.,Hasonlít a szüleire.,B1,"család, nevelés, beszélgetés","köznyelvi, humoros","Szólás a paraszti hagyományokból, ahol a családi hasonlóság megfigyelhető volt a mindennapokban.",[ˈnɛm ˈɛʃɛt ˈmɛsːvɛ ɒz ˈɒlmɒ ɒ ˈfaːjɑːtoːl],"Péter pont olyan makacs, mint az apja – nem esett messze az alma a fájától.","Már gyerekkorában látszott, hogy nem esett messze az alma a fájától.","A beszédstílusa alapján egyértelmű, hogy nem esett messze az alma a fájától."
Két legyet üt egy csapásra,"Szólás, határozott igei szerkezet",Egyetlen cselekedettel két célt is elér.,Egy lépéssel két eredményt ér el.,B2,"munkavégzés, problémamegoldás","köznyelvi, találékony","Vadászati képzet, archaikus nyelvhasználatból ered.",[keːt ˈlɛɟɛt ˈyt ˈɛɟ ˈʧɒpaːʃrɒ],"Ha a boltba menet elhozod a csomagot is, két legyet ütsz egy csapásra.",A prezentációval és a jelentéssel két legyet ütött egy csapásra.,Ezzel az új rendszerrel két legyet ütöttek egy csapásra: gyorsabb és olcsóbb is.
Madarat lehetne vele fogatni,"Határozói mellékmondat, feltételes szerkezet","Valaki nagyon boldog, euforikus állapotban van.",Nagyon boldog.,B1,"öröm, család, romantika","irodalmi, játékos","Régi magyar mondás, amely az öröm túlzásos kifejezésére szolgál.",[ˈmɒdɒrɒt ˈlɛhɛtnɛ ˈvɛlɛ ˈfoɡɒtni],"Amikor megtudta, hogy felvették, madarat lehetett vele fogatni.",Az esküvő napján madarat lehetett vele fogatni.,"Amint hazaért a nyaralásról, madarat lehetett vele fogatni a boldogságtól."
"Rázza, mint Krisztus a vargát","Hasonlat, archaikus szerkezet","Valaki nagyon reszket vagy remeg – akár félelemtől, hidegtől, idegességtől.",Nagyon remeg.,C1,"irodalom, humor, archaikus stílus","irodalmi, archaikus, népies","Vallásos-parasztias eredetű mondás, ironikus felhanggal.",[ˈraːzːɒ ˈmint ˈkristuʃ ɒ ˈvɒrɡaːt],"Vizsga előtt rázta, mint Krisztus a vargát.","A hidegben rázta, mint Krisztus a vargát.","Olyan ideges volt, hogy rázta, mint Krisztus a vargát."
Kutya világ van,"Főnévi állítmány, metaforikus jelentés",Nagyon nehéz vagy nyomorúságos időszakot élünk.,Nehéz időszak van.,B2,"gazdaság, történelem, politika","köznyelvi, népies, pesszimista",A kutyák sanyarú életére való utalás népi szólásként.,[ˈkutjɒ ˈvilaːɡ vɒn],A háború idején kutya világ volt.,Mostanában az inflációval igazi kutya világ van.,A dolgozók szerint a gyárban kutya világ van.
A vak is látja,"Állító, határozói szerkezet, irónia","Valami annyira nyilvánvaló, hogy lehetetlen nem észrevenni.",Nagyon egyértelmű.,A2,"beszélgetés, ironikus megjegyzés","köznyelvi, ironikus","Ironikus szólás, amely a nyilvánvaló dolgok túlhangsúlyozására szolgál.",[ɒ ˈvɒk iʃ ˈlaːcːɒ],"A vak is látja, hogy ez nem fog működni.","A vak is látja, hogy szerelmes belé.","A vak is látja, hogy ez csak pénzpazarlás."
Lóvá tesz valakit,"Igei kifejezés, tárgyas szerkezet",Megtréfál vagy becsap valakit.,Becsap valakit.,B1,"humor, csalás, hétköznapi beszéd","köznyelvi, tréfás",A ló szerepe a népmesékben gyakran a bolonddá tevéshez kapcsolódik.,[ˈloːvaː ˈtɛs ˈvɒlɒkit],Megint lóvá tett a bátyám egy hülye trükkel.,Az eladó teljesen lóvá tett bennünket.,A politikusok néha lóvá teszik a választókat.
"Egyik fülén be, a másikon ki","Állítmányi szerkezet, párhuzamos alak","Nem figyel oda, amit mondanak neki.","Nem jegyzi meg, amit hall.",A2,"gyermeknevelés, iskola, mindennapok","köznyelvi, nevelő",Gyakori magyar szólás a gyerekekkel kapcsolatos türelmetlenségből.,[ˈɛɟik ˈfyleːn bɛ ɒ ˈmaːʃikon ki],"Hiába beszélek neki, egyik fülén be, a másikon ki.","A tanár szerint az egész osztály olyan, mint akinek egyik fülén be, a másikon ki.","Szülőként néha úgy érzem, hogy egyik fülén be, a másikon ki."
Elgurult a gyógyszere,"Múlt idejű kijelentés, főnévi állítmány",Valaki teljesen elveszti az önuralmát vagy irracionálisan viselkedik.,Teljesen irracionálisan viselkedett.,B2,"mindennapi beszéd, düh, frusztráció","szleng, ironikus",A mentális állapot gyógyszeres kezelésére tett ironikus utalás.,[ˈɛlɡurult ɒ ˈɟoːɟʃɛrɛ],"Amikor kiabált a pénztárosra, látszott, hogy elgurult a gyógyszere.",Teljesen elgurult a gyógyszere a főnöknek a meetingen.,"Szerintem elgurult a gyógyszere, hogy így viselkedik a boltban."
Felkopik az álla,"Jövő idejű, passzív értelmű kifejezés",Nem lesz mit ennie vagy komoly anyagi nehézségei lesznek.,Nagyon szegény lesz.,C1,"gazdaság, társadalom, figyelmeztetés","népies, fenyegető, ironikus","A fizikai éhezés képzetére épül, amikor az állkapocs „kopik” a táplálék hiányától.",[ˈfɛlkopik ɒz ˈaːllɒ],"Ha így folytatja a költekezést, hamar felkopik az álla.","Figyelmeztesd, hogy munka nélkül felkopik az álla.",A válás után egy ideig bizony felkopott az álla.
