Idiom (Kashmiri),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kashmiri)",First Example Sentence,Second Example Sentence,Third Example Sentence
نَر ژھَپ یَمَن گٲژھ,Noun Phrase + Verb Phrase (Metaphorical Verb Construction),To face a terrible misfortune or disaster.,He/they suffered a serious setback.,C1,"Politics, literature, journalism","Poetic, literary",Used in folk tales describing tragedy; evokes imagery of natural calamity,/nər ʒɦəp jəmən ɡaːʐ/,ژور خۄفناک حادثہس منز تہ گۄو بۄۍ نَر ژھَپ یَمَن گٲژھ.,تاریخس منز چھن ژھَل گژھان پٮٹھ نَر ژھَپ یَمَن گٲژھ.,اوس تہ سُہ سۄکھ مانَن، مگر نَر ژھَپ یَمَن گٲژھ تہ گۄو اَندھ.
کَنۍ پَرۍ وارٛس ہَند چُر,Prepositional Phrase + Noun Phrase,A person who always interferes in others' matters.,Someone who meddles in other people's affairs.,B2,"Daily speech, family arguments","Colloquial, sarcastic","Typical phrase from old city of Srinagar, often used humorously among elders",/kəni pəriː warəs hand ʧur/,یِم سۄر سۄر کتھ چھوان، تِم چھِ کَنۍ پَرۍ وارٛس ہَند چُر.,پینن کم نہ چھے کران، کَنۍ پَرۍ وارٛس ہَند چُر سٍن وارٛی.,گَرۍ پٮٹھ چھ تہ سُہ چھو کَنۍ پَرۍ وارٛس ہَند چُر روزان.
چُھک وارٛس گژھن خۄچ نر,Fixed Clause (Conditional + Verb),You're risking something unnecessarily.,You're putting yourself in avoidable danger.,B1,"Daily speech, cautionary advice","Colloquial, serious","Popular among elders warning youngsters, reflects rural imagery",/ʧɦuk warəs ɡəʒɦən xoʧ nər/,پانیہ ژور منز نہ گژھ، چُھک وارٛس گژھن خۄچ نر.,سٍتۍ سٍتۍ وت نہ گژھ، چُھک وارٛس گژھن خۄچ نر.,ییم کار چھے خطرناک، چُھک وارٛس گژھن خۄچ نر.
کہندِری چھن نہ ووٚنۍ ہندٕ کور,Negated Subordinate Clause + Noun Phrase,Some people never change.,Old habits die hard.,B2,"Workplace, relationships, criticism","Irony, sarcasm",Reflects social wisdom; metaphor of stubborn ox,/kəndɪri ʧɦən nə vuːnɪ hand kuːr/,سہ ژور وعده کرِم، مگر کہندِری چھن نہ ووٚنۍ ہندٕ کور.,ہر وارٛ تہ اوسا وعدہ، کہندِری چھن نہ ووٚنۍ ہندٕ کور.,ترٛقۍ چھے دور، کہندِری چھن نہ ووٚنۍ ہندٕ کور.
چُھ سونٛتھ ہند نَرۍ شِیر,Noun Phrase (Possessive + Simile),He is extremely brave and fearless.,He is very courageous.,A2,"Storytelling, praise, literature","Poetic, heroic",Common in Kashmiri heroic tales and folklore,/ʧɦu sontɦ hand nəre ʃiːr/,یَمن خطرہس منز تہ چُھ سونٛتھ ہند نَرۍ شِیر.,لرۍ پٮٹھ دوان کتھ، چُھ سونٛتھ ہند نَرۍ شِیر.,کینہۍ ژٕ وُچھِس، چُھ سونٛتھ ہند نَرۍ شِیر.
زٲنتھ ہندٕ برٛنِۍ چھو ژور رتھ,Noun Phrase + Comparative Verb Phrase,Wisdom comes with experience and time.,Wise people have gained insight through life experience.,C1,"Proverbs, family advice","Formal, philosophical",Common proverb cited by elders in Kashmiri homes,/zaːntɦ hand brəniː ʧɦu ʒuːr rətʰ/,پُژ چھٕ یَمن کتھ، زٲنتھ ہندٕ برٛنِۍ چھو ژور رتھ.,سہ چھُ تَز نَو، زٲنتھ ہندٕ برٛنِۍ چھو ژور رتھ.,اَندھ ژٕ کٔر صلاح، زٲنتھ ہندٕ برٛنِۍ چھو ژور رتھ.
کُرِ کرٛیہ دَنۍ ہَند تَن,Compound Verb Phrase + Noun Phrase,A person with superficial or hollow influence.,Someone who appears powerful but lacks substance.,B2,"Politics, humor, criticism","Ironic, satirical",Used in traditional songs and political satire,/kuɾɪ kəɾɪjə danɪ hand tan/,سہ چھُ صرف کُرِ کرٛیہ دَنۍ ہَند تَن، اصل کچھ نَہ.,آواز ژور، مگر کُرِ کرٛیہ دَنۍ ہَند تَن.,موہ کیاہ، کُرِ کرٛیہ دَنۍ ہَند تَن روزان.
بٲو ژھَن بٲوٚس ژور ژور,Reflexive Phrase + Repetition,Someone trying too hard to impress or exaggerate.,Overacting or showing off unnecessarily.,B1,"Theater, sarcasm, daily life","Colloquial, humorous",Often used by Kashmiri youth in playful banter,/baːw ʒɦan baːwəs ʒuːr ʒuːr/,موہ بٲو ژھَن بٲوٚس ژور ژور زَن وانٛن.,کینہۍ ہیرو چھے بٲو ژھَن بٲوٚس ژور ژور.,بَس کرو، بٲو ژھَن بٲوٚس ژور ژور بَنٛد.
تُلہ ژٲن تہ پانُن گوڈ,Clause + Coordinating Phrase,To refuse advice and insist on one's own way.,He ignored advice and did what he wanted.,B2,"Family, workplace, stubbornness","Colloquial, judgmental",Folkloric expression comparing advice to slippery snow,/tulə ʒaːn tə paːnən ɡoːɖ/,تُلہ ژٲن تہ پانُن گوڈ، نتیجہ ژور اوس.,مشورہ دیُن مگر تُلہ ژٲن تہ پانُن گوڈ.,کہۍ چھِ تُلہ ژٲن تہ پانُن گوڈ تِلہ وُچھ.
مُنٛڈ چھِ وُکھ نہ کرٛے,Negative Imperative Clause,Don’t underestimate or judge based on appearance.,Don’t judge a book by its cover.,B1,"Advice, appearance, humility","Moral, didactic",Drawn from Kashmiri village proverbs and elder advice,/mənd ʧɦi vukʰ nə kəɾɛ/,مُنٛڈ چھِ وُکھ نہ کرٛے، سُہ چھ ژور تَوانا.,مُنٛڈ چھِ وُکھ نہ کرٛے، تہ تقدیر وُچھ.,سۄرتھۍ ژٕ وُچھِس؟ مُنٛڈ چھِ وُکھ نہ کرٛے.
