Idiom (Burmese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Burmese)",First Example Sentence,Second Example Sentence,Third Example Sentence
မြစ်မရှိခင်က တံတားမဆောက်,ဖွဲ့စည်းထားသော ဝါကျဗျည်းဖြစ်ပြီး သီအိုရီနှင့်အနာဂတ်ခန့်မှန်းမှုအဓိပ္ပါယ်ရှိသည်။,အဖြေမသိသေးမီ ရှောင်ကြဉ်မှု သို့မဟုတ် မလိုအပ်သေးခင်က ကြိုတင်လုပ်ဆောင်ခြင်း။,အခြေအနေသေချာမဖြစ်သေးခင် ကြိုတင်ဆောင်ရွက်မလုပ်ပါနှင့်။,B1,နည်းပညာလုပ်ငန်း၊ စီမံကိန်းစီစဉ်မှု၊ စီးပွားရေး၊ ပညာရေး,စကားဝိုင်း၊ သတိပေးမှုအနေနဲ့သုံး,မြစ်များနှင့်တံတားများအပေါ် ထင်ဟပ်မှုရှိသော မြန်မာတောင်သူယဉ်ကျေးမှုမှ ရင်းမြစ်ရှိသည်။,mjɪʔ mà ʃì kʰɪ̀ɰ̃ ga̰ tàɰ̃ tà mâ sʰaʊʔ,မိခင်က မြစ်မရှိခင်က တံတားမဆောက်လိုက်ဖို့ သတိပေးတယ်။,အလုပ်အပ်ခွင်မရသေးခင်မှာ စီမံကိန်းဖန်တီးနေတာက မြစ်မရှိခင်က တံတားဆောက်နေတာပဲ။,သူရဲ့စိတ်ပူမှုက မြစ်မရှိခင်က တံတားမဆောက်လိုက်နဲ့ဆိုတဲ့စကားနဲ့ညီတယ်။
နွားနဲ့ခွေးမတူ,နှိုင်းယှဉ်ဆောင်ပုဒ်၊ နှစ်ဖက်မတူကြောင်းဖော်ပြသည်။,နှစ်ယောက်အကြားကွာခြားမှုအလွန်ကြီးကြောင်းပြောသည်။,သူတို့နှစ်ယောက်က တူညီမှုမရှိပါဘူး။,A2,အိမ်ထောင်ရေး၊ မိတ်ဆွေများအကြား ပြောဆိုမှု,စကားဝိုင်း၊ ဟာသ,မြန်မာလယ်ယာအသုံးအနှုန်းဖြစ်ပြီး တိရစ္ဆာန်နှိုင်းယှဉ်မှုမှလာသည်။,nwá nɛ̰ kʰwɛ́ mà tṵ,သူနဲ့ကျွန်တော်က နွားနဲ့ခွေးမတူဘူးလို့ သူပြောတယ်။,စိတ်နေစိတ်ထားကနေပြောရရင် နွားနဲ့ခွေးမတူဘူး။,သူတို့စုံတွဲကတော့ နွားနဲ့ခွေးပဲ။
မင်းသားမင်းသမီးမဟုတ်သော်လည်း ရုပ်အောင်,နှိုင်းယှဉ်ပြသည့်အဖွဲ့ဝေါဟာရ,ပုံမှန်လူတစ်ယောက်ဖြစ်ပေမယ့် အသွင်အပြင်က သဘာဝအလှရှိသည်။,သူကပုံမှန်လူတစ်ယောက်ပဲဖြစ်ပေမယ့် ချစ်ဖို့ကောင်းတယ်။,B2,ချစ်ခြင်း၊ ရုပ်ပိုင်းဆိုင်ရာဖော်ပြမှု၊ မိတ်ဆွေပြောဆိုမှု,စကားဝိုင်း၊ ပိုမိုအေးချမ်းသောအသုံးအနှုန်း,မြန်မာရုပ်ရှင်ယဉ်ကျေးမှုနှင့် သရုပ်ဆောင်များအပေါ်သက်ရောက်မှု,mɪ́ɰ̃ θà mɪ́ɰ̃ θəmí mà hoʔ θɔ̀ lé joʊʔ ʔàʊɰ̃,မင်းသားမင်းသမီးမဟုတ်သော်လည်း ရုပ်အောင်နဲ့ချစ်စရာပါ။,သူ့အကြောင်းပြောရရင် မင်းသားမဟုတ်သော်လည်း ရုပ်အောင်ပဲ။,ရုပ်မင်းသားလိုလှမယ် မဟုတ်ပေမယ့် ရုပ်အောင်တော့ရှိတယ်။
အသည်းပုပ်အိမ်ပေါက်,အထွေထွေဗျည်းဖြစ်ပြီး မူဝါဒနဲ့ တန်ဖိုးပြသခြင်း,အနာဂတ်မကောင်းအပေါ် သတိမထားခြင်း၊ ပြဿနာဖြစ်လာမည့်အလားအလာ,ပြဿနာဖြစ်တော့မယ်ဆိုတာမသိမသာနဲ့နေတယ်။,C1,နိုင်ငံရေး၊ အားကစား၊ လူမှုရေး,အထင်ကြီး၊ သတိပေးမှု,မြန်မာလူမှုအသိုင်းအဝိုင်းတွင် မျှော်လင့်ချက်ချို့တဲ့မှုနှင့် ဆက်နွယ်သည်။,ʔa̰ ðìəʔ poʊʔ ʔèɪɰ̃ pauʔ,သူတို့အစိုးရဟာ အသည်းပုပ်အိမ်ပေါက်နည်းနဲ့ မျက်နှာမူနေတာပဲ။,အသည်းပုပ်အိမ်ပေါက်ပဲ မျက်စိမဖွင့်တဲ့အထိကောင်းလာမှာမဟုတ်ဘူး။,ပညာရေးစနစ်က အသည်းပုပ်အိမ်ပေါက်ဖြစ်နေပြီ။
ကြက်မမြင်ကြက်ဥနင်း,သနားဖွယ်ဖြစ်စဉ်ဖော်ပြမှု၊ ဆင်ခြင်ခြင်းနှိုင်းယှဉ်ခြင်း,အတိတ်အမှားကြောင့် မျှတမှုမရှိသောပြုမူမှု,သူတစ်ဦးအပေါ် မျှတမှုမရှိဘဲ စွပ်စွဲတယ်။,B2,တရားရေး၊ မိသားစု၊ မိတ်ဆွေကြား,အပြစ်စွဲ၊ ငြိမ်းငြိမ်းချမ်းချမ်းပြော,မြန်မာလယ်ယာပတ်ဝန်းကျင်မှလာသောသနားဖွယ်တရားမျှတမှုအကြောင်း,tɕɛʔ mà mjɪ̀ɰ̃ tɕɛʔ ʔṵ nɪ́ɰ̃,မင်းမမြင်ဘဲကြက်ဥနင်းတာကြောင့်သူစိတ်နာနေတာ။,ကြက်မမြင်ကြက်ဥနင်းဆိုတာက တရားမမျှတတဲ့အပြုအမူပါ။,သူ့အပြစ်မတင်ခင် ကြက်မမြင်ကြက်ဥနင်းဖြစ်နေမလားစဉ်းစားကြပါ။
ခွေးကိုသိမ်းပြီး ကျားကိုလွှတ်,စပ်ဖျော့စီစဉ်မှု၊ မတူညီသောအရာနှစ်ခု၏ ထုတ်ပြန်မှု,အသေးစားအမှားကိုအရေးကြီးစွာလေ့လာပြီး အကြီးအမှားကိုလွဲလွဲချော်ချော်လွှတ်လွှတ်ခနဲမဲ့ဖြစ်သည်။,အကြီးအမှားကိုမျက်လှည်းပေးပြီး အသေးအမှားကိုပဲစွဲ။,C2,တရားရေး၊ နိုင်ငံရေး၊ ရုပ်ရှင်စာနယ်ဇင်း,သုတေသန၊ ပြစ်တင်မှု,တိရစ္ဆာန်နှိုင်းယှဉ်မှုမှပြုလုပ်သော ထင်ဟပ်မှု,kʰwɛ́ go̰ θèɪɰ̃ bjì tɕá go̰ lwɪʔ,ခွေးကိုသိမ်းပြီး ကျားကိုလွှတ်တာလား ဒါပဲမေးချင်တယ်။,တရားရုံးက ခွေးကိုသိမ်းပြီး ကျားကိုလွှတ်တဲ့အဖြစ်ဖြစ်နေပြီ။,အကြီးအမှားကိုမကြည့်တော့ခွေးကိုသိမ်းပြီး ကျားကိုလွှတ်ဖြစ်သွားတယ်။
ထမင်းစားသံကောင်းသူ မုန်းခြောက်,စပ်ဖျော့ဝေါဟာရ၊ တောင်းဆိုမှုနှင့်အသံချဲ့သံမြည်ဖော်ပြမှု,အောင်မြင်သူကိုအမုန်းတစိတ်တပိုင်းနဲ့ကြည့်ခြင်း။,အောင်မြင်သူကိုစိတ်မသန်ဖြင့်ကြည့်တယ်။,C1,လူမှုရေး၊ ပြိုင်ဆိုင်မှု၊ အလုပ်အကိုင်,အပြစ်တင်မှု၊ ရှုပ်ထွေးမှု,ဧည့်ခံကျွေးမှုအပေါ် လူ့အဖွဲ့အစည်းထဲကဧည့်ခံနှင့် မနှစ်မြို့သူအကြားသဘာဝထင်ဟပ်မှု,tʰəmɪ́ɰ̃ sá θàɰ̃ káʊɰ̃ ðù mòʊɰ̃ tɕʰaʊʔ,သူအောင်မြင်တာကိုထမင်းစားသံကောင်းသူ မုန်းခြောက်တဲ့လူတွေရှိတယ်။,ထမင်းစားသံကောင်းသူ မုန်းခြောက်ဆိုတာ လူ့သဘာဝတစ်ခုပါ။,သူတို့ရဲ့အမြင်က ထမင်းစားသံကောင်းသူ မုန်းခြောက်နဲ့မကွာပါဘူး။
လှူတာထက်ကြွေးတာများ,နှိုင်းယှဉ်စပ်ဖွဲ့ထားသော ဝေါဟာရ,အတတ်ပညာမဲ့ခြင်းကြောင့် အကျိုးထက် အနာဂတ်ပြဿနာများတက်ခြင်း,အကောင်းလုပ်မယ်ဆိုပြီးပြဿနာအဖြစ်ဆုံးဖြစ်တယ်။,B2,လှူဒါန်းမှု၊ ဘာသာရေး၊ လူမှုရေး,အပြစ်တင်မှု၊ ဟာသပါဝင်,လှူဒါန်းမှုနဲ့အကြွေးအခြေအနေကြားသော မြန်မာဘဝအတွေ့အကြုံ,l̥ù dà tʰɛʔ tɕwè dà mjá,တစ်ခါတလေ လှူတာထက်ကြွေးတာများနေတာပဲ။,သူ့လှူဒါန်းမှုကြောင့်လှူတာထက်ကြွေးတာများသွားတယ်။,စဉ်းစားမလုပ်ပဲ လှူလို့လှူတာထက်ကြွေးတာများဖြစ်သွားတယ်။
မျက်စိနဲ့မမြင်ရတဲ့အရာတွေ,အဝါသနာအဓိပ္ပါယ်ပါသော ဝေါဟာရ,စိတ်ဖြင့်သာခံစားရမည့်သဘာဝဆိုင်ရာအရာများ,စိတ်နဲ့သာနားလည်ရမယ့်အရာများ,B1,ပညာရေး၊ သီအိုရီဆိုင်ရာ၊ မေတ္တာပြောဆိုမှု,သင်ကြားရေး၊ အနူးအညွတ်,ဗုဒ္ဓဘာသာနှင့် မျှော်လင့်ချက်ဉာဏ်တော်အမြင်မှ ဆင်းသက်လာသည်။,mjɛʔ sì nɛ̰ mà mjɪ̀ɰ̃ jà dè ʔəjà dùè,မျက်စိနဲ့မမြင်ရတဲ့အရာတွေက စိတ်ထဲနဲ့နားလည်ရတာပါ။,သူ့မေတ္တာက မျက်စိနဲ့မမြင်ရတဲ့အရာတစ်ခုပါ။,သံဃာတော်များက မျက်စိနဲ့မမြင်ရတဲ့အရာတွေကို သဘောပေါက်တယ်။
အိုးမရှိတဲ့ဟင်း,နိမိတ်ဖြင့်ဖန်တီးထားသော အသုံးအနှုန်း,အဓိကအရာမပါဝင်သောကြောင့် မပြည့်စုံသောအခြေအနေ,အရေးကြီးအရာမပါဝင်လို့မပြည့်စုံပါဘူး။,A2,အိမ်ထောင်ရေး၊ အဖွဲ့အစည်း၊ သီချင်းသုံးသပ်မှု,ဟာသ၊ ထောက်ပြမှု,အဟင်းပြုတ်မူမြန်မာရိုးရာဖြင့် မရှိမဖြစ်အိုးပါဝင်ရသည်ဆိုသည့်ယူဆမှုမှဖြစ်သည်။,ʔó mà ʃì dè hɪ́ɰ̃,သူမရှိတဲ့အခန်းက အိုးမရှိတဲ့ဟင်းပဲ။,ဤအစည်းအဝေးက အိုးမရှိတဲ့ဟင်းလိုဖြစ်နေတာ။,မင်းမလာဘူးဆိုတော့ အိုးမရှိတဲ့ဟင်းဖြစ်သွားတယ်။
