Idiom (Haryanvi),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
नाक कट जाणा,स्थिर क्रियात्मक वाक्यांश; अकर्मक क्रिया + संज्ञा,सार्वजनिक रूप से अपमानित होना या सामाजिक प्रतिष्ठा खो देना,इज्जत खो देना,B1,"परिवार, गाँव समाज, सामाजिक विवाद","कोलोकीयल, सामाजिक",ग्रामीण हरियाणा में मान-सम्मान आधारित सामुदायिक संस्कृति से जुड़ा,/naːk kəʈ d͡ʒaːɳaː/,उसकी हरकतां तै पूरे गाँव में उसकी नाक कट जाणी।,अगर तू झूठ बोलेगा तो घर की नाक कट जावेगी।,"पंचायत के सामने गलत बात कह दी, मेरी तो नाक कट जाणी थी।"
हाथ साफ कर जाणा,क्रियात्मक वाक्यांश; कर्म सहित सकर्मक संरचना,चोरी कर लेना या बेईमानी से लाभ उठाना,चोरी कर लेना,B2,"राजनीति, व्यापार, हास्य","कोलोकीयल, व्यंग्यात्मक",स्थानीय बाजार और मेलों में व्यंग्यात्मक रूप से प्रचलित,/haːtʰ saːf kər d͡ʒaːɳaː/,किसी ने मेले में मेरी जेब पे हाथ साफ कर दिया।,उस अफसर ने फाइल पे हाथ साफ कर लिया।,"ध्यान राख, कोई तेरे पैसां पे हाथ साफ ना कर दे।"
आँखां में धूल झोंकणा,सकर्मक क्रिया वाक्यांश; रूपकात्मक क्रिया प्रयोग,धोखा देना या सच्चाई छुपाना,धोखा देना,B2,"राजनीति, व्यक्तिगत संबंध","कोलोकीयल, आलोचनात्मक",खेती-बाड़ी के वातावरण से उत्पन्न धूल रूपक,/ãːkʰãː meː d̪ʱuːl d͡ʒʱoːŋkɳaː/,उसने सबकी आँखां में धूल झोंक दी।,सरकार जनता की आँखां में धूल झोंक री सै।,मन्ने समझ आ गया कि वो आँखां में धूल झोंक रया सै।
दूध का जला छाछ फूँक फूँक पीवे,लोकोक्ति; तुलनात्मक उपवाक्य संरचना,एक बार चोट खाने के बाद व्यक्ति बहुत सावधान हो जाता है,अनुभव के बाद सावधान रहना,C1,"परिवार, शिक्षण, नैतिक शिक्षा","लोकोक्ति, शिक्षाप्रद",दुग्ध संस्कृति और ग्रामीण जीवन से संबद्ध,/duːd̪ʱ kaː d͡ʒəlaː t͡ʃʰaːt͡ʃʰ pʰuːŋk pʰuːŋk piːʋeː/,"पिछली बार घाटा हुआ, अब वो दूध का जला छाछ फूँक फूँक पीवे सै।","धोखा खा लिया था, अब दूध का जला छाछ फूँक फूँक पीवे सै।","एक बार गिर गया था, अब दूध का जला छाछ फूँक फूँक पीवे सै।"
ऊँट के मुँह में जीरा,संज्ञात्मक रूपक; तुलनात्मक संज्ञा संरचना,बहुत कम मात्रा जो पर्याप्त न हो,बहुत कम मात्रा,B1,"हास्य, आर्थिक चर्चा, घरेलू वार्तालाप",कोलोकीयल,रेगिस्तानी और पशुपालन संदर्भ से उत्पन्न,/uːnʈ keː mũːʰ meː d͡ʒiːraː/,इतना पैसा तो ऊँट के मुँह में जीरा सै।,तेरी मदद ऊँट के मुँह में जीरा साबित हुई।,दो आदमी के वास्ते ये खाना ऊँट के मुँह में जीरा सै।
घर का भेदी लंका ढाए,लोकोक्ति; कथनात्मक वाक्य संरचना,अपना व्यक्ति ही नुकसान पहुंचा देता है,भीतर का व्यक्ति हानि पहुँचाए,C1,"राजनीति, संगठन, पारिवारिक विवाद","लोकोक्ति, गंभीर",रामायण कथा से प्रेरित सांस्कृतिक सन्दर्भ,/ɡʱər kaː bʱeːd̪iː ləŋkaː ɖʱaːeː/,कंपनी में घर का भेदी लंका ढाए साबित हुआ।,"टीम हार गई, घर का भेदी लंका ढाए निकला।",राजनीति में अक्सर घर का भेदी लंका ढाए हो जाया सै।
साँप भी मर जावे लाठी भी ना टूटे,समन्वय संरचना; द्वि-उपवाक्यीय लोकोक्ति,ऐसा समाधान जिसमें दोनों पक्षों को नुकसान न हो,दोनों का हित सुरक्षित रखना,C2,"सुलह, राजनीति, समझौता वार्ता","कूटनीतिक, रूपकात्मक",ग्रामीण संघर्ष समाधान की कहावत,/saː̃p bʱiː mər d͡ʒaːʋeː laːʈʰiː bʱiː naː ʈuːʈeː/,ऐसा फैसला कर कि साँप भी मर जावे लाठी भी ना टूटे।,"समझदारी से काम ले, साँप भी मर जावे लाठी भी ना टूटे।",उसने डील ऐसी करी कि साँप भी मर जावे लाठी भी ना टूटे।
नाक पे मक्खी ना बैठण देना,नकारात्मक क्रियात्मक वाक्यांश,बहुत सजग या सख्त होना,सख्ती से निगरानी रखना,B2,"कार्यस्थल, अनुशासन, परिवार",कोलोकीयल,ग्रामीण अनुशासन और प्रतिष्ठा संदर्भ,/naːk peː məkʰiː naː bɛʈʰəɳ d̪eːnaː/,वो अफसर नाक पे मक्खी ना बैठण देवे सै।,मेरे बाबूजी नाक पे मक्खी ना बैठण देवे थे।,कोच नाक पे मक्खी ना बैठण देवे सै अभ्यास में।
आसमान सिर पे उठाणा,क्रियात्मक रूपक; सकर्मक संरचना,बहुत शोर मचाना या हंगामा करना,बहुत शोर करना,B1,"परिवार, हास्य, विवाद","कोलोकीयल, अतिशयोक्तिपूर्ण",लोक कथाओं और अतिशयोक्ति शैली से संबंधित,/aːsmaːn sɪr peː uʈʰaːɳaː/,छोटे से मुद्दे पे उसने आसमान सिर पे उठा लिया।,बच्च्यां ने खेलते-खेलते आसमान सिर पे उठा लिया।,तू हर बात पे आसमान सिर पे मत उठा।
दिल पे मत ले,आदेशात्मक वाक्य; निषेधात्मक संरचना,बात को व्यक्तिगत रूप से गंभीर न लेना,व्यक्तिगत रूप से प्रभावित न होना,A2,"मित्रता, दैनिक वार्तालाप","अनौपचारिक, सांत्वनात्मक",आधुनिक बोलचाल में लोकप्रिय,/d̪ɪl peː mət leː/,"उसकी बात दिल पे मत ले, वो मजाक कर रया था।","छोटी सी बात सै, दिल पे मत ले।",गुस्सा छोड़ दे और दिल पे मत ले।
