Idiom (Banjar),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Banjar)",First Example Sentence,Second Example Sentence,Third Example Sentence
Bakunyung kada batisik,"Fixed clause, verbless idiomatic phrase",Seseorang yang ikut-ikutan tanpa memberikan kontribusi nyata.,Ikut tanpa membantu.,B2,"Daily speech, workplace, sarcasm","Colloquial, sarcastic",Dari perilaku anak-anak yang ikut main tapi tidak benar-benar berpartisipasi.,/ba.ku.ɲuŋ ka.da ba.ti.sik/,Pian kada usah ikut bakunyung kada batisik bila kada handak membantu.,Ulun rasa sidin tu bakunyung kada batisik haja tiap rapat.,Bakunyung kada batisik itu biasa haja di proyek besar.
Mancari kayu di laut,Verb phrase with object and locative,Melakukan sesuatu yang mustahil atau sia-sia.,Mencoba sesuatu yang tidak mungkin.,C1,"Literature, daily speech, advice","Literary, poetic",Berasal dari peribahasa lokal tentang usaha yang tidak realistis.,/man.ca.ri ka.ju di la.ut/,"Amun pian mencoba meikung nang kada kawa diubah, itu macam mancari kayu di laut.","Ulun bilang, jangan mancari kayu di laut haja terus.","Kada kawa jua lawan aturan, itu hanya mancari kayu di laut."
Ujar kada makan nasi,Declarative clause,Omong kosong atau janji yang tidak bisa dipercaya.,Ucapan yang tidak dapat dipercaya.,B1,"Politics, sarcasm, everyday speech","Ironic, informal",Kritik terhadap janji-janji yang tidak berdasar.,/u.d͡ʒar ka.da ma.kan na.si/,Janji sidin itu ujar kada makan nasi haja.,"Jangan percaya, ujar kada makan nasi pian tu.","Pian lawan ujar kada makan nasi, pasti kada puas hasilnya."
Lawan angin babanyu,Prepositional phrase with parallel nouns,Melawan sesuatu yang kuat atau tidak bisa dikendalikan.,Menghadapi tantangan besar.,C2,"Resistance, motivational, social justice","Formal, poetic",Menggambarkan perjuangan melawan alam atau kekuasaan.,/la.wan a.ŋin ba.ba.ɲu/,Perjuangannya itu macam lawan angin babanyu.,Pian tu berani lawan angin babanyu demi kebenaran.,Ibu-ibu pasar itu lawan angin babanyu waktu harga naik.
Jaring kada basimpai,Negative clause with verb-object,Rencana yang tidak matang atau tidak tuntas.,Perencanaan yang gagal.,B2,"Planning, workplace, criticism","Colloquial, critical",Berasal dari kegiatan menjaring ikan yang gagal karena tidak lengkap.,/d͡ʒa.riŋ ka.da ba.sim.pai/,Proyek pian tu macam jaring kada basimpai.,Ulun kada handak ikutan jaring kada basimpai lagi.,Rapat tadi kayak jaring kada basimpai haja.
Bapijak lawan bara,Reflexive verb + prepositional phrase,Berani menghadapi risiko besar.,Mengambil risiko.,C1,"Motivational, workplace, bravery","Formal, poetic",Dari kebiasaan berjalan di atas bara dalam upacara adat.,/ba.pi.d͡ʒak la.wan ba.ra/,"Sidin itu berani benar, macam bapijak lawan bara.",Kadang harus bapijak lawan bara demi keluarga.,Bapijak lawan bara itu perlu keberanian jua.
Bacakut balumpat,Coordinated verbs (compound verb),Kacau dan terburu-buru.,Terburu-buru dan tidak teratur.,A2,"Family, humor, panic","Colloquial, humorous",Gambaran perilaku panik waktu ada kebakaran atau bahaya.,/ba.t͡ʃa.kut ba.lum.pat/,Ulun tadi bacakut balumpat gara-gara alarm bunyi.,Anak-anak itu bacakut balumpat waktu ujan datang.,Kita kada usah bacakut balumpat bila santai haja kawa.
Barasai kaya hujan,Simile clause using 'kaya',Terlalu banyak berbicara tanpa henti.,Terlalu cerewet.,A2,"Family, humor, gossip","Informal, humorous",Kebiasaan membandingkan bicara dengan hujan yang terus turun.,/ba.ra.sai ka.ja hu.d͡ʒan/,Pian tu barasai kaya hujan haja tiap hari.,Ulun sabar haja lawan sidin barasai kaya hujan.,Bujur kah harus barasai kaya hujan tiap rapat?
Mancing di darat,Verb phrase with locative mismatch,Berusaha di tempat yang salah.,Melakukan usaha di tempat yang tidak tepat.,B1,"Advice, sarcasm","Sarcastic, ironic",Berasal dari logika mustahil memancing ikan di darat.,/man.t͡ʃiŋ di da.rat/,"Jangan mancing di darat, pian tahu itu tempat salah.","Sidin itu kada sadar, mancing di darat terus haja.","Amun pian mancing di darat, hasilnya jua kosong."
Baguringan kada bangun,Progressive clause with negative modifier,Orang yang malas atau tidak berguna.,Malas sekali.,A2,"Family, humor, criticism","Colloquial, critical",Gambaran seseorang yang hanya tidur dan tidak melakukan apapun.,/ba.gu.ri.ŋan ka.da ba.ŋun/,Anakku itu baguringan kada bangun dari pagi.,Baguringan kada bangun itu kada bisa diharapakan.,"Ulun sudah bangun pagi, pian masih baguringan kada bangun."
