Idiom (Hawaiian Pidgin),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Hawaiian Pidgin)",First Example Sentence,Second Example Sentence,Third Example Sentence
talk story,Fixed verb phrase functioning as an intransitive or transitive predicate; often appears after modals like 'like' or aspect markers like 'stay.',"To chat casually, share news, build connection, or pass time through informal conversation.",Have a casual conversation.,B1,Daily speech; family gatherings; workplace breaks; community events; friendly introductions.,"Colloquial, warm, relational.","Common across Hawaiʻi’s plantation-era multilingual communities, where storytelling and casual conversation helped people from different language backgrounds form social ties.",/tɔk ˈstɔɹi/,"We was sitting outside da store, just talk story till da rain pau.","Aunty like talk story wit you aftah church, so no run away fast.","Every Friday, da crew stay talk story by da truck before clocking in."
small kine,"Adjectival or adverbial modifier; flexible quantifier placed before nouns, adjectives, or clauses.","Somewhat, a little, minor, or not a big deal; can soften a statement or reduce intensity.",A little; somewhat; minor.,A2,Everyday description; requests; complaints; humor; cautious opinions.,"Colloquial, softening, understated.","Reflects local speech habits of indirectness and moderation, often used to avoid sounding too blunt or dramatic.",/smɔl kaɪn/,"I small kine tired, but I still can help you move da cooler.","Da meeting was small kine long, but da food was ono.",He wen get small kine shame when everybody clapped for him.
da kine,"Pronoun-like placeholder noun phrase; deictic expression used when a word is unknown, obvious, sensitive, or unnecessary.","A flexible substitute for a person, thing, action, quality, or idea understood from context.",That thing; that person; the unspecified item or idea.,B1,Daily speech; repairs; cooking; directions; teasing; shared-context conversation.,"Colloquial, highly local, context-dependent.","Developed in Hawaiʻi Creole English as a versatile discourse tool, especially useful in multilingual settings where speakers relied on context, gesture, and shared knowledge.",/də kaɪn/,"Pass me da kine on top da counter, da one next to da rice cooker.","I went call da kine already, so da appointment stay set for Monday.","She no like say da name, but everybody knew who da kine was."
chicken skin,Noun phrase used predicatively or as an object; metaphorical body-state expression.,"A strong physical feeling of awe, fear, emotion, or spiritual intensity, like goosebumps.",Goosebumps; a strong emotional reaction.,B2,Ghost stories; music; sports; family memories; spiritual or emotional moments.,"Colloquial, vivid, expressive.","Connected to local storytelling traditions, including spooky night stories, music performances, and deeply felt communal experiences.",/ˈtʃɪkən skɪn/,"When da kūpuna started singing, I got chicken skin all ova my arms.","Dat ghost story gave everybody chicken skin, even da uncle who neva get scared.",I got chicken skin when da boy scored da last touchdown for Waianae.
pau hana,Fixed noun phrase and time expression; can function adverbially after work-related clauses.,"The time after work, or the relaxed social mood that begins when the workday is finished.",After work; finished with work.,A2,Workplace; social plans; food and drink meetups; scheduling; local business culture.,"Colloquial to semi-formal, friendly, locally professional.",From Hawaiian 'pau' meaning finished and 'hana' meaning work; widely used in Hawaiʻi workplaces and social life.,/paʊ ˈhɑnə/,"Meet us pau hana by da beach park, and bring one chair if you get.","Boss said we can clean up early, so everybody wen smile for pau hana.","Da traffic stay nuts during pau hana, so I going leave town little bit late."
hana hou,Fixed imperative or exclamatory phrase; borrowed Hawaiian expression used as a discourse marker.,Do it again; encore; repeat something enjoyable or successful.,Again; one more time; repeat it.,A2,Music; hula; performances; sports; classroom encouragement; playful requests.,"Enthusiastic, celebratory, appreciative.",From Hawaiian 'hana hou' meaning 'do again'; common at performances and community events across Hawaiʻi.,/ˈhɑnə hoʊ/,"Da band played so good, da whole crowd yelled hana hou.",Coach told da kids hana hou aftah dey finally ran da drill right.,"Your laulau came out ono, so next family party gotta be hana hou."
no can,Modal negative predicate; compact fixed clause replacing 'cannot' or 'is not possible.',"Something cannot be done, is not allowed, or is not possible under the circumstances.",Cannot; not possible; not allowed.,A1,Commands; refusals; rules; logistics; practical problem-solving.,"Colloquial, direct, efficient; can sound firm or matter-of-fact.","Reflects Hawaiian Pidgin’s streamlined grammar shaped by contact among English, Hawaiian, Cantonese, Portuguese, Japanese, Filipino languages, and others.",/noʊ kæn/,"No can park ova dea, da tow truck come quick.","I like help you today, but no can because I get doctor appointment.","Da gate stay locked already, so no can go inside till morning."
make stink eye,Verb phrase with light verb 'make' plus compound object; transitive or intransitive depending on context.,"To glare at someone with disapproval, suspicion, anger, or silent warning.",Give someone a dirty look.,B1,Family scolding; school; workplace tension; humor; conflict avoidance.,"Colloquial, humorous, sometimes confrontational.","Local expression tied to nonverbal communication norms, where facial expression can carry strong social meaning without direct confrontation.",/meɪk stɪŋk aɪ/,Uncle wen make stink eye when da boys tracked mud inside da house.,"She no say nothing, but she made stink eye from across da room.",Da cashier made stink eye because da braddah cut da line.
broke da mouth,"Verb phrase with transitive construction; hyperbolic evaluative idiom, usually for food.","Extremely delicious, so good it overwhelms the eater.",Very delicious; excellent tasting.,B1,Food reviews; family cooking; plate lunch talk; markets; celebrations.,"Colloquial, enthusiastic, humorous hyperbole.","Rooted in Hawaiʻi’s food culture, where local identity is strongly expressed through shared meals, plate lunches, and multicultural cooking traditions.",/broʊk də maʊθ/,Dat garlic chicken broke da mouth; I had to go back for one second plate.,Grandma’s pork adobo stay broke da mouth every time she cook um slow.,"Da mango from their yard was so sweet, broke da mouth fo real."
all buss up,Adjectival predicate phrase with intensifier 'all' and participial adjective 'buss up.',"Badly damaged, messy, worn out, emotionally shaken, or physically exhausted.",Very damaged; very messy; worn out.,B2,Car trouble; sports injuries; messy rooms; emotional stress; joking complaints.,"Colloquial, vivid, mildly rough but not vulgar.","Likely influenced by English 'burst/bust' and local phonology; common in Hawaiʻi talk about objects, bodies, and situations that are in bad shape.",/ɔl bʌs ʌp/,My slippers stay all buss up from walking ova da lava rocks.,"Aftah da double shift, everybody looked all buss up but still laughing.","Da old truck was all buss up, but somehow it still made it up da pali."
