Idiom (Cappadocian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cappadocian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Épiase to spastí tou ánemo,"Fixed verb-noun idiom, past tense",He/she chased something hopeless or futile,He wasted his time,B2,"Daily speech, sarcasm, storytelling","Colloquial, ironic",Mountain wind lore from Kayseri region,[ˈepjasɛ to spasˈti tu ˈanɛmo],"O Giánnis épiase to spastí tou ánemo, psáhnontas to chamenó klidí.","Mi país ke su, den axízi — tha piasís to spastí tou ánemo.","Páli épiase to spastí tou ánemo, prospathóntas na ton peísei."
Krótei ksílina koutália,"Verb-object idiom, present tense","Pretends to do something important, but it’s meaningless",He's pretending to be useful but doing nothing,C1,"Workplace, humor, complaints","Sarcastic, informal",Based on kitchen imagery in Cappadocian households,[ˈkrotɛi ˈksilina kuˈtalja],Óli tin iméra krótei ksílina koutália sto grafío.,"Den káni tipota, krótei ksílina koutália gia na fainete apascholiménos.",I Kirá-María léei pántote: ‘Mi krótas ksílina koutália!’
Ékapse to psi̱lí tou,"Past tense, reflexive construction",He/she got badly embarrassed or humiliated,He felt great shame,B1,"Family, social gatherings","Colloquial, humorous",Traditional shame idioms in rural Cappadocia,[ˈekapsɛ to psiˈli tu],Ékapse to psi̱lí tou ótan den íxe na plirósi.,"Sti ghóniá ékapse to psi̱lí tou, o katántis.","An pas étsi, tha kápsis to psi̱lí sou."
Kani ton galo me to sakió,"3rd person, fixed expression",Acts important despite being insignificant,He's putting on airs,C1,"Politics, social critique","Ironic, regional","Imitates upper-class behavior, common in central Cappadocian villages",[ˈkani ton ˈɣalo me to saˈkjo],"Pántote kani ton galo me to sakió, máta den échei tipota.",To páidi sou kani ton galo me to sakió mprosta stous allous.,"Mi ton prosecheis, étsi kani ton galo me to sakió."
Éfage roúcha apo to xóma,"Active voice, past tense idiom",He/she faced terrible hardship,He suffered a lot,B2,"War stories, generational speech","Literary, historical",Famine and displacement references from 1920s Cappadocia,[ˈefaje ˈruça apo to ˈxoma],"Sta chroniá tis apodímis, éfage roúcha apo to xóma.",O pappoús mou éfage roúcha apo to xóma stin prosfygιά.,To na míneis chorís spíti íne san na troís roúcha apo to xóma.
To glénto férnei to klaídi,Fixed proverb clause,Good times often end in sorrow,Joy leads to sadness,B2,"Proverbial, storytelling","Poetic, reflective",Used in wedding and festive contexts with ironic tone,[to ˈɣlen̪do ˈfɛrni to ˈkleði],"To glénto férnei to klaídi, opóte min tolmís páli.",O pappoús to leei: ‘To glénto fernei to klaídi.’,"Ítan kalá, mas to glénto éferne to klaídi sto télos."
Krémei ta trícha tou apo to paláti,"Present tense, figurative participial clause",Someone is clinging to lost glory,He won't let go of the past,C2,"Literary, politics, family debates","Literary, humorous, ironic",Evokes Ottoman decline and nostalgia,[ˈkremɛi ta ˈtrixa tu apo to paˈlati],"Krémei ta trícha tou apo to paláti, me tin palaia tou douliá.",Aftós pántote krémei ta trícha tou apo to paláti.,"Krémei ta trícha tou apo to paláti, kai den thélei na doulépsi."
Ta mátia tou ein’ tsímaloi,"Plural noun complement idiom, present",He/she is extremely observant,He sees everything,A2,"Daily speech, family, warnings",Colloquial,Refers to sharp village eyes for gossip,[ta ˈmatça tu in ˈtsimali],Min krivís típota — ta mátia tou ein’ tsímaloi.,I yiagiá léei pántote: ‘Ta mátia tou ein’ tsímaloi.’,"Ta mátia tou ein’ tsímaloi, ola ta vlépei."
Vrázei to aíma tou san to tséki,"Simile, present progressive form",He is filled with uncontrollable anger,He is very angry,B2,"Family, politics, emotional outbursts","Colloquial, intense",Boiling pot as metaphor from Cappadocian kitchens,[ˈvrazi to ˈema tu san to ˈtseki],"Otán ton eídes, vrázei to aíma tou san to tséki.",Me ékane na vrázei to aíma mou san to tséki.,Vrází to aíma tou san to tséki me to lathós.
Pliróni to sfragídi tou,"Reflexive idiom, present tense",He/she pays the consequences of earlier choices,He’s facing the result of his actions,C1,"Literature, wisdom sayings","Literary, philosophical",Stamp metaphor tied to Ottoman tax collection and seals,[pliˈroni to sfraˈʝiði tu],Pliróni to sfragídi tou me káthe láthos pou ékane.,"Ó, pliróni to sfragídi tou, miden den xechnietai.",Pliróni to sfragídi tou ópos ítan na gíni.
