Idiom (Lingala),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Lingala)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kosala lokola nzete ya matiti,Fixed simile construction (verb phrase + comparative marker ‘lokola’),To act without seriousness or consistency; to be easily swayed.,Kosalaka na ndenge ya kobongwana mingi.,B2,"Daily speech, workplace, criticism, humor","Colloquial, ironic",Derived from traditional observation of light grass trees that bend easily in the wind.,[kòsàlà lòkòlà ndzètɛ já màtìtì],"Alingi kosala mosala, kasi asalaki lokola nzete ya matiti.","Soki ozali kolanda bato nyonso, okokóma lokola nzete ya matiti.","Na politique, bato mosusu bazali lokola nzete ya matiti — babongwanaka kaka na mopɛpɛ."
Kolela na mpema ya nsɔmi,Verb phrase (kolela) + prepositional phrase (na mpema ya nsɔmi),To express false sadness or hypocrisy.,Kolela na ndenge ya lokuta.,C1,"Sarcasm, social critique, literature","Ironic, literary",Linked to Christian-influenced moral proverbs from colonial-era sermons emphasizing sincerity.,[kòlèlà ná ᵐpɛ̀má já nsɔ́mí],"Abebisaki eloko, sik’oyo azali kolela na mpema ya nsɔmi.",Nalobi ete boye ezali kolela na mpema ya nsɔmi — alingi nde bato bayoka ye.,Kolela na mpema ya nsɔmi ezali mabe koleka kozanga kolela.
Kolia na maboko mibale,Verb phrase (kolia) + noun phrase (na maboko mibale),To take advantage of every opportunity; to be greedy or opportunistic.,Kozwa nyonso mpo na bolamu na yo moko.,B1,"Politics, workplace, economics, satire","Colloquial, critical",Reflects postcolonial humor about corruption and survival tactics in Kinshasa.,[kòljà ná màbókó mìbálɛ],"Azali kolia na maboko mibale, ezali lokola aboyi kobakisa bato mosusu.","Na mosala oyo, moto nyonso alingi kolia na maboko mibale.",Bato ya gouvernement mingi bazali kolia na maboko mibale.
Kokɔta na nzela ya malili,Verb phrase with locative prepositional complement,To engage in corruption or dark dealings.,Kokɔta na makambo ya bampongi.,C2,"Politics, crime, gossip","Colloquial, negative",Rooted in the metaphor of 'cold paths' as secret or immoral routes in urban speech.,[kòkɔ̀tà ná ndzèlá já màlìlì],"Abandaki mosala malamu, kasi sik’oyo akɔti na nzela ya malili.",Moto nyonso ayebaki ete abimi lisusu te na nzela ya malili.,Ba politiciens mingi bakɔtaka na nzela ya malili tango baboyi kobeta polele.
Kokanga monoko lokola biloko ya bankɔkɔ,Fixed clause with comparative structure,To keep secrets very tightly; to remain completely silent.,Kozala na bobateli ya maloba.,B2,"Family, work, secrecy, loyalty","Colloquial, respectful",Alludes to sacred ancestral relics (bankɔkɔ) that are carefully sealed and never spoken about.,[kòkàŋgà mónòkó lòkòlà bìlókó já báŋkɔ́kɔ],"Nalobaki na ye, kasi akangi monoko lokola biloko ya bankɔkɔ.","Soki olingi moto azala fidèle, atika koloba, akanga monoko lokola biloko ya bankɔkɔ.",Ba sekre ya ndako ekobika soki bato bakangi monoko lokola biloko ya bankɔkɔ.
Kobeta libanga,Verb phrase (kobeta + object noun),To hustle or engage in informal economic activities.,Kosala eloko mpo na kozwa mbongo.,A2,"Youth, street talk, daily survival","Colloquial, informal","Urban Kinshasa slang, originally referring to young men seeking quick cash on the streets.",[kòbètà libáŋgà],Ba jeunes bazali kobeta libanga mpo na kolia.,"Naleki na rond-point, bato mingi bazalaki kobeta libanga.",Kobeta libanga ezali ndenge moko ya kosala mpo na kolonga na vie.
Kolala na matoyi mibale,Verb phrase + prepositional complement,To sleep peacefully or to feel completely safe.,Kolala na kimia nyonso.,A2,"Family, spirituality, comfort, security","Colloquial, poetic","From traditional saying about inner peace and trust, implying absence of fear.",[kòlálà ná màtójí mìbálɛ],"Na ndako ya mama, nazalaki kolala na matoyi mibale.",Moto oyo azali na motema makasi akolala na matoyi mibale.,"Tango kimia ezali, bana nyonso balalaka na matoyi mibale."
Kozala lokola nzete ya banzete,Comparative fixed clause,To stand firm and unshaken in hard times.,Kokanga motema na pasi.,B2,"Motivational, spiritual, resilience, leadership","Poetic, formal",Inspired by Congo Basin trees known for their deep roots and endurance.,[kòzálà lòkòlà ndzètɛ já bándzètɛ],"Azalaki pasi, kasi azalaki lokola nzete ya banzete.","Soki ozali lokola nzete ya banzete, mpepe ekobeta yo te.",Moto ya solo amonisaka motema makasi lokola nzete ya banzete.
Kozua matoyi ya ndobo,Verb phrase (kozua) + object phrase (matoyi ya ndobo),"To become inattentive, careless, or distracted.",Kozanga koyoka malamu.,B1,"Education, humor, parenting","Humorous, informal",Rooted in rural humor comparing inattentive listeners to stubborn donkeys.,[kòzwà màtójí já ndóbó],"Tango mobali oyo azali koloba, okomi kozua matoyi ya ndobo.",Ba élèves mosusu bazali na matoyi ya ndobo na kelasi.,"Soki olingi kolonga, tika kozua matoyi ya ndobo."
Kokunda makambo na mabele,Verb phrase (kokunda) + locative complement,To forget past problems or let go of grudges.,Kobwaka makambo ya kala.,C1,"Reconciliation, religion, relationships","Formal, spiritual",Derived from ancestral practices of burying symbols of peace after conflict resolution.,[kòkúndà màkámbó ná màbèlɛ],Tokokunda makambo na mabele mpo kimia ezonga.,Mama alobaki ete kokunda makambo na mabele ezali likambo ya bato ya mayele.,"Soki olingi boboto, kokunda makambo na mabele."
