Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
आग माँ घी डारना,क्रियात्मक वाक्यांश; संज्ञा + पोस्टपोज़िशनल लोकैटिव + कर्म + धातु (डारना),पहले से तनावपूर्ण स्थिति को और अधिक भड़काना या उकसाना,स्थिति को और बिगाड़ देना,B2,"परिवारिक विवाद, राजनीति, हास्य, व्यंग्य","कोलोक्वियल, व्यंग्यात्मक",ग्रामीण चूल्हा संस्कृति से; आग में घी डालने पर लपट तेज होय,/aːg mɑ̃ ɡʱiː ɖaːrnaː/,तू बीच माँ बोल के आग माँ घी डार दिहेस।,नेता क भाषण से मामला आग माँ घी डारे जइसन भओ।,बहिनी क बात सुन के ऊ आग माँ घी डारना बंद करिस।
नाक कट जाना,संज्ञा + अकर्मक क्रिया; सम्मानसूचक रूपक संरचना,अपमानित हो जाना या सामाजिक प्रतिष्ठा खो देना,सम्मान खो देना,B1,"परिवार, विवाह, सामाजिक प्रतिष्ठा","कोलोक्वियल, गंभीर",पारंपरिक सम्मान-आधारित ग्रामीण समाज से जुड़ा रूपक,/naːk kəʈ d͡ʒaːnaː/,अगर परीक्षा माँ फेल होइहू त मोर नाक कट जाही।,गाँव भर माँ बात फैल गइ त ओकर नाक कट गइ।,झूठ पकड़ाय गओ त सबके सामने नाक कट गइ।
हाथ पर हाथ धरे बैठना,क्रियात्मक वाक्यांश; पुनरुक्ति + कृदंत संरचना,निष्क्रिय रहना जबकि कार्य आवश्यक हो,कुछ न करना,A2,"कार्यस्थल, परिवार, प्रेरणा भाषण","कोलोक्वियल, आलोचनात्मक",कृषि समाज में श्रम की महत्ता से संबंधित,/ɦaːt pər ɦaːt d̪ʱəreː bəiʈʰnaː/,सब काम पडल हवै अउ तू हाथ पर हाथ धरे बैठो हस।,संकट माँ हाथ पर हाथ धरे बैठना ठीक नइ।,ऊ मौका गवाइस काहेकि हाथ पर हाथ धरे बैठो रहै।
पानी सिर से ऊपर हो जाना,रूपकात्मक वाक्य; संज्ञा + लोकैटिव + क्रियापद,स्थिति नियंत्रण से बाहर हो जाना,स्थिति संभाल से बाहर हो जाना,B2,"आर्थिक संकट, पारिवारिक तनाव, प्रशासन","कोलोक्वियल, नाटकीय",नदी-आधारित जीवन शैली से प्रेरित बाढ़ रूपक,/paːniː sir seː uːpər ɦoː d͡ʒaːnaː/,करजा एतना बढ़ गओ कि पानी सिर से ऊपर हो गओ।,बच्चन क शरारत से पानी सिर से ऊपर हो जात हवै।,जब खर्चा बढ़िस त पानी सिर से ऊपर हो गओ।
आँख मूँद के भरोसा करना,क्रियात्मक मुहावरा; क्रिया + क्रिया विशेषणीय उपवाक्य,बिना सोचे-समझे विश्वास करना,अंधविश्वास करना,B1,"दोस्ती, राजनीति, व्यापार","कोलोक्वियल, चेतावनीपूर्ण",विश्वास और धोखे की लोककथाओं से संबद्ध,/aː̃kʰ muːnd keː bʱəroːsaː kərnaː/,तू ओकर ऊपर आँख मूँद के भरोसा मत कर।,हम आँख मूँद के भरोसा कइ दिहेन अउ धोखा खाइन।,व्यापार माँ आँख मूँद के भरोसा करना घाटे क सौदा हवै।
घर क भेदी लंका ढाहे,लोकोक्ति; कर्ता + संबंधकारक + रूपकात्मक क्रिया,अपना ही व्यक्ति नुकसान पहुँचा दे,अंदरूनी विश्वासघात करना,C1,"राजनीति, संगठन, परिवारिक विवाद","साहित्यिक, गंभीर",रामायण कथा संदर्भ; विभीषण प्रसंग,/ɡʱər k bʱeːdiː ləŋkaː ɖʱaːɦeː/,राजनीति माँ घर क भेदी लंका ढाहे जइसन हाल भओ।,"गोपनीय बात बाहर गइ, घर क भेदी लंका ढाहे।",संस्था टूट गइ काहेकि घर क भेदी लंका ढाहे।
दाल नइ गलना,निषेधात्मक क्रियात्मक संरचना,योजना सफल न होना,काम सफल न होना,A2,"दैनिक जीवन, हास्य, हल्की आलोचना","कोलोक्वियल, हास्यपूर्ण",रसोई संस्कृति से; दाल न गलना = अधपका रह जाना,/daːl nəi ɡəlnaː/,आज तोर दाल नइ गली।,"ऊ कोशिश करत रहै, पर दाल नइ गली।",मोलभाव माँ ओकर दाल नइ गलिस।
मन मसोस के रह जाना,भाववाचक वाक्यांश; संज्ञा + क्रिया समुच्चय,अंदर ही अंदर दुख या निराशा दबा लेना,चुपचाप दुख सह लेना,B2,"परिवार, व्यक्तिगत संबंध, साहित्य","भावनात्मक, साहित्यिक",लोकगीत परंपरा में अंतर्मन की पीड़ा से जुड़ा,/mən məsos keː rəh d͡ʒaːnaː/,इनाम न मिलिस त ऊ मन मसोस के रह गओ।,अपमान सह के मन मसोस के रह जाना ठीक नइ।,बात कह न पाइस अउ मन मसोस के रह गओ।
सिर पर चढ़ जाना,रूपकात्मक क्रिया संरचना,अत्यधिक लाड़-प्यार से बिगड़ जाना,बहुत अधिक छूट मिलना,B1,"पालन-पोषण, परिवार, सामाजिक आलोचना","कोलोक्वियल, आलोचनात्मक",पारंपरिक अनुशासनात्मक पारिवारिक ढाँचे से,/sir pər t͡ʃəɽ d͡ʒaːnaː/,बच्चा एतना सिर पर चढ़ गओ हवै कि बात नइ सुनत।,जादा लाड़ से नौकर सिर पर चढ़ जात हवंय।,ऊ सराहना से सिर पर चढ़ गओ।
दिन दूना रात चौगुना बढ़ना,लोकोक्ति; संख्यात्मक पुनरुक्ति संरचना,बहुत तेजी से वृद्धि होना,तेजी से बढ़ना,C1,"व्यापार, अर्थव्यवस्था, कृषि, साहित्य","साहित्यिक, औपचारिक",कृषि उपज वृद्धि रूपक; पारंपरिक गणना शैली,/d̪ɪn duːnaː raːt t͡ʃɔːɡunaː bəɽnaː/,ओकर व्यापार दिन दूना रात चौगुना बढ़त हवै।,गाँव क आबादी दिन दूना रात चौगुना बढ़ गइ।,तकनीक से उत्पादन दिन दूना रात चौगुना बढ़िस।
