Idiom (Korean),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Korean)",First Example Sentence,Second Example Sentence,Third Example Sentence
닭 쫓던 개 지붕 쳐다본다,"속담, 관용구, 서술형 절 구조",원하던 것을 놓치고 멍하니 바라보기만 하는 상황,목표를 잃고 어쩔 줄 몰라 하다,B2,"일상 대화, 유머, 직장","구어체, 풍자적",농경 사회에서 유래된 비유적 표현,tak̚ t͡ɕot̚t͈ʌn ɡɛ t͡ɕibuŋ t͡ɕʰʌdabonda,그는 승진이 물 건너가자 닭 쫓던 개 지붕 쳐다보는 표정을 지었다.,"기회를 놓친 후, 친구는 닭 쫓던 개처럼 지붕만 멍하니 보고 있었어요.",결과 발표 후 닭 쫓던 개 지붕 쳐다보듯 허탈해하더라고요.
고래 싸움에 새우 등 터진다,"속담, 명사구, 은유적 구조",강한 자들의 다툼에 약한 자가 피해를 본다는 의미,강자의 충돌로 약자가 손해를 보다,C1,"정치, 사회, 뉴스, 비평","문어체, 풍자적",고래와 새우는 한반도 인근 해양 생태에서 상징적 존재,koɾɛ s͈aum-e sɛu tɯŋ tʰʌd͡ʑinda,정치권의 다툼 속에 국민은 고래 싸움에 새우 등 터지는 격이다.,대기업 간의 경쟁에서 중소기업이 고래 싸움에 새우 등 터지는 경우가 많다.,그 문제는 고래 싸움에 새우 등 터지듯 아무 관련 없는 내가 피해를 봤다.
바늘 도둑이 소 도둑 된다,"속담, 격언형 서술절",작은 잘못도 반복되면 큰 범죄가 된다는 의미,작은 나쁜 행동도 습관이 되면 큰 문제를 일으킨다,B1,"교육, 윤리, 가족","교훈적, 중립적",전통 유교 사상의 윤리 강조 표현,panɯl to̞d̯uɡi so̞ to̞d̯uɡ do̞enda,어릴 때부터 거짓말을 하면 바늘 도둑이 소 도둑 된다는 말처럼 커서도 문제를 일으킬 수 있어요.,아버지는 항상 바늘 도둑이 소 도둑 된다며 작은 잘못도 용납하지 않으셨다.,이런 행동이 반복되면 바늘 도둑이 소 도둑 되는 법이지.
하늘이 무너져도 솟아날 구멍이 있다,"속담, 복합 절 구조",아무리 어려운 상황이라도 해결책은 있다,절망적인 상황에도 희망은 있다,B2,"격려, 상담, 교육","격식체, 희망적",불교적 인내와 희망의 전통에서 유래,hanɯɾi munʌd͡ʑʌdo sʰosanal kumʌŋi it̚t͈a,하늘이 무너져도 솟아날 구멍이 있으니 포기하지 마.,그녀는 하늘이 무너져도 솟아날 구멍이 있다는 믿음으로 버텼다.,하늘이 무너져도 솟아날 구멍이 있다더니 결국 해결됐네.
불난 집에 부채질한다,"속담, 병렬 구조, 부정적 의미",이미 나쁜 상황을 더 악화시키다,문제를 더 심각하게 만들다,C1,"비판, 뉴스, 정치","풍자적, 비유적",전통 가옥의 화재와 관련된 사회적 교훈,pulnan t͡ɕipe put͡ɕʰed͡ʑiɾhanda,상황이 안 좋은데 왜 불난 집에 부채질하니?,그 발언은 불난 집에 부채질하는 격이었다.,이미 엉망인데 더 건드리면 불난 집에 부채질이지.
낮말은 새가 듣고 밤말은 쥐가 듣는다,"속담, 대조적 절 구조",어디서든 말조심해야 한다는 의미,항상 조심해서 말해야 한다,B2,"가족, 교육, 윤리","교훈적, 비유적",자연 동물 비유로 조선시대 예절에서 유래,nanmalɯn sɛɡa tɯt̚k͈o pammaɾɯn t͡ɕʰɥiɡa tɯt̚nɯnda,낮말은 새가 듣고 밤말은 쥐가 듣는다니까 조심해.,그 말은 낮말은 새가 듣는 법이야.,밤말은 쥐가 듣는다던데 그 얘긴 나중에 해.
가는 말이 고와야 오는 말이 곱다,"속담, 조건절 구조",상대에게 좋은 말을 해야 좋은 말을 듣는다,예의 바르게 말하면 예의 바른 대답을 듣는다,A2,"일상 대화, 가족, 예절 교육","교훈적, 따뜻한 어조",유교 예절 교육의 핵심 가르침,kanɯn maɾi ko̞wa̠ja̠ o̞nɯn maɾi ko̞p̚t͈a,가는 말이 고와야 오는 말이 곱지.,"그렇게 말하면 상대도 좋게 말해, 가는 말이 고와야 오는 말이 곱다고.",말투가 왜 그래? 가는 말이 고와야 오는 말이 고운 법이야.
산 넘어 산이다,"관용구, 명사구",문제가 끝났나 싶더니 또 다른 문제가 생김,문제가 계속 이어진다,B1,"직장, 사회생활, 불평","비유적, 피로감 표현",산악 지형의 연속적인 어려움을 비유,san nʌmʌ sanida,"하나 해결했더니 또 다른 문제, 산 넘어 산이네.",일이 왜 이렇게 많아? 산 넘어 산이야 정말.,프로젝트마다 문제가 터져서 산 넘어 산이에요.
열 길 물속은 알아도 한 길 사람 속은 모른다,"속담, 비교 구문",사람의 속마음을 알기 어렵다는 의미,겉으로는 사람의 본심을 알 수 없다,C1,"인간관계, 심리, 문학","격식체, 철학적",조선 지식인들의 심리·인간 이해관에서 유래,jʌɭ ɡil muls͈oɡɯn aɾado han ɡil saɾam s͈oɡɯn moɾɯnda,그렇게 웃는다고 다 좋은 건 아니야. 열 길 물속은 알아도 한 길 사람 속은 몰라.,열 길 물속은 알아도 사람 속은 모른다니까 너무 믿지 마.,그 말을 듣고 열 길 물속은 알아도 사람 속은 모른다는 말이 떠올랐어.
입이 근질근질하다,"관용구, 현재진행 느낌의 형용사 표현",하고 싶은 말을 참기 힘들어 함,말하고 싶은 걸 억제하다,B1,"일상 대화, 유머, 가십","구어체, 장난스러운",전통적으로 말수가 많은 사람에 대한 풍자,ipi kɯnd͡ʑiɾkɯnd͡ʑiɾhada,그 얘기 진짜 웃겨서 입이 근질근질한데 말 못 하겠어!,비밀인데 입이 근질근질해서 죽겠어.,입이 근질근질한데 참는 중이야.
