Idiom (Yakut),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Yakut)",First Example Sentence,Second Example Sentence,Third Example Sentence
Атыҥ суох хаһан да тыл суох.,Complex declarative clause with negation; subject-predicate structure.,A person with no name has no reputation or recognition.,One must earn respect to be known.,B2,"Wisdom, proverbs, everyday speech, moral lessons.","Proverbial, formal.",Derived from Yakut moral sayings emphasizing honor and reputation.,[atɯŋ suox xaˈhan da tɯl suox],Кини ааты суох хаһан да тыл суох диилэр дьон буолбут.,Сүрэхтээх дьон ааты суох хаһан да тыл суох тылынан үлэлиир.,"Кини туох диэри тыл суох, ааты суох хаһан да тыл суох."
Күөх көс буоллаҕа.,Fixed exclamatory phrase using adjective and noun.,An expression of admiration or surprise; similar to 'Oh my goodness!',That’s amazing or unbelievable.,A2,"Daily speech, exclamation, surprise, humor.","Colloquial, expressive.",Traditional Yakut exclamation referring to nature and spirit of the north.,[kʏøx køs buoˈɬːaʁa],"Күөх көс буоллаҕа, ол уонна хос үтүөн үлэлиир!","Күөх көс буоллаҕа, кини уонна тахсан суох буолбут.","Күөх көс буоллаҕа, хайдах хаһан ол суох буолбут."
Сыарыыҥ сытыах суохтаах.,Declarative phrase with genitive possession and negative predication.,Used to describe someone who is lazy or unmotivated.,He or she doesn’t want to work or do anything.,B1,"Daily speech, workplace, humor, criticism.","Colloquial, sarcastic.",Originates from the concept of cold seasons when effort is required to survive.,[sɯaˈrɯːŋ sɯˈtʲax suoxˈtaːx],"Кини сыарыыҥ сытыах суохтаах, үлэлиир суох.",Ол уол сыарыыҥ сытыах суохтаах дьон туһунан кэпсээбит.,Сырыыҥ сытыах суохтаах уонна ыарыа суох.
Күн туһугар кыайыах суох.,Complex negative declarative with dative case and negation.,"Everything is going well, there are no problems or obstacles.",Everything is fine or stable.,B1,"Daily conversation, reassurance, work, family.","Neutral, colloquial.",Derived from Yakut rural life — peaceful day without challenges.,[kyn tuhuɡar kɯaˈjax suox],"Бүгүн күн туһугар кыайыах суох, үлэлиирбэппин.","Күн туһугар кыайыах суох, аһар буоллаҕа.","Күн туһугар кыайыах суох диэн, кини сөп түүнэ."
Суох суохха баһа суох.,Repetitive clause using parallelism and negation.,Nothing good can come from nothing.,You can’t get results without effort.,B2,"Moral, educational, workplace, proverbs.","Formal, proverbial.",A traditional moral teaching emphasizing hard work.,[suox suoxˈxa baˈha suox],Суох суохха баһа суох диэн аата бар.,"Суруйаҕын суох буоллаҕына, баһа суох буолар.",Суох суохха баһа суох диэн кини үөрэтэр.
Ыараҕы суох дьон туох диэбэт.,Negated declarative phrase with genitive and plural noun.,People without patience accomplish nothing.,"Without patience, nothing succeeds.",B2,"Advice, education, moral speech.","Proverbial, formal.",Yakut proverb derived from survival wisdom of harsh winters.,[ɯaˈraʁɯ suox dʲon tuox dʲieˈbet],"Ыараҕы суох дьон туох диэбэт, эрэйдиэх буол.",Ыараҕы суох дьон кини туох диэбэт эбит.,Ыараҕы суох дьон туох хаһан да үлэлиир суох.
Сэргэ туһунан сүрэхтээх бол.,Imperative clause with adpositional phrase.,Stand firm and stay strong in your beliefs.,Be strong and determined.,B1,"Encouragement, advice, motivational speech.","Colloquial, uplifting.",Linked to the Yakut cultural symbol of ‘serge’ (a sacred hitching post) representing strength and stability.,[serɡe tuhuɴan sʏrɛxtɛːx bol],"Сэргэ туһунан сүрэхтээх бол, туох хаһан да буолбатах.","Сэргэ туһунан сүрэхтээх бол, эрэйдиэх буол.",Сэргэ туһунан сүрэхтээх бол диэн үтүөн туһугар айан.
Сарсыар көҥүл барыа.,Declarative phrase with verb and noun complement.,Used when someone feels heavy-hearted or sad.,Feeling sorrow or sadness.,B2,"Emotion, literature, daily speech.","Poetic, emotional.",Associated with Yakut poetic tradition and symbolism of ‘sar’ (heart).,[sarˈsɯar køˈŋʏl barɯa],"Кини сарсыар көҥүл барыа, туох эрэ хаһан да уһуллубут.","Сарсыар көҥүл барыа диэн, кини санаата суох.","Мин сарсыар көҥүл барыам, туох хаһан да туох буолбатах."
Туруорар дьон туох буолар.,Declarative clause with iterative aspect.,People who persist will achieve something.,Persistence leads to success.,B1,"Education, workplace, moral advice.","Proverbial, formal.",Rooted in Yakut belief in perseverance and endurance.,[tuˈruorɑr dʲon tuox buoˈlar],Туруорар дьон туох буолар диэн үтүөн туһугар санаалаах.,"Туруорар дьон туох буолар, суох суохха баһа суох.",Кини туруорар дьон туох буолар диэн үөрэтэр.
"Суруйан, суохтаныы суох буолбут.",Coordinated clause with participial form and negation.,"Without action, there’s no progress.","If you don’t try, nothing happens.",B2,"Advice, teaching, motivation.","Proverbial, formal.",Represents the Yakut cultural appreciation for industriousness and effort.,[suruˈjan suoxˈtɯnɯ suox buolˈbut],"Суруйан, суохтаныы суох буолбут диэн үлэлиирбиккин.","Суруйан, суохтаныы суох буолбут — ол эрэ үтүөн тыл.","Кини суруйан, суохтаныы суох буолбут диэн санаалаах."
