Idiom (Amharic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Amharic)",First Example Sentence,Second Example Sentence,Third Example Sentence
ውሃ በላ እንደሌለበት,ፍትሃዊ ንግግር፣ የአባላዊ አዘጋጅት,አንድ ሰው አንዳንድ ነገር ተስተናግዶ መሄዱን ለመስበክ ይጠቀማል።,በዝም ቆይቶ አመነታች።,B2,ዕለታዊ ንግግር፣ የቤተሰብ ነገር፣ ትምህርት,ተወላጅ፣ ትንሳኤ,ከኢትዮጵያ አጠቃላይ ቋንቋ ባህል፣ አዳዲስ አበባ እና አካባቢዎች,/wɨha bəla ɨndä leläbät/ - ውɨሐ በላ እንደሌለበት,እሱ ውሃ በላ እንደሌለበት ሄዶ ተሰናበተ።,ውሃ በላ እንደሌለበት መንገድ መውጣቱ አሳፋሪ ነበር።,ጉዳዩን የመለየት እንኳን ውሃ በላ እንደሌለበት ሰው ይመስላል።
እንቁላል በአፍ ሳይቀል,የማብሰያ አነጋገር፣ ድምፅ የሚያውጣ ንግግር,ያልተገናኘ ነገር ላይ በቅድሚያ መብላት፣ እሱን በማይገባ መጠቀም,አንዳንድ ነገርን ከተመጣጠነ በፊት መጠቀም,C1,ትምህርት፣ ግንዛቤ፣ ተስፋ,ተወላጅ፣ ሣርካስቲክ,አባ ጉባኤ ትምህርት መንገድ,/ɨnkulal bä af sajʔɨkʼäl/ - እንኩላል በአፍ ሳይቀል,እሷ እንቁላል በአፍ ሳይቀል ነበር እያደረገች።,የእርሷ ሙከራ እንቁላል በአፍ ሳይቀል ነበር።,ያ ቁልፍ ነገር እንቁላል በአፍ ሳይቀል ወደ ሥራ ገባ።
በልጅ ትንሽ እሳት ይቃጠላል,ተደጋጋሚ ምሳሌ አዘጋጅት፣ የተቋረጠ ቅርጸ ነገር,ትንሽ ስህተት ወደ ትልቅ ጉዳት ይመራል,ትንሽ ነገር አትተንተን፣ ከባድ ይሆናል,B1,ዕለታዊ፣ ቤተሰብ፣ ትምህርት,መንገዳዊ፣ ትንታኔ,የመንደር እና የቤተሰብ ተሞክሮዎች,/bälɨdʒ tɨnɨʃ ɨsat jɨqqatʼälal/ - በልጅ ትንሽ እሳት ይቃጠላል,በልጅ ትንሽ እሳት ይቃጠላል ብሎ መከታተል አለበት።,አንዳንድ ሰዎች በልጅ ትንሽ እሳት ይቃጠላሉ።,ማዘን አትችል፤ በልጅ ትንሽ እሳት ይቃጠላል ነው!
ደም ላይ እንደተሰራበት,ተመጣጣኝ አቀማመጥ፣ በተንቀሳቃሽ ዘዴ,አስፈላጊ እና ከፍተኛ ተጽእኖ ያለው ነገር,በጣም አስፈላጊ፣ ጥሩ ትምህርት,C1,መምህራን፣ ፅኑ መንገድ፣ ታሪክ,ተወላጅ፣ ግልጽ ቃላት,የውድቀት መታሰቢያ፣ የትምህርት ቤት,/däm laj ɨndä tɨsärrabät/ - ደም ላይ እንደተሰራበት,እሱ እርሱን ደም ላይ እንደተሰራበት ያሳያል።,ትምህርቱ ደም ላይ እንደተሰራበት ተሰማ።,አዲሱ መሪ ደም ላይ እንደተሰራበት በደንብ ሰራ።
ጉልበት የሌለው ድመት,ገፅታዊ አሰምና፣ ምሳሌ የተሞላበት,ርዕሰ አንደበት ያላለው፣ ድንጋይ የሌለው ሰው,ደካማ፣ ምንም ኃይል የሌለው,A2,ዕለታዊ፣ ወንጀል፣ ተስፋ,ተወላጅ፣ ሣርካስቲክ,ከአካባቢ አማራ ዞኖች፣ መንደሮች,/gulbät jäläläw dɨmät/ - ጉልበት የሌለው ድመት,እሱ ጉልበት የሌለው ድመት ነው።,የጦር መንካት ጉልበት የሌለው ድመት ያስመስለኛል።,እንደ ጉልበት የሌለው ድመት እንዳይደርስ።
ነፋስ ያልተተረፈው,ተግባራዊ የሆነ የፈጠራ ቃላት,ነገሩ እንዳልተጠናቀቀ እና ተቆማ,ያልተፈጸመ እና ሳይተጠናቀቅ ተወደደ,B2,ፖለቲካ፣ መዝሙር፣ ውይይት,ገጽታዊ፣ አንጋፋ,አዲስ አበባ ቃላት እና ዜናዎች,/näfas jal tɨtäräfäw/ - ነፋስ ያልተተረፈው,ነፋስ ያልተተረፈው ነገር አይጠበቅም።,የተመኘው ውጤት ነፋስ ያልተተረፈው ነበር።,ትምህርቱ እንደ ነፋስ ያልተተረፈው ቀለለ።
እንባ በሽቱ ይለያል,ግለሰባዊ የምሳሌ አዘጋጅት,ሰው ነው አይታወቅም እስኪደርስ እንኳን,የሰው ውስጥ አይታወቅም እስኪደርስ ድረስ,C1,ምስክርነት፣ ልጅነት፣ አሳፋሪ ጉዳይ,አዳራሽ፣ ልብ የሚነካ,ትምህርት አሰጣጥ፣ እምነት ማዕከላዊ ጽሁፎች,/ɨnba bäʃɨtu jiläjal/ - እንባ በሽቱ ይለያል,እንባ በሽቱ ይለያል ብሎ እንቆቅልሽ አደረገ።,በእንባ በሽቱ ይለያል ሰዎች እያዩ ነበሩ።,ሁሉም እንባ በሽቱ ይለያል ብለው ተግባራዊ ሆኑ።
ዓይን ያለው ነገር አይደለም,ተግባራዊ እና ዝርግ ንግግር,አንዳንድ ነገር እንደሚታየው አይሆንም፣ ውስጣዊ ይሆናል,ነገሩ ያሳየን እንደሆነ አይደለም,B2,ምክር፣ ስነ-ልቦና፣ ታሪክ,አስተዋፅኦ፣ ትንታኔ,የቤተሰብ አመለካከት፣ አማራ እና ኦሮምያ አካባቢዎች,/ʕajn jaläw nägär ajdäläm/ - ዓይን ያለው ነገር አይደለም,ዓይን ያለው ነገር አይደለም እንዴት እንደሚያሳልፍ አትታመን።,እንዲያውም ዓይን ያለው ነገር አይደለም።,የታየው ዓይን ያለው ነገር አይደለም ተብሎ ተሰበከ።
ጭማቂ ላይ ሽቱ አሳልፎ,የተያያዘ ሁነታ መግለጫ,ነገርን ዝቅ አድርጎ ማድረግ፣ የሚያሳዝን ነገር ላይ ሌላ መጨመር,ያሳዝነውን በተጨማሪ አድርጎ ማድረግ,C1,ምስክር፣ ሙዚቃ፣ የግጥም አቀማመጥ,ሣርካስቲክ፣ ጭንቀታማ,እንቁላል እና ዘመቻ ባህላዊ ምሳሌዎች,/ʧʼɨmäqi laj ʃɨtu asalfo/ - ጭማቂ ላይ ሽቱ አሳልፎ,ጭማቂ ላይ ሽቱ አሳልፎ ደግሞ እንዲቀጥል ተደረገ።,በተደረገው አደጋ ጭማቂ ላይ ሽቱ አሳልፎ ነበር።,የእናቱ ቃል ጭማቂ ላይ ሽቱ ነበር ብሎ ተቀበለ።
ከተንቀሳቃሽ ጋር መንገድ መጀመር,የሁኔታ ድምብ ንግግር,አያያዝ የሌለው ሰው ጋር ማስተዋወቅ,ተዘነጋና አይታመነ ሰው ጋር መስራት,B2,የሥራ ቦታ፣ ፖለቲካ፣ ቤተሰብ,ሠላማዊ፣ ሴሪየስ,በደኅንነት እና የመንገድ ቅድመ ታሪክ,/kätäŋkʼäsaqʼäʃ gar mängäd mädʒämmär/ - ከተንቀሳቃሽ ጋር መንገድ መጀመር,ከተንቀሳቃሽ ጋር መንገድ መጀመር አሳዛኝ ተግባር ነው።,እንደ ቀድሞ ከተንቀሳቃሽ ጋር መንገድ መጀመር አይመከርም።,ያ ውሳኔ ከተንቀሳቃሽ ጋር መንገድ መጀመር ነበር።
