Idiom (Tigre),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tigre)",First Example Sentence,Second Example Sentence,Third Example Sentence
እድ ኣብ ሓዊ ምእታው,Verbal phrase with locative construction,To enter into danger knowingly,ሓደጋ ብፍላጥ ምግባር,B2,"daily speech, politics","colloquial, cautionary",Derived from pastoral life and open-fire cooking traditions,/ʔɨd ab ħawi mɨʔtaw/,ንሱ ኣብቲ ግጭት እዱ ኣብ ሓዊ ኣእትዩ።,ኣነ እድ ኣብ ሓዊ ክኣቱ ኣይፈትንን።,ሓውየ ብዘይ ምሕሳብ እዱ ኣብ ሓዊ ኣእተወ።
ልቡ ከም እምኒ,Nominal comparison structure,To be emotionally cold or unmerciful,ጭካነ ምህላው,B1,"family, literature","poetic, critical",Common Horn of Africa metaphor comparing hardness to stone,/lɨbu käm ʔɨmni/,እታ ወዲ ሰብ ልቡ ከም እምኒ እዩ።,ልቡ ከም እምኒ ስለዝኾነ ንህጻናት ኣይሓግዝን።,ኣብ ዛንታ ንጉስ ልቡ ከም እምኒ ተገሊጹ።
ኣፉ ምስ ንፋስ ምኻድ,Infinitive verbal idiom,To speak carelessly or inconsistently,ዘይተረጋገጸ ነገር ምዝራብ,B2,"humor, daily speech","ironic, humorous",Used in village discourse about unreliable speakers,/ʔafu mɨs nɨfas mɨxad/,ንሱ ኣፉ ምስ ንፋስ ይኸይድ።,ኣብ ጉባኤ ኣፉ ምስ ንፋስ ከይከይድ ተጠንቀቕ።,ሰባት ንዕኡ ኣፉ ምስ ንፋስ ዝኸይድ ሰብ ይብልዎ።
ዓይኑ ምብራህ,Verbal expression with body-part subject,To become hopeful or excited,ተስፋ ምርካብ,A2,"daily speech, family","neutral, expressive",Associated with visible emotional reactions in oral storytelling,/ʕajnu mɨbraħ/,ሓበሬታ ምስ ሰምዐ ዓይኑ በርሀ።,ዓይና ብሓዲሽ ስራሕ በርሀት።,ህጻናት ህያብ ምስ ረኣዩ ዓይኖም በርሀ።
ከብዱ ምብላዕ,Reflexive metaphorical verb phrase,To worry excessively or overthink,ብዙሕ ምጭናቕ,B1,"family, workplace",colloquial,Traditional metaphor connecting emotion with the stomach,/käbdu mɨblaʕ/,ኣደይ ብዛዕባ ደቃ ከብዳ ትበልዕ።,ከብድኻ ኣይትብላዕ ኩሉ ይሓልፍ።,ንሱ ምሉእ ለይቲ ከብዱ ይበልዕ ነበረ።
ገመድ ምቑራጽ,Action infinitive idiom,To end a relationship or agreement completely,ርክብ ምቁራጽ,B2,"politics, workplace","formal, metaphorical",Inspired by rope symbolism in caravan and pastoral culture,/gämäd mɨqurats/,እቶም ክልተ ኩባንያታት ገመድ ቈሪጾም።,ንሳ ምስ ዓርካ ገመድ ቈሪጻ።,ሽማግለታት ገመድ ከይቈርጹ ለመኑ።
ሓንጎሉ ምዕጻው,Verbal metaphor,To refuse to listen or understand,ምስማዕ ምእባይ,C1,"education, politics",critical,Modern educational idiom influenced by public discourse,/ħangolu mɨʕtsaw/,ተማሃራይ ሓንጎሉ ዓጽዩ ነበረ።,ሓንጎልኻ ኣይትዕጾ ንምኽሪ ስማዕ።,ኣብ ክርክር ብዙሓት ሰባት ሓንጎሎም ይዕጽዉ።
ኣእጋሩ ኣብ ማይ,Fixed locative expression,To be in an unstable or risky situation,ዘይተረጋገጸ ኩነታት ውስጥ ምህላው,B2,"daily speech, business",cautionary,Linked to crossing seasonal rivers in rural regions,/ʔaʔgaru ab maj/,ንግዱ ሕጂ ኣእጋሩ ኣብ ማይ እዩ።,ኣእጋርና ኣብ ማይ ከምዘለዋ ይስምዓኒ።,እቲ ፕሮጀክት ኣእጋሩ ኣብ ማይ ኮይኑ ኣሎ።
ኣፉ ሽኮር ልቡ መርዚ,Parallel nominal clause,Someone who speaks kindly but has bad intentions,ብሕጉስ ቃል ሕማቕ ሓሳብ ምሓዝ,C1,"sarcasm, politics","sarcastic, ironic",Common warning expression in oral wisdom traditions,/ʔafu ʃəkor lɨbu märzi/,እቲ ሰብ ኣፉ ሽኮር ልቡ መርዚ እዩ።,ኣዴታት ንደቀን ኣፉ ሽኮር ልቡ መርዚ ከይኣምኑ ይምክራ።,ኣብ ፖለቲካ ኣፉ ሽኮር ልቡ መርዚ ዝበሃሉ ሰባት ብዙሓት እዮም።
ወርቂ ኣብ ሓመድ ምድርባይ,Complex infinitive clause,To waste something precious or valuable,ክቡር ነገር ምብካን,B2,"education, literature",poetic,Rooted in agrarian imagery contrasting gold and soil,/wärqi ab ħamäd mɨdɨrbaj/,ተሰጥኦኻ ከይትብክን ወርቂ ኣብ ሓመድ ኣይትድርብዮ።,ንሳ ዕድላ ወርቂ ኣብ ሓመድ ደርብያቶ።,ምህሮ ምትዋእ ወርቂ ኣብ ሓመድ ምድርባይ እዩ።
