Idiom (Western Neo-Aramaic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Western Neo-Aramaic)",First Example Sentence,Second Example Sentence,Third Example Sentence
lebb-e ṭāb kaḥke b-ġubna,Possessive noun phrase with attributive adjective plus imperfective verb phrase; fixed metaphorical clause using body-part noun 'heart'.,"Someone is cheerful, generous, and able to laugh even when life is modest or difficult.",huwa farḥān w-karīm ḥatta b-zman ṣaҁb,B1,daily speech; family praise; neighborly talk; moral description,"colloquial, warm, approving, lightly poetic","Rooted in village speech where bread, cheese, and shared meals symbolize hospitality in Maaloula households.",/ˈleb.be tˤaːb ˈkaħ.ke bˈɣub.na/,"Sālim čū ҁandu ktīr, bas lebb-e ṭāb kaḥke b-ġubna.","B-ḥafle ṣġīra, mraḥbi b-kull ġar, lebb-e ṭāb kaḥke b-ġubna.","Lā tḥseb-e faqīr, lebb-e ṭāb kaḥke b-ġubna w-yheb mn id-e."
ҁayn-e ṣōfya ҁal ṭūra,Possessive body-part noun phrase plus prepositional phrase; elliptical fixed clause describing perceptive attention.,"A person is watching carefully, noticing everything from a distance.",huwa yentebeh l-kull ši b-diqqa,B2,security; family supervision; gossip; cautionary advice,"colloquial, ironic or admiring depending on context","Evokes mountain-top visibility around Maaloula, where elevated places allow one to see paths, terraces, and approaching visitors.",/ʕaj.ne ˈsˤoːf.ja ʕal ˈtˤuː.ra/,"Ḥannā b-bayta, bas ҁayn-e ṣōfya ҁal ṭūra.","Lā tҁmel ġalaṭ qdam Sāra, ҁayn-e ṣōfya ҁal ṭūra.","Raҁyāne qālū: ҁayn-e ṣōfya ҁal ṭūra, w-ҁrefū min ǧāy."
šqel rīḥa mn ṯarҁa,Perfective verb phrase with direct object and source prepositional phrase; semi-fixed idiom built on sensing wind/air.,To get a hint of what is happening before it is openly said.,huwa fahhem l-amr mn išāra ṣġīra,B2,negotiation; gossip; family planning; workplace anticipation,"colloquial, shrewd, mildly humorous",Connected to traditional stone houses where a draft from the doorway can signal movement before anyone enters.,/ʃqel ˈriːħa mn̩ ˈθar.ʕa/,"Qabel ma tḥki l-ḫabar, šqel rīḥa mn ṯarҁa.",Mҁallem šqel rīḥa mn ṯarҁa w-baddal l-ḥesāb.,"Hiya šqlet rīḥa mn ṯarҁa, fa-sakket qdam l-ḍyūf."
iḏ-e ṭawīla b-ḫēr,Possessive noun phrase with adjective and prepositional complement; evaluative idiom centered on the hand as agency.,"A person is helpful, influential, and able to do good for others.",huwa yqder ysāҁed n-nās b-fiҁl waḍeḥ,B1,charity; community leadership; workplace recommendation; family mediation,"respectful, approving, semi-formal","Reflects the social value of intercession, practical help, and visible generosity in close-knit mountain communities.",/ˈið.e tˤaˈwiː.la bxeːr/,"Marūn iḏ-e ṭawīla b-ḫēr, kul maḥtāj yelqāh.","B-l-balad, iḏ-e ṭawīla b-ḫēr, w-kalmt-e masmūҁa.","Mā nseyna ḫdemt-a, iḏ-a ṭawīla b-ḫēr ҁal kull bayt."
mōya b-fumm-e,Nominal clause with possessed body-part noun and locative prepositional phrase; fixed ironic expression of silence.,"Someone keeps silent and refuses to speak, especially when expected to answer.",huwa sāket w-lā yqūl šī,A2,family scolding; classroom; teasing; interrogation,"colloquial, teasing, sometimes critical",Built on a simple physical image familiar in oral storytelling: a mouth full of water cannot speak.,/ˈmoː.ja bˈfum.me/,"Sʾalnēh ṯlaṯ marrāt, w-mōya b-fumm-e.","Lammā ǧā sīret d-dayn, ṣār mōya b-fumm-e.","Lā tḫalli mōya b-fumm-ak, ḥki l-ḥaqq hassa."
ṭaḥen ḥaǧar b-sinn-e,Imperfective/action verb phrase with object and instrumental body-part phrase; hyperbolic idiom.,To endure something extremely difficult with stubborn patience.,huwa yṣber ҁal ši ṣaҁb ġāyat aṣ-ṣuҁūba,C1,hardship; work; migration stories; moral praise,"colloquial, dramatic, admiring",Stone imagery fits the rocky landscape and old milling culture; the exaggeration gives the phrase a humorous toughness.,/ˈtˤa.ħen ˈħa.d͡ʒar bˈsin.ne/,"B-snin l-ǧafāf, abū-y ṭaḥen ḥaǧar b-sinn-e.","Hiya rbēt l-wlād waḥd-a, ṭaḥnet ḥaǧar b-sinn-a.",Lā tqul ma tqdor; ġērak ṭaḥen ḥaǧar b-sinn-e.
qalb-e ҁal nār ṣġīra,Possessive noun phrase plus prepositional phrase with adjective; emotional metaphor using fire.,"Someone is quietly anxious or worried, though not openly panicking.",huwa qaleq b-šakl hādiʾ,B1,parental worry; waiting for news; exams; travel,"colloquial, tender, empathetic",The hearth/fire image recalls domestic life where small embers continue burning even when the room seems calm.,/ˈqal.be ʕal naːr ˈsˤɣiː.ra/,Yamma qalb-a ҁal nār ṣġīra ḥatta rǧeҁna mn ṭarīqa.,"Qalbi ҁal nār ṣġīra, w-l-ḫabar baҁdu mā waṣal.",Lā ttaʾaḫḫar b-lēlya; qalb-e ҁal nār ṣġīra.
samm-e b-ҁasal,Nominal phrase juxtaposing poison and honey; compact evaluative metaphor often used predicatively.,"A speech or action sounds sweet but hides harm, manipulation, or bad intention.",kalām-e laṭīf b-ẓāher bas muḍirr b-l-maҁna,C1,politics; sarcasm; disputes; social criticism,"ironic, sharp, cautionary","Reflects a pan-Semitic moral image of deceptive sweetness, adapted to local village rhetoric and oral admonition.",/ˈsam.me bˈʕa.sal/,"Ḥkā ṣāḥebna b-naҁūma, bas kalām-e samm-e b-ҁasal.",Lā tesmaҁ kull waҁd; baҁḍ l-waҁd samm-e b-ҁasal.,"B-l-ǧlase ḍḥek, w-baҁden bān innu samm-e b-ҁasal."
raqqeṣ ҁal ḥabl rfiҁ,Causative/action verb phrase with prepositional phrase; idiom based on balance and risk.,To manage a delicate situation where one wrong move may cause trouble.,huwa yitṣarraf b-ḥaḏar bayn ṭarafayn,C1,mediation; politics; workplace conflict; family disputes,"colloquial, analytical, mildly dramatic",Likely tied to the image of public performance and precarious balance; useful in describing mediation in tight social networks.,/ˈraq.qes ʕal ħabl rfiʕ/,Muḫtār raqqeṣ ҁal ḥabl rfiҁ bayn l-ҁayltayn.,"B-l-šġel, līna traqqeṣ ҁal ḥabl rfiҁ maҁ l-mudīr.","Ḥki b-hdūʾ, laʾnna l-yōma nraqqeṣ ҁal ḥabl rfiҁ."
zraҁ kalmt-e b-tarba yābsa,Perfective verb phrase with possessed object and locative phrase; agricultural metaphor with moral evaluation.,"To waste advice, effort, or persuasion on someone who will not receive it.",huwa naṣaḥ šaḫṣ lā yqbal n-naṣīḥa,C2,teaching; family advice; politics; literary commentary,"poetic, resigned, slightly bitter","Agricultural terraces and dry soil provide the image: seed cannot grow without receptive earth, just as counsel fails without willingness.",/zraʕ ˈkal.mt-e bˈtar.ba ˈjaːb.sa/,"Naṣaḥt-e ktīr, bas zraҁ kalmt-e b-tarba yābsa.",Mҁallme qālet: lā tzraҁ kalmt-ak b-tarba yābsa.,"ҁand l-mutaҁaṣṣeb, kull ḥujǧa zraҁ kalmt-e b-tarba yābsa."
