Idiom (Suret),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Suret)",First Example Sentence,Second Example Sentence,Third Example Sentence
ܐܟ݂ܠܹܗ ܪܹܫܹܗ,Fixed verbal clause with object suffix,To become overwhelmed by worry or confusion,ܗܘܹܐ ܡܘܼܢܕܝܵܢܵܐ ܘܡܛܘܼܪܦܵܐ,B2,"Daily speech, family discussions, emotional situations","Colloquial, expressive",Common across Iraqi and Iranian Suret communities,/ʔaχleːh reːʃeːh/,ܡ̣ܢ ܝܵܘܡܵܐ ܕܫܡܝܼܥ ܚܒܵܪܵܐ ܐܟ݂ܠܹܗ ܪܹܫܹܗ ܒܚܸܫܒܘܼܢܵܐ.,ܠܵܐ ܬܲܚܫܸܒ ܟܠܔ ܡܸܢܕܝܼ، ܠܵܐ ܐܵܟ݂ܠܸܬ ܪܹܫܘܼܟ݂.,ܒܵܒܝܼ ܐܟ݂ܠܹܗ ܪܹܫܹܗ ܡ̣ܢ ܕܹܝܢܹ̈ܐ ܘܫܘܼܓ݂ܠܵܐ.
ܡܲܝܵܐ ܠܵܐ ܢܵܝܡܝܼ,Nominal proverb with negated verb,Situations are always changing and unstable,ܐܘܼܪܚܵܐ ܕܚܲܝܹ̈ܐ ܬܵܡܵܐ ܠܵܐ ܩܵܝܡܵܐ,C1,"Literature, politics, reflective speech","Poetic, proverbial",Connected to Mesopotamian river imagery,/majaː laː naːjmiː/,ܡܲܝܵܐ ܠܵܐ ܢܵܝܡܝܼ، ܘܐܵܦ ܚܲܝܹ̈ܐ ܠܵܐ ܩܵܝܡܝܼ ܥܲܠ ܚܲܕ ܚܵܠ.,ܣܵܒܵܐ ܕܝܼܝܼ ܒܟܠ ܙܒܲܢ ܐܵܡܹܪ ܕܡܲܝܵܐ ܠܵܐ ܢܵܝܡܝܼ.,ܒܦܘܼܠܝܼܛܝܼܩܵܐ ܡܲܝܵܐ ܠܵܐ ܢܵܝܡܝܼ ܘܚܲܕܬܵܬܹ̈ܐ ܬܲܡܵܢ.
ܛܥܹܢܹܗ ܥܲܠ ܩܲܕܠܹܗ,Past-tense verbal idiom with reflexive nuance,To take responsibility for one’s actions,ܩܘܼܒܸܠܹܗ ܐܲܚܪܵܝܘܼܬܹܗ,B1,"Workplace, family, leadership","Neutral, responsible",Traditional metaphor of carrying burdens physically,/tʕeːneːh ʕal qadleːh/,ܟܲܕ ܛܥܹܢܹܗ ܥܲܠ ܩܲܕܠܹܗ، ܫܪܹܐ ܠܡܸܥܒܲܕ ܬܘܼܩܵܢܵܐ.,ܡܲܠܦܵܢܵܐ ܒܥܹܐ ܡܸܢܹܗ ܕܛܵܥܹܢ ܥܲܠ ܩܲܕܠܹܗ.,ܒܪܘܿܢܵܐ ܛܥܹܢܹܗ ܥܲܠ ܩܲܕܠܹܗ ܘܐܡܝܼܪܹܗ ܕܗ̇ܘ ܥܒܸܕܠܹܗ.
ܥܲܝܢܹܗ ܩܲܪܝܼܪܬܵܐ,Nominal-descriptive idiom,A person who is emotionally cold or indifferent,ܐܢܵܫܵܐ ܕܠܵܐ ܡܚܲܫܸܒ ܒܐܚܹܪ̈ܢܹܐ,B2,"Criticism, gossip, emotional commentary","Colloquial, ironic",Widely used in village storytelling traditions,/ʕajneːh qariːrtaː/,ܐܵܗܵܐ ܓܲܒܪܵܐ ܥܲܝܢܹܗ ܩܲܪܝܼܪܬܵܐ ܘܠܵܐ ܝܵܕܹܥ ܪ̈ܲܚܡܹܐ.,ܐܵܢܝܼ ܐܡܝܼܪܗܘܿܢ ܕܥܲܝܢܹܗ ܩܲܪܝܼܪܬܵܐ ܡ̣ܢ ܝܵܘܡܵܐ ܕܙܥܘܿܪܵܐ.,ܠܵܐ ܬܸܣܒܲܪ ܡܸܢܹܗ ܥܘܼܕܪܵܢܵܐ، ܥܲܝܢܹܗ ܩܲܪܝܼܪܬܵܐ.
ܕܡܹܐ ܠܵܐ ܟܵܬܹܒ,Negative verbal proverb,Truth eventually becomes visible despite concealment,ܫܪܵܪܵܐ ܒܚܲܪܬܵܐ ܦܵܠܹܛ,C2,"Politics, justice, moral discussions","Formal, proverbial",Linked to oral legal traditions,/dmeː laː kaːteːv/,ܐܵܦ ܐܸܢ ܛܸܫܝܵܐ ܙܲܒܢܵܐ ܪܲܒܵܐ، ܕܡܹܐ ܠܵܐ ܟܵܬܹܒ.,ܣܵܒܬܝܼ ܬܵܡܵܐ ܐܵܡܪܵܐ ܕܕܡܹܐ ܠܵܐ ܟܵܬܹܒ.,ܒܚܘܼܫܒܵܢܹ̈ܐ ܕܕܝܼܢܵܐ، ܕܡܹܐ ܠܵܐ ܟܵܬܹܒ.
ܦܬܸܚܠܹܗ ܠܸܒܹܗ,Verbal idiom with direct object,To speak honestly and emotionally,ܐܡܝܼܪܹܗ ܟܠ ܡܵܐ ܕܒܠܸܒܹܗ,A2,"Friendship, family conversations","Warm, emotional",Common in intimate oral communication,/pteħleːh lebeːh/,ܒܲܬܪ ܚܲܡܫܵܐ ܫܸܢܹ̈ܐ ܦܬܸܚܠܹܗ ܠܸܒܹܗ ܠܚܲܒܪܹܗ.,ܟܲܕ ܝܬܸܒܘܼܢ ܒܝܬܵܐ ܦܬܸܚܠܹܗ ܠܸܒܹܗ ܩܲܕܡ ܐܸܡܹܗ.,ܐܵܢܵܐ ܒܥܹܝܢ ܕܬܵܦܬܸܚ ܠܸܒܘܼܟ݂ ܘܬܵܐܡܪܸܬ ܫܪܵܪܵܐ.
ܐܝܼܕܹܗ ܩܠܝܼܠܬܵܐ,Nominal phrase with adjectival modifier,A stingy or ungenerous person,ܐܢܵܫܵܐ ܕܠܵܐ ܝܵܗܹܒ,B1,"Humor, criticism, family talk","Colloquial, sarcastic",Traditional community humor about hospitality,/iːdeːh qliːltaː/,ܐܵܢܝܼ ܟܠܵܝܗܝ ܝܵܕܥܝܼ ܕܐܝܼܕܹܗ ܩܠܝܼܠܬܵܐ.,ܒܚܲܕ ܥܸܕܵܐ ܠܵܐ ܙܒܸܢܹܗ ܐܵܦ ܚܲܕ ܡܸܢܕܝܼ، ܐܝܼܕܹܗ ܩܠܝܼܠܬܵܐ.,ܚܲܒܪܝܼ ܒܚܘܼܟܵܡܵܐ ܐܡܝܼܪܹܗ ܕܐܝܼܕܹܗ ܩܠܝܼܠܬܵܐ.
ܢܦܸܠܹܗ ܡ̣ܢ ܫܡܲܝܵܐ,Motion verb idiom in past tense,Someone acting shocked or overly dramatic,ܡܚܲܙܹܐ ܬܲܡܘܼܗܘܼܬܵܐ ܙܲܝܕܬܵܐ,B2,"Humor, social media, daily speech","Humorous, ironic",Modern urban Suret expression,/npeleːh mən ʃmajaː/,ܟܲܕ ܫܡܝܼܥܹܗ ܐܵܗܵܐ ܚܒܵܪܵܐ ܢܦܸܠܹܗ ܡ̣ܢ ܫܡܲܝܵܐ.,ܠܵܐ ܬܸܥܒܸܕ ܢܲܦܫܘܼܟ݂ ܕܢܦܸܠܸܬ ܡ̣ܢ ܫܡܲܝܵܐ.,ܐܵܢܝܼ ܓܚܸܟܘܼܢ ܥܲܠܹܗ ܣܵܒܵܒ ܕܢܦܸܠܹܗ ܡ̣ܢ ܫܡܲܝܵܐ.
ܩܵܡ ܒܪܹܫ ܛܘܼܪܵܐ,Prepositional idiomatic construction,To persist proudly despite hardship,ܩܘܹܐ ܚܲܝܠܵܢܵܐ ܘܬܲܩܝܼܦܵܐ,C1,"Heroic narratives, literature, speeches","Poetic, inspirational",Mountain imagery tied to Assyrian geography,/qaːm breːʃ tˤuːraː/,ܐܵܦ ܒܩܘܼܫܝܵܬܹ̈ܐ ܩܵܡ ܒܪܹܫ ܛܘܼܪܵܐ ܘܠܵܐ ܢܦܸܠ.,ܡܲܠܟܵܐ ܒܚܘܼܛܒܹܗ ܐܡܝܼܪܹܗ ܕܥܲܡܵܐ ܩܵܡ ܒܪܹܫ ܛܘܼܪܵܐ.,ܐܵܗܵܐ ܬܵܘܕܝܼܬܵܐ ܠܐܢܵܫܹ̈ܐ ܕܩܵܡܝܼ ܒܪܹܫ ܛܘܼܪܵܐ.
ܓܢܸܒܠܹܗ ܫܸܡܫܵܐ,Hyperbolic verbal idiom,Someone trying to achieve the impossible,ܒܵܥܹܐ ܡܸܢܕܝܼ ܕܠܵܐ ܡܸܬܡܲܨܝܵܢܵܐ,C2,"Sarcasm, politics, comedy","Humorous, exaggerated",Inspired by ancient Mesopotamian solar symbolism,/gnevleːh ʃemʃaː/,ܐܵܢܵܐ ܚܫܸܒܠܝܼ ܕܓܢܸܒܠܹܗ ܫܸܡܫܵܐ ܡ̣ܢ ܪܘܼܡܵܐ.,ܟܠ ܝܵܘܡܵܐ ܡܚܲܙܹܐ ܠܲܢ ܕܓܢܸܒܠܹܗ ܫܸܡܫܵܐ.,ܒܚܘܼܟܵܡܵܐ ܐܡܝܼܪܹܗ ܕܦܘܼܠܝܼܛܝܼܩܵܝܵܐ ܓܢܸܒܠܹܗ ܫܸܡܫܵܐ.
