Idiom (Kabardian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kabardian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Псалъэр гум ибжьэщ,Номинатив къэхъукIэ + possessive construction,Kind and thoughtful speech deeply comforts people emotionally.,Дахэу и псалъэхэр цIыхум гу лъытэныгъэ къыхуэхъу.,B1,"Family, education, emotional support, literature","Poetic, warm, literary",Traditional Adyghe respect for eloquence and emotional restraint,/psaːɬʼaɾ ɡʷəm jəbʐaʃ/,"Анэм и псалъэр гум ибжьэщ, щIалэр и гур къыхуэгъэужьыр.",Тхьэмафэм и гъащIэм псалъэр гум ибжьэщ.,Псалъэ дахэм къуажэм и цIыхухэр зэгъэгушхуэ.
"ЛъапIэр фIыщIэмэ, къалэр фIыщ",Conditional parallel clause structure,A strong foundation leads to strong outcomes.,ЛъапIэ дахэ зиIэм и къэхъукIэр фIыщ.,B2,"Education, politics, parenting, leadership","Didactic, formal",Rooted in Kabardian clan and family ethics,/ɬʼaːpʼaɾ fʼəʃʼaːma qʼaːlaɾ fʼəʃ/,"ЩIэныгъэ лъапIэр фIыщIэмэ, сабийр нэхъ дахэу къэхъунущ.","Къуажэм и лъапIэр фIыщIэмэ, цIыхухэр зэгурыIуэнущ.","Политикэм и лъапIэр фIыщIэмэ, къэралыр лъапIэ къыхуэхъу."
Щхьэр къызэрихьыр,Reflexive verbal idiom,To become arrogant or self-important.,Ар зи гугъу ину къыщыхьащ.,B1,"Humor, criticism, social commentary","Colloquial, ironic",Common village speech criticizing boastfulness,/ʃħaɾ qəzəɾeħəɾ/,"Ар ахърэ щхьэр къызэрихьыр, цIыхухэм и псалъэм йокI.",Унагъуэм щхьэр къызэрихьыр цIыху зэхуэмыдэхуэу къагъэпсэлъ.,ЩIалэм къалэбжьэм къыщIэкIам иужь щхьэр къызэрихьыр.
ГущIэгъуэм и лъапIэр псалъэщ,Possessive nominal construction,Empathy begins with sincere communication.,ГущIэгъу къэхъуным папщIэ дахэ псалъэ хуейщ.,B2,"Conflict resolution, counseling, family","Reflective, philosophical",Connected to Adyghe Xabze traditions of mediation,/ɡʷəʃʼaʁʷaːm jə ɬʼaːpʼaɾ psaːɬʼaʃ/,Тхьэмадэм къалэнхэм гущIэгъуэм и лъапIэр псалъэщ жиIащ.,Псэлъэныгъэм гущIэгъуэм и лъапIэр псалъэщ къыщыгурыIуащ.,Анэм и къэбарым гущIэгъуэм и лъапIэр псалъэщ къыхэгъэщащ.
Напэр и щхьэрщ,Metaphorical noun phrase,One’s reputation defines one’s social standing.,ЦIыхум и щIыкIэр нэхъ маанэ иIэщ.,A2,"Daily speech, parenting, etiquette","Colloquial, moralizing",Derived from traditional honor culture,/naːpaɾ jə ʃħaɾʃ/,"А щIалэр и напэр и щхьэрщ, цIыхухэр ар къагъэлъагъу.","Уи напэр и щхьэрщ, ауэ псалъэбжьэм гупсысэ фIы хуэгъэщI.",ЛIым и напэр и щхьэрщ жиIэу тхьэмадэхэр къэпсэлъ.
Гу лъагъуэ къыхуэхъу,Experiential verbal phrase,To become emotionally touched or compassionate.,Ар и гур къыхуэгъэужьыр.,A2,"Family, friendship, storytelling","Warm, emotional",Frequent in oral storytelling traditions,/ɡʷə ɬaːʁʷa qəχʷaħʷ/,Сабийм и къэбарым анэм гу лъагъуэ къыхуэхъуащ.,Фильмым сэ гу лъагъуэ къызыхуэхъуащ.,ЩIалэхэм и унагъуэ псалъэм къэралым гу лъагъуэ къыхуэхъуащ.
Псалъэм и дзэр къыхуэхъу,Metaphorical possessive expression,Words can provoke conflict or consequences.,Псалъэр проблемэ къыхуэхъуащ.,C1,"Politics, debates, satire","Serious, ironic",Historically associated with council debates among elders,/psaːɬʼam jə dzaɾ qəχʷaħʷ/,А политикым и псалъэм и дзэр къыхуэхъуащ.,Псалъэбжьэм иужь псалъэм и дзэр къыхуэхъуащ.,Тхьэмадэхэм зэрыхуащэм псалъэм и дзэр къыхуэхъуащ.
И гур къыщыхьащ,Psychological state predicate,To become offended or emotionally hurt.,Ар къэгубжьыжащ.,A1,"Friendship, family disputes, daily speech","Neutral, conversational",Very common in modern spoken Kabardian,/jə ɡʷəɾ qəʃəχaʃ/,Сэ си псалъэм ар и гур къыщыхьащ.,"ЩIалэр къэгубжьыжащ, и гур къыщыхьащ.",Анэм къыжиIам сабийм и гур къыщыхьащ.
Щхьэбжьэ дахэ,Descriptive nominal idiom,A person with noble character and wisdom.,Ар дахэ щIыкIэ зиIэ цIыхущ.,B1,"Praise, literature, ceremonies","Respectful, literary",Connected to elder prestige in Circassian society,/ʃħabʐa daxa/,Тхьэмадэр щхьэбжьэ дахэу къагъэлъагъу.,Абжьэм и къэбарыр щхьэбжьэ дахэ къызэрыщытщ.,Къуажэм щхьэбжьэ дахэ зэхэтщ.
ЩIыкIэр мафIэм хуэдэщ,Comparative metaphorical clause,Bad behavior spreads quickly and dangerously.,ЩIыкIэфIагъэм проблемэ ин къыхуэхъу.,C2,"Social criticism, ethics, literature","Poetic, critical",Inspired by mountain village fire metaphors,/ʃʼəkʼaɾ maːfʼaːm χʷadaʃ/,Къуажэм щIыкIэр мафIэм хуэдэщ жиIэу къэпсэлъащ.,Тхьэмадэхэм щIалэхэм щIыкIэр мафIэм хуэдэщ къахуагъэщIащ.,И псалъэбжьэр щIыкIэр мафIэм хуэдэщ къызэрыщытщ.
