Idiom (Lombard),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Lombard)",First Example Sentence,Second Example Sentence,Third Example Sentence
Tirà tròpp la cuerda,Fixed verbal clause with infinitive construction,To push a situation beyond acceptable limits until consequences arise,Esagerà fin a causà problemi,B1,"Daily speech, family conflicts, workplace tension","Colloquial, cautionary",Traditional rural metaphor linked to rope labor and agricultural tools,/tiˈra trɔp la ˈkwɛrda/,El cap l'ha tirà tròpp la cuerda e incoeu tücc hinn staa contra de lü.,"Se te continüet inscì, finirét per tirà tròpp la cuerda con i amis.",La discussiun l'è degenerada quand quajedün l'ha tirà tròpp la cuerda.
Vess föra come on balcon,Comparative adjectival idiom with existential verb,To behave in a bizarre or eccentric way,Vess stramb o minga normal,B2,"Humor, informal conversations, sarcasm","Colloquial, ironic",Urban Milanese idiom comparing unstable behavior to a protruding balcony,/vɛs ˈføra ˈkome ɔm balˈkõ/,Quel bagaj l'è föra come on balcon quand el parla de politica.,Dopo tri cafè l'era completament föra come on balcon.,I disen che l'artista l'è semper staa föra come on balcon.
Mangià la foeuja,Verbal idiom with direct object,To suffer deprivation or endure hardship silently,Patì la fam o la miseria,C1,"Historical narratives, family stories, literature","Poetic, historical",Refers to famine periods when poor families survived on edible leaves,/manˈdʒa la fuˈøja/,Durante la guèra tanta gent la mangiava la foeuja per campà.,El non el cuntava semper de quand hinn staa costrett a mangià la foeuja.,Quella famiglia l'ha mangià la foeuja prima de trovà fortuna.
Mettegh el car davanti ai bò,Infinitive verbal phrase with prepositional complement,To do things in the wrong order,Invertì l'ordin logic di azion,A2,"Education, workplace, parenting","Neutral, didactic",Agricultural proverb involving ox-driven carts in Lombard countryside,/meˈteɡ el kar daˈvãːt ai bɔ/,Te stet mettend el car davanti ai bò con quel progett.,Prima impara la teoria e pö evita de mettegh el car davanti ai bò.,L'han comprà i mobili prima de trovà la cà: propri el car davanti ai bò.
Parlà al mür,Verbal idiom with indirect object,To speak without being listened to,Parlà inutilment sensa ottignì risposta,A2,"Family life, workplace, frustration","Colloquial, frustrated",Linked to imagery of speaking to stone walls in old Lombard homes,/parˈla al myːr/,Con lü l'è come parlà al mür quand se discor de responsabilità.,La maestra la diseva che spiegà a cert fioeu l'era parlà al mür.,"Te podet anca urlà, ma incoeu l'è parlà al mür."
Avègh el coeur in man,Possessive verbal construction with body-part metaphor,To be generous and compassionate,Vess molt generus e sensibil,B1,"Community life, praise, family","Affectionate, warm",Common Lombard emotional metaphor centered on the symbolic heart,/aˈveɡ el kuˈør in mã/,La Maria la gh'ha el coeur in man e la giüda semper tücc.,Per fà volontariato bisogna avègh el coeur in man.,"Anca se l'è pover, el gh'ha el coeur in man."
Fà de tutt on erba on fas,Fixed proverb with collective noun phrase,To generalize unfairly,Generalizà sensa disting i differenz,B2,"Politics, debates, social commentary","Critical, argumentative",Ancient agrarian image of bundling all herbs together regardless of type,/fa de tyt ɔ̃n ˈɛrba ɔ̃n fas/,No se pol fà de tutt on erba on fas quand se parla di giuven.,El giornalista l'ha sbaglià a fà de tutt on erba on fas.,Cert discors populist hinn basaa sul fà de tutt on erba on fas.
Vess cont i pee per tera,Existential structure with locative complement,To be realistic and practical,Vess realistich e concret,B1,"Business, advice, education","Neutral, pragmatic",Widely used Lombard metaphor contrasting groundedness with fantasy,/vɛs kõ i pe pɛr ˈtɛra/,Per guidà un'aziènda bisogna vess cont i pee per tera.,"La sò surela la sogna massa, lü inveci l'è cont i pee per tera.",I investidor cerchen gent cont i pee per tera.
Piantà baracca e buratin,Coordinated nominal idiom after infinitive verb,To abandon everything abruptly,Mollà tutt e nà via,C1,"Drama, personal crises, humor","Colloquial, dramatic",Derived from itinerant puppet theater traditions in Northern Italy,/pjãˈta baˈraka e buraˈtin/,Dopo l'incident l'ha piantà baracca e buratin e l'è sparì.,Ogni tant me vien voeuja de piantà baracca e buratin.,El socio l'ha piantà baracca e buratin senza spiegazion.
Mena el can per l'aia,Verbal idiom with motion complement,To waste time or avoid the main point,Perd temp sensa andà al nocciol,B2,"Negotiations, politics, family arguments","Ironic, critical",Rural expression referring to wandering pointlessly through farmyards,/ˈmena el kã pɛr ˈlaja/,Basta mena el can per l'aia e disum la verità.,El politician l'ha menaa el can per l'aia per evitò la domanda.,"Quand gh'ha paura de decid, el mena semper el can per l'aia."
