Idiom (Quebec French),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Quebec French)",First Example Sentence,Second Example Sentence,Third Example Sentence
Avoir la langue bien pendue,Expression verbale avec complément; voix active,Être très bavard ou parler avec aisance,Parler beaucoup / être bavard,B1,"Conversation quotidienne, humour, médias","Familier, humoristique",Origine populaire; répandu dans la culture québécoise pour désigner quelqu'un qui ne garde pas sa langue dans sa poche,[avwaʁ la lɑ̃ɡ bjɛ̃ pɑ̃dy],"Mon oncle a la langue bien pendue, il peut jaser toute la soirée sans s’arrêter.","Faut pas lui demander son opinion, il a la langue bien pendue.","Elle a toujours eu la langue bien pendue, même à l’école."
Péter le feu,Verbe pronominal avec intensité,"Être en excellente forme, plein d’énergie",Être très en forme,A2,"Famille, sport, quotidien",Familier,"Typiquement québécois, image exagérée de vitalité explosive",[pɛte lə fø],"Après une bonne nuit de sommeil, je pète le feu ce matin!","Malgré son âge, grand-papa pète le feu!",On dirait qu’il pète le feu depuis qu’il fait du jogging.
Être dans les patates,Locution verbale,Se tromper complètement ou être hors sujet,Faire erreur / être à côté de la plaque,B1,"Scolaire, humour, discussion","Familier, humoristique",Origine rurale; renvoie à quelqu’un égaré dans un champ,[ɛtʁ dɑ̃ le pɑtat],T’as répondu 1967? T’es dans les patates mon chum!,"Pendant l’examen, j’étais complètement dans les patates.","Il a répondu, mais il était dans les patates total!"
Avoir la face longue comme un jour sans pain,Comparaison imagée,Être très triste ou découragé,Avoir l’air triste,B2,"Famille, conversation, littérature","Poétique, familier",Origine ancienne liée à la disette ou aux jours de privation,[avwaʁ la fas lɔ̃ɡ kɔm œ̃ ʒuʁ sɑ̃ pɛ̃],"Depuis qu’il a perdu son emploi, il a la face longue comme un jour sans pain.",Elle avait la face longue comme un jour sans pain après le rejet.,"Chaque fois qu’il est triste, il a la face longue comme un jour sans pain."
Se tirer une bûche,Verbe pronominal + nom (style impératif possible),Prendre une chaise / s’asseoir,S’asseoir,A2,"Famille, quotidien, humour",Très familier,Vie de cabane à sucre où on s’asseyait sur des bûches,[sə tiʁe yn byʃ],"Entre, tire-toi une bûche pis jase avec nous autres.","Il est arrivé, s’est tiré une bûche sans rien dire.","Ma grand-mère disait toujours : ‘Tire-toi une bûche, mon p’tit!’"
Avoir de la broue dans le toupet,Expression nominale avec complément,"Être débordé, très occupé",Être très occupé,B1,"Travail, humour, quotidien","Familier, imagé","Image d’un brasseur de bière très actif, adaptée à l’humain",[avwaʁ də la bʁu dɑ̃ lə tupɛ],"Cette semaine, j’ai de la broue dans le toupet au bureau!","Avec trois enfants, elle a toujours de la broue dans le toupet.",Tu veux que je t’aide? J’vois que t’as de la broue dans le toupet.
Donner son 110%,Expression numérique hyperbolique,"Faire un effort maximal, se dépasser",Faire de son mieux,B2,"Sport, travail, motivation","Familier, motivationnel","Popularisé dans le sport, exagération typiquement nord-américaine",[dɔne sɔ̃ œ̃ sɛ̃ dɪs pɔʁsɑ̃],L’équipe a donné son 110% pendant la finale!,"Je vais donner mon 110% dans ce projet, promis!",Il donne toujours son 110% même quand c’est difficile.
Virer sur le top,Verbe pronominal + préposition,Devenir fou ou perdre le contrôle,Perdre la tête,C1,"Argot, humour noir, jeunesse","Familier, vulgaire",Expression québécoise typique du langage coloré des années 70–90,[viʁe syʁ lə tɔp],"Quand il a su la nouvelle, il a viré sur le top!",Elle vire sur le top chaque fois qu’il est en retard.,"C’est pas grand-chose, mais lui, y vire sur le top pour rien."
Être habillé comme la chienne à Jacques,Comparaison péjorative,"Être mal habillé, sans goût",Porter des vêtements qui ne vont pas ensemble,B2,"Famille, sarcasme, jeunesse","Familier, sarcastique",Personnage imaginaire utilisé dans tout le Québec depuis des décennies,[ɛtʁ abje kɔm la ʃjɛn a ʒak],T’as vu sa tenue? Y’est habillé comme la chienne à Jacques!,Elle a toujours l’air habillée comme la chienne à Jacques.,Il sortait habillé comme la chienne à Jacques pour aller au bal…
Faire dur,Verbe transitif à usage figuré,Avoir mauvaise allure ou être incompétent,Être mauvais / avoir l’air poche,B1,"Sport, opinion, éducation, médias","Familier, critique",Très répandu dans les années 80-90 au Québec,[fɛʁ dyʁ],Ton exposé faisait dur en tabarouette!,Le joueur a fait dur toute la saison.,"J’ai vu le film, pis ça faisait dur solide."
