Idiom (Paumari),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Paumari)",First Example Sentence,Second Example Sentence,Third Example Sentence
Paha bodinia hihi,Fixed locative predicative clause: noun 'paha' + locative 'bodinia' + auxiliary/predicate 'hihi'.,"To be caught in a difficult, uncertain, or risky situation where the next step is not obvious.",Karahoki ida nahina hiki.,B1,daily speech; family advice; river travel; problem solving; gentle warning,"colloquial, cautionary, empathetic","Riverine floodplain metaphor shaped by Purus-region mobility, rain, fishing, and living with changing water levels; community validation recommended.",/ˈpaha boˈdinia ˈhihi/,"Bahi karahoki kaba'i, Dono paha bodinia hihi.","Mamai vani'avini, ida isai paha bodinia hihi.","Joma vania, ariabono paha bodinia hihi."
Sa'ani varaja bodinia,Possessed/body-part noun phrase with locative complement: 'hand' + 'basket' + locative.,"To have hidden involvement in something, especially a quiet role in storing, taking, or directing resources.",Ovari vakadinahina vagahina'aha.,B2,household talk; work allocation; humor; mild accusation; resource sharing,"colloquial, ironic, teasing","Draws on basket, food, and hand imagery from everyday domestic and fishing economies; not a legal accusation unless context makes it serious.",/saˈʔani vaˈɾaja boˈdinia/,"Franciscoa sa'ani varaja bodinia, vani ida vakadi'bai.","Kaasi vania, hida anani sa'ani varaja bodinia.","Kadaija'ari varavaraki, Paulo sa'ani varaja bodinia."
Safini onini nanokia'aha,Metaphorical transitive clause: celestial noun + possessed/name noun + causative-seeing verb.,"The truth has become visible; a hidden fact, motive, or mistake has been brought into the open.",Binoki'aha ida nahina.,B2,conflict resolution; community discussion; storytelling; accountability,"poetic, serious, declarative","Uses the sun as a disclosure image in open river landscapes where light reveals tracks, people, boats, and work.",/saˈfini oˈnini nanokiˈʔaha/,"Safini onini nanokia'aha, hida nahina nihoariha.","Kahaso varavaraha naothinia, safini onini nanokia'aha.","Adani imakhinava binoki'aha, safini onini nanokia'aha."
Jahani karahoki,Stative nominal expression: body-part noun 'abdomen/belly' + descriptive adjective 'big'.,"To show courage, patience, or emotional steadiness under pressure.",Oabono ni'ofinijora'ini.,B1,encouragement; family praise; leadership; recovery after loss; hunting/fishing narratives,"warm, admiring, colloquial",Body-centered metaphor where inner strength is located in the abdomen/center; comparable to heart or stomach metaphors in many languages.,/dʒaˈhani kaɾaˈhoki/,"Mamai jahani karahoki, bahi kaba'i hida gora hojahi.","Oabono jahani karahoki, nionokiki ida hado osahi hini.","Adani kodiisai vani'avini, jahani karahoki hida mamai."
Kaasi oabono varavaraki,Personified intransitive clause: place noun 'beach' + reflexive pronoun + speech verb.,Rumor is spreading without a clear speaker; people are talking indirectly around an issue.,Adani imakhinava varavaraki.,C1,village discussion; sarcasm; politics; gossip; conflict avoidance,"ironic, observational, socially cautious","Evokes public riverbank space, where news, arrivals, and departures are noticed before they are formally announced.",/kaˈasi oaˈbono vaɾavaˈɾaki/,"Kaasi oabono varavaraki, Dono oniaro ni'ani.","Joma naothinia, kaasi oabono varavaraki hida gorani bodinia.","Vanda binoki'aha, kaasi oabono varavaraki adani kadaija'ari."
'Dako safini fori,Simile-like copular/predicative expression: lake noun + sun noun + comparative verb 'be like'.,"Something looks bright or promising but may only be a reflection, illusion, or incomplete sign.","Jahaki ada, kaba'i nahina vahabini.",C1,advice; trade; love; politics; cautious interpretation of appearances,"poetic, reflective, cautionary",Based on the visual contrast between sunlight and water reflection in lakes and floodplain channels; useful for warning against surface appearances.,/ɗaˈko saˈfini foˈɾi/,"'Dako safini fori, onofiki ada kaba'i nionokiki.","Paulo vani'avini, 'dako safini fori ida rihai.","Hida nahina jahaki, kaba'i 'dako safini fori."
Kasi'i bahi naothinia varavaraki,Temporal clause with animal subject: bird noun + 'after rain' phrase + speech verb.,To speak only after danger has passed; to offer advice or criticism too late.,Naothinia vani'avini ada.,B2,humor; workplace debriefs; family teasing; leadership critique,"humorous, mildly sarcastic, corrective",Bird-call and rain-timing imagery from forest and river soundscapes; points to delayed speech after a storm has already ended.,/kasiˈʔi ˈbahi naotʰiˈnia vaɾavaˈɾaki/,"Kasi'i bahi naothinia varavaraki, Donoa onobaja naothinia.","Adani imakhinava kanahahaniha'aha, kasi'i bahi naothinia varavaraki.","Vanda varavaraha, kasi'i bahi naothinia varavaraki ida hi'ida."
Mina'di sa'ani,Compressed metaphorical noun phrase: animal noun 'electric eel' + body-part noun 'hand'.,"A dangerous favor or helpful gesture that carries hidden risk, surprise, or pain.","Jahaki ada, kaba'i karahoki ida obahi.",C1,warnings; trade; interpersonal trust; negotiations; narrative suspense,"vivid, cautionary, slightly humorous",Uses the electric eel as a riverine danger image; a touch that appears small can still shock.,/minaˈɗi saˈʔani/,"Mina'di sa'ani ida rihai, Paulo ni'ani hida mamai.","Ovari no'a'ianahi, kaba'i mina'di sa'ani ada.","Kadaija'ari onofiki, mina'di sa'ani ida no'avini."
Ava miinira adari'ihi,Eventive metaphorical clause: tree noun + extremity noun-object + intransitive fall verb.,"A plan, alliance, or effort collapses at the final edge after appearing stable.",Nahina adari'ihi naothinia.,C2,formal storytelling; project failure; politics; communal planning; post-event analysis,"literary, grave, analytical","Forest-edge metaphor drawn from trees, riverbank erosion, and late-stage failure after long effort; suited to narratives of planning and consequence.",/ˈava miːˈniɾa adaɾiˈʔihi/,"Ava miinira adari'ihi, ariabono ni'avakogakhamavini.","Gora namonahahi naothinia, ava miinira adari'ihi.","Adani sorara vani'avini, kaba'i ava miinira adari'ihi."
Mamai paha khama varavaraki,Personified comitative speech clause: kinship noun + water noun with comitative 'khama' + speech verb.,"To speak with calm wisdom, listening to circumstances before acting; elder-like counsel grounded in observation.",Mamai jahahaki varavaraki.,B2,elder counsel; family mediation; teaching; conflict prevention; ceremonial storytelling,"respectful, poetic, warm","Connects maternal authority, patient speech, and water knowledge in river communities; emphasizes listening before judgment.",/maˈmai ˈpaha kʰaˈma vaɾavaˈɾaki/,"Mamai paha khama varavaraki, ida isai kanahahaniha'ihi.","Bahi kaba'i, mamai paha khama varavaraki hida gorani bodinia.","Kadaija'ari vagahina'aha naothinia, mamai paha khama varavaraki."
