Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
दूध के जले छाछ फूँक के पीयै,Complex participial clause + habitual verb phrase,A person who has suffered once becomes overly cautious afterward.,पहिले नुकसान भोगल व्यक्ति आगे बहुत सावधान रहै।,B2,"Daily speech, family advice, rural discourse","Colloquial, advisory",Agrarian dairy culture across Jharkhand villages,/duːdʱ ke d͡ʒəle t͡ʃʰaːt͡ʃʰ pʰũːk ke piːjɛ/,एक बेर धोखा खइले के बाद से ओ दूध के जले छाछ फूँक के पीयै।,"पिछला साल घाटा भइल, ए साल सब दूध के जले छाछ फूँक के पीयै।",अब हमनी निवेश में दूध के जले छाछ फूँक के पीयै।
खाली ढोल जइसन बजै,Simile construction with habitual verb,Someone who talks loudly but lacks substance.,ओ व्यक्ति अधिक बोलै पर काम कम करै।,B1,"Humor, politics, village debate","Ironic, sarcastic",Traditional folk instruments used in village fairs,/kʰaːli dʱoːl d͡ʒəisən bəd͡ʒɛ/,सभा में ओ खाली ढोल जइसन बजै।,काम के समय ओ खाली ढोल जइसन बजै बस।,नेता खाली ढोल जइसन बजै लेकिन योजना न बनै।
आग बिना धुआँ न उठै,Negative declarative clause,Rumors usually have some underlying truth.,अफवाह के पीछे कुछ कारण जरूर रहै।,B2,"Politics, social gossip, journalism","Proverbial, reflective",Firewood cooking traditions in rural households,/aːg bɪnaː dʱu.aː n ʊʈʰɛ/,"गांव में चर्चा चलै, आग बिना धुआँ न उठै।","जांच में पता चलल, सचमुच आग बिना धुआँ न उठै।","हम सोचलियो, आग बिना धुआँ न उठै।"
एक तीर से दू निशान,Numerical metaphorical noun phrase,Achieving two goals with one action.,एक काम से दू फायदा होल।,B1,"Workplace, planning, strategy","Practical, positive",Hunting metaphors in forest communities,/ek tiːr se duː nɪʃaːn/,ई योजना एक तीर से दू निशान साबित भइल।,"शहर जाके खरीदारी करल, एक तीर से दू निशान।","पढ़ाई संग नौकरी, एक तीर से दू निशान।"
घर के मुर्गी दाल बराबर,Equative proverb structure,People undervalue what they already have.,अपन चीज के लोग कम महत्व देत।,B2,"Family, education, social commentary","Proverbial, critical",Household food hierarchy symbolism,/gʱər ke mʊrgi daːl bəraːbər/,अपने गुरु के ओ घर के मुर्गी दाल बराबर समझै।,स्थानीय कलाकार के घर के मुर्गी दाल बराबर मानल गेल।,हमनी अपन संसाधन घर के मुर्गी दाल बराबर देखै छी।
नदी पार करे से पहिले नाव न फोड़ै,Infinitival clause + prohibitive structure,Do not destroy support before success is secured.,काम पूरा होवे से पहिले साधन न छोड़ै।,C1,"Leadership advice, politics, mentorship","Advisory, strategic",Riverine trade routes of eastern India,/nədi paːr kəre se pəhile naːʋ n pʰoːɽɛ/,"समझदारी से चल, नदी पार करे से पहिले नाव न फोड़ै।",समझौता टूटल त सब कहलक नदी पार करे से पहिले नाव न फोड़ै।,व्यापार में नदी पार करे से पहिले नाव न फोड़ै जरूरी अछि।
धीरे-धीरे रे मना,Vocative poetic imperative,Patience brings gradual success.,धैर्य रखल से काम धीरे सफल होय।,A2,"Poetry, folk songs, elder advice","Poetic, soothing",Bhakti-era devotional influence in eastern dialects,/dʱiːre dʱiːre re mənaː/,"माई समझैलक, धीरे-धीरे रे मना।",खेती में धीरे-धीरे रे मना अपनावल जाय।,पढ़ाई में धीरे-धीरे रे मना जरूरी अछि।
आकाश से तारा तोड़ै के सपना,Infinitive metaphorical phrase,Dreaming of unrealistic ambitions.,असंभव लक्ष्य के इच्छा करै।,B2,"Youth aspirations, humor","Imaginative, mildly ironic",Oral storytelling traditions,/aːkaːʃ se taːra toːɽɛ ke səpnaː/,बिना तैयारी आकाश से तारा तोड़ै के सपना न देख।,ओ हमेशा आकाश से तारा तोड़ै के सपना देखै।,योजना बिना आकाश से तारा तोड़ै के सपना व्यर्थ अछि।
माथा पर आसमान टूट पड़ल,Past perfect metaphorical clause,Experiencing sudden extreme distress.,अचानक बहुत बड़ी परेशानी आइल।,C1,"Drama, storytelling, emotional narration","Dramatic, expressive",Mythological cosmic imagery in folk narratives,/maːtʰaː pər aːsmaːn ʈuːʈ pəɽəl/,खबर सुनके माथा पर आसमान टूट पड़ल जइसन लगल।,कर्ज बढ़ल त ओकर माथा पर आसमान टूट पड़ल।,अचानक बीमारी से परिवार पर आसमान टूट पड़ल।
मन के बात पेट में दबाय रखना,Infinitive verbal phrase,Suppressing one’s true feelings.,अपन भावना व्यक्त न करै।,B2,"Family conflict, workplace tension","Reflective, psychological",Embodied metaphors common in eastern Indo-Aryan speech,/mən ke baːt peʈ meː d̪əbɑːj rəkʰnaː/,ओ हमेशा मन के बात पेट में दबाय रखना पसंद करै।,सभा में सब मन के बात पेट में दबाय रखना चाहल।,मन के बात पेट में दबाय रखना से गलतफहमी बढ़ै।
