Idiom (Extremaduran),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Extremaduran)",First Example Sentence,Second Example Sentence,Third Example Sentence
Andal con pies de plomu,Periphrastic verbal construction (infinitive + prepositional complement),Act cautiously and carefully in a delicate situation.,Actuar con mucha prudencia.,B1,"Daily speech, workplace decisions, political commentary","Colloquial, advisory","Refers to the heaviness of lead (plomu), symbolizing slow and deliberate movement in rural Extremaduran life.",/anˈdal kon ˈpjez de ˈplomu/,Mejor anda con pies de plomu antis de firmal esi acuerdu.,"Nel negociu familiar, siempre andamus con pies de plomu.","Si la situación ye tensa, convien andal con pies de plomu."
Cada gochu tien la su San Martín,Declarative proverb with possessive structure,Everyone eventually faces consequences for their actions.,Cada persona recibe lo que merece con el tiempu.,B2,"Moral commentary, family advice, rural storytelling","Proverbial, moralizing",Linked to the traditional pig slaughter (San Martín) in Extremadura during autumn.,/ˈkaða ˈɣotʃu tjen la su san maɾˈtin/,"Nun te rías muncho, que cada gochu tien la su San Martín.","El tiempu pasó y, como dicen, cada gochu tuvo la su San Martín.",La xenti del pueblu sabía que cada gochu tien la su San Martín.
Quedase a la luna de Valencia,Pronominal verb phrase (reflexive infinitive),Be left disappointed or excluded from something expected.,Quedarse sin lo que se esperaba.,B2,"Humor, daily speech, social situations","Colloquial, ironic",Medieval reference to people locked outside city walls at night.,/keˈðase a la ˈluna ðe βalenˈθja/,Llegó tarde y se quedó a la luna de Valencia.,"Si nun te apuras, vas a quedate a la luna de Valencia.",El candidatu se quedó a la luna de Valencia tras la votación.
Nun hay mal que cien añus dure,Negative existential declarative clause,No bad situation lasts forever.,Las dificultades son temporales.,B1,"Encouragement, family speech, literature","Proverbial, consolatory",Common Iberian proverb adapted into Extremaduran rural oral tradition.,/nun aj mal ke sjen ˈaɲus ˈduɾe/,"Ten pacencia, que nun hay mal que cien añus dure.","La crisis pasará, nun hay mal que cien añus dure.",Mi güelu repetía que nun hay mal que cien añus dure.
Tiral la casa pola ventana,Transitive infinitive construction,Spend excessively or celebrate lavishly.,Gastar mucho dinero sin moderación.,B2,"Celebrations, weddings, festivals","Colloquial, festive",Associated with lottery winners throwing old furniture out to celebrate.,/tiˈɾal la ˈkasa ˈpola βenˈtana/,Nel casamientu tiraron la casa pola ventana.,"Si apruebas, vamos a tiral la casa pola ventana.",Pa las fiestas del pueblu siempre tiran la casa pola ventana.
Estal en las nubes,Copulative verb + locative complement,Be distracted or absent-minded.,Estar distraído o desconcentrado.,A2,"School, family life, workplace","Colloquial, descriptive",Metaphor of mental distance represented as physical height.,/esˈtal en las ˈnuβes/,El rapaz taba en las nubes durante la clase.,Siempre estás en las nubes cuando te hablo.,Nun estés en las nubes y presta atención.
Facel leña del árbol caíu,Infinitive verbal phrase with object complement,Take advantage of someone already in a bad situation.,Aprovecharse de la debilidad ajena.,C1,"Political discourse, social criticism","Critical, metaphorical",Agricultural metaphor from forestry practices.,/faˈθel ˈleɲa ðel ˈaɾβol kaˈiðu/,Nun ye xustu facel leña del árbol caíu.,Los medios fixeron leña del árbol caíu.,Criticar agora ye facel leña del árbol caíu.
Tener más cara que espalda,Comparative nominal structure,Be shameless or brazen.,Ser muy descarado.,B2,"Humor, informal speech","Colloquial, humorous",Hyperbolic bodily metaphor common in Iberian oral traditions.,/teˈneɾ mas ˈkaɾa ke esˈpalda/,Tien más cara que espalda al pedil favores asina.,Hay que tenel más cara que espalda pa facel eso.,El mozu demostró tenel más cara que espalda.
Buscal tres pies al gatu,Transitive infinitive clause with numeral modifier,Complicate something unnecessarily or look for problems.,Complicar una situación sin motivo.,C1,"Debate, argumentation, academic discussion","Ironic, critical",Traditional Iberian expression questioning obvious reality.,/busˈkal tɾes ˈpjes al ˈɣatu/,"Nun busquis tres pies al gatu, el problema ye simple.",Siempre anda buscando tres pies al gatu.,Deja de buscal tres pies al gatu y actúa.
Metel la pata,Transitive verbal idiom,"Make a mistake, especially socially.",Cometer un error.,A2,"Daily speech, social gatherings","Colloquial, informal",Animal metaphor implying stepping wrongly.,/meˈtel la ˈpata/,Metí la pata al confundil el su nome.,"Si falas sin pensal, vas a metel la pata.",Reconoció que había metíu la pata.
