Idiom (Shekhawati),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Shekhawati)",First Example Sentence,Second Example Sentence,Third Example Sentence
ऊँट रा मुँह में जीरौ,संज्ञात्मक रूपक आधारित स्थिर वाक्यांश,बहुत कम मात्रा जो आवश्यकता पूरी नहीं करे,जरूरत के मुकाबले बहुत कम संसाधन,B1,"दैनिक बातचीत, परिवार, आर्थिक चर्चा","लोकप्रिय, व्यंग्यात्मक",रेगिस्तानी जीवन और ऊँट-आधारित लोक संस्कृति से जुड़ेल,/uːɳʈ ɾaː mũːh meː dʒiːɾoː/,इतरा थोड़ा पैसां सूँ तो ऊँट रा मुँह में जीरौ ही होवेलो।,"गाम री स्कूल ने इतरी किताबां मिली, ऊँट रा मुँह में जीरौ बराबर।",खेती खातर पाणी इतणो आयो के ऊँट रा मुँह में जीरौ लाग्यो।
नाक कट जाणी,"क्रियात्मक मुहावरो, कर्मवाच्य भाव",इज्जत खराब हो जाणी,सम्मान खो देना,B2,"परिवार, समाज, रिश्तेदारी","गंभीर, सामाजिक",राजस्थानी मान-सम्मान परंपरा सूँ संबंधित,/naːk kəʈ dʒaːɳiː/,ओ छोरो चोरी करतां पकड़ायो अर घर री नाक कट जाणी।,सभा में झूठ बोलकै उसने आपणी नाक कटवा ली।,ब्याव में झगड़ो होग्यो तो कुल री नाक कट गई।
आग में घी डालणो,क्रियात्मक संयुक्त संरचना,पहले सूँ खराब हालत ने और बिगाड़णो,स्थिति को और खराब करना,B1,"राजनीति, विवाद, पारिवारिक झगड़ा","रूपकात्मक, चेतावनीपूर्ण",लोककथाओं में आग और घी रा प्रतीक सूँ विकसित,/aːg meː ɡʱiː ɖaːɭɳoː/,दो जणां रा झगड़ा में बीच सूँ बोलकै तू आग में घी डालै है।,समाचार चैनलां नै अफवाह फैला कै आग में घी डाल दियो।,सास-बहू रा विवाद में पड़ोसी आग में घी डालता रह्या।
कानां में तेल डाल कै बैठणो,क्रिया-प्रधान स्थिर वाक्यांश,जानबूझ कै अनदेखी करणी,ध्यान न देना,B2,"कामकाज, प्रशासन, घरेलू संदर्भ","व्यंग्यात्मक, आलोचनात्मक",ग्रामीण बोलचाल में आलस्य पर कटाक्ष,/kaːnãː meː teːl ɖaːl kɛ bɛʈʰɳoː/,सरकारी बाबू कानां में तेल डाल कै बैठा है।,"मैं इतरी बार कही, फेर भी वो कानां में तेल डाल कै बैठो रह्यो।",गाम री समस्या पर नेता कानां में तेल डाल कै बैठ्या है।
थाळी रो बैंगण,संज्ञात्मक रूपक,जो हर बार पक्ष बदल दे,अस्थिर विचार वाला व्यक्ति,C1,"राजनीति, हास्य, सामाजिक टिप्पणी","व्यंग्यात्मक, हास्यपूर्ण",बैंगण के लुढ़कण री लोक छवि सूँ उत्पन्न,/tʰaːɭiː ɾoː bɛ̃ːɡəɳ/,"वो नेता थाळी रो बैंगण है, रोज पार्टी बदलै।",तू दोस्ती में थाळी रो बैंगण मत बन।,कारोबार में थाळी रो बैंगण जणा पर भरोसो कोनी।
आसमाण सूँ बातां करणो,क्रियात्मक रूपक,बहुत ऊँचो या महँगो हो जाणी,बहुत अधिक बढ़ जाना,B1,"महँगाई, निर्माण, व्यापार","रूपकात्मक, पत्रकारिता शैली",आधुनिक आर्थिक संदर्भां में प्रचलित,/aːsəmaːɳ sũː baːtãː kəɾɳoː/,शहर में जमीन रा भाव आसमाण सूँ बातां करै है।,गर्मी में बिजली रा बिल आसमाण सूँ बातां कर गयो।,त्योहारां में सब्जियां रा दाम आसमाण सूँ बातां करण लाग्या।
दूध रो जळ्यो छाछ भी फूँक-फूँक कै पीवै,"पूर्ण लोकोक्ति, कारण-परिणाम संरचना",एक बार धोखा खाधेलो व्यक्ति बहुत सावधान हो जावे,बुरे अनुभव के बाद अत्यधिक सतर्क होना,C1,"जीवन अनुभव, शिक्षा, परिवार","लोकज्ञान, शिक्षाप्रद",ग्रामीण खाद्य संस्कृति और अनुभवजन्य बुद्धि सूँ जुड़ेल,/duːdʱ ɾoː dʒəɭjoː tʃʰaːtʃʰ bʱiː pʰũːk pʰũːk kɛ piːʋɛ/,"एक बार घाटो खाधो, अब दूध रो जळ्यो छाछ भी फूँक-फूँक कै पीवै।","पहला साझेदार धोखेबाज निकळ्यो, अब वो दूध रो जळ्यो छाछ भी फूँक-फूँक कै पीवै।",परीक्षा में फेल होकै छोरो दूध रो जळ्यो छाछ भी फूँक-फूँक कै पीवै जिको हो गयो।
घर रो भेदी लंका ढावै,पौराणिक संदर्भयुक्त लोकोक्ति,अपणा ही जणा नुकसान कर दे,अंदरूनी व्यक्ति द्वारा हानि पहुँचाना,C2,"राजनीति, व्यापार, पारिवारिक विवाद","गंभीर, साहित्यिक",रामायण में विभीषण प्रसंग सूँ प्रेरित,/ɡʱəɾ ɾoː bʱeːdiː ləŋkaː ɖʱaːʋɛ/,"कंपनी रा गुप्त कागज बाहर ग्या, घर रो भेदी लंका ढावै वाली बात हो गई।","चुनाव में अपणा आदमी ही विरोध में उतर गयो, घर रो भेदी लंका ढावै।","परिवार री बात बाहर फैल गई, घर रो भेदी लंका ढावै साबित होयो।"
माथो खाणो,क्रियात्मक बोलचाल संरचना,बार-बार परेशान करणी,लगातार तंग करना,A2,"घरेलू वार्तालाप, मित्रता","अनौपचारिक, हास्यपूर्ण",लोकबोलचाल में अतिशयोक्ति आधारित प्रयोग,/maːtʰoː kʰaːɳoː/,छोरा दिनभर मोबाइल खातर मेरो माथो खावै है।,तू छोटी-छोटी बातां पर माथो मत खा।,ग्राहक इतरा सवाल पूछकै दुकानदार रो माथो खा गयो।
हाथां सूँ रेत सरकणी,काव्यात्मक रूपक संरचना,मौको या चीज धीरे-धीरे हाथ सूँ निकल जाणी,अवसर खो देना,C2,"साहित्य, भावनात्मक संवाद, जीवन दर्शन","काव्यात्मक, चिंतनशील",मरुस्थलीय रेत और समय रा प्रतीकवाद सूँ विकसित,/haːtʰãː sũː ɾeːt səɾəkɳiː/,वक्त हाथां सूँ रेत सरकणी जिको निकल रह्यो है।,अक्ल सूँ काम न लियो तो कारोबार हाथां सूँ रेत सरकणी जिको जासे।,रिश्तां री गर्माहट धीरे-धीरे हाथां सूँ रेत सरकणी लागी।
