Idiom (Ilocano),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ilocano)",First Example Sentence,Second Example Sentence,Third Example Sentence
Agsangit ti mata ti igid,Fixed clause with possessive marker,Someone is crying secretly or quietly in pain or sorrow,"Agsangit a natnag, awan ti makakita",C1,"Daily speech, literature, family","Poetic, melancholic",Common in northern Ilocos literature describing restrained emotional expression,[aɡˈsaŋit ti ˈmata ti ˈʔiɡid],Agsangit ti mata ti igid idi sinabatna ti bad news manipud idiay balay.,Awan ti am-ammo da a narigatan isuna—agsangit ti mata ti igid laengen.,"No adda panubok, agsangit ti mata ti igid dagiti agtignay a pusok."
Nasukatan ti karne,Passive verb clause,To experience suffering or punishment after doing wrong,Nabayadan ti basol,B2,"Daily speech, morality, politics","Colloquial, ironic",Said to originate from livestock trade customs where spoiled meat was condemned,[naˈsukat̪an ti ˈkaɾne],Nasukatan ti karne ni Lito idi naawat ti iligal nga aramidna.,"Ti agbasol, nasukatan ti karne—awan ti makaikasar.","Ammom met nga isuna ti manguray, isu nga nasukatan ti karne idi napasamak dayta."
Adda iti ulona,Existential clause,"Someone is clever, resourceful, or mentally sharp",Nasirib ken naulbod,A2,"Workplace, school, praise","Colloquial, appreciative",Traditional praise in rural education settings,[ˈʔad̪ːa ʔiˈt̪i ʔuˈlona],Adda iti ulona dayta nga ubing—kanayon nga topnotcher.,"No agserbi, kitaem—adda iti ulona a kasla engineer.","Ti agturong a lider, masapul nga adda iti ulona."
Agpatingga iti danum ti mata,Subordinate clause with intransitive verb,"To weep emotionally due to happiness, grief, or intense feeling",Agsangit gapu ti narikna,B1,"Family, emotion, celebration","Poetic, formal",Often found in Ilocano songs and oral poetry,[aɡˈpatiŋɡa ʔiˈt̪i ˈdanum ti ˈmata],Nagpatingga iti danum ti mata ni Lola idi nagawid ni Apo.,Agpatingga iti danum ti mata ti amin nga iDayaw ti ili.,Ti kapintas ti panagawid ket nagpatingga iti danum ti mata dagiti amin.
Naurnos ti pusok,Stative passive clause,To feel emotionally calm or relieved,Naliwliwa ti riknak,B1,"Health, daily speech, relationships","Colloquial, soothing",Rooted in traditional healing and emotional balance beliefs,[naʔuɾˈnos t̪i ˈpusok],Naurnos ti pusok idi nakaistoryak kenka.,"Kalpasan ti panagkararag, naurnos ti pusok.",Naurnos ti pusok idi ammok nga awan ti napasamak ken ni Ana.
Napigsa ti bagina,Stative clause with reflexive element,A person is strong-willed or independent,Naindaklan ti panunotna,B2,"Workplace, politics, family","Colloquial, respectful",Common description of Ilocano matriarchs or patriarchs,[naˈpiɡsa t̪i ˈbaɡina],"Napigsa ti bagina ni Manang, isu nga saan a maikuyog.",Adda ti aramid ken prinsipyo—napigsa ti bagina.,"No napigsa ti bagim, saan ka a malag-an."
Adda danum iti irungna,Existential clause with locative,Refers to someone crying often or is highly emotional,Agsangsangit a tao,A2,"Family, humor, childhood","Humorous, sarcastic",Playful idiom describing children or emotionally sensitive people,[ˈʔad̪ːa ˈdanum ʔiˈt̪i ʔiˈɾuŋna],"Ni Carlo, adda danum iti irungna manen.","Uray bassit a banag, adda danum iti irungna.",Kanayon nga adda danum iti irungna ni Belen idi ubing isuna.
Awan patinggana,Negative existential phrase,Something that is endless or non-stop,Saan nga agpatingga,B1,"Workplace, sarcasm, social commentary","Sarcastic, critical",Common in commentaries about bureaucracy or gossip,[ʔaˈwan ˈpatiŋɡana],"Ti meeting idiay munisipyo, awan patinggana.",Awan patinggana ti istorya da idiay tindaan.,"Nu agkwento ni Manong, awan patinggana!"
Agnaed ti ulimek,Intransitive verb clause,To remain silent as a sign of respect or tension,Agkakanta ti ulimek,B2,"Family, discipline, spirituality","Formal, respectful",Reflective of Ilocano value for quiet dignity,[ʔaɡˈnaʔed̪ t̪i ʔuˈlimɛk],"Idi panawen ti lubong, agnaed ti ulimek dagiti amin.",Agnaed ti ulimek dagiti ubing idi agkararagda.,"No adda kasakit, agnaed ti ulimek ti pamilya."
Kasla napukaw ti espiritona,Simile clause with passive voice,"Describes someone shocked, frightened, or demoralized",Nagbuteng ken nabannog isuna,C1,"Literature, trauma, emotion","Literary, intense",Used in epic tales and old Ilocano ballads to describe despair,[ˈkasla naˈpukaw t̪i ʔɛspiˈɾit̪ona],"Idi nagkita ti bangkay, kasla napukaw ti espiritona.",Kasla napukaw ti espiritona idi naawatna ti damag.,Adda la a nagsangit—kasla napukaw ti espiritona dagiti amin.
