Idiom (Swiss German),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Swiss German)",First Example Sentence,Second Example Sentence,Third Example Sentence
Dr letscht het s Liecht ablösche,"Fixed clause, perfect tense construction","The last person to leave a situation or place, often after others have given up",To be the last to leave or give up,C1,"Workplace, daily speech, humor","Colloquial, ironic","Common in workplace or group settings, implies resignation or responsibility",[dr ˈlɛtʃt hɛt s̩ ˈliəçt ˈɑplœʃə],Am Änd het dr Ruedi no s Liecht abglöscht – wie immer.,"Wänn alli usegloffe sind, isch sie no do gsi und het s Liecht abglöscht.","Du bisch wieder dä, wo s Liecht ablösche mues – chunsch nie früener use?"
S'Chind mit em Bad usschütte,Infinitive verb construction,To discard something valuable while trying to eliminate something unwanted,To overcorrect and lose something important,B2,"Politics, decision-making, literature","Colloquial, critical",Derived from a 19th-century proverb known across German-speaking regions,[s̩ ˈxɪnd mɪt əm ˈbɑːd ˈʊʃˌʃytə],Mit dere Reform händ si s Chind mit em Bad usgschütte.,"Wenn me z'versuecht z'repariere, passiert s schnell, dass me s Chind mit em Bad usschüttet.",Sie wänd alli Vorschrift streiche – das isch s Chind mit em Bad usschütte.
Dr Chuchichäschtli-Test bestah,Infinitive clause in compound noun usage,To be accepted as fluent in Swiss German pronunciation,To speak Swiss German convincingly,B2,"Language learning, humor, social integration","Colloquial, humorous",A classic tongue-twister used to test foreigners' pronunciation of Swiss German,[dr ˈxuχiˌχæʃtli ˈtɛst bəˈʃtaː],Er het dr Chuchichäschtli-Test no lang nöd bestande.,"Si lueget mi a und frogä, öb i dr Chuchichäschtli-Test scho gmacht han.","Willst echli integrriert sii, muesch de Chuchichäschtli-Test bestah."
Es bitzeli dr Füfer und s Weggli wend ha,Coordinated noun phrase with modal verb construction,"To want to have it both ways, have your cake and eat it too",To try to have two incompatible benefits,B1,"Family, economics, humor","Colloquial, ironic","Traditional Swiss coin and bread idiom, widespread since 20th century",[ɛs̩ ˈbɪtsli dr ˈfyːfər ʊnd s̩ ˈvɛgli vɛnt hɑː],Du chasch nöd immer dr Füfer und s Weggli ha.,"Mit dimene Budget geit’s nöd, beides z'hend – dr Füfer und s Weggli.","Er het gemeint, er chönnt beides – es bitzeli dr Füfer und s Weggli wend ha."
I de Seck näh,Infinitive verb phrase with direct object,To deceive or fool someone,To trick someone,B2,"Sarcasm, politics, workplace","Colloquial, sarcastic",Metaphoric image of capturing someone in a bag,[i də ˈzɛk nɛː],"Lueg, dass der nöd i de Seck nimt!",Si händ mi würklich i de Seck gnoh – ich ha nüt gmerkt.,Nöd alles gloube – er will di i de Seck näh.
Wie wenn s Föifi grad gschlüfed hätt,Simile with past subjunctive,Something is perfectly timed or well-aligned,As if everything worked out perfectly,C1,"Humor, daily speech, family","Colloquial, humorous","Refers to children’s behavior, widespread in rural areas",[ˈvi ˈvɛn s̩ ˈføifi ɡrɑt ˈʃlʏfə(t) hɛt],D’Zitig isch cho – wie wenn s Föifi grad gschlüfed hätt!,S'Auto isch genau vor em Huus gstande – wie wenn s Föifi grad gschlüfed hätt.,Das isch abe gsi wie wenn s Föifi grad gschlüfed hätt – perfekt!
Nid alli Tassen im Schrank haa,Negative clause with idiomatic noun phrase,To be a bit crazy or irrational,To act illogically or be slightly mad,B1,"Sarcasm, daily life, humor","Colloquial, sarcastic","Shared with Standard German, widely adapted in CH",[nɪt ˈɑli ˈtɑsən ɪm ˈʃrɑŋk hɑː],"Wenn er das wirklich meint, het er nid alli Tassen im Schrank.","Du hesch doch nid alli Tassen im Schrank, wenn du das wetsch mache!","Sie händ gmeint, das chönnt funktioniere – nid alli Tassen im Schrank!"
Dä Fisch stinket vom Chopf här,"Causal clause, present tense",Problems originate from the leadership,Corruption or failure begins at the top,C2,"Politics, workplace, literature","Formal, critical","Biblical and ancient usage, metaphorical since Middle Ages",[dɛ ˈfɪʃ ˈʃtiŋkət fɔm ˈxɔpf hɛr],Im Konzern lauft öppis falsch – dä Fisch stinket vom Chopf här.,"Es isch klar, dass dä Fisch vom Chopf här stinket, wenn d’Leitung nöd funktioniert.",Dä Fisch stinket vom Chopf här – drum muemer obe ändere.
E chlini Wurst sii,Copula verb phrase with indefinite noun,To be insignificant or unimportant,To be a nobody or have little influence,A2,"Self-deprecation, humor, workplace","Colloquial, modest","Food-based idiom, widespread across Swiss German cantons",[ə ˈχliːni ˈvʊrʃt siː],Ich bi nume e chlini Wurst i dem grosse Biz.,"Du meinsch, du chasch öppis ändere? Bisch e chlini Wurst für sie!",Mir hei nöd z'verchliniert – er isch würkli e chlini Wurst.
Z Basel dyy Huet verlüre,Infinitive verb construction with dative subject,To completely lose one’s temper or composure,To get very angry or upset,C1,"Politics, daily life, sarcasm","Colloquial, sarcastic, regional",Historical reference to rowdy Fasnacht in Basel,[ts̩ ˈbɑzəl diː ˈhuət fərˈlyːrə],"Wenn du so redsch, verluuri i z Basel dyy Huet!","Dr Chef het z Basel sin Huet verlore, wäge dere Idee.","Si verlurt jedesmol z Basel ihre Huet, wenn d’Diskussion losgat."
