Idiom (Bulgarian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Bulgarian)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Вълкът козината си мени, но нрава — не.","Фиксирано изречение, паралелна конструкция със съюз 'но'","Хората не променят истинската си същност, независимо от външните промени.",Човек не може да промени характера си.,C1,"мъдрост, житейски опит, разговори между поколенията","литературен, народен","Българска народна поговорка, често използвана в Балканския регион.","ˈvɤɫkɐt koziˈnatɐ si ˈmɛni, no ˈnravɐ nɛ","Баща му често казваше: „Вълкът козината си мени, но нрава — не.“","Политиците обещават промяна, но вълкът козината си мени, но нрава — не.","Старият му приятел пак се оказа ненадежден — вълкът козината си мени, но нрава — не."
Дърво без корен не расте.,"Фиксирано изречение, отрицателна конструкция",Всеки човек има нужда от връзка с произхода и традициите си.,Човек не може да съществува без връзка с корените си.,B2,"литература, разговори за семейство и култура","литературен, поетичен","Символичен израз, свързан с почитането на рода в българската култура.",ˈdɤrvo bɛs koˈrɛn nɛ rɐsˈtɛ,"В романа героят научава, че дърво без корен не расте.","Учителят често повтаряше, че дърво без корен не расте.",Дърво без корен не расте — трябва да познаваш рода си.
Пази боже сляпо да прогледа.,"Фиксирана конструкция, пожелателна форма","Опасно е, когато неподготвен човек получи власт или възможности.","Лошо е, когато неподходящ човек има власт.",C1,"политика, сарказъм, ежедневна реч","ироничен, разговорен","Народна мъдрост, използвана за предупреждение срещу злоупотреба с власт.",ˈpazi ˈbɔʒɛ ˈslʲapɔ da prɔˈglɛda,Избраха го за директор — пази боже сляпо да прогледа.,"Пази боже сляпо да прогледа, когато некадърните получават шанс.",Хората коментираха с ирония: „Пази боже сляпо да прогледа.“
Краставите магарета през девет баира се надушват.,"Фиксирано сложно изречение, образна метафора",Подобни хора винаги се намират и свързват помежду си.,Подобните хора се намират един друг.,C1,"хумор, ирония, ежедневие","колоквиален, саркастичен","Израз от народния фолклор, често използван с шеговит тон.",ˈkrastavitɛ mɐˈɡarɛtɐ prɛz ˈdɛvɛt bɐˈirɐ sɛ nɐˈduʃvat,Те веднага станаха приятели — краставите магарета през девет баира се надушват.,"Краставите магарета през девет баира се надушват, щом се събраха пак.",Всички се смееха: „Краставите магарета през девет баира се надушват.“
Няма роза без бодли.,Фиксирано просто изречение,Няма добро без недостатък или трудност.,Всяко хубаво нещо има и отрицателни страни.,B1,"ежедневна реч, романтика, литература","литературен, разговорен","Метафора, използвана широко в европейските култури, включително българската.",ˈɲamɐ ˈrɔzɐ bɛs bɔdˈli,"Любовта е сладка, но няма роза без бодли.","Животът учи, че няма роза без бодли.","Винаги трябва да помним, че няма роза без бодли."
Патило знае какво е страдание.,"Фиксирано изречение, утвърдителна форма","Само човек, който е преживял трудности, разбира болката на другите.","Само този, който е страдал, разбира страданието.",B2,"житейски уроци, съчувствие","народен, разговорен","Традиционна поговорка, подчертаваща съпричастността.",ˈpatilɔ ˈznajɛ kɐkˈvɔ ɛ strɐˈdanijɛ,"Тя му помогна, защото знаеше — патило знае какво е страдание.","Баба ми казваше, че патило знае какво е страдание.",Всеки патило знае какво е страдание.
Да ти извадят душата с памук.,"Фиксирана конструкция, метафорично сравнение",Да измъчват някого по бавен и деликатен начин.,Да измъчваш някого много фино и бавно.,C2,"литература, ирония, сарказъм","поетичен, ироничен","Образен израз, използван в разговорната реч и литература.",da ti izˈvadjat duˈʃatɐ s pɐˈmuk,На работа е така — да ти извадят душата с памук.,Учителят го мъчеше бавно — да ти извадят душата с памук.,Това беше истинско изпитание — да ти извадят душата с памук.
Капка по капка — вир става.,Фиксирана метафорична конструкция,Малките усилия или действия водят до голям резултат.,Малките стъпки водят до големи резултати.,B1,"образование, мотивация, семейни разговори","народен, разговорен",Народна поговорка за търпение и постоянство.,ˈkapkɐ pɔ ˈkapkɐ vir ˈstavɐ,Баба му казваше: „Капка по капка — вир става.“,"Ученето е бавно, но капка по капка — вир става.","Капка по капка — вир става, ако имаш търпение."
"Където има дим, има и огън.","Фиксирана конструкция, условна връзка",В слуховете често има истина.,Във всяка мълва има зрънце истина.,B2,"разговорна реч, обществено мнение","колоквиален, народен","Израз с универсална символика, използван и в българската култура.",kɐˈdɛto ˈima dim ˈima i ˈɔɡɐn,"Говорят, че е замесен — където има дим, има и огън.","Където има дим, има и огън — мълвата не е случайна.","Всички знаеха: където има дим, има и огън."
"Не е всичко злато, което блести.",Фиксирана отрицателна конструкция,Външният блясък може да бъде измамен.,Не всичко красиво е ценно.,B2,"мъдрост, литература, разговорна реч","литературен, поучителен","Широкоразпространена европейска мъдрост, присъства и в българската традиция.",nɛ ɛ ˈft͡ʃit͡ʃkɔ ˈzlatɔ ˈkvɔtɔ blɛsˈti,"Новата кола е красива, но не е всичко злато, което блести.","Тя изглежда честна, но не е всичко злато, което блести.","Учителят напомни: „Не е всичко злато, което блести.“"
