Idiom,Syntactic Structure,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin,IPA,First Example Sentence,Second Example Sentence,Third Example Sentence
आँख म धूल झोंकणु,क्रियात्मक वाक्यांश,किसी को धोखा देना,धोखा देना,B2,"दैनिक वार्ता, राजनीति","colloquial, ironic","लोक जीवन से, छल की छवि",/ãːkʰ mə d̪ʱuːl d͡ʒʰoŋkəɳu/,ऊ सबन की आँख म धूल झोंकण लाग रौ छ।,तू म्यरि आँख म धूल झोंकणु बंद कर।,नेता जनता की आँख म धूल झोंकदा।
कान धरि बैठणु,स्थिर क्रियात्मक संरचना,गलती के बाद चुप हो जाना,चुप हो जाना,B1,"परिवार, हास्य",colloquial,परंपरागत अनुशासन से,/kaːn d̪ʱəri bɛʈʰəɳu/,गलती पछी ऊ कान धरि बैठ गयो।,बच्चा डांट खैकि कान धरि बैठ गयो।,तू भी कान धरि बैठ गयो छ।
पानी-पानी होणु,रूपकात्मक वाक्यांश,बहुत शर्मिंदा होना,शर्मिंदा होना,B2,"सामाजिक, हास्य",colloquial,शर्म को पानी से जोड़णु,/paːni paːni hoɳu/,सबके सामने ऊ पानी-पानी हो गयो।,म्य गलती सुणकि पानी-पानी हो गयो।,तू क्यों पानी-पानी हो रौ छ?
दिमाग घूमणु,क्रियात्मक वाक्यांश,बहुत उलझन या गुस्सा होना,उलझन में पड़ना,B1,दैनिक जीवन,neutral,मानसिक स्थिति से,/d̪imaːg ɡʱuːməɳu/,इतना काम देखि म्यरु दिमाग घूम गयो।,बात सुनकि दिमाग घूमण लाग गयो।,तू म्यरु दिमाग घूमणु मत कर।
आग म घी डालणु,रूपकात्मक क्रिया,स्थिति को और खराब करना,स्थिति बिगाड़ना,B2,"राजनीति, विवाद",ironic,आग-घी रूपक,/aːg mə ɡʱiː d̪aːləɳu/,तू आग म घी डाल रौ छ।,बात मै आग म घी मत डाल।,ऊ झगड़े मै आग म घी डालदा।
हाथ खड़ा करनु,क्रियात्मक संरचना,हार मान लेना,हार मानना,A2,दैनिक जीवन,neutral,संकेतात्मक व्यवहार,/haːt̪ʰ kʰəɽaː kərɳu/,ऊ आखिर हाथ खड़ा करि दीनो।,म्य कठिन काम मै हाथ खड़ा करि दीनो।,तू जल्दी हाथ खड़ा मत कर।
मन भरि जाणु,भावात्मक वाक्यांश,संतुष्ट हो जाना,संतुष्ट होना,B1,"परिवार, भोजन",poetic,संतोष से जुड़ल,/mən bʱəri d͡ʒaːɳu/,खाना खैकि म्यरु मन भरि गयो।,ऊ दृश्य देखि मन भरि गयो।,तू भी मन भरि जालु।
बात को बतंगड़ बनौणु,मुहावरेदार संरचना,छोटी बात को बढ़ा चढ़ा देना,बात बढ़ाना,B2,"हास्य, सामाजिक",colloquial,लोक हास्य,/baːt̪ ko bət̪əŋɡəɽ bəɳɔɳu/,तू हर बात को बतंगड़ बनौंदु छ।,छोटी बात को बतंगड़ मत बना।,ऊ हमेशा बतंगड़ बनौंदा।
हाथ धो बैठणु,रूपकात्मक क्रिया,कुछ खो देना,खो देना,B1,दैनिक जीवन,neutral,हानि से जुड़ल,/haːt̪ʰ d̪ʱo bɛʈʰəɳu/,ऊ पैसा हाथ धो बैठो।,तू मौका हाथ धो बैठणु छ।,म्य किताब हाथ धो बैठो।
मन मै लड्डू फुटणु,रूपकात्मक,अंदर ही अंदर बहुत खुश होना,बहुत खुश होना,C1,"हास्य, आंतरिक भाव",humorous,भारतीय मिठाई संदर्भ,/mən mɛ ləɖɖuː pʰuʈəɳu/,खबर सुनकि मन मै लड्डू फुटण लाग गे।,ऊ अंदर ही अंदर लड्डू फुटणु छ।,तू क्यों लड्डू फुटण लाग रौ छ?
