Idiom (Papiamento),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Papiamento)",First Example Sentence,Second Example Sentence,Third Example Sentence
Bira awa den bubu,Verb phrase; metaphorical construction,To disappear or vanish into thin air unexpectedly,Desaparecé sin laga trasa,C1,"Mystery, gossip, criminal cases, informal speech","Colloquial, poetic",Caribbean sailor expressions—bubu refers to the sea’s foam,/ˈbi.ra ˈa.wa dɛn ˈbu.bu/,E ladron a bira awa den bubu promé cu polis a yega.,E trabou a bira awa den bubu despues di tanto promé.,Nan amista a bira awa den bubu sin un motibu klaro.
Saca cara,Verb-object phrase; idiomatic fixed structure,To boast or flaunt something,Haci algu pa frega otro hende su cara,B2,"Jealousy, family dynamics, friendship tension","Colloquial, ironic","Common idiom across Aruba and Curaçao, rooted in rivalry culture",/ˈsa.ka ˈka.ra/,E ta sigui saca cara cu su bisiña tur siman.,"No saca cara cu bo logronan, tur hende ta luchando.",E tabata saca cara cu su karro nobo.
Tin e cabes duru,Verb phrase; adjective with object,To be stubborn or hard-headed,No kier skucha konseho,A2,"Family, parenting, teaching",Colloquial,Widely used in household expressions,/tin e kaˈbɛs ˈdu.ru/,"Mi yu tin e cabes duru, no ta skucha nadie.","Bo ta tin e cabes duru mes, sigur bo ta bai haci esey!",Un hende cu e cabes duru mester siña di su error.
Keda na un pia,Verb phrase; prepositional structure,To be left helpless or without options,Keda sin yudansa of sin salida,B2,"Economics, social issues","Formal, journalistic",Stems from older Papiamento stage/folk expressions,/ˈke.da na un ˈpia/,"Despues di e huracán, hopi hende a keda na un pia.",E gobierno no por laga nos keda na un pia.,"Ora bo perde bo trabou, bo por keda na un pia hopi lihé."
Tuma un stoma,Verb phrase; fixed idiomatic action,To take offense or get upset unexpectedly,Ofendé repentinamente,B1,"Friendships, casual speech, humor","Colloquial, sarcastic",Popularized by youth culture in late 1990s,/ˈtu.ma un ˈsto.ma/,"Mi no sa kiko mi a bisa, pero e a tuma un stoma.","No tuma un stoma pa tur kos, por fabor.",E hende ta semper tuma un stoma sin motibu.
Bati bariga,Verb-object structure; figurative physical action,To struggle financially or live hand-to-mouth,Vivi cu dificultat financiero,C1,"Economics, personal hardship, literature","Poetic, dramatic","Antillean origin, associated with working-class hardship",/ˈba.ti baˈri.ɣa/,Mi famia tabata bati bariga durante pandemia.,E escritor ta papia di bati bariga den su novela.,Hopi hende den nos comunidad ta bati bariga pa sobreviví.
Haña yobe riba rosea,Complex clause; metaphorical conditional,To find fault in something beautiful or positive,Kritiká un kos bon,C2,"Debates, literature, intellectual discourse","Literary, ironic",Poetic imagery referencing paradise and flaw-finding,/ˈa.ɲa ˈʝo.be ˈri.ba ˈro.se.a/,E kritiko por haña yobe riba rosea den tur obra.,Bo no mester haña yobe riba rosea tur biaha.,Haña yobe riba rosea ta e arte di no keda felis.
Hasi pia di otro,Verb-object-preposition structure; idiomatic transfer,To imitate or mimic someone,Kopia e comportamiento di otro hende,A2,"School, childhood, humor",Colloquial,"Common among children, rooted in playground culture",/ˈha.si ˈpia di ˈo.tro/,E ta hasi pia di su ruman grandi tur ora.,Bo por hasi pia di otro sin bo siña nada.,No hasi pia di otro si e ta bai den mal kaminda.
Hasi un cara largo,Verb phrase; metaphorical with descriptive noun,"To look sad, disappointed or upset",Muestra bo disgusto cu bo cara,B1,"Family, work, daily life",Colloquial,Everyday usage with emotional connotation,/ˈha.si un ˈka.ra ˈlar.ɣo/,Mi mama a hasi un cara largo ora e a tende e noticia.,Bo ta hasi un cara largo manera si algu grandi a pasa.,Tur dia e ta drenta ofisina cu un cara largo.
Kue den palo krus,Prepositional metaphor; spatial idiom,To be in a difficult or painful situation,Keda atrapá den situashon difícil,C2,"Drama, religion, social commentary","Literary, formal, symbolic",Rooted in religious imagery of the crucifixion,/kwe dɛn ˈpa.lo ˈkrus/,E viktima a kue den palo krus despues di e akusashon.,Hopi hende ta kue den palo krus sin nan ke.,Bo no por kue den palo krus pa otro hende su error.
