Idiom (isiXhosa),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, isiXhosa)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ukuhla kwelanga,"Nominal phrase, fixed expression",The end or death of someone or something revered or powerful.,The passing of a great person.,C1,"Obituaries, historical reflection, ceremonial speech","Poetic, formal, respectful","References the sunset, a metaphor in Xhosa culture for death or closure",[ù.kʰú.ɬà kǃwè.ˈɬà.ŋà],Ukufa kukaTata uMandela kwakufaniswa nokuhla kwelanga.,"Xa kuthethwa ngohlobo lobunkokeli, ukuhla kwelanga kwenzeka ngethuba elishumi.",Ukonwaba kwabantu kwaphela njengokuhla kwelanga.
Ukuphosa amehlo,Verb phrase with object concord,To briefly glance or skim over something.,To glance at something.,B1,"Daily speech, reading, casual conversation","Colloquial, neutral",Common rural phrasing for reading or noticing quickly,[ù.kʰù.pʰó.sà à.mɛ́.ɬʷó],Ndiphose nje amehlo kule ncwadi.,Ukuphosa amehlo kwiincwadi zezaziso luncedo.,"Ngaphambi kokuphuma, waphosa amehlo egumbini."
Indlu ayibanjwa ngezikali,"Negative clause, passive construction",A home can't be held together by rules or force—it needs understanding.,"A household needs love and mutual respect, not strict control.",B2,"Family discourse, marriage advice, literature","Proverbial, advisory, wise",Proverbial wisdom often passed between elders and younger couples,[ín.dɮù à.jí.bán.d͡ʒʷà ŋè.zí.kʼá.ɬì],Utata wathi indlu ayibanjwa ngezikali xa sibambene nomama.,Abazali abadala babekholelwa ukuba indlu ayibanjwa ngezikali.,"Kwincoko ngothando, waphinda wathi indlu ayibanjwa ngezikali."
Ukubamba intaka ezimbini ngelitye elinye,"Verb phrase, coordinated object, instrumental phrase",To achieve two things with a single effort.,To kill two birds with one stone.,B2,"Workplace, planning, resourcefulness, humor","Informal, strategic",Drawn from hunting metaphors and traditional Xhosa folklore,[ù.kù.bám.bà ìn.tá.kʼà è.zím.bí.nì ŋé.lí.t͡ʃʼè è.ɬí.ɲè],Ukuthengisa nokuqeqesha kubambe iintaka ezimbini ngelitye elinye.,"Xa ndifunda ndisenza ingxelo, ndibamba intaka ezimbini ngelitye elinye.",Ukutyelela umakhulu kwandise nokuqokelela imbali—intaka ezimbini ngelitye elinye!
Inja iyawaqonda amanzi asephehlweni,"Complex sentence, subject-verb-object with locative",Someone recognizes danger or trouble just in time.,To sense trouble before it escalates.,C1,"Politics, street wisdom, storytelling, sarcasm","Ironic, wise, observational",Drawn from rural observations of dogs around dangerous waterholes,[í.ɲà í.jà.wà.kʼó.n.dà à.má.n.zì à.sɛ.pʼè.ɬʷá.ɲì],"Uqaphele ngexesha, inja iyawaqonda amanzi asephehlweni.","Andimxelelanga, kodwa inja iyawaqonda amanzi asephehlweni.",Amaphoyisa athi inja iyawaqonda amanzi asephehlweni — wabaleka phambi kokubanjwa.
Ukungena emgodini ongekho,Verb phrase with locative noun,To get into a situation you don’t understand or can’t handle.,To get in over one’s head.,B2,"Advice, cautionary tales, youth development","Serious, advisory",Rural metaphor about dangerous wells or holes,[ù.kú.ŋɛ́.nà ém.ɡó.dí.ní ò.ŋé.kʰò],"Ungangeni emgodini ongekho, qonda kuqala.",Wangena emgodini ongekho ngelixa ebuza ngeshishini.,Kukho abantwana abaninzi abangena emgodini ongekho ngenxa yeentloni.
Amehlo akhe angamachiza,Nominal phrase with possessive,He/she has a charming or enchanting gaze.,Their eyes are captivating.,B1,"Romantic language, poetry, praise","Poetic, admiring",From indigenous praise traditions and romantic expressions,[à.mɛ́.ɬʷò á.kʰè á.ŋà.má.t͡ʃʼí.zà],"Amehlo akhe angamachiza, andikwazi ukuthetha.","Bathi amehlo akhe angamachiza, uyathandeka.","Ngexesha lendibano, wonke umntu wabona ukuba amehlo akhe angamachiza."
Ukutya umoya,Verb + object noun,To struggle with hunger or lack of substance.,To starve or have nothing to eat.,B1,"Economic hardship, satire, protest","Colloquial, sarcastic",Used frequently in urban township slang and activism,[ù.kú.tʼá ù.mó.jà],Sele sitshona sitshixa — siyatya umoya.,Ukutya umoya kwenza abantu bacinge ngendlela.,"Bahlala esitratweni, betya umoya nje ngokwenene."
Umlilo udinga amalahle,Subject + verb + object,Every conflict or love requires effort/fuel.,There’s no smoke without fire.,B2,"Conflict, relationships, psychology","Wise, proverbial",Drawn from fire symbolism in initiation and homestead culture,[ù.m̩.ɮí.lò ù.dí.ŋà à.mà.là.ɬè],Ungaphazami — umlilo udinga amalahle.,"Umlilo udinga amalahle, kufuneka nithethe.","Xa kukho uthando olungaphiliyo, khumbula umlilo udinga amalahle."
Isikhumba asifihli bani,Negative clause with subject noun,One’s true nature or background can’t be hidden.,You can’t hide your true self.,C1,"Politics, moral commentary, family dynamics","Serious, ethical",Often used in commentary on assimilation or denial of roots,[í.sí.kʼʰú.m̩.bà à.sí.fí.ɬì bá.nì],"Nangona ezama ukubonakala ngathi ngumlungu, isikhumba asifihli bani.",Isikhumba asifihli bani — uvelaphi uyabonakala.,"Kwinkundla yamatyala, isikhumba asifihli bani."
