Idiom (Bono),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Bono)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Se wo werɛ fi na wosan kɔfa a, yenkyi.",Conditional subordinate clause followed by main clause; verb serialization (werɛ fi / wosan kɔfa).,It is not wrong to correct a mistake after realizing it.,"Sɛ woyɛ mfomso na wokɔsesa no a, ɛnyɛ bɔne.",B1,"Daily speech, moral advice, education, family guidance.","Proverbial, didactic, neutral.",Widely used Akan-Bono proverb emphasizing humility and corrective wisdom in traditional councils.,[sɛ wo wɛrɛ fi na wɔsan kɔfa a jɛŋkji],"Se wo werɛ fi na wosan kɔfa a, yenkyi, enti kɔsrɛ ne fakyɛ.","Ɔpanyin no kae sɛ se wo werɛ fi na wosan kɔfa a, yenkyi.","Yɛn abusua mu no, se wo werɛ fi na wosan kɔfa a, yenkyi yɛ mmara."
"Dua koro gye mframa a, ebu.",Independent declarative clause; metaphorical subject-object structure.,One person alone is vulnerable without support.,Onipa baako nni ahoɔden a obetumi agyina ne ho.,B2,"Leadership, teamwork, politics, communal discussions.","Proverbial, advisory.",Agrarian imagery referencing forest ecology in Bono regions.,[dua kɔro ɟɛ mframa a ɛbu],"Dua koro gye mframa a, ebu, enti mommra yɛnyɛ no bom.","Ɔkyerɛkyerɛfo no de dua koro gye mframa a, ebu kyerɛɛ sukuufo no.","Wopɛ sɛ wodi adwuma no nkutoo? Dua koro gye mframa a, ebu."
Ɔkɔtɔ nwo anoma.,Simple negative factual clause; animal metaphor.,A person cannot produce what is outside their nature.,Onipa rentumi nnyɛ nea onnim.,B2,"Critique, realism, education.","Proverbial, ironic.",Traditional ecological observation about species reproduction.,[ɔkɔtɔ nwo anoma],"Ɔkɔtɔ nwo anoma, enti mma yɛnhwɛ nea ɛboro ne tumi.",Ɔpanyin no kae sɛ ɔkɔtɔ nwo anoma bere a wɔregye ne di.,Wopɛ sɛ ɔyɛ nea ɔnnim? Ɔkɔtɔ nwo anoma.
"Anomaa antu a, ɔbɔ ne tirim.",Conditional clause with habitual action.,"Without effort, one suffers consequences.",Sɛ wunnya mmɔden a wobehyia ɔhaw.,B1,"Education, youth advice, motivation.","Advisory, proverbial.",Bird imagery tied to farming seasons.,[anomaa antu a ɔbɔ ne tirim],"Kenkan na mmɔ mmɔden, na anomaa antu a, ɔbɔ ne tirim.","Ɔma ne ba no kae sɛ anomaa antu a, ɔbɔ ne tirim.","Wogyaa adwuma no? Anomaa antu a, ɔbɔ ne tirim."
"Nsuo bɔ dam a, ɛnsɔ fam.",Conditional descriptive clause; environmental metaphor.,"When chaos erupts, stability disappears.","Sɛ basabasa ba a, asomdwoe nni hɔ.",C1,"Politics, social commentary, literature.","Poetic, serious.",Derived from river flooding patterns in Bono farmlands.,[nsuo bɔ dam a ɛnsɔ fam],"Bere a akasakasa no hyɛe ase no, nsuo bɔ dam a, ɛnsɔ fam.","Ɔtwerɛfo no de nsuo bɔ dam a, ɛnsɔ fam kyerɛɛ ɔman no tebea.","Nsuo bɔ dam a, ɛnsɔ fam, enti momma yɛnsiesie asɛm no."
Akomam pa yɛ sika.,Equative nominal clause.,Kindness is true wealth.,Onipa a ɔwɔ ayamye yɛ ɔdefo paa.,A2,"Family, religion, moral teaching.","Warm, proverbial.",Rooted in Bono communal value systems.,[akomam pa jɛ sika],"Ma wo koma nyɛ pa, efisɛ akomam pa yɛ sika.",Ɔkae sɛ akomam pa yɛ sika sen sika kɔkɔɔ.,Yɛn nananom kaa akomam pa yɛ sika bere tenten.
"Tiri nkɔ aguare a, akyidifo nni hɔ.",Conditional leadership metaphor.,"Without initiative, there are no followers.","Sɛ wunni akokoduru a, obi rento wo akyi.",C1,"Leadership, entrepreneurship, politics.","Motivational, assertive.",Refers to traditional dance and communal leadership roles.,[tiri nkɔ aguare a akyidifo nni hɔ],"Wopɛ sɛ woyɛ ɔkannifo? Tiri nkɔ aguare a, akyidifo nni hɔ.","Ɔkyerɛkyerɛfo no de tiri nkɔ aguare a, akyidifo nni hɔ hyɛɛ wɔn nkuran.","Tiri nkɔ aguare a, akyidifo nni hɔ na adwuma no renkɔ yie."
"Obi nnim a, obi kyere.",Parallel clause structure; reciprocal teaching form.,"If someone does not know, another teaches.",Yɛtumi sua fi yɛn ho.,A2,"Education, teamwork, mentorship.","Encouraging, communal.",Core Akan-Bono educational philosophy.,[obi nnim a obi kyerɛ],"Sɛ wunnim a, obi nnim a, obi kyere.","Yɛn sukuu mu no, obi nnim a, obi kyere yɛ adwumadi.","Ɔma ne ba no kae sɛ obi nnim a, obi kyere."
"Wo nsa ka adwuma a, fa wo koma ka ho.",Imperative clause with parallel verb phrase.,"When you work, commit wholeheartedly.",Yɛ adwuma no fi w’akomam.,B2,"Workplace, motivation, youth mentorship.","Advisory, motivational.",Craftsmanship ethic in Bono artisan traditions.,[wo nsa ka adwuma a fa wo koma ka ho],"Wo nsa ka adwuma a, fa wo koma ka ho na wobedi nkonim.","Ɔpanyin no hyɛɛ wɔn nkuran sɛ wo nsa ka adwuma a, fa wo koma ka ho.","Yɛn adwumakuo mu no, wo nsa ka adwuma a, fa wo koma ka ho yɛ mmara."
"Abofra bo nnua a, na ɔrehwehwɛ akyekyedeɛ.",Conditional clause with progressive verb form.,Restlessness often signals hidden intention.,"Sɛ abofra reyɛ basabasa a, ɛwɔ nea ɔpɛ.",C2,"Family humor, satire, literature.","Humorous, ironic.",Rural imagery tied to children throwing stones at fruit trees.,[abofra bo nnua a na ɔrehwɛ akyekyedeɛ],"Ɔba no bo nnua, na abofra bo nnua a, na ɔrehwehwɛ akyekyedeɛ.","Ɔkae no serew mu sɛ abofra bo nnua a, na ɔrehwehwɛ akyekyedeɛ.","Bere a ɔhyɛɛ ase teeɛm no, mekae sɛ abofra bo nnua a, na ɔrehwehwɛ akyekyedeɛ."
