Idiom (Turkish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Turkish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Dereyi görmeden paçaları sıvamak,"Fiil cümlesi, deyimleşmiş birleşik fiil",Bir işi yapmaya başlamadan önce hazırlıklara girişmek,Hazırlıklara erkenden başlamak,B2,"Günlük konuşma, halk söylemi","İronik, gündelik","Anadolu halk deyimi, tarım toplumlarında su taşkınlarına karşı uyarı niteliğinde",[ˈdeɾeji ˈɟøɾmeden pɑˈtʃɑɫɑɾɯ sɯvɑˈmɑk],Daha projeye onay bile çıkmadı ama o dereyi görmeden paçaları sıvamış.,Tatile çıkmadan bavul hazırlayan annem yine dereyi görmeden paçaları sıvamış.,"Oğlum daha sınav açıklanmadı, ne bu dereyi görmeden paçaları sıvamak?"
Ağzıyla kuş tutmak,"Fiil cümlesi, mecaz anlamlı birleşik fiil","Ne kadar iyi olursa olsun, yaptığı işler takdir görmemek",Yaptıkları beğenilmemek,C1,"İş hayatı, eleştiri, gündelik","Alaycı, umutsuz",Doğu Akdeniz’de geleneksel olarak imkansız başarıları küçümseyen deyim,[ˈɑːzɯjɯlɑ kuʃ tutˈmɑk],"Ne yapsa yaranamıyor, ağzıyla kuş tutsa da nafile.",Sen bu şirkette ağzınla kuş tutsan bile terfi etmen zor.,Ağzıyla kuş tutmak yetmiyor bazen; insanların beklentisi başka.
Kulağı delik,Sıfat tamlaması,"Haberleri, dedikoduları çabuk duyan; bilgisi olan","Haberlere karşı duyarlı, bilgili",B1,"Günlük konuşma, medya","Gündelik, hafif espirili",İstanbul sokak kültüründen gelen deyim,[kuˈɫɑːɯ deˈɫik],Kulağı delik biriysen bu haberleri kaçırmazsın.,Mahallede olup biteni hep kulağı delik Ayşe teyze bilir.,Kulağı delik bir gazeteci tüm dedikoduları ilk öğrenir.
Elini taşın altına koymak,"Fiil yapılı deyim, edilgen yapı",Zor bir işe sorumluluk alarak dahil olmak,Sorumluluk üstlenmek,B2,"İş dünyası, toplum, siyaset","Resmi, kararlı",Toplum için fedakarlık çağrılarında yaygın kullanım,[eˈɫini ˈtɑʃɯn ɑɫtɯnɑ kojˈmɑk],Bu projede başarılı olmak için herkes elini taşın altına koymalı.,Toplumda değişim istiyorsak elini taşın altına koyacak insanlar lazım.,Elini taşın altına koymadan eleştirmek kolay.
Göz var nizam var,İkileme yapılı kalıplaşmış ifade,Açıkça görülen bir durumu inkâr etmek mantıksızdır,Apaçık olanı reddetmemek gerekir,C1,"Tartışma, ironi, eleştiri","İronik, eleştirel","Osmanlı döneminden gelen, halk adaleti vurgulayan kalıp",[ɟøz vaɾ niˈzɑm vaɾ],"Bu sınav adil miydi? Göz var nizam var, bakın sonuçlara!","Bu evi bu fiyata satmak? Göz var nizam var, ayıp gerçekten.","Göz var nizam var, herkes kimin çalıştığını görüyor."
Lafı gediğine koymak,"Fiil cümlesi, deyimleşmiş birleşik fiil",Tam zamanında ve etkili bir söz söylemek,Yerinde konuşmak,B2,"Günlük konuşma, tartışma","Sivri, etkili","Anadolu halk söyleminden, söz sanatlarıyla ilgili",[ɫɑˈfɯ ɟediˈɟine kojˈmɑk],"Tartışmada lafı gediğine koydu, herkes sustu.",Patronuna lafı gediğine koyarak cevap verdi.,Öyle güzel cevap verdi ki lafı gediğine koydu resmen.
Yılanın başını küçükken ezmek,"Fiil cümlesi, teşbihli deyim",Sorun büyümeden önlem almak,Erken önlem almak,C1,"Politika, iş hayatı, uyarı","Uyarıcı, mecazlı",Ortadoğu'da kötülüğün erken bastırılmasını öğütleyen halk deyimi,[jɯˈɫɑnɯn bɑˈʃɯnɯ kyˈtʃykken ezˈmek],"Bu tür davranışları baştan engellemek lazım, yılanın başını küçükken ezmeli.",Şirket içi sorunlar büyümeden çözülmeli; yılanın başını küçükken ezmek gerek.,Yılanın başını küçükken ezmeyen sonradan pişman olur.
Balık baştan kokar,"İsim cümlesi, atasözü yapısı","Bir kurumda sorun varsa, yöneticiden kaynaklanır",Sorunların kaynağı liderdir,B1,"Eleştiri, siyaset, iş dünyası","Eleştirel, özdeyiş",Akdeniz bölgesi balıkçılık kültüründen türemiş,[bɑˈɫɯk bɑʃˈtɑn koˈkɑɾ],"Şirketin bu durumda olması şaşırtıcı değil, balık baştan kokar.","Balık baştan kokar, o müdür değişmeden hiçbir şey düzelmez.","Balık baştan kokar derler, yönetime bak anlayacaksın."
Kaş yapayım derken göz çıkarmak,"Fiil cümlesi, zıtlık içeren deyim",İyilik yaparken zarar vermek,Yardım etmek isterken zarar vermek,B2,"Günlük konuşma, eleştiri","İronik, eleştirel",Türk halk tiyatrosunda sıkça kullanılan bir deyim,[kɑʃ jɑˈpɑjiːm deɾken ɟøz tʃɯˈkɑɾmɑk],Yardıma gelmiş ama kaş yapayım derken göz çıkarmış.,Yeni dekor yapacağım derken kaş yapayım derken göz çıkardı.,"Projeyi düzeltmek isterken işi daha da bozdu, kaş yapayım derken göz çıkardı."
Bir taşla iki kuş vurmak,"Fiil cümlesi, birleşik fiil",Tek hamlede birden fazla iş başarmak,Aynı anda iki fayda sağlamak,B1,"İş dünyası, strateji","Gündelik, mecazi","Avcılık metaforu üzerinden gelen, Türkçe’nin en yaygın deyimlerinden biri",[biɾ ˈtɑʃɫɑ iˈki kuʃ vuɾˈmɑk],"Yurt dışı fuarına katılıp hem satış yaptı hem reklam, bir taşla iki kuş vurdu.",Toplantıyı ofiste yapınca bir taşla iki kuş vurduk.,Bu proje hem para kazandıracak hem tanıtım yapacak; bir taşla iki kuş.
