Idiom (Italian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Italian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Avere le mani bucate,verbo + articolo determinativo + sostantivo plurale (idioma verbale figurato),Spendere soldi senza controllo o risparmio.,Spendere molti soldi senza pensarci troppo.,B1,"famiglia, vita quotidiana, economia",colloquiale,"Comune in tutta Italia, suggerisce che il denaro 'sfugga' dalle mani come se ci fossero dei buchi.",[aˈveːre le ˈmaːni buˈkaːte],Marco ha le mani bucate: ogni volta che prende lo stipendio lo spende tutto in un giorno.,"Non gli prestare altri soldi, ha le mani bucate.",Chi ha le mani bucate difficilmente riesce a risparmiare.
Non tutte le ciambelle escono col buco,negazione + frase subordinata (costruzione comparativa proverbiale),Non sempre le cose vanno come previsto.,A volte le cose non riescono come sperato.,B2,"conversazione informale, incoraggiamento, fallimenti","familiare, ironico","Riferimento al dolce tipico italiano, la ciambella. L'espressione riflette l'imperfezione quotidiana.",[non ˈtutte le tʃamˈbɛlle ˈɛskono kol ˈbuko],Non preoccuparti per l'esame: non tutte le ciambelle escono col buco.,"Avevo grandi aspettative, ma si sa, non tutte le ciambelle escono col buco.","Il progetto è andato male, ma pazienza, non tutte le ciambelle escono col buco."
Fare il passo più lungo della gamba,verbo + articolo determinativo + sostantivo + aggettivo (frase figurata con comparazione),Tentare qualcosa che supera le proprie capacità o risorse.,Provare a fare qualcosa senza avere i mezzi adatti.,B2,"famiglia, lavoro, economia, consigli","colloquiale, proverbiale","Antico proverbio, comune in tutta Italia, richiama l'immagine di uno sforzo fisico sproporzionato.",[ˈfaːre il ˈpasso pju ˈluŋɡo della ˈɡamba],"Hai comprato un'auto troppo costosa, hai fatto il passo più lungo della gamba.",Investire tutto in quel progetto è stato un passo più lungo della gamba.,Quando ero giovane facevo spesso il passo più lungo della gamba.
Acqua in bocca!,sostantivo + preposizione articolata + sostantivo (frase imperativa ellittica),"Non dire nulla, mantieni il segreto.",Non parlare di ciò che ti ho detto.,A2,"amicizia, confidenze, famiglia","familiare, informale","Espressione visiva, tipica del parlato, suggerisce che con l’acqua in bocca non si può parlare.",[ˈakkwa im ˈbokka],"Ti racconto un segreto, ma acqua in bocca!","Mi raccomando, acqua in bocca con i colleghi.",Glielo ho detto solo perché so che tiene l’acqua in bocca.
Andare a gonfie vele,verbo + preposizione articolata + sostantivo plurale (frase verbale figurata),"Procedere molto bene, avere grande successo.",Sta andando tutto molto bene.,B1,"lavoro, progetti, economia, relazioni","positivo, colloquiale","Deriva dal mondo nautico, dove le vele gonfie indicano vento favorevole.",[anˈdaːre a ˈɡonfje ˈveːle],Il progetto sta andando a gonfie vele.,La loro relazione va a gonfie vele.,Gli affari vanno a gonfie vele quest'anno.
Chi dorme non piglia pesci,proposizione condizionale + proposizione principale (frase proverbiale),Chi non si dà da fare non ottiene risultati.,Devi agire se vuoi ottenere qualcosa.,B1,"educazione, motivazione, lavoro","familiare, educativo","Proverbio italiano, spesso usato dai genitori per insegnare l’importanza della prontezza.",[ki ˈdorme non ˈpiʎʎa ˈpeʃʃi],"Alzati presto, chi dorme non piglia pesci!","Se vuoi quel lavoro, chi dorme non piglia pesci.",Te l’ho detto mille volte: chi dorme non piglia pesci.
Essere al verde,verbo + preposizione articolata + aggettivo (idioma predicativo),Essere senza soldi.,Non avere più denaro.,B1,"giovani, economia, umorismo","colloquiale, ironico",Storicamente legato al colore della candela usata per segnalare la fine dei fondi in giochi o aste.,[ˈɛssere al ˈverde],Questo mese sono proprio al verde.,Sei sempre al verde alla fine del mese!,"Dopo le vacanze, siamo tutti un po’ al verde."
Prendere lucciole per lanterne,verbo + complemento oggetto figurato (costrutto figurativo),"Fare confusione, scambiare una cosa per un’altra.",Confondere due cose completamente diverse.,C1,"scuola, critica, ironia","letterario, ironico",Espressione poetica rinascimentale; le lucciole di notte possono sembrare lanterne.,[ˈprɛndere ˈluttʃole per lanˈtɛrne],"Hai capito male, stai prendendo lucciole per lanterne.","Quando legge, prende sempre lucciole per lanterne.","Attenzione alle fonti, altrimenti si prendono lucciole per lanterne."
Mettere il carro davanti ai buoi,verbo + oggetto diretto + preposizione articolata + sostantivo plurale (frase figurativa),Agire senza rispettare la logica o l’ordine delle cose.,Fare le cose fuori sequenza logica.,B2,"progetti, gestione, lavoro","colloquiale, proverbiale",Espressione contadina che fa riferimento all’ordine corretto per trainare un carro.,[ˈmɛttere il ˈkarro daˈvanti ai ˈbwɔi],Stai mettendo il carro davanti ai buoi parlando già di risultati.,"Con calma, non mettiamo il carro davanti ai buoi.","Ha fatto tutto in fretta, mettendo il carro davanti ai buoi."
Tagliare la corda,verbo transitivo figurato + articolo determinativo + sostantivo (costrutto idiomatico),"Andarsene in fretta, scappare da una situazione.",Andare via rapidamente.,B2,"giovani, umorismo, emergenza, situazioni imbarazzanti","colloquiale, ironico","Espressione legata forse all’immaginario teatrale o circense, dove 'tagliare la corda' segnala una fuga improvvisa.",[taʎˈʎaːre la ˈkorda],"Appena ha visto i professori, ha tagliato la corda.","Non mi sentivo a mio agio, così ho tagliato la corda.",Lui taglia sempre la corda quando si parla di lavoro.
