Idiom (Esan),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Esan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ó kpá érhán ó bhẹlẹ̀n,Fixed clause; declarative; third person subject,Someone wasted effort for nothing; efforts were in vain,He/she worked for nothing,B1,"Daily speech, sarcasm, cautionary tales","Colloquial, ironic",Used in farming communities where harvests failed despite hard work,/ó k͡pá èɾʰáŋ ó bʰɛ̀lɛ̃́/,Ó kpá érhán ó bhẹlẹ̀n nọ khìn ọbọ lẹ̀.,"Ó ríọ wẹn, ó kpá érhán ó bhẹlẹ̀n.","Ẹ́nẹ nọ gha gbe ebi, ó kpá érhán ó bhẹlẹ̀n."
Ó ɖẹ owẹ ẹkpẹ̀,Verb phrase; third person subject; perfective aspect,Someone is extremely afraid or shocked,He/she is terrified,A2,"Daily speech, humor, storytelling","Colloquial, expressive",From traditional belief in ancestral spirits; owẹ (grave) symbolizes death or fear,/ó ɖɛ̀ òwɛ̀ ɛ̀kpɛ̀/,Ó ɖẹ owẹ ẹkpẹ̀ lẹ̀ ọrhọ̀ ọghẹ̀n.,"Ó gbọ́ ọkhọmhin, ó ɖẹ owẹ ẹkpẹ̀.","Émwan nọ ɖẹ owẹ ẹkpẹ̀, ẹmwẹ́ nọ ya yáé òrhìon."
Ó fì órhọ̀ áta kpẹ́n ọlé,Complex sentence; comparative phrase; subjunctive,Someone chose danger instead of safety,He/she made a risky decision,B2,"Politics, cautionary tales, literature","Literary, poetic",Derived from moral tales where characters reject wisdom and face dire consequences,/ó fì òɾʰɔ̀ atá k͡pɛ́ŋ òlɛ́/,Ó fì órhọ̀ áta kpẹ́n ọlé nọ ghan ọbẹ.,"Ó nọ lẹ ògbo, ó fì órhọ̀ áta kpẹ́n ọlé.","Kpẹ́n ó khin, ó fì órhọ̀ áta kpẹ́n ọlé."
Ọmwan kpẹ̀ emhin nẹ ì yé,Complex clause; reflexive; third person subject,Someone reaps what they sow,One receives the consequences of their actions,B2,"Wisdom, ethics, storytelling","Philosophical, moralistic",Proverb used in community justice and traditional judgments,/ɔ̀mʷã̀ k͡pɛ̀ ɛ̀mʰĩ̀ nɛ̀ ì yɛ́/,Ọmwan kpẹ̀ emhin nẹ ì yé nọ ghe érha mwẹn.,"Ó bì ọlé, ó kpẹ̀ emhin nẹ ó yé.",Ẹnọ bhó ọmwan kpẹ̀ emhin nẹ ì yé.
Ó fọ̀ ọkpẹ́ nẹ ọgbọ,Verb-object phrase; metaphorical noun use,One exposed a secret recklessly,He/she spilled the beans,C1,"Politics, gossip, caution","Colloquial, ironic",Refers to traditional counsel circles where revealing prematurely caused chaos,/ó fɔ̀ ɔ̀kpɛ́ nɛ̀ ɔ̀g͡bɔ̀/,Ó fọ̀ ọkpẹ́ nẹ ọgbọ lẹ̀ irẹmwẹ̀n.,"Ká ó vbékhian, ó fọ̀ ọkpẹ́ nẹ ọgbọ.","Ọrhọ́nẹ ghá yọ, ó fọ̀ ọkpẹ́ nẹ ọgbọ."
Ọyẹn mẹ́ eghe òwù,Subject-verb-noun; negation; metaphorical construct,A person is financially broke or desperate,He/she has no money,A2,"Daily speech, humor","Colloquial, humorous",Popular in informal youth speech referencing poverty with dramatic flair,/ɔ̀yɛ̃̀ mɛ́ ɛ̀gʰɛ̀ òwʊ̀/,"Ọyẹn mẹ́ eghe òwù, ó ya khìn kpẹkhẹ.","Ká ó nọ lẹ́ igwẹ, ọyẹn mẹ́ eghe òwù.","Ó ghá wẹ, ó mẹ́ eghe òwù ẹ̀."
Ó khín ògìè nẹ ímé,Subject-verb-object with locative; fixed phrase,Someone is involved in a secretive or backdoor scheme,He/she is operating behind the scenes,C1,"Politics, strategy, gossip","Formal, strategic",Reference to village palaver resolution done 'behind the door',/ó kʰĩ́ ògìɛ̀ nɛ̀ ímɛ́/,Ó khín ògìè nẹ ímé lẹ̀ ọkhian.,"Ó yá wẹ, ó khín ògìè nẹ ímé.","Ọrhọ́nẹ nẹ rhuẹ́, ó khín ògìè nẹ ímé."
Ó kùn únọ̀ nẹ èyán,Subject-verb-noun phrase; metaphorical,Someone is deceitful or hides true intention,He/she is pretending or lying,B2,"Caution, warning, informal discourse","Ironic, critical",Used in warning about two-faced individuals; rooted in proverb culture,/ó kũ̀ ũ̀nɔ̀ nɛ̀ ɛ̀jã́/,"Ó kùn únọ̀ nẹ èyán, ẹ́nẹ nọ vbe ọmwẹ̀n.","Ó gbẹ̀ òré, ó kùn únọ̀ nẹ èyán.","Ẹmwẹ́ nọ mwẹ́n, ó kùn únọ̀ nẹ èyán."
Ó lé ọmwẹ̀n ẹ̀rhẹ̀n,Subject-verb-object; fixed form,One displayed shameless behavior,He/she acted disgracefully,B2,"Discipline, moral conversation, judgment","Formal, judgmental","Used in moral teachings, esp. from elders",/ó lɛ́ ɔ̀mwɛ̀n ɛ̀ɾʰɛ̀n/,Ó lé ọmwẹ̀n ẹ̀rhẹ̀n lẹ́ igiògùn.,"Ẹ́nẹ nọ le, ó lé ọmwẹ̀n ẹ̀rhẹ̀n.","Ọrhọ́nẹ nọ ghá bhọ, ó lé ọmwẹ̀n ẹ̀rhẹ̀n."
Ó rhẹ̀ ẹvbẹ̀n mọ́mọ́ nẹ íkhuẹ,Compound sentence; metaphorical plural noun; passive nuance,He/she is obsessed with trivial things,They focus too much on unimportant things,C1,"Education, workplace, scolding","Critical, formal",Traditionally said about distracted youths; linked to elders' speeches,/ó ɾʰɛ̀ ɛ̀βɛ̀n mɔ́mɔ́ nɛ̀ íkʰʷɛ́/,Ó rhẹ̀ ẹvbẹ̀n mọ́mọ́ nẹ íkhuẹ lẹ̀ eguẹmwẹ.,"Ọrhọ́nẹ nọ ghá mwẹ́n, ó rhẹ̀ ẹvbẹ̀n mọ́mọ́ nẹ íkhuẹ.",Ó rhẹ̀ ẹvbẹ̀n mọ́mọ́ nẹ íkhuẹ lẹ̀ iwino.
