Idiom (Cuneiform Luwian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cuneiform Luwian)",First Example Sentence,Second Example Sentence,Third Example Sentence
wātar parna ānda pīya-,Fixed verbal phrase: direct object wātar plus locative parna ānda and active pīya-; idiom usually finite in 1st–3rd person.,To calm a quarrel or restore peace inside a household or small group.,taniman āššu iwar tarna-,A2,family mediation; daily speech; conflict resolution; advice,"colloquial, conciliatory, warm",Synthetic Cuneiform Luwian-style expression built from house-and-water imagery common to ritual purification and domestic order in Hattusa tablet culture.,/ˈwaː.tar ˈpar.na ˈaːn.da ˈpiː.ja/,"mān tatiš annaš karpīyanta, zika wātar parna ānda pīyasi.","išḫaš lapana na zinnati, apas wātar parna ānda pīyati.","anza taniman šarrīyami, ammuk-ma wātar parna ānda pīyawi."
tuppin āppan tarna-,Fixed transitive verbal phrase: accusative tuppin with adverb āppan and active tarna-; often used with contrastive -ma.,"To ignore written evidence, advice, or an obvious warning.",tuppin na au-,B1,scribal work; legal warning; workplace; sarcasm,"ironic, admonitory, semi-formal","Modeled on scribal tablet culture, where written records, ritual prescriptions, and instructions carried high authority.",/ˈtup.pin ˈaːp.pan ˈtar.na/,"DUB.SAR-aš ḫatrāi, apas-ma tuppin āppan tarnati.","zika tuppin āppan tarnasi, kuitman šāra parā īdi.","mān lugal-aš wiyan pīyati, nāwi tuppin āppan tarnanta."
ḫāwanzan šarra-,Compact transitive verb idiom: collective object ḫāwanzan with active šarra-; causative reading arises from the object metaphor.,"To split a community, family, or team into factions.",ḫūmandan na āššu tarna-,B2,politics; family disputes; leadership; criticism,"critical, serious, slightly proverbial","Pastoral imagery is appropriate for Bronze Age Anatolia, where herds, offerings, and household economies recur in ritual and administrative contexts.",/ˈħaː.wan.zan ˈʃar.ra/,"kuis ḫāwanzan šarrati, apas parnašši lāman na ēšzi.","zika ḫāwanzan na šarrasi, annaš taniman arḫa tarnai.","tuppi piran ḫāwanzan šarranta, ūwaš parnanza karpīyanti."
irḫan parā īya-,Motion-verb idiom: accusative boundary noun irḫan plus directional parā and verb īya-/ī-; metaphorical extension from spatial crossing.,"To overstep a boundary, exceed authority, or act beyond one’s proper role.",lāman na āššu ēš-,B1,court protocol; workplace; family hierarchy; moral instruction,formal or admonitory,"Boundary language reflects land, road, and jurisdictional concerns familiar from Anatolian political and administrative discourse.",/ˈir.ħan paˈraː ˈiː.ja/,"mān šalliš DUMU-aš irḫan parā īdi, tatiš uwai.","DUB.SAR-aš irḫan parā na īdi, apa tuppin ḫandā ḫatrāi.","zika irḫan parā īyasi, ammuk annallan pīyawin."
ḫūpparan ānda lāḫu-,Mediating verbal phrase: locative/directional ānda with river noun ḫūpparan and active lāḫu-; can be literal or metaphorical.,"To clear one’s name, purify a fault, or repair reputation after accusation.",lāman āššu iwar tarna-,B2,ritual; legal defense; reputation; reconciliation,"ritual, poetic, serious",Water and washing imagery is modeled on ritual purification motifs known from Anatolian cuneiform religious texts.,/ˈħuːp.pa.ran ˈaːn.da ˈlaːħu/,"apas kuit ḫūwatar ḫūwai, ḫūpparan ānda lāḫuti.","mān zika lāman šarrasi, ḫūpparan ānda lāḫuwi.",malḫašši piran anza ḫūpparan ānda lāḫūmi.
DUTU-iwar au-,Comparative idiom: divine/logographic comparator DUTU-iwar with perception verb au-; usually finite and evidential in tone.,"To see a matter clearly, transparently, and without hidden confusion.",taniman ḫandā au-,A2,teaching; judgment; explanation; reassurance,"neutral, clear, slightly elevated",The Sun as a symbol of visibility and judgment is widely shared in Hittite-Luwian religious environments; this is a synthetic Cuneiform Luwian-style formulation.,/ˈduːtu ˈi.war ˈau/,"mān tuppiša āntara ēšzi, DUB.SAR-aš DUTU-iwar auti.","zika ammuk taniman pīyasi, ammuk DUTU-iwar auwi.",lugal-aš piran apas ḫandā DUTU-iwar auta.
NINDA-an išḫaš piran tarna-,Ceremonial-object idiom: accusative NINDA-an plus dative/genitive phrase išḫaš piran and active tarna-; politeness may shade into flattery.,"To curry favor, flatter a superior, or offer a symbolic gift to gain approval.",išḫan āššu iwar wallu-,C1,court speech; workplace politics; diplomacy; satire,"sarcastic, courtly, literary","Modeled on offering language and food-gift etiquette in palace and ritual contexts, with NINDA reflecting common cuneiform logographic practice.",/ˈnin.da.an ˈiʃ.ħaʃ ˈpi.ran ˈtar.na/,"kuis NINDA-an išḫaš piran tarnati, apas ḫūman lāman zinnati.","zika NINDA-an išḫaš piran na tarnasi, ḫandā uttar pīyasi.",DUMU-aš ḫūittiyanza NINDA-an išḫaš piran tarnata.
tarḫuntan ḫašša ānda ḫūwa-,Mythicized verbal phrase: divine name/object tarḫuntan with hearth locative ḫašša ānda and motion verb ḫūwa-; conveys escalation.,To bring overwhelming force into a small matter; to escalate a dispute unnecessarily.,taniman šalli iwar na tarna-,C1,family quarrels; politics; humor; warning,"dramatic, humorous, ironic",Uses the Storm-god Tarḫunt and hearth imagery to contrast cosmic power with domestic scale; synthetic but culturally anchored.,/tarˈħun.tan ˈħaʃ.ʃa ˈaːn.da ˈħuː.wa/,"mān DUMU-aš malli ḫūwai, tatiš tarḫuntan ḫašša ānda na ḫūwati.","zika ḫūman karpīyasi, tarḫuntan ḫašša ānda ḫūwasi.","annaš apān wiyanti, kuitman apas tarḫuntan ḫašša ānda ḫūwata."
kuršamman piran ḫuiya-,Ritual-object idiom: object kuršamman with preverbial piran and active ḫuiya-; implies public display before a group.,To expose hidden wrongdoing or reveal what someone tried to conceal.,ḫūwatar parā aušša-,B2,law; investigation; gossip; storytelling,"sharp, accusatory, vivid",The kurša-/sacred bag motif is associated with Anatolian ritual symbolism; here it is adapted as a metaphor for hidden contents becoming visible.,/kurˈʃam.man ˈpi.ran ˈħui.ja/,"DUB.SAR-aš tuppin ḫatrāi, kuršamman piran ḫuiyati.","zika uttar ḫalluwasi, apas-ma kuršamman piran ḫuiyati.","mān šāra parna ānda ēšzi, anza kuršamman piran ḫuiyami."
uttar išḫāraš iwar lalḫa-,Simile-based verbal idiom: nominative/accusative uttar plus genitival comparison išḫāraš iwar and speech verb lalḫa-; sound-symbolic force.,To speak words that wound deeply or create lasting hostility.,uttar ḫūwatar pīya-,C2,literature; insult; diplomacy; curse language; conflict analysis,"poetic, severe, high-register","Blood-and-word imagery echoes oath, curse, and ritual harm concepts in ancient Anatolian discourse; the expression is synthetic and not presented as a quoted tablet idiom.",/ˈut.tar iʃˈħaː.raʃ ˈi.war ˈlal.ħa/,"kuis uttar išḫāraš iwar lalḫati, apas ḫāwanzan šarrati.","zika uttar išḫāraš iwar na lalḫasi, mān āššu tarnašši.",lugal-aš piran apas uttar išḫāraš iwar lalḫata.
