Idiom (Nzima),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Nzima)",First Example Sentence,Second Example Sentence,Third Example Sentence
Nyiene sosɔ bɛ nwo na bɛapɛ azule.,"Fixed proverb clause with plural subject, reciprocal object construction, sequential connector, and purpose-result verb phrase.",Small or weak people can overcome a difficult task through unity and coordinated support.,"Yɛhyɛ bɛ nwo edwuma a, bɛyɛ edwuma denden no.",B2,family advice; teamwork; community meetings; workplace cooperation; school motivation,proverbial; warm; didactic; community-centered,"Built on river-crossing and ant imagery common in coastal and riverine Nzema communities, where collective labour and kin support are valued.",/ɲiɛnɛ sɔsɔ bɛ nʷo na bɛapɛ azule/,"Edwuma no denden, noko nyiene sosɔ bɛ nwo na bɛapɛ azule.","Mgbanyima se kɛ nyiene sosɔ bɛ nwo na bɛapɛ azule, yɛmmɔ bɛne bɛhyɛ bɛ nwo.","Saa asafo no bɔ mu a, nyiene sosɔ bɛ nwo na bɛapɛ azule."
Akɔlɛ belɛ ze alehyenlɛ noko ɔtie nyinli ane.,"Compound fixed clause with animate subject, cognition verb, contrastive coordinator, and finite complement clause.",Someone may know what should be done but still waits for the socially recognized voice to speak first.,"Ɔze asɛm no, noko ɔtwɛn ɔman anwo ɔkɛma ɔkasa.",C1,chiefly settings; family hierarchy; politics; gender-role critique; public deliberation,traditional; ironic; critical; culturally loaded,"Draws from poultry imagery and older household authority patterns; useful today for discussing hierarchy, recognition, and whose voice is heard.",/akɔlɛ bɛlɛ zɛ alɛhjɛnlɛ noko ɔtie ɲinli anɛ/,"Ɔha la ɔze nokwasɛm no, noko akɔlɛ belɛ ze alehyenlɛ noko ɔtie nyinli ane.","Amanhyia nu, bɛmaa ɔkɛsera ɔkasa ansa, na yɛkaa kɛ akɔlɛ belɛ ze alehyenlɛ noko ɔtie nyinli ane.","Bɛnyia no bɛze ɔkwan no, noko bɛgyɛle ɔpanyin ane, ɛhye yɛ akɔlɛ belɛ ze alehyenlɛ noko ɔtie nyinli ane."
Ɛ sa anzi kɛyɛ wɔ fɛ a ɔnrɛyɛ kɛ ɛ sa akunlu.,"Comparative proverb with conditional frame, body-part noun phrase, negated copular comparison, and locative contrast.",What another person provides for you cannot equal the benefit of what you earn or control yourself.,Ɛdeɛ ɛyɛle ɛ nwo ara le fɛ kyɛ ɛdeɛ ɔgɔnwo kɛma wɔ.,B2,work ethic; self-reliance; youth advice; entrepreneurship; family instruction,proverbial; practical; advisory,"Uses the palm/hand as a metaphor for self-reliance, reflecting Nzema moral teaching about industry and independence.",/ɛ sa anzi kɛjɛ wɔ fɛ a ɔnrɛjɛ kɛ ɛ sa akunlu/,"Ɛnyɛ dɛ wohwɛ onyia nsa da, ɛ sa anzi kɛyɛ wɔ fɛ a ɔnrɛyɛ kɛ ɛ sa akunlu.","Kɔyɛ ɛ edwuma, osiande ɛ sa anzi kɛyɛ wɔ fɛ a ɔnrɛyɛ kɛ ɛ sa akunlu.","Ɔpanyin no boaa bɛ kɛ bɛnhwɛ akyɛde nko, na ɔse ɛ sa anzi kɛyɛ wɔ fɛ a ɔnrɛyɛ kɛ ɛ sa akunlu."
Akɔsea mɔɔ doale ɔ nli la lile abɛbɛ ɛzɔlɛ.,"Relative-clause proverb with animal subject, dependent relative marker, following verb, and result predicate.",A learner or younger person who stays close to a wise guide gains access to better opportunities.,Onyia mɔɔ tie ɔpanyin anwo la nya mboa ne adwene pa.,B1,mentorship; apprenticeship; parenting; school guidance; workplace learning,gentle; encouraging; proverbial,"Rooted in animal observation and elder-child learning patterns in Nzema social life, where guidance from seniors is prized.",/akɔsea mɔɔ doalɛ ɔ nli la lilɛ abɛbɛ ɛzɔlɛ/,"Bra kɔtena ɔkyerɛkyerɛnyi no nkyɛn, akɔsea mɔɔ doale ɔ nli la lile abɛbɛ ɛzɔlɛ.","Ɛfa ɛpanyin asɛm a, akɔsea mɔɔ doale ɔ nli la lile abɛbɛ ɛzɔlɛ.","Ɔdɔba no sua edwuma ntɛmntɛm, osiande akɔsea mɔɔ doale ɔ nli la lile abɛbɛ ɛzɔlɛ."
Aleɛ mɔɔ ɛkɛli bie la ɛwuda-wuda ɔ bo.,"Imperative-like proverb with head noun, relative clause, future marker, indefinite quantifier, and reduplicated verb expressing continuity.",Contribute consistently to anything from which you expect to benefit.,"Saa ɛpɛ kɛ ɛnya mfaso a, fa wo kyɛfa kɔ mu daa.",C1,communal labour; business partnerships; church or association dues; family projects; civic duty,wise; practical; mildly admonishing,"Uses the cooking-fire image to connect food, labour, and shared benefit; it echoes household and communal responsibility.",/alɛɛ mɔɔ ɛkɛli biɛ la ɛwuda wuda ɔ bo/,"Ɛpɛ kɛ woli bɔdwuma no aba a, aleɛ mɔɔ ɛkɛli bie la ɛwuda-wuda ɔ bo.","Bɛka yɛ kɔma bɛhyɛ sika no mu, osiande aleɛ mɔɔ ɛkɛli bie la ɛwuda-wuda ɔ bo.",Ɔsofo no kyerɛle asafo no kɛ aleɛ mɔɔ ɛkɛli bie la ɛwuda-wuda ɔ bo.
"Wɔammaa ɛ gɔnwo ampɛ ngɔnla a, ɛmpɛ bulu.","Conditional negative proverb with second-person subject, benefactive object, numerically marked complement, and consequence clause.",Blocking someone else’s progress can also prevent your own success.,"Saa ɛsi ɔgɔnwo kwan a, ɛ nwo so betumi ahwere mfaso.",B2,competition; politics; workplace rivalry; family disputes; peer advice,warning; ironic; conversational,A modernized Nzema proverb often paraphrased around numbers and fair competition: no one reaches ten by denying another nine.,/wɔammaa ɛ gɔnʷo ampɛ ŋgɔnla a ɛmpɛ bulu/,"Mma ɛ gɔnwo nkwan nsi, wɔammaa ɛ gɔnwo ampɛ ngɔnla a, ɛmpɛ bulu.","Nɔhale ne kɛ wɔammaa ɛ gɔnwo ampɛ ngɔnla a, ɛmpɛ bulu, enti ma yɛnfa pɛpɛɛpɛ nyɛ.","Ɔkasa no yɛ kasafunu, osiande wɔammaa ɛ gɔnwo ampɛ ngɔnla a, ɛmpɛ bulu."
Bɛsu a bɛwie.,"Concise fixed clause with nominalized crying/sorrow subject, conditional marker, and completive verb.",Every hardship or period of sorrow eventually comes to an end.,Ahohia no ntra hɔ daa; ɛbɛtwa mu.,A2,comfort; bereavement support; encouragement; illness recovery; everyday reassurance,tender; consoling; proverbial,A short consolatory saying used in family and community life to encourage patience during grief or difficulty.,/bɛsu a bɛwie/,"Nua, hyɛ wo bo dzen, bɛsu a bɛwie.","Ɔhyia no yɛ denden, noko bɛsu a bɛwie.",Mgbanyima kyekye yɛn werɛ kɛ bɛsu a bɛwie.
Mɔɔ kola nwɔnla la ɛndo ɔ nli funli.,"Relative-clause proverb with agentive head, motion verb, negated return verb, possessive kinship noun phrase, and object complement.",A person who leaves home to seek opportunity may avoid some home troubles but also misses crucial responsibilities.,Onyia mɔɔ kɔ akyirikyiri no ntumi nhwɛ fie nsɛm nyinara so.,C1,migration; family duty; travel; cautionary advice; reflective storytelling,philosophical; cautionary; bittersweet,"Connected to mobility between Nzema towns, farming/fishing settlements, Ghanaian cities, and Ivorian border communities.",/mɔɔ kola nwɔnla la ɛndo ɔ nli funli/,"Aba kɔ Takoradi, noko mɔɔ kola nwɔnla la ɛndo ɔ nli funli.","Ɛnyɛ bɔne kɛ ɛbɛkɔ hwehwɛ adwuma, noko kae kɛ mɔɔ kola nwɔnla la ɛndo ɔ nli funli.",Ɔpanyin no de mɔɔ kola nwɔnla la ɛndo ɔ nli funli bɔɔ abofra no kɔkɔ.
"Saa ɛfa sane nwo ɛya a, wɔ sua nu bɔ.","Conditional proverb with instrument noun, reflexive/possessive phrase, affective noun, and locative impact clause.","When anger drives your action, the harm returns to your own household or community.","Saa ɛyɛ adeɛ wɔ abufuo mu a, ɛ nwo ne ɛ fie bɔɔ ho.",B2,conflict mediation; marriage advice; political restraint; workplace discipline; family disputes,warning; reflective; moralizing,Uses domestic imagery to frame anger as a force that damages the speaker’s own social space.,/saa ɛfa sanɛ nʷo ɛja a wɔ sua nu bɔ/,"Mma abufuo nnyɛ wo panyin, saa ɛfa sane nwo ɛya a, wɔ sua nu bɔ.","Bɛyɛle asɛm no ntɛm, na mgbanyima kaa kɛ saa ɛfa sane nwo ɛya a, wɔ sua nu bɔ.","Saa ɛfa sane nwo ɛya a, wɔ sua nu bɔ; enti dwen ansa na ɛkasa."
Sonla adiema a le sonla.,"Nominal equative proverb with human collective noun, possessive relation, focus marker, and copular predicate.",A human being’s true wealth is another human being; relationships and mutual care matter most.,Nipa mboa ne ayɔnkofa yɛ agyapade pa kyɛ adeɛ foforɔ.,B1,peacebuilding; reconciliation; hospitality; communal obligations; family gatherings,humanistic; dignified; proverbial,"Reflects Nzema ethics of kinship, reciprocity, and community survival across coastal villages, markets, and extended families.",/sonla adiɛma a lɛ sonla/,"Mma yɛnkyiri yɛn nwo, osiande sonla adiema a le sonla.","Ɔhene no kae kɛ sonla adiema a le sonla, enti bɛmma asomdwee mmra.","Saa ɛkyɛ ɛ gɔnwo bɔne a, kae kɛ sonla adiema a le sonla."
