Idiom (Iban),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Iban)",First Example Sentence,Second Example Sentence,Third Example Sentence
Anang nyabak ke ai enti enda tau nyelam,Negative imperative clause with conditional subordinate clause,Do not criticize or judge what you don’t understand.,Don’t talk about things you don’t know.,B2,"Advice, social interaction, workplace, debate","Colloquial, advisory","Draws on Iban riverine life, where one must dive to understand the depth of water.",[ʔanaŋ ɲabak kə ai enti ʔənda taw ɲəlɐm],"Aku udah madah ka iya, anang nyabak ke ai enti enda tau nyelam, laban iya nadai pernah ngalami.","Orang ke enda arap mesti diajar, anang nyabak ke ai enti enda tau nyelam.",Enda patut kitai ngempu penemu enti enda nyelamka diri empu—anang nyabak ke ai enti enda tau nyelam.
Laban jelu enda nyadi pemanah,Declarative sentence with contrastive conjunction,A person’s appearance doesn’t determine their ability.,Don’t judge skill by appearance.,B1,"Workplace, motivation, social commentary","Colloquial, moralistic",Originates from traditional hunting culture comparing warriors and their weapons.,[laban dʒəlu ʔənda ɲadi pəmanah],Enda semua orang berbadan besai pandai—laban jelu enda nyadi pemanah.,"Nya meh ti selalu dipesan orang tua, laban jelu enda nyadi pemanah.","Aku arap iya, laban jelu enda nyadi pemanah, enda semua ke lembut ati lemah badan."
Ngiga padi di batu,Verb phrase with object and locative complement,To pursue something impossible or futile.,To do something pointless.,B2,"Humor, failure, reflection","Ironic, colloquial",Rooted in agrarian imagery—seeking rice on stone implies futility.,[ŋiga padi di batu],"Mun iya terus ngiga padi di batu, penusah iya aja nuan.",Orang ke enda tau manding hal tu ngiga padi di batu.,Ngiga padi di batu nya meh kerja orang enda ngira akal.
Air mata tebalu nyadi empelas,Complex metaphorical clause,Suffering can bring strength or purification.,Pain can make a person stronger.,C1,"Motivation, literature, emotional growth","Poetic, reflective",References blacksmithing culture where friction polishes metal.,[aiɹ mata təbalu ɲadi ʔəmpəlɐs],"Air mata tebalu nyadi empelas, laban pengidup enda senang aja.","Nadai guna nangis berlama, air mata tebalu nyadi empelas.","Baka besi diasah, air mata tebalu nyadi empelas bagi ati."
Bekikis bulu di tungku,Transitive verb with locative complement,To benefit indirectly from another’s effort.,Taking advantage of others’ hard work.,C1,"Politics, workplace, satire","Ironic, sarcastic",Relates to old cooking practices; scraping feathers at a shared hearth.,[bəkikis bulu di tuŋku],"Bekikis bulu di tungku, iya aja ngambi nama orang.",Orang ke pandai bekikis bulu di tungku selalu diingat tapi dibenci.,"Aku enda suka orang ke bekikis bulu di tungku, enda jujur iya."
Kati enda ngaga besi,Declarative clause with negation,Physical strength doesn’t mean endurance of spirit.,Being strong doesn’t mean being resilient.,B2,"Proverbial, teaching, philosophy","Moralistic, reflective",Likely derived from blacksmithing and metaphors of metal strength.,[kati ʔənda ŋaga besi],"Kati enda ngaga besi, laban ati lebih kuat ari tubuh.","Orang tua selalu madah, kati enda ngaga besi.","Mun kau ngelawan nasib, ingat kati enda ngaga besi."
Puchok di urat enda putus,Fixed clause with metaphorical contrast,Family ties remain strong despite conflict.,Blood is thicker than water.,B1,"Family, reconciliation, culture","Colloquial, familial",Derived from plant metaphors—branches may break but roots remain intact.,[putʃok di urat ʔənda putus],"Kami selalu bepeda, tang puchok di urat enda putus.","Enti pun begaduh, puchok di urat enda putus.","Puchok di urat enda putus, kitai tetap sedarah."
Manuk enda ngurung nyabak,Negative declarative clause,A free person speaks boldly without fear.,Freedom gives confidence.,B2,"Politics, humor, daily speech","Witty, metaphorical",Refers to chickens that are not caged being more daring.,[manuk ʔənda ŋuruŋ ɲabak],"Manuk enda ngurung nyabak, baka orang bebas madah penemu iya.","Mun nadai takut, manuk enda ngurung nyabak.","Orang bebas baka manuk enda ngurung nyabak—berani, terus terang."
"Tinggi pasak, dalam tiang",Parallel clause structure with metaphorical opposition,Deep foundations support high achievements.,Strong foundations bring great success.,C1,"Education, leadership, culture","Formal, philosophical",Architectural metaphor from traditional longhouse building.,[tiŋgi pasak dalam tiaŋ],"Enti tinggi pasak, dalam tiang, kitai tau teguh.","Guru selalu madah, tinggi pasak, dalam tiang, baka pelajar rajin.","Nya meh sebab pasal, tinggi pasak, dalam tiang, nadai mudah rebah."
Bebini baka langit biru,Simile construction with complement phrase,Describes a marriage that seems perfect but is unreachable.,An ideal that cannot be attained.,C2,"Love, literature, humor, irony","Poetic, ironic",Derived from celestial imagery in Iban romantic folktales.,[bəbinɪ baka laŋit biru],"Bebini baka langit biru, indah di mata, jauh di tangan.","Orang nya enda mudah, bebini baka langit biru aja.",Enda semua impian nyadi nyata—bebini baka langit biru.
