Idiom (Khmer),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Khmer)",First Example Sentence,Second Example Sentence,Third Example Sentence
ដូចចៀមជាប់ផ្នូរ,គ្រាប់ពាក្យដូចជា ប្រមូលខ្លឹមសារ (simile structure with 'ដូច'),គ្មានសិទ្ធិឬអំណាចអ្វីឡើយ ដូចជាមនុស្សអស់សង្ឃឹម,គ្មានអំណាចនិងមិនអាចធ្វើអ្វីបាន,C1,"ស្ថានភាពនយោបាយ, វេទិកាសង្គម, សិល្បៈ","Poetic, ironic",ចម្លែកសម័យបុរាណ ដែលបង្ហាញពីភាពអស់សង្ឃឹមដូចជាអ្នកស្លាប់,doːc ciəm cʊəp phnoː,គាត់នៅកន្លែងនោះដូចចៀមជាប់ផ្នូរ ឥតអាចនិយាយបានសូម្បីពាក្យតែមួយ។,បន្ទាប់ពីការបរាជ័យនោះ គេរស់ដូចចៀមជាប់ផ្នូរ។,អ្នកដឹកនាំមិនសម្លឹងឃើញប្រជាពលរដ្ឋទេ ពួកគេដូចចៀមជាប់ផ្នូរ។
ជើងខ្មៅដើរលើពន្លឺ,"អនុគមន៍គ្រប់សម័យ, គំនិតប្រៀបធៀប (metaphorical clause)",មនុស្សអាក្រក់ឬទម្លាប់អាក្រក់ដែលត្រូវតែបង្ហាញខ្លួនក្នុងសង្គមល្អ,មនុស្សអាក្រក់ឬបាបធំស្ថិតក្នុងទីកន្លែងល្អ,C2,"សង្គម, សាសនា, វគ្គសិក្សា","Formal, critical",ទម្រង់ឃ្លាចម្លែកព្រះសាសនា យោងពីសាច់រឿងព្រះពុទ្ធសាសនា,cɨəŋ khmao daə lɨə pʊn lɨː,អ្នកជាប់ទោសធ្ងន់ធ្ងរម្នាក់ត្រូវបានជ្រើសរើសចូលធ្វើការរដ្ឋ ដូចជាជើងខ្មៅដើរលើពន្លឺ។,គាត់ហាក់ដូចជាជើងខ្មៅដើរលើពន្លឺ ពេលស្លៀកខោអាវស្អាតចូលពិធីជប់លៀង។,ការរើសអើងគ្មានលក្ខណៈថ្នាក់ទេ ព្រោះជើងខ្មៅក៏អាចដើរលើពន្លឺ។
ខ្យល់ចូលត្រចៀកហើយហោះចេញត្រចៀកផ្សេង,ប្រយោគលំហូរ ធ្វើពីច្រើនវាក្យសព្ទ,មិនយកចិត្តទុកដាក់អ្វីដែលគេនិយាយ,មិនយកចិត្តទុកដាក់នឹងអ្វីដែលបានស្តាប់,B1,"ទំនាក់ទំនងគ្រួសារ, មិត្តភាព, ការអប់រំ","Colloquial, humorous",ប្រើគ្រប់តំបន់នៅកម្ពុជា កើតចេញពីទម្លាប់ប្រពៃណីខ្មែរ,kʰjol coːl trɑciək haəj hɔh cenh trɑciək phsɛːŋ,បងបង្ហាត់វាច្រើនដងហើយ តែវាដូចខ្យល់ចូលត្រចៀកហើយហោះចេញត្រចៀកផ្សេង។,ការណែនាំរបស់គ្រូសាលាដូចខ្យល់ចូលត្រចៀកហើយហោះចេញត្រចៀកផ្សេងសម្រាប់ខ្ញុំ។,គាត់អ៊ូអាំងច្រើនណាស់ ប៉ុន្តែស្តាប់ដូចខ្យល់ចូលត្រចៀកហើយហោះចេញត្រចៀកផ្សេង។
បេះដូងដូចខ្យងបិត,"ប្រៀបធៀប, កិរិយាសព្ទ + ដូច + ធ្នាប់នាម",មានបេះដូងបិទខ្ទប់ មិនចូលរួមទំនាក់ទំនង,មនុស្សដែលមិនចូលសង្គម,B2,"ចិត្តវិជ្ជា, ការសម្រាំងខ្លួន, ឧបសគ្គផ្លូវចិត្ត","Poetic, emotional",ច្រើនប្រើក្នុងស្នេហាករណី ឬវេយ្យាករណ៍អារម្មណ៍ខ្មែរ,ɓehdoːŋ doːc kʰjoːŋ ɓət,បើកបេះដូងរបស់អ្នកឡើង ខ្ញុំមិនចង់ឃើញបេះដូងដូចខ្យងបិត។,គាត់រស់នៅដោយបេះដូងដូចខ្យងបិត ពុំចូលពិភាក្សាជាមួយ ai នរណាទេ។,ការច្រាស់របស់គាត់បង្ហាញថាបេះដូងដូចខ្យងបិត។
កាំបិតនៅក្នុងសម្ល,ឃ្លាប្រមាណ អ្នកនិពន្ធតែងប្រើក្នុងអត្ថបទនយោបាយ,មានគ្រោះថ្នាក់កើតពីរូបរាងធម្មតា,មានអ្វីអាក្រក់លាក់ខ្លួននៅក្នុងសភាពដូចជាសុខសាន្ត,C1,"នយោបាយ, សង្គម, សិល្បៈនិពន្ធ","Literary, dark, critical",កើតចេញពីការរៀបចំចំណងជើងប្រលោមលោកនិងអត្ថបទប្រឆាំងអំណាច,kamɓət naw knoŋ sɑmlɑː,សន្និបាតមានកាំបិតនៅក្នុងសម្ល គ្មាននរណាដឹងកើតអ្វីឡើយ។,សូម្បីការសប្បាយក៏អាចមានកាំបិតនៅក្នុងសម្លបានដែរ។,ពួកគេចេះលាក់កាំបិតនៅក្នុងសម្ល ដើម្បីផ្ដាច់មនុស្សដោយមិនឲ្យដឹង។
បែកដូចសំបុកអុក,ប្រៀបធៀបដោយប្រើសភាពធម្មជាតិ,បែកគ្នាដោយមិនសុខស្រួល ឬត្រូវបំបែកគ្រួសារ/សម្ព័ន្ធភាព,ការបែកចេញដោយមិនមានភាពរីករាយ,B2,"គ្រួសារ, ដំណើរការលែងលះ, វិវាទ","Emotional, literary",មកពីរឿងព្រេងនិទាននិងកំណត់ត្រាកសិកម្ម,ɓaek doːc sɑmbok ʔok,គ្រួសារមួយនោះបែកដូចសំបុកអុក ព្រោះសង្ស័យនិងកំហុស។,ពេលគេចែកផ្ទះគ្នា មានអារម្មណ៍ដូចបែកដូចសំបុកអុក។,ការបែកដូចសំបុកអុកធ្វើឲ្យកូនៗរងទុក្ខ។
រាំលើភ្លើង,កិរិយាសព្ទ + លើ + ធ្នាប់នាម,បុគ្គលដែលទាក់ទាញគ្រោះថ្នាក់ដោយជ្រើសរើស,ធ្វើអ្វីដែលគ្រោះថ្នាក់ដោយស្មារតីផ្ទាល់,C2,"សង្គម, ការសម្រេចចិត្ត, ពិចារណា","Metaphoric, critical",ពាក្យចម្លែកបែបសិល្បៈ រីករាយប៉ុន្តែគ្រោះថ្នាក់,roam lɨə phlɨəŋ,គាត់បានរាំលើភ្លើង ពេលបញ្ចូលខ្លួនក្នុងអាជីវកម្មគ្រោះថ្នាក់។,អ្នកដែលលេងជាមួយអំណាច អាចស្ទើររាំលើភ្លើង។,ការសម្រេចចិត្តនោះដូចនឹងរាំលើភ្លើង។
ដើរជើងក្រហមទៅចងជើងខ្មៅ,ឃ្លាប្រើអក្សរបែបប្រៀបធៀបដោយការពិពណ៌នា,គេសម្ងំការរឹងប៉ឹងដោយចូលកាន់អំណាចដ៏ងងឹត,ផ្លាស់ប្ដូរទិសដៅទៅរបបឃុំឃាំង ឬអំណាចអវិជ្ជា,C2,"នយោបាយ, ប្រវត្តិសាស្ត្រ, សិល្បៈ","Ironic, literary",ប្រើក្នុងអត្ថបទប្រឆាំងនឹងអំណាចអាណានិគម,daə cɨəŋ krɑhaːm təv cɑŋ cɨəŋ khmao,ពួកគេដើរជើងក្រហមទៅចងជើងខ្មៅ បង្ហាញភាពក្លាហានច្រឡំ។,ការទទួលយកនយោបាយថ្មីដូចជាដើរជើងក្រហមទៅចងជើងខ្មៅ។,អ្នកខ្លះឃើញជោគជ័យ ប៉ុន្តែវាជាការដើរជើងក្រហមទៅចងជើងខ្មៅ។
ដាក់អាងដាក់អណ្ដូង,កិរិយាសព្ទទម្លាក់ន័យ បង្ហាញគន្លឹះការសង្រេង,ធ្វើអ្វីមួយស្ទើរដើម្បីបង្កើតភាពចម្រូងចម្រាស ឬបន្លំ,បង្កើតស្ថានភាពបន្លំឬស្រួលច្រឡំ,C1,"នយោបាយ, អាជីវកម្ម, ការទំនាក់ទំនង","Ironic, strategic",ទម្លាប់បុរាណប្រើក្នុងរឿងប្រាសាទនាគ,ɗak ʔaːŋ ɗak ʔɑnɗoːŋ,គាត់ដាក់អាងដាក់អណ្ដូងហើយ ប៉ុន្តែគ្មានទឹកសោះ។,ដាក់អាងដាក់អណ្ដូងក៏ស្មើនឹងបង្ហាញសេចក្ដីមិនស្មោះ។,គម្រោងថ្មីបែបដាក់អាងដាក់អណ្ដូងគឺគ្រាន់តែបន្លំប៉ុណ្ណោះ។
ដើរដូចមនុស្សបាត់បាត,គ្រាប់ពាក្យប្រើប្រាស់ប្រៀបធៀបសកម្មភាពមនុស្ស,ដើរដោយគ្មានគោលបំណង ឬគ្មានទិសដៅច្បាស់លាស់,ដើរដោយចៃដន្យ មិនទាន់ដឹងអ្វី,B1,"ជីវិតរៀងរាល់ថ្ងៃ, អារម្មណ៍ផ្ទាល់ខ្លួន","Colloquial, emotional",យោងពីពាក្យនិយមសង្គ្រាមស៊ីវិល,daə doːc mɔnuh ɓatɓaːt,ខ្ញុំដើរដូចមនុស្សបាត់បាត ពេលជួបបញ្ហាដែលមិនដឹងដំណោះស្រាយ។,បន្ទាប់ពីលែងការពារ ខ្ញុំដើរដូចមនុស្សបាត់បាត។,នាងដើរដូចមនុស្សបាត់បាតក្នុងទីក្រុងធំៗ។
