Idiom (Aragonese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Aragonese)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar como una cabra,Fixed clause with copulative verb 'estar' + simile construction,To be a bit crazy or eccentric in behavior or ideas.,To act irrationally or unusually.,B2,"Daily speech, humor, informal conversation.","Colloquial, humorous.",Derived from rural Aragonese humor; goats often symbolize stubbornness or erratic energy.,[esˈtaɾ ˈkomo una ˈkaβɾa],"O mío tío ye como una cabra, siempre inventando cosas raras.","Dize que va a dormir en o teiau, ye como una cabra!","A María le dius algo estranyo y se ríe, ye como una cabra ella tamién."
Fer la vista gorda,Verbal phrase with infinitive + noun phrase; idiomatic collocation.,To deliberately ignore something wrong or inconvenient.,To ignore a mistake or wrongdoing.,B1,"Workplace, family, politics.","Colloquial, neutral.",Shared Iberian idiom; known in Aragon since medieval administrative texts.,[feɾ la ˈβista ˈɡoɾða],O profesor fizo la vista gorda con as faltas de ortografía.,"En o mercau, a veces fan la vista gorda si ye un amigo.",O alcalde fizo la vista gorda con as obras ilegals.
Ir ta escampar la boira,Verbal phrase with infinitive and prepositional structure.,To take a break or go out to clear one’s mind.,To relax or disconnect mentally.,B2,"Daily speech, personal well-being.","Colloquial, poetic.",Common in northern Aragón; ‘boira’ (fog) symbolizes confusion or fatigue.,[iɾ ta esˈkampaɾ la ˈβojaɾa],Heba d’irme ta escampar la boira un rato por o monte.,"Quan tens tantos pensaments, millor ye ir ta escampar la boira.",O día gris me fizo pensar en escampar la boira per a ribera.
Tener más cuento que Calleja,Comparative phrase with fixed historical reference.,To be a liar or to exaggerate constantly.,To exaggerate or invent stories frequently.,C1,"Humor, gossip, informal conversation.","Colloquial, ironic.","Reference to Saturnino Calleja, Spanish publisher of children's tales (19th century).",[teˈneɾ mas ˈkwento ke kaˈʎexa],"Ese zagal tiene más cuento que Calleja, no le creigas tot o que diz.","Conta historias sin parar, más cuento que Calleja!","Quan oyes a Ramón, pareixe que tien más cuento que Calleja."
Dar más guerra que un chiquet,Comparative clause with idiomatic subject.,To be very troublesome or restless.,To cause a lot of trouble or fuss.,B1,"Family, workplace, humor.","Colloquial, affectionate.",Traditional family idiom used affectionately for lively people.,[daɾ mas ˈɡera ke un tʃiˈket],"O gato da más guerra que un chiquet, no para quieto.",Esa tele nueva da más guerra que un chiquet con pilas.,Mi hermano pequeño da más guerra que un chiquet de tres anyos.
Fer o tonto a dreitas,Verbal idiom with adverbial phrase of purpose.,To pretend to be foolish on purpose.,To act naive intentionally for an advantage.,C1,"Politics, workplace, social irony.","Ironic, sarcastic.",Common political idiom meaning ‘strategic foolishness’.,[feɾ o ˈtonto a ˈðɾejtas],Fizo o tonto a dreitas pa que no li tocara treballar.,"En as negociazions, más d’un fa o tonto a dreitas.","Quan le convene, fa o tonto a dreitas con gracia."
Estar hasta o tozuelo,Verbal phrase with prepositional complement.,To be completely fed up or tired of something.,To be very annoyed or exhausted.,B2,"Daily speech, complaints.","Colloquial, expressive.",‘Tozuelo’ (heel) symbolizes the body’s limit—regional metaphor for reaching one’s patience end.,[esˈtaɾ ˈasta o toˈθwelo],Estoy hasta o tozuelo d’escuitar as mesmas queixas.,Ye hasta o tozuelo d’os exámenes.,Toz estamos hasta o tozuelo de tanta plluvia.
Andar con os pies de plomo,Verbal idiom with prepositional phrase expressing caution.,To act very carefully and cautiously.,To proceed with great caution.,B2,"Politics, workplace, daily speech.","Neutral, cautious.",Shared Iberian idiom; symbolic of heaviness = prudence.,[anˈdaɾ kon os ˈpjes de ˈplomo],"En iste tema, millor andar con os pies de plomo.",Os políticos andan con os pies de plomo con as promesas.,"Quan se tracta d’amistatz, convien andar con os pies de plomo."
Fer o cor d’alcachofa,Nominal idiom with possessive structure.,To fall in love too easily or be too sentimental.,To be emotionally soft or overly romantic.,C1,"Romance, humor, friendship.","Colloquial, affectionate.",Heart of artichoke: soft and easily opened—used affectionately in Aragonese speech.,[feɾ o ˈkoɾ dalkaˈtʃofa],"No sigas con ele, que tens o cor d’alcachofa!","Ella se enamora de totz, o cor d’alcachofa ye lo suyo.","Quan lo vi sonreir, o mío cor d’alcachofa se rendió."
Ser más chusto que un trapo nuevo,Comparative clause with simile marker ‘que’.,"To be overly proper, neat, or strict.",To be extremely tidy or precise.,B2,"Daily life, humor, family.","Colloquial, ironic.","Traditional expression from central Aragón; ‘chusto’ means exact, proper.",[seɾ mas ˈtʃusto ke un ˈtɾapo ˈnweβo],"O mío abuelo ye más chusto que un trapo nuevo, tot tiene que estar ordenato.","A casa d’ella, más chusta que un trapo nuevo.","Con os horarios, ye más chusto que un trapo nuevo."
