Idiom (Bikol),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Bikol)",First Example Sentence,Second Example Sentence,Third Example Sentence
Bakal na dila,Noun phrase; metaphorical attribute,A person who speaks harshly or cruelly,Masakit magsabi o bastos magsalita,B2,"Conflict, family, workplace","Colloquial, sarcastic",Derived from miners’ slang referring to bitterness like metal taste,/ˈbakal na ˈdila/,"Dai mo siya padabaon, bakal na dila an saro.","An mga bakal na dila, pirming nag-aaway sa opisina.",An bakal na dila dai nadudumog nin maray na turing.
An lawas bako sa kahoy,Fixed clause; comparative structure,A reminder that humans have limits; one can tire or weaken,"Tao man, napapagod man",B1,"Health, philosophy, reflection","Neutral, reflective",Old Bikol proverb; linked to folk wisdom on human limits,/an ˈlawas ˈbako sa ˈkahoj/,"An lawas bako sa kahoy, kaya magpahingá ka man.","Tandaan mo, an lawas bako sa kahoy; bawal ang sobra.","Nasa katapusan ka na kan trabaho, tandaan an lawas bako sa kahoy."
Linta sa bulsa,Metaphoric noun phrase; derogatory nominal,A person who borrows or takes money constantly,Palautang o palahingi nin kwarta,B2,"Finance, humor, gossip","Colloquial, humorous",Originates from community humor about freeloaders,/ˈlinta sa ˈbulsa/,"Si Juan, grabe, linta sa bulsa!","Bako mo siya inutan, ta linta sa bulsa yan.","An linta sa bulsa, pirmi naghahanap nin libre."
Paray na hilaw,Metaphoric nominal phrase; adjectival modifier,An inexperienced or immature person,Baguhan o dai pa marunong,A2,"Education, mentoring, youth","Informal, descriptive",Common in rural teaching contexts describing immaturity,/paˈraj na hiˈlaw/,"Paray na hilaw pa an aki, dai pa pwedeng pagtrabahuhon.","Siya paray na hilaw pa, pero matalino.","Bata pa, paray na hilaw, dai pa nakakaintindi."
May tulod na hangin,Predicate with metaphorical complement,Someone arrogant or boastful without real skill,Hambog pero dai man magaling,B2,"Social commentary, sarcasm","Ironic, sarcastic",Traditional idiom mocking self-important people,/maj ˈtulod na ˈhaŋin/,"May tulod na hangin man an tawo na yan, puro hambog!","Dai ako maray sa mga may tulod na hangin, puro daldal.","An may tulod na hangin, pirmi nagrereklamo."
An bagyo dai pirmi,Proverbial clause; simple declarative sentence,Bad times don’t last forever,Dai pirme an problema,B1,"Encouragement, reflection, life advice","Proverbial, hopeful",Ancient Bikol proverb symbolizing resilience,/an ˈbaɡjo ˈdaj ˈpiɾmi/,"An bagyo dai pirmi, kaya maglaom kita.","Dai ka magluom, ta an bagyo dai pirmi.","Magtiwala ka, ta an bagyo dai pirmi."
An aso bako nabubutang sa buslot,Negative clause with figurative complement,Secrets can’t be hidden forever,Dai maitago an sekreto,C1,"Gossip, truth, revelation","Proverbial, moralistic",Widely used across Bikol; moral lesson on truth,/an ˈaso ˈbako naˈbutan sa ˈbuslot/,"An aso bako nabubutang sa buslot, kaya lumabas an totoo.","An sekreto mo, dai maitago—an aso bako nabubutang sa buslot.",An aso bako nabubutang sa buslot—lalabas man an kamatuoran.
May luha an bulan,Metaphoric clause; poetic style,A poetic description of rain or sadness,Nag-uuran o nalulungkot,C1,"Poetry, literature, emotion","Poetic, melancholic",Poetic expression from early 20th-century Bikol writers,/maj ˈluha an ˈbulan/,May luha an bulan kasabay kan pag-ulan kagab-i.,May luha an bulan kan tinanawan ko an langit.,May luha an bulan kada may nagbubulod sa iniwang mahal.
Kulang sa asin,Descriptive phrase; nominal predicate,"Lacking vitality, character, or excitement",Dai masigla o kulang sa lasa,B1,"Cooking, daily life, evaluation","Colloquial, evaluative",Culinary origin; ‘asin’ symbolizes excitement and liveliness,/ˈkulang sa ˈasin/,"An sine kulang sa asin, boring masyado.","An luto niyang adobo kulang sa asin, dai man masarap.","An presentasyon kulang sa asin, dapat dagdagan nin enerhiya."
Nag-aapoy sa dalunggan,Progressive verb phrase; metaphorical predicate,Feeling angry or irritated,Nairita o nagagalit,B2,"Emotion, conflict, stress","Colloquial, emotional",Folk idiom describing visible anger,/naɡaˈapoj sa daˈluŋɡan/,Nag-aapoy sa dalunggan si Tatay kan nadangog an balita.,"Nag-aapoy sa dalunggan si Liza, nagriring na naman.","Nag-aapoy sa dalunggan si Pedro, nasiring pa man an jefe."
