Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Aveir la téthe dure coumme un caillou,Fixed comparative clause with verb 'aveir' + noun phrase + comparative marker 'coumme',To be extremely stubborn and unwilling to change one's opinion.,Être très obstiné.,B2,"Daily speech, family disputes, politics","Colloquial, ironic",Reflects Jersey’s granite landscape; comparison to stone symbolizes rigidity.,/a.veɪ la tɛt dyːr kum œ̃ ka.ju/,Il a la téthe dure coumme un caillou et n'vaut pon écouter les conseils.,"Dans les débats politiques, i sont tous à aveir la téthe dure coumme un caillou.","Tu peux discuter des heures, mais elle a la téthe dure coumme un caillou."
Être dans d'beaux draps,Prepositional phrase with copular verb expressing state,To be in serious trouble or difficulty.,Être en difficulté.,B1,"Daily life, humor, storytelling",Colloquial,Shared Norman-French heritage idiom referring to ironic contrast of 'fine sheets' and bad situation.,/ɛtʁ dɑ̃ de bo dʁa/,"Après l'erreur au travail, jé suis dans d'beaux draps.","S'i n'paye pon ses factures, il s'ra dans d'beaux draps.",Nou v'la dans d'beaux draps avec c'te tempête.
Aveir l'cœur sus la main,Verb phrase with possessive construction and spatial metaphor,To be generous and open-hearted.,Être très généreux.,B1,"Community life, charity, family","Warm, positive",Reflects insular community solidarity traditions in Jersey parishes.,/a.veɪ lə kœː sy la mɛ̃/,Elle a l'cœur sus la main et aide tout l'monde.,Les Jèrriais ont souvant l'cœur sus la main.,"Il donne sans hésiter, il a l'cœur sus la main."
Courir deux lièvres à la feis,Infinitive verb phrase with numeric object and temporal phrase,To pursue two goals at once and risk failing both.,Essayer de faire deux choses en même temps.,C1,"Workplace, politics, education","Proverbial, cautionary",Hunting imagery tied to rural Jersey traditions.,/ku.ʁi dø ljɛvʁ a la fɛ/,Il court deux lièvres à la feis avec ses projets.,"En politique, courir deux lièvres à la feis mène au fiasco.",Tu ne peux pon courir deux lièvres à la feis éternellement.
Mettre l'fe au poudre,Infinitive verb phrase with object complement,To provoke conflict or escalate tensions.,Provoquer un conflit.,C1,"Politics, family arguments, media","Ironic, dramatic",Linked to historical maritime gunpowder storage on the island.,/mɛtʁ lə fə o pudʁ/,Ses paroles ont mis l'fe au poudre.,"Dans l'Assemblée, un commentaire peut mettre l'fe au poudre.",Ne mets pon l'fe au poudre avec tes critiques.
Chacun voit midi à sa porte,Complete declarative proverb with subject pronoun and verb phrase,Everyone judges from their own perspective.,Chacun a son propre point de vue.,B2,"Debates, philosophy, education","Proverbial, reflective",Norman-origin proverb widely used in Channel Islands discourse.,/ʃa.kœ̃ vwa mi.di a sa pɔʁt/,"Dans c'te discussion, chacun voit midi à sa porte.","Les paroisses défendent leurs intérêts, chacun voit midi à sa porte.","En affaires, chacun voit midi à sa porte."
Être fiéthe coumme un paon,Copular structure with comparative simile,To be extremely proud or vain.,Être très fier.,A2,"Daily speech, humor","Humorous, mildly ironic",Rural imagery referencing peacocks kept in manor estates.,/ɛtʁ fjɛt kum œ̃ pɑ̃/,Il est fiéthe coumme un paon après son succès.,Elle marche fiéthe coumme un paon au marché.,Le gamin est fiéthe coumme un paon avec sa médaille.
Battre le fe au chaud,Infinitive verb phrase with object and locative complement,To act at the right moment while conditions are favorable.,Profiter du bon moment.,B2,"Workplace, entrepreneurship","Proverbial, motivational",Blacksmith imagery from rural parish trades.,/batʁ lə fə o ʃo/,Nou faut battre le fe au chaud avec c'te opportunité.,Les commerçants battent le fe au chaud en été.,"Si tu veux réussir, bats le fe au chaud."
Aveir un chat dans la gorge,Verb phrase with existential object metaphor,To have a hoarse voice or difficulty speaking.,Avoir la voix enrouée.,A1,"Daily life, health",Colloquial,Shared Norman metaphor reflecting vivid animal imagery in Cham speech.,/a.veɪ œ̃ ʃa dɑ̃ la ɡɔʁʒ/,"Jé n'peux pon parler, j'ai un chat dans la gorge.",Il semble aveir un chat dans la gorge c'matin.,"Après l'concert, elle avait un chat dans la gorge."
Rire jaune,Infinitive verb phrase functioning as fixed idiom,To laugh in a forced or embarrassed way.,Rire de façon forcée.,B2,"Social interactions, sarcasm","Ironic, sarcastic",Color symbolism common in French and Norman expressive speech.,/ʁiʁ ʒon/,Il a ri jaune quand la vérité est sortie.,Elle rit jaune devant ses collègues.,J'ai ri jaune en entendant la remarque.
