Idiom (Scottish Gaelic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Scottish Gaelic)",First Example Sentence,Second Example Sentence,Third Example Sentence
Chan eil mi air mo shàrachadh,Negative verb construction with passive participle,I am not impressed or bothered,I don’t care,B1,"daily speech, sarcasm, youth slang","colloquial, sarcastic","Modern urban Gaelic, especially among younger speakers in Glasgow and Inverness",/xanʲ elʲ mi ərʲ mə haːrˠəx/,"Thuirt i gun robh i air fàs sgìth, ach chan eil mi air mo shàrachadh.",Chan eil e air mo shàrachadh dè tha iad a’ smaoineachadh.,"Fhuair iad obair ùr, ach chan eil mi air mo shàrachadh idir."
Tha e air a bhith air an sgàthain,Prepositional phrase with passive voice,He has been showing off,He’s been acting boastfully,B2,"daily speech, humor, peer commentary","colloquial, ironic",Traditional Highland communities; referencing behavior in small towns,/ha eː ərʲ ə vɪː ərʲ ən skaː.ɪnʲ/,Tha e air a bhith air an sgàthain bhon latha fhuair e a’ chàr ùr sin.,"Cumaidh sinn sùil airsan, tha e air a bhith air an sgàthain o chionn ghoirid.",Cha toil leam nuair a tha daoine air an sgàthain.
Cha robh sin ach gàire a’ bhàis,Fixed clause with definite noun phrase,That was a bitter or cynical laugh,That was a sarcastic or grim laugh,C1,"literature, sarcasm, dark humor","literary, ironic",Traditional storytelling and seanchaidh-style prose,/xa rɔv ʃin əx kaːrʲə ə vaːʃ/,"Thàinig gàire, ach cha robh sin ach gàire a’ bhàis.","Gàire fuar, cha robh sin ach gàire a’ bhàis, gun teagamh.","Bha i a’ feuchainn ri bhith taitneach, ach cha robh sin ach gàire a’ bhàis."
Tha mo cheann na bhrochan,Possessive construction with metaphorical noun phrase,I’m confused or overwhelmed,My head is a mess,A2,"daily speech, academic stress","colloquial, humorous",Common among students and young learners in Scotland,/ha mo çãũ nə vroxən/,Bha uimhir de dh’fhiosrachadh agam gun robh mo cheann na bhrochan.,"An dèidh na deuchainne, tha mo cheann na bhrochan.",Tha mo cheann na bhrochan leis an obair-dachaigh seo!
Bidh gàire air an aghaidh ach bròn san cridhe,Complex clause with contrastive conjunction,"Smiling on the outside, sad inside","They pretend to be happy, but are truly sad",C1,"literature, psychological reflection","poetic, formal",Folkloric expression from outer isles; reflects traditional stoicism,/bi ɣaːrʲə ɛrʲ ən akɪç ax bɾɔːn sən kɾʲi.ə/,Bidh gàire air an aghaidh ach bròn san cridhe gach madainn.,Thathar tric ag ràdh gu bheil gàire air an aghaidh ach bròn san cridhe.,"Ged a bha i a’ dannsa, bha gàire air an aghaidh ach bròn san cridhe."
Na bi a’ gearan mun bhèist ma tha thu nad leòmhann,Imperative clause with conditional structure and metaphorical noun,Don’t complain about harshness if you act fiercely yourself,Don’t complain if you’re equally aggressive,C2,"literary, moral reflection, workplace conflict","formal, proverbial","Rooted in Highland wisdom, often shared in council settings or folktales",/nə bi ə kʲɛrən mun veːʃtʲ mə ha u nə ʎɔː.ən̪ˠ/,Na bi a’ gearan mun bhèist ma tha thu nad leòmhann nad dhòigh fhèin.,"Thuirt am bodach rium, ‘Na bi a’ gearan mun bhèist…’","Ma bhios tu gar ionnsaigh, na bi a’ gearan mun bhèist."
Cha tig an cat gu crìch gun a chrònan,Negative future with relative clause,"Some people always speak their mind, even if it's unwanted",They always have something to say,B2,"family, politics, community talk","colloquial, humorous",Said among families; evokes imagery of household cats,/xa tʲiɡ ən kaʰt ku kɾʲiç kuɲ ə xɾɔːnən/,"Cha tig an cat gu crìch gun a chrònan, chan eil sin na iongnadh!","Bha e ri gearan, cha tig an cat gu crìch gun a chrònan.",Fhathast a’ bruidhinn? Cha tig an cat gu crìch gun a chrònan!
Fuar mar ghealach an Fhoghair,Simile with comparative particle and genitive noun phrase,"Cold and distant, emotionally or physically",Unfriendly or emotionally distant,C1,"literature, relationships, description","poetic, solemn",Derived from autumnal harvest songs and traditional verse,/fuərʲ mər ʝaləx ən ɔː.ɣəɾʲ/,Bha a freagairt fuar mar ghealach an Fhoghair.,Chan fhaod thu a bhith fuar mar ghealach an Fhoghair ris a’ chloinn.,Fhuair mi sùil bhuaithe — fuar mar ghealach an Fhoghair.
Cha bhith fios aig duine càit a bheil e gus an ruig e,Complex temporal clause with negative future,You don't know where you stand until tested,You only understand after experiencing something,B2,"personal development, education, family advice","neutral, philosophical",Popular in island schools and parenting advice,/xa vi fʲis akʲ dɯnʲə kaːʃtʲ ə velʲ eɣɪs ən ɾuɡʲʲ e/,Cha bhith fios aig duine càit a bheil e gus an ruig e deireadh na slighe.,Tha sin fìor – cha bhith fios agad càit a bheil thu gus an ruig thu e.,B’ e fìor dheuchainn a bh’ ann – cha bhith fios aig duine càit a bheil e gus an ruig e.
Tha e a’ dannsa le cù nan cop,Present progressive with metaphorical prepositional phrase,He's flirting with danger or mischief,He's engaging in risky or foolish behavior,B1,"humor, warning, youth behavior","colloquial, ironic",Metaphor drawn from mischievous tales; ‘cù nan cop’ = devilish hound,/ha e ə tansa lʲə ku nəŋ kʰɔp/,Na toir earbsa dha – tha e a’ dannsa le cù nan cop.,Tha iad uile a’ dannsa le cù nan cop nuair a bhios iad a’ mealladh.,"Bha thu fhèin a’ dannsa le cù nan cop an-raoir, nach robh?"
