Idiom (Beja),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Beja)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ándi giráab šakíyok.,Fixed verbal clause; subject + object + perfective verb; metaphorical object construction,To expose a hidden matter publicly or reveal a secret abruptly,Ándi hárat tamáa kítik.,B2,Daily speech; politics; family disputes,Colloquial; ironic,From traditional camel-hide bags (giráab) used to store valuables; opening one publicly implied revealing what was hidden,/ˈaːndi giˈraːb ʃaˈkiːjok/,"Hín ándi giráab šakíyok, náaš tamáa barák.",Baróok ándi giráab šakíyok kánáa šáfi.,Dáar ándi giráab šakíyok íiri siyaasá.
Bádi šoorí tamíi.,Nominal clause; predicate adjective structure,To be extremely impatient or restless,Bádi hárat tamíi.,B1,Family; workplace; humor,Colloquial,Linked to Red Sea wind patterns (šoorí) that shift suddenly,/ˈbaːdi ʃoːˈriː taˈmiː/,"Bádi šoorí tamíi, hín aríik háyok.",Íni bádi šoorí tamíi kánáa dárib.,Náaš bádi šoorí tamíi híini safár.
Ságar hadíyok girá.,Verb phrase with directional complement; perfective form,To abandon someone during difficulty,Ságar tamáa kítik.,B2,Friendship; politics; migration narratives,Serious; moralistic,Ságar refers to rocky highlands where leaving someone implied danger,/ˈsaːgar haˈdiːjok giˈra/,"Íni ságar hadíyok girá, ándi barák.",Baróok ságar hadíyok girá hárat.,Hín ságar hadíyok girá náaš safár.
Tamáa díi saríi.,Fixed metaphorical clause; noun + copular structure,To speak recklessly without thinking,Tamáa hárat kítik bidíi.,B1,Daily speech; youth slang,Colloquial; humorous,Derived from reference to loose tongues in poetic satire traditions,/taˈmaː diː saˈriː/,Íni tamáa díi saríi kánáa náaš.,Hín tamáa díi saríi siyaasá.,Baróok tamáa díi saríi íiri dáar.
Hárat mašáa girí.,Compound noun phrase; metaphorical possession,To carry emotional burden silently,Hárat díi mašáa.,C1,Literature; elder speech; family,Poetic; reflective,Mašáa refers to loaded caravans; metaphor for inner weight,/ˈhaːrat maˈʃaː giˈri/,Íni hárat mašáa girí hínáa.,Náaš hárat mašáa girí barák.,Baróok hárat mašáa girí dáar.
Dáar šikíi tamáa.,Nominal metaphor; place used symbolically,A situation of confusion or disorder,Dáar hárat tamáa kítik.,A2,Daily speech; family gatherings,Colloquial,Šikíi refers to tangled fishing nets common in Port Sudan coast,/daːr ʃiˈkiː taˈmaː/,Íni dáar šikíi tamáa hínáa.,Baróok dáar šikíi tamáa náaš.,Hín dáar šikíi tamáa safár.
Ándi barák sáafi.,Predicate adjective clause; intensifier structure,To be extremely fortunate unexpectedly,Ándi barák tamáa.,B1,Daily life; humor; storytelling,Colloquial; positive,Barák linked to blessings in pastoral prayers,/ˈaːndi baˈraːk saːˈfi/,Íni ándi barák sáafi híini.,Náaš ándi barák sáafi dáar.,Baróok ándi barák sáafi safár.
Girí šoorí dáar.,Metaphorical locative clause,A tense political atmosphere,Dáar hárat siyaasá kítik.,C2,Politics; journalism; analysis,Formal; analytical,Alludes to desert storms signaling unrest historically,/giˈriː ʃoːˈriː daːr/,Hín girí šoorí dáar íiri.,Íni girí šoorí dáar siyaasá.,Náaš girí šoorí dáar barák.
Híini hadíyok šoorí.,Perfective verb phrase; metaphorical action,To escalate conflict suddenly,Híini hárat tamáa díi.,B2,Conflict; negotiation; youth speech,Colloquial; dramatic,Reflects sudden coastal winds increasing waves,/ˈhiːni haˈdiːjok ʃoːˈriː/,Íni híini hadíyok šoorí náaš.,Baróok híini hadíyok šoorí siyaasá.,Hín híini hadíyok šoorí dáar.
Tamíi girá ságar.,Adjectival predicate with locative metaphor,To be socially isolated or excluded,Tamíi hárat kítik.,B2,Migration; youth; literature,Serious; reflective,Ságar mountains symbolize distance from community centers,/taˈmiː giˈraː ˈsaːgar/,Íni tamíi girá ságar hínáa.,Náaš tamíi girá ságar safár.,Baróok tamíi girá ságar dáar.
