Idiom (Mam),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mam)",First Example Sentence,Second Example Sentence,Third Example Sentence
B'aj tu'n twi',Fixed verbal clause with directional particle,To become confused or lose one's sense of direction in life,To feel mentally lost,B2,"Daily speech, family advice, youth conversations","Colloquial, reflective",Associated with mountain travel and losing paths in the highlands,/ɓaχ tun tβiʔ/,Ma b'aj tu'n twi' qa naq ma txi'j te jun xnaq'tzb'il.,Atz ma b'aj tu'n twi' te kyjaq'lal q'ij.,Qa mam kub' tq'ma nqe ma b'aj tu'n twi' te qtx'otx'.
Kyaq b'ix toj q'ij,Nominal metaphorical phrase,Someone who speaks beautifully but acts dishonestly,A deceptive speaker,C1,"Politics, debates, sarcasm","Ironic, critical",Used in oral political commentary in western Mam regions,/cjaq ɓiʃ toχ qʼiχ/,"Kyaq b'ix toj q'ij te winq, per mib'a'n tu'n.",Ma kub' qnima' te kyaq b'ix toj q'ij.,Aj il te kyaq b'ix toj q'ij kyxol xjal.
Tzaj tqanil q'iij,Verb phrase with possessed noun,To bring hope or positive change,To improve the situation,B1,"Community meetings, family speech","Warm, hopeful",Linked to sunrise symbolism in Mam oral tradition,/tsah tqanil qʼiːχ/,Te alaxnaq tzaj tqanil q'iij kyib'aj xjal.,Qa b'ixan tzaj tqanil q'iij toj tnam.,Tzaj tqanil q'iij qa ma kub' tq'o'n jun tb'een.
Okx tqan tja,Fixed clause with locative noun,To interfere in matters that are not one's business,To meddle,A2,"Family arguments, humor",Colloquial,Traditional reference to entering another household without invitation,/oχs tqan tχa/,Mina okx tqan tja toj kyajb'il junx.,Atz b'ix okx tqan tja te qman.,Okx tqan tja qa ma txi' tqani'n jun tnam.
Jaw naq twitz q'ij,Metaphorical descriptive clause,To act proudly or arrogantly,To behave arrogantly,B2,"Social criticism, humor","Sarcastic, humorous",Compares a person to standing above the sun,/haw naq tβits qʼiχ/,Jaw naq twitz q'ij te alkyee'.,Mi nra tqanb'il jaw naq twitz q'ij.,"Qa kub' b'aj tq'ijil, jaw naq twitz q'ij."
Tz'el t-xnaq'tzb'il toj qanima,Complex verbal phrase,Knowledge that deeply transforms a person,To learn meaningfully,C2,"Education, literature, speeches","Literary, formal",Common in bilingual education discourse,/tsʼel tʃnaqʼtsɓil toχ qanima/,Tz'el t-xnaq'tzb'il toj qanima te talnaq.,Mib'a'n aq'njil wi' qa mi tz'el t-xnaq'tzb'il toj qanima.,"Qa ma tz'el t-xnaq'tzb'il toj qanima, ma kub' tb'antik."
B'aj tq'ijil twitz tx'otx',Passive-style metaphorical construction,To lose social respect or honor,To be disgraced,C1,"Community disputes, moral teaching","Serious, moralizing",Rooted in communal honor traditions,/ɓaχ tqʼiχil tβits tʃʼotʃʼ/,B'aj tq'ijil twitz tx'otx' qa ma kub' tsub'.,Mina kub' b'aj tq'ijil twitz tx'otx'.,Te xjal ma b'aj tq'ijil twitz tx'otx' kyxol tnam.
Tqopi'n q'ij toj tja,Fixed poetic clause,To create peace and warmth in the home,To maintain harmony,B1,"Family life, ceremonies","Poetic, affectionate",Connected to fire and sunlight imagery in Mam homes,/tqopin qʼiχ toχ tχa/,Te nan tqopi'n q'ij toj tja.,"Qa ma kub' qchwinqil, tqopi'n q'ij toj tja.",Kyjaq'lal xjal nra tqopi'n q'ij toj tja.
Xi' tq'uma'n toj chej,Past verbal expression,Words ignored or forgotten immediately,To be ignored,B2,"Workplace, teaching, parenting","Critical, humorous",Refers to speech disappearing into the forest,/ʃi tqʼuman toχ tʃeχ/,Xi' tq'uma'n toj chej te tqanil qmam.,Mina txi' tq'uma'n toj chej qa at jun t-xnaq'tzb'il.,Xi' tq'uma'n toj chej kyxol alkyee'.
Noq jun qanil twitz qya,Nominal figurative phrase,A rumor that spreads rapidly,Fast-spreading gossip,A2,"Daily conversation, humor",Colloquial,Connected to wind imagery across Mam-speaking communities,/noq hun qanil tβits qja/,Noq jun qanil twitz qya te tzij.,Te tnam b'aj tqani'n noq jun qanil twitz qya.,Mina kub' qoksin noq jun qanil twitz qya.
