Idiom (Gronings),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Gronings)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kop d'r veur holl'n,Verbal idiom with object noun kop plus pronominal adverb d'r and infinitive/imperative verb phrase; often used as an imperative or encouragement formula.,Keep going with courage despite difficulty; do not give up when something is hard.,Moed holden en deurgoan.,B1,Daily speech; family encouragement; sports; recovery after setbacks; workplace motivation.,"Colloquial, supportive, resilient.","Associated with Groningen’s sober ethos of endurance and practical perseverance, especially in rural, maritime, and post-earthquake community speech.",/kɔp dər føːr hɔlən/,"Kom op, jong, kop d'r veur holl'n, mörgen gait t vast beter.",Noa dei dreuge examenweek zee mien opa: kop d'r veur holl'n en eerst eem oetbloazen.,"Bi'j de training haar elkenain spierpien, mor de trainer reup: kop d'r veur holl'n!"
"Nait soezen, moar doun",Coordinated negative imperative construction with contrastive conjunction moar; fixed exhortative clause.,Stop complaining or hesitating and take action.,"Nait klaogen, mor aan t wark goan.",B1,Workplace; household tasks; sports; farming; humorous correction among friends.,"Colloquial, direct, mildly admonishing.",Reflects a regional preference for plain-spoken practicality; often linked to Groningen self-image of doing rather than talking.,/naːit suːzən maːr dun/,"Dou kinst der lang over proaten, mor nait soezen, moar doun.","As de schuur lekt, helpt gain gezucht: nait soezen, moar doun.","Zai zee t lachend tegen heur breur: nait soezen, moar doun, de fiets mout vot."
Kon minder,Elliptical evaluative clause with modal verb in past form and omitted subject; fixed understatement.,"It is actually quite good, pleasant, or impressive, expressed through dry understatement.",Dat is best goud.,A2,Small talk; weather; food; reviews; compliments; casual satisfaction.,"Colloquial, understated, humorous, typically Gronings dry.",A widely recognized northern Dutch/Groningen-style understatement; a restrained way to praise something without sounding overly enthusiastic.,/kɔn mɪndər/,"De kovvie is waarm en de kouk is fers, nou, kon minder.","Vief minuten lopen van t station noar hoes, dat kon minder.",Zai keek noar t nije uitzicht over t Hogeland en mompelde: kon minder.
"'t Het nog nooit zo donker west, of 't wer altied wel weer licht","Proverbial complex sentence with perfect construction, comparative adjective, and coordinating clause; fixed maxim.","Even after the worst period, things can improve; there is always hope after hardship.",Ook noar slechte tied kin t weer beter worden.,B2,Comforting others; grief; politics; social hardship; literature; reflective speech.,"Poetic, consoling, culturally resonant.",Strongly associated with Groningen singer Ede Staal and regional cultural memory; used as a hopeful proverb in difficult times.,/ət hɛt nɔx noːit zoː dɔŋkər ʋɛst ɔf ət ʋɛr ɑltiːt ʋɛl ʋeːr lɪxt/,"Noa de bevingschade zee oma zacht: 't het nog nooit zo donker west, of 't wer altied wel weer licht.","Toen de winkel dicht mos, schreef hai op t raom: 't het nog nooit zo donker west, of 't wer altied wel weer licht.",In de raodsvergoadring klonk t zinnegien as troost veur n dörp dat veul verluren haar.
"Wat mie nait jeukt, dat kraab ik nait","Relative-correlative proverbial clause with object pronoun mie, negation, and parallel verb structure; fixed maxim.",I do not interfere in matters that do not concern me.,Ik bemui mie der nait mit as t mien zaok nait is.,B2,Neighbor relations; politics; family disputes; workplace boundaries; humorous self-description.,"Colloquial, proverbial, detached, dryly ironic.",Rooted in rural neighborly etiquette and the value of minding one’s own business in close-knit communities.,/ʋɑt mi naːit jøːkt dɑt kraːb ɪk naːit/,"De buren hadden ruzie, mor pa zee: wat mie nait jeukt, dat kraab ik nait.","Over dei kantoorpolitiek wol ik niks zeggen; wat mie nait jeukt, dat kraab ik nait.","Zai heurden t gerucht wel, mor wat heur nait jeukt, dat kraabt zai nait."
Beter mit verlegen as om verlegen,Comparative proverb with prepositional contrast mit versus om; elliptical clause with omitted copula.,It is better to have something and not need it than to need it and not have it.,Beter wat extra meenemen as te min hebben.,B2,Travel; farming; household planning; tools; weather preparation; parental advice.,"Proverbial, practical, mildly humorous.","Matches a culture of preparedness shaped by changeable weather, distance between villages, and practical household economies.",/beːtər mɪt fərleːxən ɑs ɔm fərleːxən/,Nim dien regenjas mor mit; beter mit verlegen as om verlegen.,"Veur t feest kochten wie extra stoelen, want beter mit verlegen as om verlegen.",Mien tante het altied n touw in auto liggen: beter mit verlegen as om verlegen.
Mit hounder op 't rik goan,Prepositional idiom with plural noun hounder and locative phrase op 't rik followed by infinitive goan; fixed verb phrase.,"Go to bed very early, especially when tired.",Vroug noar bed goan.,A2,Family speech; daily routine; children; farming schedules; joking about tiredness.,"Colloquial, homely, gently humorous.","Draws on farmyard imagery: chickens going to roost at dusk, a familiar rhythm in rural Groningen life.",/mɪt hundər ɔp ət rɪk ɣoːən/,"Ik bin zo meu, ik goa vandoag mit hounder op 't rik.","De kinder mossen mit hounder op 't rik, want mörgen begunt schoele vroug.",Noa n dag op laand wol opa allain nog mit hounder op 't rik goan.
Bist ja nait goud snik,"Predicative adjective idiom with second-person verb, discourse particle ja, negation, and adjective phrase goud snik.",You are acting foolishly or irrationally; you are not thinking straight.,Doen doe nait verstandig.,B1,Informal teasing; warning friends; family scolding; surprise at risky behavior.,"Colloquial, teasing or mildly critical; can be sharp depending on tone.",Uses snik in the sense of soundness or mental fitness; typical of blunt but often affectionate regional correction.,/bɪst jaː naːit ɣʌut snɪk/,Wilst mit dit weer t wad op? Bist ja nait goud snik.,"Toen hai zien telefoon in t kanaal wol vissen, zee ik: bist ja nait goud snik.","Zai lachten, mor heur moeke zee streng dat ze nait goud snik waren."
"Man, man, man, wat 'n boudel",Exclamative nominal repetition followed by wat-exclamation with indefinite noun phrase; discourse formula.,"What a mess, fuss, or chaotic situation.",Wat n gedoe; wat n rommelige toestand.,A2,Daily frustration; household chaos; public transport delays; local politics; storytelling.,"Colloquial, expressive, humorous, mildly exasperated.","Boudel evokes a heap or muddle; the phrase fits Groningen’s dry, compact way of reacting to disorder.",/mɑn mɑn mɑn ʋɑt ən bʌudəl/,"De bus kwam nait, de regen begunde, man, man, man, wat 'n boudel.","Bi'j t verhozen stonnen alle doazen deur mekaar: man, man, man, wat 'n boudel.",De vergadering duurde drij uur en gainain wus wat besleuten was; wat 'n boudel.
Woist ja wel,"Fixed discourse marker with second-person present verb, particle ja, and adverb wel; often parenthetical.",You know what I mean; shared understanding is assumed without spelling everything out.,Doewest wat ik bedoel.,A2,Conversation fillers; shared memories; gossip; softening explanations; informal storytelling.,"Colloquial, familiar, connective, sometimes evasive.",Common in northern everyday speech as a pragmatic marker that relies on shared context and community knowledge.,/ʋɔist jaː ʋɛl/,"Hai kwam weer te loat, woist ja wel, net as altied.","Dat café achter de Aa-kerk, woist ja wel, doar troffen wie heur.","Zai dee zo stoer, mor eigenlijk was ze zenuwachtig, woist ja wel."
