Idiom (Sudanese Arabic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sudanese Arabic)",First Example Sentence,Second Example Sentence,Third Example Sentence
البيت بيت أبونا والغرب يطردونا,Compound clause with ironic passive voice,Being excluded from a place or role that rightfully belongs to you,We're being kicked out of what should be ours,B2,"Daily speech, politics, humor","Colloquial, ironic","Historically tied to family land disputes, often quoted in satire",alˈbeːt beːt ʔabuːna welˈɣarb jaṭˈruːdʊːna,البيت بيت أبونا والغرب يطردونا منو؟,قالوا دا اجتماع خاص، لكن البيت بيت أبونا والغرب يطردونا!,كل مرة نجي نشارك، يقولوا اكتفيتو! البيت بيت أبونا والغرب يطردونا.
الدنيا مقلوبة فوق تحت,Fixed metaphorical clause,Things are chaotic or upside down,Everything is in disarray,A2,"Daily life, news, politics",Colloquial,Common in post-conflict or disaster descriptions,edˈdu.nja maʔˈluːba foːg taːħt,من صباح الله، الدنيا مقلوبة فوق تحت.,ما قادر أفهم الحاصل، الدنيا مقلوبة فوق تحت.,الحكومة دي مخليانا، الدنيا مقلوبة فوق تحت.
يبيع الموية في حلة الموية,"Proverbial clause, ironic present tense",Offering something redundant or obvious,Selling water in the water-rich neighborhood,C1,"Humor, sarcasm, business",Ironic,Comes from mocking pointless business ventures,jiˈbiːʕ elˈmo.ja fiː ˈħil.lat elˈmo.ja,زول يبيع الموية في حلة الموية، مفكرنا أغبياء ولا شنو؟,دي زي البيبيع الموية في حلة الموية!,انت دخلت السوق دا زي ال يبيع الموية في حلة الموية.
يمشي عديل يجيك في ظلط,Complex clause with condition,Something or someone returns in an unexpected or complicated way,What you avoid comes back differently,B2,"Life lessons, family, elders’ speech","Colloquial, poetic",Linked to elders' advice about fate,ˈjimʃi ʕaˈdiːl ˈjidʒiːk fi ˈzalat,قلت ما أتعامل معاه، مشى عديل وجاني في ظلط.,الحكاية دي مشيت عديل وجاتني في ظلط.,ما تبعد كتير، بيمشي عديل ويجيك في ظلط.
بكري ما بقول كديسه سمين,Negated clause with ironic tone,Some people never acknowledge the obvious,Bakri will never admit even a fat cat is fat,C2,"Politics, sarcasm, debate","Colloquial, sarcastic","Common in political sarcasm, mocking stubbornness",ˈbak.ri ma baˈguːl kadˈdiːsa saˈmiːn,بكري دا مستحيل يعترف، بكري ما بقول كديسه سمين.,لو الكديسه وزنا ٥ كيلو، بكري ما بقول كديسه سمين.,بكري ده عندو عناد، ما بقول كديسه سمين.
دقس في السهلة,Verb phrase (past tense),Made an obvious or silly mistake,He messed up something easy,B1,"Youth slang, daily life",Colloquial,Urban slang from Khartoum,dagas fiː esˈsa.hla,الولد دقس في السهلة في الامتحان.,كنت حأفوز لكن دقست في السهلة.,يا زول دقس في السهلة عديل.
يمشي يقول ليهم جبت الديب من ديله,Clause with exaggerative metaphor,Someone claims to have done something impossible,Saying you accomplished the impossible,C1,"Storytelling, humor, politics","Ironic, poetic","Originates from animal metaphors, high bragging",ˈjimʃi jaˈguːl leː.hum dʒibt edˈdiːb min ˈdeːlu,ما صدقت، قام مشى قال ليهم جبت الديب من ديله.,أها مشى يتفاخر قال جبت الديب من ديله!,ياخي كفاك فشر، جبت الديب من ديلو كمان؟
يعض اليد البتمد ليه,Metaphorical present clause,Betrays someone who helps them,Biting the hand that feeds you,B2,"Family, workplace, moral talk",Colloquial,Shared across Arab world but frequent in Sudanese narratives,jaʕoð ʔilˈjed elbeˈtimid leːh,ساعدتو، لكن عض اليد البتمد ليه.,ما تقول ساعدك، انت عضيت اليد البتمد ليك.,الزول دا يعض اليد البتمد ليه ساكت.
زي الكديسة تكول وتمسح بمرايلها,Simile structure with irony,Does wrong then pretends to be innocent,Like a cat that eats then wipes its face,B2,"Daily life, gossip","Ironic, humorous",Old Khartoum idiom about deception,zai elkadˈdiːsa takˈkʊl w timˈsaħ bimaˈraːjilha,عامل فيها بريء، زي الكديسة تكول وتمسح بمرايلها.,كذب وسوى فيها ملاك، زي الكديسة.,دا أكلي وراهو تمسح بمرايلو.
راس التيس ما بتكلم,Nominal clause with metaphor,Someone refuses to speak or is extremely stubborn,Silent and stubborn like a goat’s head,B1,"Humor, sarcasm, politics",Colloquial,From rural speech mocking obstinance,raːs ettˤeːs ma batakˈkalam,اتكلم يا زول، ولا راس التيس ما بتكلم؟,دا زي راس التيس، ساكت وما بتكلم.,نقعد نقول وما في فايدة، راس التيس ما بتكلم.
